# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.195
metadata : {}


# id : NWRW1800000041.195.1.1
컴 고장내는 컴 수리업체

컴	컴/NNG
고장내는	고장/NNG+내/VV+는/ETM
수리업체	수리/NNG+업체/NNG


# id : NWRW1800000041.195.2.1
부팅 방해 프로그램 설치 등 더 망가뜨려 바가지 씌워 1만여명에게 21억원 받아 챙겨… 前現대표-기사 등 66명 구속-입건

부팅	부팅/NNG
방해	방해/NNG
프로그램	프로그램/NNG
설치	설치/NNG
등	등/NNB
더	더/MAG
망가뜨려	망가뜨리/VV+어/EC
바가지	바가지/NNG
씌워	씌우/VV+어/EC
1만여명에게	1/SN+만/NR+여/XSN+명/NNB+에게/JKB
21억원	21/SN+억/NR+원/NNB
받아	받/VV+아/EC
챙겨…	챙기/VV+어/EF+…/SE
前現대표-기사	前現/SH+대표/NNG+-/SO+기사/NNG
66명	66/SN+명/NNB
구속-입건	구속/NNG+-/SO+입건/NNG


# id : NWRW1800000041.195.3.1
고객이 맡긴 컴퓨터를 조작해 허위로 수리비용을 청구한 컴퓨터 수리업체 직원들이 무더기로 경찰에 적발됐다.

고객이	고객/NNG+이/JKS
맡긴	맡기/VV+ㄴ/ETM
컴퓨터를	컴퓨터/NNG+를/JKO
조작해	조작/NNG+하/XSV+아/EC
허위로	허위/NNG+로/JKB
수리비용을	수리/NNG+비용/NNG+을/JKO
청구한	청구/NNG+하/XSV+ㄴ/ETM
컴퓨터	컴퓨터/NNG
수리업체	수리/NNG+업체/NNG
직원들이	직원/NNG+들/XSN+이/JKS
무더기로	무더기/NNG+로/JKB
경찰에	경찰/NNG+에/JKB
적발됐다.	적발/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.195.3.2
서울 수서경찰서는 고객들로부터 수리를 의뢰받은 뒤 데이터가 손상됐거나 하드디스크를 교체해야 된다고 속여 고객 1만300명으로부터 총 21억5800만 원을 가로챈 혐의(사기 및 개인정보보호법 위반 등)로 컴퓨터 수리업체 A사의 전 대표이사 이모 씨(32) 등 4명을 구속하고 현 대표이사 정모 씨(35) 등 62명을 불구속 입건했다고 8일 밝혔다.

서울	서울/NNP
수서경찰서는	수서경찰서/NNP+는/JX
고객들로부터	고객/NNG+들/XSN+로부터/JKB
수리를	수리/NNG+를/JKO
의뢰받은	의뢰/NNG+받/XSV+은/ETM
뒤	뒤/NNG
데이터가	데이터/NNG+가/JKS
손상됐거나	손상/NNG+되/XSV+었/EP+거나/EC
하드디스크를	하드/NNG+디스크/NNG+를/JKO
교체해야	교체/NNG+하/XSV+아야/EC
된다고	되/VV+ㄴ다고/EC
속여	속이/VV+어/EC
고객	고객/NNG
1만300명으로부터	1/SN+만/NR+300/SN+명/NNB+으로부터/JKB
총	총/MMA
21억5800만	21/SN+억/NR+5800/SN+만/NR
원을	원/NNB+을/JKO
가로챈	가로채/VV+ㄴ/ETM
혐의(사기	혐의/NNG+(/SS+사기/NNG
및	및/MAG
개인정보보호법	개인/NNG+정보/NNG+보호법/NNG
위반	위반/NNG
등)로	등/NNB+)/SS+로/JKB
컴퓨터	컴퓨터/NNG
수리업체	수리/NNG+업체/NNG
A사의	A/SL+사/NNG+의/JKG
전	전/MMD
대표이사	대표/NNG+이사/NNG
이모	이/NNP+모/NP
씨(32)	씨/NNB+(/SS+32/SN+)/SS
등	등/NNB
4명을	4/SN+명/NNB+을/JKO
구속하고	구속/NNG+하/XSV+고/EC
현	현/MMD
정모	정/NNP+모/NP
씨(35)	씨/NNB+(/SS+35/SN+)/SS
62명을	62/SN+명/NNB+을/JKO
불구속	불/XPN+구속/NNG
입건했다고	입건/NNG+하/XSV+았/EP+다고/EC
8일	8/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.195.4.1
경찰에 따르면 이 씨 등은 수리를 맡긴 고객의 컴퓨터에 ‘컴퓨터 부팅(booting) 방해 프로그램’을 설치해 컴퓨터 부팅이 안 되게 만든 뒤 데이터 복구비용이나 하드디스크 등 부품 교체비용을 요구한 것으로 드러났다.

경찰에	경찰/NNG+에/JKB
따르면	따르/VV+면/EC
이	이/NNP
씨	씨/NNB
등은	등/NNB+은/JX
수리를	수리/NNG+를/JKO
맡긴	맡기/VV+ㄴ/ETM
고객의	고객/NNG+의/JKG
컴퓨터에	컴퓨터/NNG+에/JKB
‘컴퓨터	‘/SS+컴퓨터/NNG
부팅(booting)	부팅/NNG+(/SS+booting/SL+)/SS
방해	방해/NNG
프로그램’을	프로그램/NNG+’/SS+을/JKO
설치해	설치/NNG+하/XSV+아/EC
컴퓨터	컴퓨터/NNG
부팅이	부팅/NNG+이/JKS
안	안/MAG
되게	되/VV+게/EC
만든	만들/VV+ㄴ/ETM
뒤	뒤/NNG
데이터	데이터/NNG
복구비용이나	복구/NNG+비용/NNG+이나/JC
하드디스크	하드/NNG+디스크/NNG
등	등/NNB
부품	부품/NNG
교체비용을	교체/NNG+비용/NNG+을/JKO
요구한	요구/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
드러났다.	드러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.195.4.2
또 일부러 부품을 파손하거나 실제로 부품을 교체하지도 않은 채 부품교체 비용을 청구하기도 했다.

또	또/MAG
일부러	일부러/MAG
부품을	부품/NNG+을/JKO
파손하거나	파손/NNG+하/XSV+거나/EC
실제로	실제로/MAG
교체하지도	교체/NNG+하/XSV+지/EC+도/JX
않은	않/VX+은/ETM
채	채/NNB
부품교체	부품/NNG+교체/NNG
비용을	비용/NNG+을/JKO
청구하기도	청구/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000041.195.4.3
이 과정에서 전·현직 대표이사와 수리기사, 콜센터 직원까지 조직적으로 공모했다.

이	이/MMD
과정에서	과정/NNG+에서/JKB
전·현직	전·현직/NNG
대표이사와	대표/NNG+이사/NNG+와/JC
수리기사,	수리/NNG+기사/NNG+,/SP
콜센터	콜센터/NNG
직원까지	직원/NNG+까지/JX
조직적으로	조직/NNG+적/XSN+으로/JKB
공모했다.	공모/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.195.5.1
이들은 이런 방식으로 지난해 10월 조모 씨(29)를 속여 624만 원을 컴퓨터 수리비로 청구하는 등 지난해 6월부터 올해 3월까지 업종과 대상을 불문하고 범행을 저질렀다.

이들은	이/NP+들/XSN+은/JX
이런	이런/MMD
방식으로	방식/NNG+으로/JKB
지난해	지난해/NNG
10월	10/SN+월/NNB
조모	조/NNP+모/NP
씨(29)를	씨/NNB+(/SS+29/SN+)/SS+를/JKO
속여	속이/VV+어/EC
624만	624/SN+만/NR
원을	원/NNB+을/JKO
컴퓨터	컴퓨터/NNG
수리비로	수리비/NNG+로/JKB
청구하는	청구/NNG+하/XSV+는/ETM
등	등/NNB
6월부터	6/SN+월/NNB+부터/JX
올해	올해/NNG
3월까지	3/SN+월/NNB+까지/JX
업종과	업종/NNG+과/JC
대상을	대상/NNG+을/JKO
불문하고	불문/NNG+하/XSV+고/EC
범행을	범행/NNG+을/JKO
저질렀다.	저지르/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.195.5.2
피해금액은 최소 5만 원부터 최대 660만 원까지이고 유명 대학병원을 포함해 병·의원 61곳, 학교 64곳, 법무·회계법인 20곳 등도 피해를 봤다.

피해금액은	피해/NNG+금액/NNG+은/JX
최소	최소/NNG
5만	5/SN+만/NR
원부터	원/NNB+부터/JX
최대	최대/NNG
660만	660/SN+만/NR
원까지이고	원/NNB+까지/JX+이/VCP+고/EC
유명	유명/NNG
대학병원을	대학/NNG+병원/NNG+을/JKO
