# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.348
metadata : {}


# id : NWRW1800000044.348.1.1
“핵실험 강행땐 중국도 북 고립에 합류할 것”

“핵실험	“/SS+핵/NNG+실험/NNG
강행땐	강행/NNG+때/NNG+ㄴ/JX
중국도	중국/NNP+도/JX
북	북/NNP
고립에	고립/NNG+에/JKB
합류할	합류/NNG+하/XSV+ㄹ/ETM
것”	것/NNB+”/SS


# id : NWRW1800000044.348.2.1
[한겨레] 진찬룽 중 런민대 부원장 인터뷰

[한겨레]	[/SS+한겨레/NNP+]/SS
진찬룽	진찬룽/NNP
중	중/NNP
런민대	런민대/NNP
부원장	부원장/NNG
인터뷰	인터뷰/NNG


# id : NWRW1800000044.348.3.1
“시 주석, 한·미와의 관계 중시

“시	“/SS+시/NNP
주석,	주석/NNG+,/SP
한·미와의	한·미/NNP+와/JKB+의/JKG
관계	관계/NNG
중시	중시/NNG


# id : NWRW1800000044.348.4.1
김정은 회동 가능성 당분간 없다”

김정은	김정은/NNP
회동	회동/NNG
가능성	가능/NNG+성/XSN
당분간	당분간/MAG
없다”	없/VA+다/EF+”/SS


# id : NWRW1800000044.348.5.1
“중국은 한-미-중 대화를 시작해 북한을 외교적으로 고립시킬 것이다.”

“중국은	“/SS+중국/NNP+은/JX
한-미-중	한/NNP+-/SO+미/NNP+-/SO+중/NNP
대화를	대화/NNG+를/JKO
시작해	시작/NNG+하/XSV+아/EC
북한을	북한/NNP+을/JKO
외교적으로	외교/NNG+적/XSN+으로/JKB
고립시킬	고립/NNG+시키/XSV+ㄹ/ETM
것이다.”	것/NNB+이/VCP+다/EF+./SF+”/SS


# id : NWRW1800000044.348.6.1
중국의 외교 전문가인 진찬룽(사진) 인민대 국제관계학원 부원장은 23일 <한겨레>와 만나 북한이 4차 핵실험을 한다면 중국도 북한을 외교적으로 버릴 수 있다며 이렇게 말했다.

중국의	중국/NNP+의/JKG
외교	외교/NNG
전문가인	전문가/NNG+이/VCP+ㄴ/ETM
진찬룽(사진)	진찬룽/NNP+(/SS+사진/NNG+)/SS
인민대	인민대/NNP
국제관계학원	국제/NNG+관계/NNG+학원/NNG
부원장은	부원장/NNG+은/JX
23일	23/SN+일/NNB
<한겨레>와	</SS+한겨레/NNP+>/SS+와/JKB
만나	만나/VV+아/EC
북한이	북한/NNP+이/JKS
4차	4/SN+차/NNB
핵실험을	핵/NNG+실험/NNG+을/JKO
한다면	하/VV+ㄴ다면/EC
중국도	중국/NNP+도/JX
북한을	북한/NNP+을/JKO
외교적으로	외교/NNG+적/XSN+으로/JKB
버릴	버리/VV+ㄹ/ETM
수	수/NNB
있다며	있/VA+다며/EC
이렇게	이렇/VA+게/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.348.6.2
진 부원장은 중국의 대외정책을 가장 정확하게 설명한다는 평가를 받고 있다.

진	진/NNP
부원장은	부원장/NNG+은/JX
중국의	중국/NNP+의/JKG
대외정책을	대외/NNG+정책/NNG+을/JKO
가장	가장/MAG
정확하게	정확/NNG+하/XSA+게/EC
설명한다는	설명/NNG+하/XSV+ㄴ다는/ETM
평가를	평가/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.348.7.1
아산정책연구원 주최 세미나 ‘아산플래넘 2014’에 참석차 서울에 온 진 부원장은 “만약 그런 일(4차 핵실험)이 생긴다면, 문을 닫아뒀던 한-미-중 3자간 대화를 시작하게 될 것”이라며 “유엔 차원의 가장 강력한 경제제재 강화 방침에도 (중국은) 동의할 것”이라고도 강조했다.

아산정책연구원	아산정책연구원/NNP
주최	주최/NNG
세미나	세미나/NNG
‘아산플래넘	‘/SS+아산/NNP+플래넘/NNG
2014’에	2014/SN+’/SS+에/JKB
참석차	참석차/NNG
서울에	서울/NNP+에/JKB
온	오/VV+ㄴ/ETM
진	진/NNP
부원장은	부원장/NNG+은/JX
“만약	“/SS+만약/MAG
그런	그런/MMD
일(4차	일/NNG+(/SS+4/SN+차/NNB
핵실험)이	핵/NNG+실험/NNG+)/SS+이/JKS
생긴다면,	생기/VV+ㄴ다면/EC+,/SP
문을	문/NNG+을/JKO
닫아뒀던	닫/VV+아/EC+두/VX+었/EP+던/ETM
한-미-중	한/NNP+-/SO+미/NNP+-/SO+중/NNP
3자간	3/SN+자/NNB+간/NNB
대화를	대화/NNG+를/JKO
시작하게	시작/NNG+하/XSV+게/EC
될	되/VV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“유엔	“/SS+유엔/NNP
차원의	차원/NNG+의/JKG
가장	가장/MAG
강력한	강력/NNG+하/XSA+ㄴ/ETM
경제제재	경제/NNG+제재/NNG
강화	강화/NNG
방침에도	방침/NNG+에/JKB+도/JX
(중국은)	(/SS+중국/NNP+은/JX+)/SS
동의할	동의/NNG+하/XSV+ㄹ/ETM
것”이라고도	것/NNB+”/SS+이라고/JKQ+도/JX
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.348.7.2
그동안 중국은 북한을 뺀 한-미-중 대화에 신중한 입장을 보여왔다.

그동안	그동안/NNG
중국은	중국/NNP+은/JX
북한을	북한/NNP+을/JKO
뺀	빼/VV+ㄴ/ETM
한-미-중	한/NNP+-/SO+미/NNP+-/SO+중/NNP
대화에	대화/NNG+에/JKB
신중한	신중/NNG+하/XSA+ㄴ/ETM
입장을	입장/NNG+을/JKO
보여왔다.	보이/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.348.8.1
중국이 북한에 대해 강경해질 거란 전망의 배경엔, 시진핑 주석의 ‘수정주의적’ 성향이 깔려 있다고 진 부원장은 설명했다.

중국이	중국/NNP+이/JKS
북한에	북한/NNP+에/JKB
대해	대하/VV+아/EC
강경해질	강경/NNG+하/XSA+아/EC+지/VX+ㄹ/ETM
거란	거/NNB+이/VCP+란/ETM
전망의	전망/NNG+의/JKG
배경엔,	배경/NNG+에/JKB+ㄴ/JX+,/SP
시진핑	시진핑/NNP
주석의	주석/NNG+의/JKG
‘수정주의적’	‘/SS+수정주의/NNG+적/XSN+’/SS
성향이	성향/NNG+이/JKS
깔려	깔리/VV+어/EC
있다고	있/VX+다고/EC
진	진/NNP
부원장은	부원장/NNG+은/JX
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.348.8.2
전통적으로 중국은 ‘순망치한’이라는 표현에서 알 수 있듯이 북한의 ‘완충 역할’에 주목해 북한을 전략적 자산으로 간주해왔다.

전통적으로	전통/NNG+적/XSN+으로/JKB
중국은	중국/NNP+은/JX
‘순망치한’이라는	‘/SS+순망치한/NNG+’/SS+이/VCP+라는/ETM
표현에서	표현/NNG+에서/JKB
알	알/VV+ㄹ/ETM
수	수/NNB
있듯이	있/VA+듯이/EC
북한의	북한/NNP+의/JKG
‘완충	‘/SS+완충/NNG
역할’에	역할/NNG+’/SS+에/JKB
주목해	주목/NNG+하/XSV+아/EC
북한을	북한/NNP+을/JKO
전략적	전략/NNG+적/XSN
자산으로	자산/NNG+으로/JKB
간주해왔다.	간주/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000044.348.8.3
그러나 최근 중국에선 북한을 ‘전략적 부담’으로 보면서 한·미와의 관계 개선을 중시하는, 이른바 수정주의 시각이 나오고 있다.

그러나	그러나/MAJ
최근	최근/MAG
중국에선	중국/NNP+에서/JKB+ㄴ/JX
북한을	북한/NNP+을/JKO
‘전략적	‘/SS+전략/NNG+적/XSN
부담’으로	부담/NNG+’/SS+으로/JKB
보면서	보/VV+면서/EC
한·미와의	한·미/NNP+와/JKB+의/JKG
관계	관계/NNG
개선을	개선/NNG+을/JKO
중시하는,	중시/NNG+하/XSV+는/ETM+,/SP
이른바	이른바/MAG
수정주의	수정주의/NNG
시각이	시각/NNG+이/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.348.9.1
진 부원장은 시 주석의 성향만으로 모든 것을 예단할 순 없지만, 적어도 “가까운 미래에 시 주석이 김정은 북한 노동당 제1비서를 만날 가능성은 전혀 없다”고 내다봤다.

진	진/NNP
부원장은	부원장/NNG+은/JX
시	시/NNP
주석의	주석/NNG+의/JKG
성향만으로	성향/NNG+만/JX+으로/JKB
모든	모든/MMN
것을	것/NNB+을/JKO
예단할	예단/NNG+하/XSV+ㄹ/ETM
순	수/NNB+ㄴ/JX
없지만,	없/VA+지만/EC+,/SP
적어도	적어도/MAG
“가까운	“/SS+가깝/VA+ㄴ/ETM
미래에	미래/NNG+에/JKB
주석이	주석/NNG+이/JKS
