# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.120
metadata : {}


# id : NWRW1800000033.120.1.1
해외 어학연수가 변한다

해외	해외/NNG
어학연수가	어학연수/NNG+가/JKS
변한다	변하/VV+ㄴ다/EF


# id : NWRW1800000033.120.2.1
영어배우기는 기본… 현장인턴 등 취업스펙용 체험과정 인기

영어배우기는	영어/NNP+배우/VV+기/ETN+는/JX
기본…	기본/NNG+…/SE
현장인턴	현장/NNG+인턴/NNG
등	등/NNB
취업스펙용	취업/NNG+스펙/NNG+용/XSN
체험과정	체험/NNG+과정/NNG
인기	인기/NNG


# id : NWRW1800000033.120.3.1
대학에서 건축학을 전공하는 A 씨는 영국 유학을 준비하고 있다.

대학에서	대학/NNG+에서/JKB
건축학을	건축학/NNG+을/JKO
전공하는	전공/NNG+하/XSV+는/ETM
A	A/SL
씨는	씨/NNB+는/JX
영국	영국/NNP
유학을	유학/NNG+을/JKO
준비하고	준비/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.120.3.2
영어 수업과 경영·재무 수업을 모두 들을 수 있는 과정을 신청했다.

영어	영어/NNP
수업과	수업/NNG+과/JC
경영·재무	경영/NNG+·/SP+재무/NNG
수업을	수업/NNG+을/JKO
모두	모두/MAG
들을	듣/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
과정을	과정/NNG+을/JKO
신청했다.	신청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.120.3.3
이 과정을 수료하면 케임브리지 인증 금융영어자격증(ICFE)과 비즈니스영어자격증(BEC)을 준비할 수 있다.

이	이/MMD
과정을	과정/NNG+을/JKO
수료하면	수료/NNG+하/XSV+면/EC
케임브리지	케임브리지/NNP
인증	인증/NNG
금융영어자격증(ICFE)과	금융/NNG+영어/NNP+자격증/NNG+(/SS+ICFE/SL+)/SS+과/JC
비즈니스영어자격증(BEC)을	비즈니스/NNG+영어/NNP+자격증/NNG+(/SS+BEC/SL+)/SS+을/JKO
준비할	준비/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.120.3.4
그는 “큰돈 들여 외국에 나가는 건데 영어 수업만 듣는 것보다 전공과 관련이 없는 분야도 배울 수 있는 게 좋다”고 말했다.

그는	그/NP+는/JX
“큰돈	“/SS+큰돈/NNG
들여	들이/VV+어/EC
외국에	외국/NNG+에/JKB
나가는	나가/VV+는/ETM
건데	거/NNB+이/VCP+ㄴ데/EC
영어	영어/NNP
수업만	수업/NNG+만/JX
듣는	듣/VV+는/ETM
것보다	것/NNB+보다/JKB
전공과	전공/NNG+과/JKB
관련이	관련/NNG+이/JKS
없는	없/VA+는/ETM
분야도	분야/NNG+도/JX
배울	배우/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
게	거/NNB+이/JKS
좋다”고	좋/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.120.4.1
대학생의 유학 경향이 바뀌고 있다.

대학생의	대학/NNG+생/XSN+의/JKG
유학	유학/NNG
경향이	경향/NNG+이/JKS
바뀌고	바뀌/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.120.4.2
어학만이 아니라 자격증이나 인턴십까지 가능한 ‘어학연수+알파’를 시도한다.

어학만이	어학/NNG+만/JX+이/JKC
아니라	아니/VCN+라/EC
자격증이나	자격증/NNG+이나/JC
인턴십까지	인턴십/NNG+까지/JX
가능한	가능/NNG+하/XSA+ㄴ/ETM
‘어학연수+알파’를	‘/SS+어학연수/NNG++/SW+알파/NNG+’/SS+를/JKO
시도한다.	시도/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.120.4.3
어학 성적이 좋다고 해서 취업에 특별히 유리하지 않으니 또 하나의 스펙을 만들기 위해서다.

어학	어학/NNG
성적이	성적/NNG+이/JKS
좋다고	좋/VA+다고/EC
해서	하/VV+아서/EC
취업에	취업/NNG+에/JKB
특별히	특별히/MAG
유리하지	유리/NNG+하/XSA+지/EC
않으니	않/VX+으니/EC
또	또/MAG
하나의	하나/NR+의/JKG
스펙을	스펙/NNG+을/JKO
만들기	만들/VV+기/ETN
위해서다.	위하/VV+아서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000033.120.5.1
유학 가서 따는 자격증 가운데 가장 오래된 것은 테솔(TESOL)이다.

유학	유학/NNG
가서	가/VV+아서/EC
따는	따/VV+는/ETM
자격증	자격증/NNG
가운데	가운데/NNG
가장	가장/MAG
오래된	오래/MAG+되/XSA+ㄴ/ETM
것은	것/NNB+은/JX
테솔(TESOL)이다.	테솔/NNG+(/SS+TESOL/SL+)/SS+이/VCP+다/EF+./SF


# id : NWRW1800000033.120.5.2
국제영어교사 양성 자격증으로, 말하기 듣기 읽기 쓰기 영역에 대한 교습법을 배운다.

국제영어교사	국제/NNG+영어/NNP+교사/NNG
양성	양성/NNG
자격증으로,	자격증/NNG+으로/JKB+,/SP
말하기	말하기/NNG
듣기	듣/VV+기/ETN
읽기	읽/VV+기/ETN
쓰기	쓰/VV+기/ETN
영역에	영역/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
교습법을	교습법/NNG+을/JKO
배운다.	배우/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.120.5.3
영어교사를 희망하지 않는 학생에게도 인기 있다.

영어교사를	영어/NNP+교사/NNG+를/JKO
희망하지	희망/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
학생에게도	학생/NNG+에게/JKB+도/JX
인기	인기/NNG
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.120.5.4
대학생 B 씨(여)는 “최근 기업체에서 실용영어 구사능력을 강조하다 보니 토익·토플 점수만 있는 학생보다 더 실력이 있어 보인다”고 전했다.

대학생	대학/NNG+생/XSN
B	B/SL
씨(여)는	씨/NNB+(/SS+여/NNG+)/SS+는/JX
“최근	“/SS+최근/NNG
기업체에서	기업체/NNG+에서/JKB
실용영어	실용/NNG+영어/NNP
구사능력을	구사/NNG+능력/NNG+을/JKO
강조하다	강조/NNG+하/XSV+다/EC
보니	보/VX+니/EC
토익·토플	토익/NNG+·/SP+토플/NNG
점수만	점수/NNG+만/JX
있는	있/VA+는/ETM
학생보다	학생/NNG+보다/JKB
더	더/MAG
실력이	실력/NNG+이/JKS
있어	있/VA+어/EC
보인다”고	보이/VV+ㄴ다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.120.6.1
자격증까지는 아니어도 수료증 역시 인기를 끈다.

자격증까지는	자격증/NNG+까지/JX+는/JX
아니어도	아니/VCN+어도/EC
수료증	수료증/NNG
역시	역시/MAG
인기를	인기/NNG+를/JKO
끈다.	끌/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.120.6.2
호텔관광학을 전공하는 C 씨는 영국 킹스칼리지에서 영어+호텔·관광 과정을 이수했다.

호텔관광학을	호텔/NNG+관광학/NNG+을/JKO
전공하는	전공/NNG+하/XSV+는/ETM
C	C/SL
씨는	씨/NNB+는/JX
영국	영국/NNP
킹스칼리지에서	킹스칼리지/NNP+에서/JKB
