# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.270
metadata : {}


# id : NWRW1800000033.270.1.1
[횡설수설/허승호] 또 하나의 모나리자

[횡설수설/허승호]	[/SS+횡설수설/NNG+//SP+허승호/NNP+]/SS
또	또/MAG
하나의	하나/NR+의/JKG
모나리자	모나리자/NNP


# id : NWRW1800000033.270.2.1
레오나르도 다빈치가 그린 ‘모나리자’는 복제품 또는 위작이 수십 점에 이른다.

레오나르도	레오나르도/NNP
다빈치가	다빈치/NNP+가/JKS
그린	그리/VV+ㄴ/ETM
‘모나리자’는	‘/SS+모나리자/NNP+’/SS+는/JX
복제품	복제품/NNG
또는	또는/MAG
위작이	위작/NNG+이/JKS
수십	수십/NR
점에	점/NNB+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.270.2.2
그중 원작과 거의 동시에 그려졌고, 원작에 가장 충실하다는 평가를 받는 복제품이 발견돼 미술계가 반가워하고 있다.

그중	그중/NNG
원작과	원작/NNG+과/JKB
거의	거의/MAG
동시에	동시/NNG+에/JKB
그려졌고,	그리/VV+어/EC+지/VX+었/EP+고/EC+,/SP
원작에	원작/NNG+에/JKB
가장	가장/MAG
충실하다는	충실/NNG+하/XSA+다는/ETM
평가를	평가/NNG+를/JKO
받는	받/VV+는/ETM
복제품이	복제품/NNG+이/JKS
발견돼	발견/NNG+되/XSV+어/EC
미술계가	미술/NNG+계/XSN+가/JKS
반가워하고	반가워하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.270.2.3
모나리자는 다빈치의 최고 걸작일 뿐 아니라 이탈리아 르네상스 미술의 대표작으로 꼽힌다.

모나리자는	모나리자/NNP+는/JX
다빈치의	다빈치/NNP+의/JKG
최고	최고/NNG
걸작일	걸작/NNG+이/VCP+ㄹ/ETM
뿐	뿐/NNB
아니라	아니/VCN+라/EC
이탈리아	이탈리아/NNP
르네상스	르네상스/NNG
미술의	미술/NNG+의/JKG
대표작으로	대표작/NNG+으로/JKB
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.270.2.4
다빈치를 몹시 아꼈던 프랑스의 왕 프랑수아 1세는 1517년 “이제부터 내 곁에서 작품 활동을 하라”며 로마에 있던 65세의 다빈치를 프랑스로 초청했다.

다빈치를	다빈치/NNP+를/JKO
몹시	몹시/MAG
아꼈던	아끼/VV+었/EP+던/ETM
프랑스의	프랑스/NNP+의/JKG
왕	왕/NNG
프랑수아	프랑수아/NNP
1세는	1/SN+세/NNB+는/JX
1517년	1517/SN+년/NNB
“이제부터	“/SS+이제/NNG+부터/JX
내	나/NP+의/JKG
곁에서	곁/NNG+에서/JKB
작품	작품/NNG
활동을	활동/NNG+을/JKO
하라”며	하/VV+라/EF+”/SS+며/EC
로마에	로마/NNP+에/JKB
있던	있/VV+던/ETM
65세의	65/SN+세/NNB+의/JKG
프랑스로	프랑스/NNP+로/JKB
초청했다.	초청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.270.2.5
다빈치가 프랑스로 가져간 작품 3점 중 하나가 모나리자였다.

다빈치가	다빈치/NNP+가/JKS
프랑스로	프랑스/NNP+로/JKB
가져간	가져가/VV+ㄴ/ETM
작품	작품/NNG
3점	3/SN+점/NNB
중	중/NNB
하나가	하나/NR+가/JKS
모나리자였다.	모나리자/NNP+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.270.2.6
프랑수아 1세는 모나리자를 구입해 퐁텐블로 성에 들여놓았다.

프랑수아	프랑수아/NNP
1세는	1/SN+세/NNB+는/JX
모나리자를	모나리자/NNP+를/JKO
구입해	구입/NNG+하/XSV+아/EC
퐁텐블로	퐁텐블로/NNP
성에	성/NNG+에/JKB
들여놓았다.	들여놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.270.2.7
이 성의 예술품수집관 1층의 욕실은 모두 7개의 방으로 이뤄져 있었는데 모나리자는 휴게실에 걸려 있었다.

이	이/MMD
성의	성/NNG+의/JKG
예술품수집관	예술품/NNG+수집관/NNG
1층의	1/SN+층/NNG+의/JKG
욕실은	욕실/NNG+은/JX
모두	모두/MAG
7개의	7/SN+개/NNB+의/JKG
방으로	방/NNG+으로/JKB
이뤄져	이뤄지/VV+어/EC
있었는데	있/VX+었/EP+는데/EC
모나리자는	모나리자/NNP+는/JX
휴게실에	휴게실/NNG+에/JKB
걸려	걸리/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000033.270.3.1
▷그 후 모나리자는 태양왕 루이 14세의 갤러리, 재무장관의 응접실, 나폴레옹과 조제핀의 침실 등을 옮겨 다니다가 1911년 루브르 박물관에서 도둑맞았다.

▷그	▷/SW+그/MMD
후	후/NNG
모나리자는	모나리자/NNP+는/JX
태양왕	태양왕/NNP
루이	루이/NNP
14세의	14/SN+세/NNB+의/JKG
갤러리,	갤러리/NNG+,/SP
재무장관의	재무/NNG+장관/NNG+의/JKG
응접실,	응접실/NNG+,/SP
나폴레옹과	나폴레옹/NNP+과/JC
조제핀의	조제핀/NNP+의/JKG
침실	침실/NNG
등을	등/NNB+을/JKO
옮겨	옮기/VV+어/EC
다니다가	다니/VV+다가/EC
1911년	1911/SN+년/NNB
루브르	루브르/NNP
박물관에서	박물관/NNG+에서/JKB
도둑맞았다.	도둑맞/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.270.3.2
도둑은 2년 반 뒤 우연히 붙잡혔고 루브르는 모나리자를 겨우 되찾았다.

도둑은	도둑/NNG+은/JX
2년	2/SN+년/NNB
반	반/NNG
뒤	뒤/NNG
우연히	우연히/MAG
붙잡혔고	붙잡히/VV+었/EP+고/EC
루브르는	루브르/NNP+는/JX
모나리자를	모나리자/NNP+를/JKO
겨우	겨우/MAG
되찾았다.	되찾/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.270.3.3
전시 도중 한 미치광이가 던진 돌에 맞는 일도 있었다.

전시	전시/NNG
도중	도중/NNG
한	한/MMN
미치광이가	미치광이/NNG+가/JKS
던진	던지/VV+ㄴ/ETM
돌에	돌/NNG+에/JKB
맞는	맞/VV+는/ETM
일도	일/NNG+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000033.270.3.4
숱한 곡절에도 모나리자가 무사할 수 있었던 것은 그림이 비단이나 캔버스가 아니라 포플러 나무판 두 장을 덧대 이은 튼튼한 판재 위에 그려졌기 때문이다.

숱한	숱하/VA+ㄴ/ETM
곡절에도	곡절/NNG+에/JKB+도/JX
모나리자가	모나리자/NNP+가/JKS
무사할	무사/NNG+하/XSA+ㄹ/ETM
수	수/NNB
있었던	있/VA+었/EP+던/ETM
것은	것/NNB+은/JX
그림이	그림/NNG+이/JKS
비단이나	비단/NNG+이나/JX
캔버스가	캔버스/NNG+가/JKC
아니라	아니/VCN+라/EC
포플러	포플러/NNG
나무판	나무판/NNG
두	두/MMN
장을	장/NNB+을/JKO
덧대	덧대/VV+어/EC
이은	잇/VV+은/ETM
튼튼한	튼튼하/VA+ㄴ/ETM
판재	판재/NNG
위에	위/NNG+에/JKB
그려졌기	그리/VV+어/EC+지/VX+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.270.3.5
지금은 두꺼운 방탄유리의 보호를 받고 있다.

지금은	지금/NNG+은/JX
두꺼운	두껍/VA+ㄴ/ETM
방탄유리의	방탄유리/NNG+의/JKG
보호를	보호/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.270.4.1
▷모나리자는 완성되자마자 단번에 걸작이라는 평가를 받았다.

▷모나리자는	▷/SW+모나리자/NNP+는/JX
완성되자마자	완성/NNG+되/XSV+자마자/EC
단번에	단번에/MAG
걸작이라는	걸작/NNG+이/VCP+라는/ETM
평가를	평가/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.270.4.2
입술 가에 머금은 듯 만 듯, 속마음을 알 수 없는 미소 때문이었다.

입술	입술/NNG
가에	가/NNG+에/JKB
머금은	머금/VV+은/ETM
듯	듯/NNB
만	말/VV+ㄴ/ETM
듯,	듯/NNB+,/SP
속마음을	속마음/NNG+을/JKO
알	알/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
미소	미소/NNG
때문이었다.	때문/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000033.270.4.3
이 신비로운 미소는 다빈치가 창안한 ‘스푸마토’ 기법이 만들어 낸 것.

이	이/MMD
신비로운	신비/NNG+롭/XSA+ㄴ/ETM
미소는	미소/NNG+는/JX
다빈치가	다빈치/NNP+가/JKS
창안한	창안/NNG+하/XSV+ㄴ/ETM
‘스푸마토’	‘/SS+스푸마토/NNG+’/SS
기법이	기법/NNG+이/JKS
만들어	만들/VV+어/EC
낸	내/VX+ㄴ/ETM
것.	것/NNB+./SF


# id : NWRW1800000033.270.4.4
이탈리아어로 ‘연기처럼 증발되다’라는 뜻의 스푸마토는 회화에서 윤곽선을 흐려 윤곽 및 색조의 변화를 부드럽고 자연스럽게 표현하는 기법이다.

이탈리아어로	이탈리아어/NNP+로/JKB
‘연기처럼	‘/SS+연기/NNG+처럼/JKB
증발되다’라는	증발/NNG+되/XSV+다/EF+’/SS+이/VCP+라는/ETM
뜻의	뜻/NNG+의/JKG
스푸마토는	스푸마토/NNG+는/JX
회화에서	회화/NNG+에서/JKB
윤곽선을	윤곽선/NNG+을/JKO
흐려	흐리/VV+어/EC
윤곽	윤곽/NNG
및	및/MAG
색조의	색조/NNG+의/JKG
변화를	변화/NNG+를/JKO
부드럽고	부드럽/VA+고/EC
자연스럽게	자연/NNG+스럽/XSA+게/EC
표현하는	표현/NNG+하/XSV+는/ETM
기법이다.	기법/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.270.4.5
보는 사람의 눈에 따라 감정이 달라 보인다.

보는	보/VV+는/ETM
사람의	사람/NNG+의/JKG
눈에	눈/NNG+에/JKB
따라	따르/VV+아/EC
감정이	감정/NNG+이/JKS
달라	다르/VA+아/EC
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.270.5.1
▷이 미소에 대한 찬사는 동시대의 전기 작가 조르조 바사리의 다빈치 전기에서 처음 나온다.

▷이	▷/SW+이/MMD
미소에	미소/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
찬사는	찬사/NNG+는/JX
동시대의	동시대/NNG+의/JKG
전기	전기/NNG
작가	작가/NNG
조르조	조르조/NNP
바사리의	바사리/NNP+의/JKG
다빈치	다빈치/NNP
전기에서	전기/NNG+에서/JKB
처음	처음/NNG
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.270.5.2
바사리는 이 책에서 “눈썹은 모공에서 솜털로 시작해 점차 짙어지는 터럭들이 하나하나 솟아나와… 발그레한 작은 콧구멍… 목우물에서 뛰는 맥박”이라고 써 ‘작품을 보지 못한 채 소문만 듣고 책을 썼다’는 비판에 시달렸다.

바사리는	바사리/NNP+는/JX
이	이/MMD
책에서	책/NNG+에서/JKB
“눈썹은	“/SS+눈썹/NNG+은/JX
모공에서	모공/NNG+에서/JKB
솜털로	솜털/NNG+로/JKB
시작해	시작/NNG+하/XSV+아/EC
점차	점차/MAG
짙어지는	짙어지/VV+는/ETM
터럭들이	터럭/NNG+들/XSN+이/JKS
하나하나	하나하나/MAG
솟아나와…	솟/VV+아/EC+나오/VV+아/EC+…/SE
발그레한	발그레/MAG+하/XSA+ㄴ/ETM
작은	작/VA+은/ETM
콧구멍…	콧구멍/NNG+…/SE
목우물에서	목우물/NNG+에서/JKB
뛰는	뛰/VV+는/ETM
맥박”이라고	맥박/NNG+”/SS+이라고/JKQ
써	쓰/VV+어/EC
‘작품을	‘/SS+작품/NNG+을/JKO
보지	보/VV+지/EC
못한	못하/VX+ㄴ/ETM
채	채/NNB
소문만	소문/NNG+만/JX
듣고	듣/VV+고/EC
책을	책/NNG+을/JKO
썼다’는	쓰/VV+었/EP+다/EF+’/SS+는/ETM
비판에	비판/NNG+에/JKB
시달렸다.	시달리/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.270.5.3
이번에 발견된 복제품은 원작과는 달리 눈썹도 있고 색조도 밝다.

이번에	이번/NNG+에/JKB
발견된	발견/NNG+되/XSV+ㄴ/ETM
복제품은	복제품/NNG+은/JX
원작과는	원작/NNG+과/JKB+는/JX
달리	달리/MAG
눈썹도	눈썹/NNG+도/JX
있고	있/VA+고/EC
색조도	색조/NNG+도/JX
밝다.	밝/VA+다/EF+./SF


# id : NWRW1800000033.270.5.4
‘바사리가 이걸 보고 쓴 것’이라는 논란이 일 것 같다.

‘바사리가	‘/SS+바사리/NNP+가/JKS
이걸	이거/NP+ㄹ/JKO
보고	보/VV+고/EC
쓴	쓰/VV+ㄴ/ETM
것’이라는	것/NNB+’/SS+이/VCP+라는/ETM
논란이	논란/NNG+이/JKS
일	일/VV+ㄹ/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF


