# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.290
metadata : {}


# id : NWRW1800000025.290.1.1
[광주/전남]3km 해수욕장 뒤편에 100년생 아름다운 곰솔이 빼곡

[광주/전남]3km	[/SS+광주/NNP+//SP+전남/NNP+]/SS+3/SN+km/SW
해수욕장	해수욕장/NNG
뒤편에	뒤편/NNG+에/JKB
100년생	100/SN+년/NNB+생/XSN
아름다운	아름답/VA+ㄴ/ETM
곰솔이	곰솔/NNG+이/JKS
빼곡	빼곡/MAG


# id : NWRW1800000025.290.2.1
전남 진도군 팽목항에서 배로 1시간 거리인 관매도.

전남	전남/NNP
진도군	진도군/NNP
팽목항에서	팽목항/NNP+에서/JKB
배로	배/NNG+로/JKB
1시간	1/SN+시간/NNB
거리인	거리/NNG+이/VCP+ㄴ/ETM
관매도.	관매도/NNP+./SF


# id : NWRW1800000025.290.2.2
섬에 닿으면 맨 먼저 울창한 솔숲이 눈에 들어온다.

섬에	섬/NNG+에/JKB
닿으면	닿/VV+으면/EC
맨	맨/MMN
먼저	먼저/MAG
울창한	울창하/VA+ㄴ/ETM
솔숲이	솔숲/NNG+이/JKS
눈에	눈/NNG+에/JKB
들어온다.	들어오/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.290.2.3
3km의 해수욕장 뒤편에 병풍처럼 둘러쳐진 이 숲은 원래 방사림(防沙林)이었다.

3km의	3/SN+km/SW+의/JKG
해수욕장	해수욕장/NNG
뒤편에	뒤편/NNG+에/JKB
병풍처럼	병풍/NNG+처럼/JKB
둘러쳐진	둘러치/VV+어/EC+지/VX+ㄴ/ETM
이	이/MMD
숲은	숲/NNG+은/JX
원래	원래/MAG
방사림(防沙林)이었다.	방사림/NNG+(/SS+防沙林/SH+)/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000025.290.2.4
숲에 대한 주민들의 남다른 정성 덕택에 이젠 50∼100년생의 아름드리 곰솔(해송)이 빼곡히 들어차 있다.

숲에	숲/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
주민들의	주민/NNG+들/XSN+의/JKG
남다른	남다르/VA+ㄴ/ETM
정성	정성/NNG
덕택에	덕택/NNG+에/JKB
이젠	이제/NNG+ㄴ/JX
50∼100년생의	50/SN+∼/SO+100/SN+년/NNB+생/XSN+의/JKG
아름드리	아름드리/NNG
곰솔(해송)이	곰솔/NNG+(/SS+해송/NNG+)/SS+이/JKS
빼곡히	빼곡히/MAG
들어차	들어차/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.290.2.5
그 옆에는 천연기념물 212호인 후박나무(높이 18m, 둘레 3.4m)가 있다.

그	그/MMD
옆에는	옆/NNG+에/JKB+는/JX
천연기념물	천연기념물/NNG
212호인	212/SN+호/NNB+이/VCP+ㄴ/ETM
후박나무(높이	후박나무/NNG+(/SS+높이/NNG
18m,	18/SN+m/SW+,/SP
둘레	둘레/NNG
3.4m)가	3/SN+./SP+4/SN+m/SW+)/SS+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000025.290.2.6
해변 송림 가운데 국내 최대 규모인 관매도 해송 숲이 ‘올해의 가장 아름다운 숲’에 선정됐다.

해변	해변/NNG
송림	송림/NNG
가운데	가운데/NNG
국내	국내/NNG
최대	최대/NNG
규모인	규모/NNG+이/VCP+ㄴ/ETM
관매도	관매도/NNP
해송	해송/NNG
숲이	숲/NNG+이/JKS
‘올해의	‘/SS+올해/NNG+의/JKG
가장	가장/MAG
아름다운	아름답/VA+ㄴ/ETM
숲’에	숲/NNG+’/SS+에/JKB
선정됐다.	선정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000025.290.2.7
산림청과 생명의 숲, 유한킴벌리는 제11회 아름다운 전국 숲 대회에서 이같이 결정하고 9일 강원 강릉시 허균·허난설헌 생가 뒤 소나무 숲에서 시상식을 열었다.

산림청과	산림청/NNG+과/JC
생명의	생명/NNG+의/JKG
숲,	숲/NNG+,/SP
유한킴벌리는	유한킴벌리/NNP+는/JX
제11회	제/XPN+11/SN+회/NNB
아름다운	아름답/VA+ㄴ/ETM
전국	전국/NNG
숲	숲/NNG
대회에서	대회/NNG+에서/JKB
이같이	이/NP+같이/JKB
결정하고	결정/NNG+하/XSV+고/EC
9일	9/SN+일/NNB
강원	강원/NNP
강릉시	강릉시/NNP
허균·허난설헌	허균/NNP+·/SP+허난설헌/NNP
생가	생가/NNG
뒤	뒤/NNG
소나무	소나무/NNG
숲에서	숲/NNG+에서/JKB
시상식을	시상식/NNG+을/JKO
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.290.3.1
올해 아름다운 숲 전국대회는 전국에서 응모한 61곳의 숲을 놓고 7월부터 한 달간 현장 심사를 거쳐 대상지를 뽑았다.

올해	올해/NNG
아름다운	아름답/VA+ㄴ/ETM
숲	숲/NNG
전국대회는	전국/NNG+대회/NNG+는/JX
전국에서	전국/NNG+에서/JKB
응모한	응모/NNG+하/XSV+ㄴ/ETM
61곳의	61/SN+곳/NNG+의/JKG
숲을	숲/NNG+을/JKO
놓고	놓/VV+고/EC
7월부터	7/SN+월/NNB+부터/JX
한	한/MMN
달간	달/NNB+간/XSN
현장	현장/NNG
심사를	심사/NNG+를/JKO
거쳐	거치/VV+어/EC
대상지를	대상지/NNG+를/JKO
뽑았다.	뽑/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.290.3.2
관매도 해송 숲은 1600년경 나주에서 강릉 함씨가 들어와 마을을 일구면서 조성한 숲이다.

관매도	관매도/NNP
해송	해송/NNG
숲은	숲/NNG+은/JX
1600년경	1600/SN+년/NNB+경/XSN
나주에서	나주/NNP+에서/JKB
강릉	강릉/NNP
함씨가	함/NNP+씨/NNB+가/JKS
들어와	들어오/VV+아/EC
마을을	마을/NNG+을/JKO
일구면서	일구/VV+면서/EC
조성한	조성/NNG+하/XSV+ㄴ/ETM
숲이다.	숲/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.290.3.3
모래사장 위에 해송을 심고 가꿔 현재 폭 200m에 걸쳐 있다.

모래사장	모래사장/NNG
위에	위/NNG+에/JKB
해송을	해송/NNG+을/JKO
심고	심/VV+고/EC
가꿔	가꾸/VV+어/EC
현재	현재/MAG
폭	폭/NNG
200m에	200/SN+m/SW+에/JKB
걸쳐	걸치/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000025.290.3.4
관매 8경(景)으로 불리는 절경 중 제1경인 이 숲 덕분에 마을이 유지되고 있을 정도다.

관매	관매/NNG
8경(景)으로	8/SN+경/NNG+(/SS+景/SH+)/SS+으로/JKB
불리는	불리/VV+는/ETM
절경	절경/NNG
중	중/NNB
제1경인	제/XPN+1/SN+경/NNG+이/VCP+ㄴ/ETM
이	이/MMD
숲	숲/NNG
덕분에	덕분/NNG+에/JKB
마을이	마을/NNG+이/JKS
유지되고	유지/NNG+되/XSV+고/EC
있을	있/VX+을/ETM
정도다.	정도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.290.4.1
박은식 산림청 산림자원과장은 “그동안 아름다운 숲 전국대회를 통해 탄생한 명품 숲은 모두 136곳으로 지역에서 꼭 찾아봐야 할 명소로 자리 잡았다”며 “아름다운 숲을 찾아내 숲의 소중함과 가치를 널리 알리고 보전하겠다”고 밝혔다.

박은식	박은식/NNP
산림청	산림청/NNG
산림자원과장은	산림/NNG+자원/NNG+과장/NNG+은/JX
“그동안	“/SS+그동안/NNG
아름다운	아름답/VA+ㄴ/ETM
숲	숲/NNG
전국대회를	전국/NNG+대회/NNG+를/JKO
통해	통하/VV+아/EC
탄생한	탄생/NNG+하/XSV+ㄴ/ETM
명품	명품/NNG
숲은	숲/NNG+은/JX
모두	모두/MAG
136곳으로	136/SN+곳/NNG+으로/JKB
지역에서	지역/NNG+에서/JKB
꼭	꼭/MAG
찾아봐야	찾/VV+아/EC+보/VX+아야/EC
할	하/VX+ㄹ/ETM
명소로	명소/NNG+로/JKB
자리	자리/NNG
잡았다”며	잡/VV+았/EP+다/EF+”/SS+며/EC
“아름다운	“/SS+아름답/VA+ㄴ/ETM
숲을	숲/NNG+을/JKO
찾아내	찾아내/VV+어/EC
숲의	숲/NNG+의/JKG
소중함과	소중하/VA+ㅁ/ETN+과/JC
가치를	가치/NNG+를/JKO
널리	널리/MAG
알리고	알리/VV+고/EC
보전하겠다”고	보전/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


