# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.138
metadata : {}


# id : NWRW1800000045.138.1.1
“똑똑한 유저들, 게임 약관 꼼꼼히 살펴봐”

“똑똑한	“/SS+똑똑하/VA+ㄴ/ETM
유저들,	유저/NNG+들/XSN+,/SP
게임	게임/NNG
약관	약관/NNG
꼼꼼히	꼼꼼히/MAG
살펴봐”	살펴보/VV+아/EC+”/SS


# id : NWRW1800000045.138.2.1
콘텐츠분쟁조정위, 게임분쟁 줄이기 캠페인송 만들어

콘텐츠분쟁조정위,	콘텐츠/NNG+분쟁/NNG+조정위/NNG+,/SP
게임분쟁	게임/NNG+분쟁/NNG
줄이기	줄이/VV+기/ETN
캠페인송	캠페인송/NNG
만들어	만들/VV+어/EF


# id : NWRW1800000045.138.3.1
‘안 읽는 약관들/너무 많아/약관은 계약서/똑똑한 게임유저/스스로 보호할 수 있어/미리 보고 예방/너도 한번 해봐/꼼꼼히 볼걸 후회하지 마.’

‘안	‘/SS+안/MAG
읽는	읽/VV+는/ETM
약관들/너무	약관/NNG+들/XSN+//SP+너무/MAG
많아/약관은	많/VA+아/EC+//SP+약관/NNG+은/JX
계약서/똑똑한	계약서/NNG+//SP+똑똑하/VA+ㄴ/ETM
게임유저/스스로	게임/NNG+유저/NNG+//SP+스스로/MAG
보호할	보호/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있어/미리	있/VA+어/EC+//SP+미리/MAG
보고	보/VV+고/EC
예방/너도	예방/NNG+//SP+너/NP+도/JX
한번	한번/MAG
해봐/꼼꼼히	하/VV+아/EC+보/VX+아/EC+//SP+꼼꼼히/MAG
볼걸	보/VV+ㄹ/ETM+거/NNB+ㄹ/JKO
후회하지	후회/NNG+하/XSV+지/EC
마.’	말/VX+아/EF+./SF+’/SS


# id : NWRW1800000045.138.4.1
Mnet 예능프로그램 ‘쇼미더머니3’ 등에서 고교생 래퍼로 이름을 알린 육지담이 부른 캠페인 송의 가사다.

Mnet	Mnet/SL
예능프로그램	예능/NNG+프로그램/NNG
‘쇼미더머니3’	‘/SS+쇼미더머니/NNP+3/SN+’/SS
등에서	등/NNB+에서/JKB
고교생	고교/NNG+생/XSN
래퍼로	래퍼/NNG+로/JKB
이름을	이름/NNG+을/JKO
알린	알리/VV+ㄴ/ETM
육지담이	육지담/NNP+이/JKS
부른	부르/VV+ㄴ/ETM
캠페인	캠페인/NNG
송의	송/NNG+의/JKG
가사다.	가사/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.138.4.2
인터넷이나 모바일 게임 콘텐츠를 이용할 때 피해를 입지 않도록 약관을 꼼꼼히 확인하자는 내용.

인터넷이나	인터넷/NNG+이나/JC
모바일	모바일/NNG
게임	게임/NNG
콘텐츠를	콘텐츠/NNG+를/JKO
이용할	이용/NNG+하/XSV+ㄹ/ETM
때	때/NNG
피해를	피해/NNG+를/JKO
입지	입/VV+지/EC
않도록	않/VX+도록/EC
약관을	약관/NNG+을/JKO
꼼꼼히	꼼꼼히/MAG
확인하자는	확인/NNG+하/XSV+자는/ETM
내용.	내용/NNG+./SF


# id : NWRW1800000045.138.5.1
한국콘텐츠진흥원 콘텐츠분쟁조정위원회는 게임 관련 분쟁을 줄이기 위한 ‘스마트한 게임유저들의 공략법(공정한 약관 확인법)’ 캠페인을 올 연말까지 진행한다.

한국콘텐츠진흥원	한국콘텐츠진흥원/NNP
콘텐츠분쟁조정위원회는	콘텐츠/NNG+분쟁/NNG+조정/NNG+위원회/NNG+는/JX
게임	게임/NNG
관련	관련/NNG
분쟁을	분쟁/NNG+을/JKO
줄이기	줄이/VV+기/ETN
위한	위하/VV+ㄴ/ETM
‘스마트한	‘/SS+스마트/NNG+하/XSA+ㄴ/ETM
게임유저들의	게임/NNG+유저/NNG+들/XSN+의/JKG
공략법(공정한	공략법/NNG+(/SS+공정/NNG+하/XSA+ㄴ/ETM
약관	약관/NNG
확인법)’	확인법/NNG+)/SS+’/SS
캠페인을	캠페인/NNG+을/JKO
올	올/NNG
연말까지	연말/NNG+까지/JX
진행한다.	진행/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.138.6.1
위원회에 따르면 지난해 접수된 콘텐츠 분쟁 상담 건수 중 게임 분야가 76%에 달했고 이 중 미성년자 결제 상담이 36%를 차지했다.

위원회에	위원회/NNG+에/JKB
따르면	따르/VV+면/EC
지난해	지난해/NNG
접수된	접수/NNG+되/XSV+ㄴ/ETM
콘텐츠	콘텐츠/NNG
