# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.88
metadata : {}


# id : NWRW1800000041.88.1.1
[Bio 의약]영국산 고품질 비타민C 원료 사용하는 ‘名品 비타민C’

[Bio	[/SS+Bio/SL
의약]영국산	의약/NNG+]/SS+영국/NNP+산/XSN
고품질	고/XPN+품질/NNG
비타민C	비타민/NNG+C/SL
원료	원료/NNG
사용하는	사용/NNG+하/XSV+는/ETM
‘名品	‘/SS+名品/SH
비타민C’	비타민/NNG+C/SL+’/SS


# id : NWRW1800000041.88.2.1
고려은단 철저한 품질 관리로 유명한 영국 DSM社와 독점 계약 고함량 비타민C 판매율 1위

고려은단	고려은단/NNP
철저한	철저/NNG+하/XSA+ㄴ/ETM
품질	품질/NNG
관리로	관리/NNG+로/JKB
유명한	유명/NNG+하/XSA+ㄴ/ETM
영국	영국/NNP
DSM社와	DSM/SL+社/SH+와/JKB
독점	독점/NNG
계약	계약/NNG
고함량	고/XPN+함량/NNG
비타민C	비타민/NNG+C/SL
판매율	판매/NNG+율/XSN
1위	1/SN+위/NNB


# id : NWRW1800000041.88.3.1
고려은단(대표 조영조)은 1일 세계적인 비타민 원료 생산 업체인 DSM사와 영국산 비타민C(Ascorbic Acid 97%) 원료 독점 공급을 2년 연장하는 계약을 체결했다.

고려은단(대표	고려은단/NNP+(/SS+대표/NNG
조영조)은	조영조/NNP+)/SS+은/JX
1일	1/SN+일/NNB
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
비타민	비타민/NNG
원료	원료/NNG
생산	생산/NNG
업체인	업체/NNG+이/VCP+ㄴ/ETM
DSM사와	DSM/SL+사/NNG+와/JKB
영국산	영국/NNP+산/XSN
비타민C(Ascorbic	비타민/NNG+C/SL+(/SS+Ascorbic/SL
Acid	Acid/SL
97%)	97/SN+%/SW+)/SS
독점	독점/NNG
공급을	공급/NNG+을/JKO
2년	2/SN+년/NNB
연장하는	연장/NNG+하/XSV+는/ETM
계약을	계약/NNG+을/JKO
체결했다.	체결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.88.3.2
이 계약을 통해 고려은단은 2016년 6월 30일까지 향후 2년간 비타민C 원료를 독점적으로 사용할 수 있게 됐다.

이	이/MMD
계약을	계약/NNG+을/JKO
통해	통하/VV+아/EC
고려은단은	고려은단/NNP+은/JX
2016년	2016/SN+년/NNB
6월	6/SN+월/NNB
30일까지	30/SN+일/NNB+까지/JX
향후	향후/NNG
2년간	2/SN+년/NNB+간/XSN
비타민C	비타민/NNG+C/SL
원료를	원료/NNG+를/JKO
독점적으로	독점/NNG+적/XSN+으로/JKB
사용할	사용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.88.4.1
고려은단은 2009년 국내에서 유일하게 DSM사와 첫 독점 공급 계약을 체결한 이후 믿을 수 있는 재료 확보와 안정적인 품질 보증을 위해 계약 기간을 연장하면서 소비자 만족도와 신뢰도를 높이고 있다.

고려은단은	고려은단/NNP+은/JX
2009년	2009/SN+년/NNB
국내에서	국내/NNG+에서/JKB
유일하게	유일/NNG+하/XSA+게/EC
DSM사와	DSM/SL+사/NNG+와/JKB
첫	첫/MMN
독점	독점/NNG
공급	공급/NNG
계약을	계약/NNG+을/JKO
체결한	체결/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
믿을	믿/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
재료	재료/NNG
확보와	확보/NNG+와/JC
안정적인	안정/NNG+적/XSN+이/VCP+ㄴ/ETM
품질	품질/NNG
보증을	보증/NNG+을/JKO
위해	위하/VV+아/EC
계약	계약/NNG
기간을	기간/NNG+을/JKO
연장하면서	연장/NNG+하/XSV+면서/EC
소비자	소비자/NNG
만족도와	만족도/NNG+와/JC
신뢰도를	신뢰도/NNG+를/JKO
높이고	높이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.88.5.1
DSM사는 건강식품 및 영양제 성분의 세계적인 생산업체로 1934년 세계 최초로 비타민C 원료를 생산한 이후 80여 년간 전 세계에서 꾸준히 판매되며 신뢰성과 안정성을 인정받고 있는 기업이다.

DSM사는	DSM/SL+사/NNG+는/JX
건강식품	건강식품/NNG
및	및/MAG
영양제	영양제/NNG
성분의	성분/NNG+의/JKG
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
생산업체로	생산업체/NNG+로/JKB
1934년	1934/SN+년/NNB
세계	세계/NNG
최초로	최초/NNG+로/JKB
비타민C	비타민/NNG+C/SL
원료를	원료/NNG+를/JKO
생산한	생산/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
80여	80/SN+여/XSN
년간	년/NNB+간/XSN
전	전/MMN
세계에서	세계/NNG+에서/JKB
꾸준히	꾸준히/MAG
판매되며	판매/NNG+되/XSV+며/EC
신뢰성과	신뢰/NNG+성/XSN+과/JC
안정성을	안정/NNG+성/XSN+을/JKO
인정받고	인정/NNG+받/XSV+고/EC
있는	있/VX+는/ETM
기업이다.	기업/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.88.6.1
비타민C 원료는 현재 전 세계적으로 영국과 중국 단 두 나라만이 생산하고 있다.

비타민C	비타민/NNG+C/SL
원료는	원료/NNG+는/JX
현재	현재/MAG
전	전/MMN
세계적으로	세계/NNG+적/XSN+으로/JKB
영국과	영국/NNP+과/JC
중국	중국/NNP
단	단/MMA
두	두/MMN
나라만이	나라/NNG+만/JX+이/JKS
