# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.180
metadata : {}


# id : NWRW1800000026.180.1.1
[6·2 국민의 선택] 이광재 당선자, 11일 '박연차 게이트' 항소심 선고 공판;최종 결판은 大法서 날듯

[6·2	[/SS+6/SN+·/SP+2/SN
국민의	국민/NNG+의/JKG
선택]	선택/NNG+]/SS
이광재	이광재/NNP
당선자,	당선자/NNG+,/SP
11일	11/SN+일/NNB
'박연차	'/SS+박연차/NNP
게이트'	게이트/NNG+'/SS
항소심	항소심/NNG
선고	선고/NNG
공판;최종	공판/NNG+;/SW+최종/NNG
결판은	결판/NNG+은/JX
大法서	大法/SH+서/JKB
날듯	나/VV+ㄹ/ETM+듯/NNB


# id : NWRW1800000026.180.2.1
이광재 강원도지사 당선자는 취임 전 큰 고비를 앞두고 있다.

이광재	이광재/NNP
강원도지사	강원/NNP+도지사/NNG
당선자는	당선자/NNG+는/JX
취임	취임/NNG
전	전/NNG
큰	크/VA+ㄴ/ETM
고비를	고비/NNG+를/JKO
앞두고	앞두/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.180.2.2
피고인 신분으로 재판을 받아온 '박연차 게이트' 항소심 선고 공판이 오는 11일 예정돼 있기 때문이다.

피고인	피고인/NNG
신분으로	신분/NNG+으로/JKB
재판을	재판/NNG+을/JKO
받아온	받/VV+아/EC+오/VX+ㄴ/ETM
'박연차	'/SS+박연차/NNP
게이트'	게이트/NNG+'/SS
항소심	항소심/NNG
선고	선고/NNG
공판이	공판/NNG+이/JKS
오는	오/VV+는/ETM
11일	11/SN+일/NNB
예정돼	예정/NNG+되/XSV+어/EC
있기	있/VX+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.180.3.1
이 당선자는 박연차 전 태광실업 회장과 정대근 전 농협중앙회장으로부터 각각 14만달러와 2000만원의 불법정치자금을 받은 혐의로 기소돼 1심에서 징역 8월에 집행유예 2년, 추징금 1억4800만원을 선고받았다.

이	이/NNP
당선자는	당선자/NNG+는/JX
박연차	박연차/NNP
전	전/MMD
태광실업	태광실업/NNP
회장과	회장/NNG+과/JC
정대근	정대근/NNP
농협중앙회장으로부터	농협중앙회장/NNG+으로부터/JKB
각각	각각/MAG
14만달러와	14/SN+만/NR+달러/NNB+와/JC
2000만원의	2000/SN+만/NR+원/NNB+의/JKG
불법정치자금을	불법/NNG+정치/NNG+자금/NNG+을/JKO
받은	받/VV+은/ETM
혐의로	혐의/NNG+로/JKB
기소돼	기소/NNG+되/XSV+어/EC
1심에서	1심/NNG+에서/JKB
징역	징역/NNG
8월에	8/SN+월/NNB+에/JKB
집행유예	집행/NNG+유예/NNG
2년,	2/SN+년/NNB+,/SP
추징금	추징금/NNG
1억4800만원을	1/SN+억/NR+4800/SN+만/NR+원/NNB+을/JKO
선고받았다.	선고/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.180.3.2
정치자금법상 피선거권 박탈 및 당연퇴직 대상이 되는 '벌금 100만원 이상'보다 한참 높은 형량이다.

정치자금법상	정치/NNG+자금법/NNG+상/XSN
피선거권	피/XPN+선거/NNG+권/XSN
박탈	박탈/NNG
및	및/MAG
당연퇴직	당연/NNG+퇴직/NNG
대상이	대상/NNG+이/JKC
되는	되/VV+는/ETM
'벌금	'/SS+벌금/NNG
100만원	100/SN+만/NR+원/NNB
이상'보다	이상/NNG+'/SS+보다/JKB
한참	한참/MAG
높은	높/VA+은/ETM
형량이다.	형량/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.180.3.3
검찰은 항소심에서도 1심과 마찬가지로 징역 2년을 구형(求刑)했다.

검찰은	검찰/NNG+은/JX
