# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.237
metadata : {}


# id : NWRW1800000049.237.1.1
‘결승골’ 손흥민, 승리의 댑댄스

‘결승골’	‘/SS+결승/NNG+골/NNG+’/SS
손흥민,	손흥민/NNP+,/SP
승리의	승리/NNG+의/JKG
댑댄스	댑/NNG+댄스/NNG


# id : NWRW1800000049.237.2.1
챔스리그, 토트넘 1-0 승리 이끌어 박지성 넘어 한국인 대회 최다 6골, EPL 포함 5경기 5골 에이스 우뚝 올림픽 아픔-이적 진통이 전화위복

챔스리그,	챔스리그/NNG+,/SP
토트넘	토트넘/NNP
1-0	1/SN+-/SO+0/SN
승리	승리/NNG
이끌어	이끌/VV+어/EC
박지성	박지성/NNP
넘어	넘/VV+어/EC
한국인	한국인/NNG
대회	대회/NNG
최다	최다/NNG
6골,	6/SN+골/NNG+,/SP
EPL	EPL/SL
포함	포함/NNG
5경기	5/SN+경기/NNG
5골	5/SN+골/NNG
에이스	에이스/NNG
우뚝	우뚝/MAG
올림픽	올림픽/NNG
아픔-이적	아픔/NNG+-/SO+이적/NNG
진통이	진통/NNG+이/JKS
전화위복	전화위복/NNG


# id : NWRW1800000049.237.3.1
손흥민(24·토트넘)의 오른발을 떠난 공은 CSKA모스크바(러시아) 골키퍼 이고리 아킨페예프의 손에 맞은 뒤 골문 안으로 굴러 들어갔다.

손흥민(24·토트넘)의	손흥민/NNP+(/SS+24/SN+·/SP+토트넘/NNP+)/SS+의/JKG
오른발을	오른발/NNG+을/JKO
떠난	떠나/VV+ㄴ/ETM
공은	공/NNG+은/JX
CSKA모스크바(러시아)	CSKA/SL+모스크바/NNP+(/SS+러시아/NNP+)/SS
골키퍼	골키퍼/NNG
이고리	이고리/NNP
아킨페예프의	아킨페예프/NNP+의/JKG
손에	손/NNG+에/JKB
맞은	맞/VV+은/ETM
뒤	뒤/NNG
골문	골문/NNG
안으로	안/NNG+으로/JKB
굴러	구르/VV+어/EC
들어갔다.	들어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.237.3.2
2014 브라질 월드컵에서 이근호의 강력한 중거리 슛을 놓치는 실수로 골을 허용해 ‘기름손’으로 불렸던 아킨페예프는 2년 전처럼 두 손으로 얼굴을 감싸고 안타까워했다.

2014	2014/SN
브라질	브라질/NNP
월드컵에서	월드컵/NNG+에서/JKB
이근호의	이근호/NNP+의/JKG
강력한	강력/NNG+하/XSA+ㄴ/ETM
중거리	중거리/NNG
슛을	슛/NNG+을/JKO
놓치는	놓치/VV+는/ETM
실수로	실수/NNG+로/JKB
골을	골/NNG+을/JKO
허용해	허용/NNG+하/XSV+아/EC
‘기름손’으로	‘/SS+기름/NNG+손/NNG+’/SS+으로/JKB
불렸던	불리/VV+었/EP+던/ETM
아킨페예프는	아킨페예프/NNP+는/JX
2년	2/SN+년/NNB
전처럼	전/NNG+처럼/JKB
두	두/MMN
손으로	손/NNG+으로/JKB
얼굴을	얼굴/NNG+을/JKO
감싸고	감싸/VV+고/EC
안타까워했다.	안타까워하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.237.3.3
반면에 승리의 주역이 된 손흥민은 경기 후 팀 동료 델레 알리와 최근 힙합 가수들 사이에서 유행하는 ‘댑댄스’를 추며 기쁨을 만끽했다.

반면에	반면/NNG+에/JKB
승리의	승리/NNG+의/JKG
주역이	주역/NNG+이/JKC
된	되/VV+ㄴ/ETM
손흥민은	손흥민/NNP+은/JX
경기	경기/NNG
후	후/NNG
팀	팀/NNG
동료	동료/NNG
델레	델레/NNP
알리와	알리/NNP+와/JKB
최근	최근/MAG
힙합	힙합/NNG
가수들	가수/NNG+들/XSN
사이에서	사이/NNG+에서/JKB
유행하는	유행/NNG+하/XSV+는/ETM
‘댑댄스’를	‘/SS+댑/NNG+댄스/NNG+’/SS+를/JKO
추며	추/VV+며/EC
기쁨을	기쁨/NNG+을/JKO
만끽했다.	만끽/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.237.4.1
토트넘은 28일 러시아 모스크바에서 열린 CSKA모스크바와의 유럽축구연맹(UEFA) 챔피언스리그 조별리그 E조 2차전에서 후반 26분 결승골을 넣은 손흥민의 활약에 힘입어 1-0으로 이겼다.

토트넘은	토트넘/NNP+은/JX
28일	28/SN+일/NNB
러시아	러시아/NNP
모스크바에서	모스크바/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
CSKA모스크바와의	CSKA/SL+모스크바/NNP+와/JKB+의/JKG
유럽축구연맹(UEFA)	유럽축구연맹/NNP+(/SS+UEFA/SL+)/SS
챔피언스리그	챔피언스리그/NNG
조별리그	조별/NNG+리그/NNG
E조	E/SL+조/NNG
2차전에서	2/SN+차전/NNB+에서/JKB
후반	후반/NNG
26분	26/SN+분/NNB
결승골을	결승/NNG+골/NNG+을/JKO
넣은	넣/VV+은/ETM
손흥민의	손흥민/NNP+의/JKG
활약에	활약/NNG+에/JKB
힘입어	힘입/VV+어/EC
1-0으로	1/SN+-/SO+0/SN+으로/JKB
이겼다.	이기/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.237.4.2
손흥민은 대회 통산 6호 골(플레이오프 포함)을 기록해 박지성(은퇴)이 가지고 있던 UEFA 챔피언스리그 한국인 최다골 기록(5골)을 경신했다.

손흥민은	손흥민/NNP+은/JX
대회	대회/NNG
통산	통산/NNG
6호	6/SN+호/NNB
골(플레이오프	골/NNG+(/SS+플레이오프/NNG
포함)을	포함/NNG+)/SS+을/JKO
기록해	기록/NNG+하/XSV+아/EC
박지성(은퇴)이	박지성/NNP+(/SS+은퇴/NNG+)/SS+이/JKS
가지고	가지/VV+고/EC
있던	있/VX+던/ETM
