# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.248
metadata : {}


# id : NWRW1800000028.248.1.1
만악의 근원, 자동차 숭배

만악의	만악/NNG+의/JKG
근원,	근원/NNG+,/SP
자동차	자동차/NNG
숭배	숭배/NNG


# id : NWRW1800000028.248.2.1
자동차 바이러스

자동차	자동차/NNG
바이러스	바이러스/NNG


# id : NWRW1800000028.248.3.1
금융위기가 전세계를 휩쓸 때, 많은 나라들이 경기 부양을 위해 폐차 지원금을 줘가며 “자동차를 더 사라”고 권했다.

금융위기가	금융/NNG+위기/NNG+가/JKS
전세계를	전/MMN+세계/NNG+를/JKO
휩쓸	휩쓸/VV+ㄹ/ETM
때,	때/NNG+,/SP
많은	많/VA+은/ETM
나라들이	나라/NNG+들/XSN+이/JKS
경기	경기/NNG
부양을	부양/NNG+을/JKO
위해	위하/VV+아/EC
폐차	폐차/NNG
지원금을	지원금/NNG+을/JKO
줘가며	주/VV+어/EC+가/VX+며/EC
“자동차를	“/SS+자동차/NNG+를/JKO
더	더/MAG
사라”고	사/VV+아라/EF+”/SS+고/JKQ
권했다.	권/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.248.3.2
<자동차 바이러스>의 지은이 헤르만 크노플라허는 그것을 두고 자살행위나 마찬가지라고 비판한다.

<자동차	</SS+자동차/NNG
바이러스>의	바이러스/NNG+>/SS+의/JKG
지은이	지은이/NNG
헤르만	헤르만/NNP
크노플라허는	크노플라허/NNP+는/JX
그것을	그것/NP+을/JKO
두고	두/VV+고/EC
자살행위나	자살행위/NNG+나/JX
마찬가지라고	마찬가지/NNG+이/VCP+라고/EC
비판한다.	비판/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.248.3.3
인간사회를 이렇게 망쳐놓은 “‘자동차 바이러스’의 확산을 돕는 일”이기 때문이다.

인간사회를	인간/NNG+사회/NNG+를/JKO
이렇게	이렇/VA+게/EC
망쳐놓은	망치/VV+어/EC+놓/VX+은/ETM
“‘자동차	“/SS+‘/SS+자동차/NNG
바이러스’의	바이러스/NNG+’/SS+의/JKG
확산을	확산/NNG+을/JKO
돕는	돕/VV+는/ETM
일”이기	일/NNG+”/SS+이/VCP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.248.4.1
오스트리아 빈 공과대학 교통계획과 교수인 지은이는 자동차를 숭배하는 바이러스를 ‘만악의 근원’이라고 비판하며 “자동차가 얼마나 인간사회를 파괴하고 있는지 아느냐”고 묻는다.

오스트리아	오스트리아/NNP
빈	빈/NNP
공과대학	공과/NNG+대학/NNG
교통계획과	교통/NNG+계획과/NNG
교수인	교수/NNG+이/VCP+ㄴ/ETM
지은이는	지은이/NNG+는/JX
자동차를	자동차/NNG+를/JKO
숭배하는	숭배/NNG+하/XSV+는/ETM
바이러스를	바이러스/NNG+를/JKO
‘만악의	‘/SS+만악/NNG+의/JKG
근원’이라고	근원/NNG+’/SS+이라고/JKQ
비판하며	비판/NNG+하/XSV+며/EC
“자동차가	“/SS+자동차/NNG+가/JKS
얼마나	얼마나/MAG
인간사회를	인간/NNG+사회/NNG+를/JKO
파괴하고	파괴/NNG+하/XSV+고/EC
있는지	있/VX+는지/EF
아느냐”고	알/VV+느냐/EF+”/SS+고/JKQ
묻는다.	묻/VV+는다/EF+./SF


