# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.211
metadata : {}


# id : NWRW1800000056.211.1.1
인천시의 중국 교류 사업도 전면 중단

인천시의	인천시/NNP+의/JKG
중국	중국/NNP
교류	교류/NNG
사업도	사업/NNG+도/JX
전면	전면/NNG
중단	중단/NNG


# id : NWRW1800000056.211.2.1
지역 교류, 인천차이나포럼 등 모두 멈춰

지역	지역/NNG
교류,	교류/NNG+,/SP
인천차이나포럼	인천/NNP+차이나/NNP+포럼/NNG
등	등/NNB
모두	모두/MAG
멈춰	멈추/VV+어/EF


# id : NWRW1800000056.211.3.1
인천시 “새 정부에서 사드 문제 해결을”

인천시	인천시/NNP
“새	“/SS+새/MMA
정부에서	정부/NNG+에서/JKB
사드	사드/NNG
문제	문제/NNG
해결을”	해결/NNG+을/JKO+”/SS


# id : NWRW1800000056.211.4.1
중국으로 가는 전진기지였던 인천시에서도 사드(THAAD·고고도 미사일방어체계) 배치 뒤 중국과의 사업이 대부분 중단됐다.

중국으로	중국/NNP+으로/JKB
가는	가/VV+는/ETM
전진기지였던	전진/NNG+기지/NNG+이/VCP+었/EP+던/ETM
인천시에서도	인천시/NNP+에서/JKB+도/JX
사드(THAAD·고고도	사드/NNG+(/SS+THAAD/SL+·/SP+고/XPN+고도/NNG
미사일방어체계)	미사일/NNG+방어/NNG+체계/NNG+)/SS
배치	배치/NNG
뒤	뒤/NNG
중국과의	중국/NNP+과/JKB+의/JKG
사업이	사업/NNG+이/JKS
대부분	대/XPN+부분/NNG
중단됐다.	중단/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000056.211.5.1
16일 인천시에 따르면, 올해 중국 톈진시와 함께 추진하던 ‘한-중 인문교류 테마 도시 사업’은 사실상 멈춰버렸다.

16일	16/SN+일/NNB
인천시에	인천시/NNP+에/JKB
따르면,	따르/VV+면/EC+,/SP
올해	올해/NNG
중국	중국/NNP
톈진시와	톈진시/NNP+와/JKB
함께	함께/MAG
추진하던	추진/NNG+하/XSV+던/ETM
‘한-중	‘/SS+한-중/NNP
인문교류	인문/NNG+교류/NNG
테마	테마/NNG
도시	도시/NNG
사업’은	사업/NNG+’/SS+은/JX
사실상	사실/NNG+상/XSN
멈춰버렸다.	멈추/VV+어/EC+버리/VX+었/EP+다/EF+./SF


# id : NWRW1800000056.211.5.2
양국 외교부 주관으로 시립예술단 상호 방문 공연과 문화·학술 교류 사업을 열기로 했지만 사드 갈등이 고조된 올해 3월 이후 논의 자체를 하지 못하고 있다.

양국	양국/NNG
외교부	외교부/NNG
주관으로	주관/NNG+으로/JKB
시립예술단	시립/NNG+예술단/NNG
상호	상호/NNG
방문	방문/NNG
공연과	공연/NNG+과/JC
문화·학술	문화/NNG+·/SP+학술/NNG
교류	교류/NNG
사업을	사업/NNG+을/JKO
열기로	열/VV+기/ETN+로/JKB
했지만	하/VV+았/EP+지만/EC
사드	사드/NNG
갈등이	갈등/NNG+이/JKS
고조된	고조/NNG+되/XSV+ㄴ/ETM
올해	올해/NNG
3월	3/SN+월/NNB
이후	이후/NNG
논의	논의/NNG
자체를	자체/NNG+를/JKO
하지	하/VV+지/EC
못하고	못하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.211.5.3
인천시가 편성한 예산 6700만원도 집행되지 못하고 있다.

인천시가	인천시/NNP+가/JKS
편성한	편성/NNG+하/XSV+ㄴ/ETM
예산	예산/NNG
6700만원도	6700/SN+만/NR+원/NNB+도/JX
집행되지	집행/NNG+되/XSV+지/EC
못하고	못하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000056.211.5.4
이 행사는 2014년 경북-산시성, 2015년 제주-하이난, 2016년 충남-구이저우성 등 매년 도시를 바꿔가며 3년 동안 꾸준히 열어왔다.

이	이/MMD
행사는	행사/NNG+는/JX
2014년	2014/SN+년/NNB
경북-산시성,	경북/NNP+-/SO+산시성/NNP+,/SP
2015년	2015/SN+년/NNB
