# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.402
metadata : {}


# id : NWRW1800000054.402.1.1
軍 주류 물갈이… 국방장관·합참의장 '투톱' 첫 非육군시대

軍	軍/SH
주류	주류/NNG
물갈이…	물갈이/NNG+…/SE
국방장관·합참의장	국방/NNG+장관/NNG+·/SP+합참/NNG+의장/NNG
'투톱'	'/SS+투톱/NNG+'/SS
첫	첫/MMN
非육군시대	非/SH+육군/NNG+시대/NNG


# id : NWRW1800000054.402.2.1
대장 8명 중 7명 교체 인사… 국방 개혁 내세워 육군 배제, 야전사령관 2명 非육사 출신

대장	대장/NNG
8명	8/SN+명/NNB
중	중/NNB
7명	7/SN+명/NNB
교체	교체/NNG
인사…	인사/NNG+…/SE
국방	국방/NNG
개혁	개혁/NNG
내세워	내세우/VV+어/EC
육군	육군/NNG
배제,	배제/NNG+,/SP
야전사령관	야전/NNG+사령관/NNG
2명	2/SN+명/NNB
非육사	非/SH+육사/NNP
출신	출신/NNG


# id : NWRW1800000054.402.3.1
문재인 대통령은 8일 발표한 첫 군(軍) 수뇌부 인사를 통해 그동안 군의 주류였던 '육군' '육사' 출신을 가급적 배제하려는 기조를 보여줬다.

문재인	문재인/NNP
대통령은	대통령/NNG+은/JX
8일	8/SN+일/NNB
발표한	발표/NNG+하/XSV+ㄴ/ETM
첫	첫/MMN
군(軍)	군/NNG+(/SS+軍/SH+)/SS
수뇌부	수뇌부/NNG
인사를	인사/NNG+를/JKO
통해	통하/VV+아/EC
그동안	그동안/NNG
군의	군/NNG+의/JKG
주류였던	주류/NNG+이/VCP+었/EP+던/ETM
'육군'	'/SS+육군/NNG+'/SS
'육사'	'/SS+육사/NNP+'/SS
출신을	출신/NNG+을/JKO
가급적	가급적/MAG
배제하려는	배제/NNG+하/XSV+려는/ETM
기조를	기조/NNG+를/JKO
보여줬다.	보이/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000054.402.3.2
이날 인사를 통해 정부 수립 후 처음으로 비(非)육군 국방장관-합참의장 체제를 갖추게 됐다.

이날	이날/NNG
인사를	인사/NNG+를/JKO
통해	통하/VV+아/EC
정부	정부/NNG
수립	수립/NNG
후	후/NNG
처음으로	처음/NNG+으로/JKB
비(非)육군	비/XPN+(/SS+非/SH+)/SS+육군/NNG
국방장관-합참의장	국방/NNG+장관/NNG+-/SO+합참/NNG+의장/NNG
체제를	체제/NNG+를/JKO
갖추게	갖추/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.402.3.3
국방장관이나 합참의장에 해군이나 공군이 각각 임명된 적은 있었지만 동시에 2명 모두가 비육군이 된 것은 처음이다.

국방장관이나	국방/NNG+장관/NNG+이나/JC
합참의장에	합참/NNG+의장/NNG+에/JKB
해군이나	해군/NNG+이나/JC
공군이	공군/NNG+이/JKS
각각	각각/MAG
임명된	임명/NNG+되/XSV+ㄴ/ETM
적은	적/NNB+은/JX
있었지만	있/VA+었/EP+지만/EC
동시에	동시/NNG+에/JKB
2명	2/SN+명/NNB
모두가	모두/NNG+가/JKS
비육군이	비/XPN+육군/NNG+이/JKC
된	되/VV+ㄴ/ETM
것은	것/NNB+은/JX
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.402.4.1
이런 구조는 문 대통령이 해군 출신의 송영무 장관을 임명할 때부터 어느 정도 예측됐다.

이런	이런/MMD
구조는	구조/NNG+는/JX
문	문/NNP
대통령이	대통령/NNG+이/JKS
해군	해군/NNG
출신의	출신/NNG+의/JKG
송영무	송영무/NNP
장관을	장관/NNG+을/JKO
임명할	임명/NNG+하/XSV+ㄹ/ETM
때부터	때/NNG+부터/JX
어느	어느/MMD
정도	정도/NNG
예측됐다.	예측/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.402.4.2
노무현 정부 시절 청와대에서 비서실장 등으로 근무했던 문 대통령은 육군·육사 출신을 중용한 것이 당시 국방 개혁을 정권 초기부터 제대로 추진하지 못한 요인이라고 판단하는 것으로 알려졌다.

노무현	노무현/NNP
정부	정부/NNG
시절	시절/NNG
청와대에서	청와대/NNP+에서/JKB
비서실장	비서실장/NNG
등으로	등/NNB+으로/JKB
근무했던	근무/NNG+하/XSV+았/EP+던/ETM
문	문/NNP
대통령은	대통령/NNG+은/JX
육군·육사	육군/NNG+·/SP+육사/NNP
출신을	출신/NNG+을/JKO
중용한	중용/NNG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKS
당시	당시/NNG
국방	국방/NNG
개혁을	개혁/NNG+을/JKO
정권	정권/NNG
초기부터	초기/NNG+부터/JX
제대로	제대로/MAG
추진하지	추진/NNG+하/XSV+지/EC
못한	못하/VX+ㄴ/ETM
요인이라고	요인/NNG+이/VCP+라고/EC
판단하는	판단/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.402.4.3
한국군이 북한의 핵·미사일 위협에 효율적으로 대처하고 해·공군 중심의 미래군으로 변화하기 위해선 육군 중심의 재래식 전력 구조에서 벗어나야 한다는 현 정부 국방 개혁 기본 방향도 이와 무관치 않다.

한국군이	한국군/NNG+이/JKS
북한의	북한/NNP+의/JKG
핵·미사일	핵/NNG+·/SP+미사일/NNG
위협에	위협/NNG+에/JKB
효율적으로	효율/NNG+적/XSN+으로/JKB
대처하고	대처/NNG+하/XSV+고/EC
해·공군	해·공군/NNG
중심의	중심/NNG+의/JKG
미래군으로	미래/NNG+군/NNG+으로/JKB
변화하기	변화/NNG+하/XSV+기/ETN
위해선	위하/VV+아서/EC+ㄴ/JX
육군	육군/NNG
재래식	재래식/NNG
전력	전력/NNG
구조에서	구조/NNG+에서/JKB
벗어나야	벗어나/VV+아야/EC
한다는	하/VX+ㄴ다는/ETM
현	현/MMD
정부	정부/NNG
국방	국방/NNG
개혁	개혁/NNG
기본	기본/NNG
방향도	방향/NNG+도/JX
이와	이/NP+와/JKB
무관치	무관하/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000054.402.5.1
정경두 합참의장 내정자는 F-35를 도입하는 공군 차기 전투기 사업과 한국형 전투기(KFX) 사업 등 공군 전력 증강 사업을 오랫동안 담당해온 군사력 건설 전문가다.

정경두	정경두/NNP
합참의장	합참/NNG+의장/NNG
내정자는	내정자/NNG+는/JX
F-35를	F/SL+-/SO+35/SN+를/JKO
도입하는	도입/NNG+하/XSV+는/ETM
공군	공군/NNG
차기	차기/NNG
전투기	전투기/NNG
사업과	사업/NNG+과/JC
한국형	한국/NNP+형/XSN
전투기(KFX)	전투기/NNG+(/SS+KFX/SL+)/SS
사업	사업/NNG
등	등/NNB
전력	전력/NNG
