# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.67
metadata : {}


# id : NWRW1800000026.67.1.1
[제주·서울] 지자체 보조금 빼돌린 예술단체장 기소

[제주·서울]	[/SS+제주/NNP+·/SP+서울/NNP+]/SS
지자체	지자체/NNG
보조금	보조금/NNG
빼돌린	빼돌리/VV+ㄴ/ETM
예술단체장	예술단체장/NNG
기소	기소/NNG


# id : NWRW1800000026.67.2.1
지방자치단체 보조금을 허위 문서를 꾸며 받아 쓴 혐의(보조금의 예산 및 관리에 관한 법률 위반 등)로 제주지역 예술단체 회장 강모(58)씨가 불구속 기소됐다.

지방자치단체	지방/NNG+자치/NNG+단체/NNG
보조금을	보조금/NNG+을/JKO
허위	허위/NNG
문서를	문서/NNG+를/JKO
꾸며	꾸미/VV+어/EC
받아	받/VV+아/EC
쓴	쓰/VV+ㄴ/ETM
혐의(보조금의	혐의/NNG+(/SS+보조금/NNG+의/JKG
예산	예산/NNG
및	및/MAG
관리에	관리/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률	법률/NNG
위반	위반/NNG
등)로	등/NNB+)/SS+로/JKB
제주지역	제주지역/NNP
예술단체	예술/NNG+단체/NNG
회장	회장/NNG
강모(58)씨가	강/NNP+모/NP+(/SS+58/SN+)/SS+씨/NNB+가/JKS
불구속	불/XPN+구속/NNG
기소됐다.	기소/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000026.67.2.2
제주지검에 따르면 강씨는 2006년 탐라전국 합창제 보조금 등을 신청하면서 자체적으로 8000여만원을 부담할 것처럼 서류를 제출, 지방자치단체 보조금 8억3500만원을 부당하게 타낸 혐의를 받고 있다.

제주지검에	제주지검/NNP+에/JKB
따르면	따르/VV+면/EC
강씨는	강/NNP+씨/NNB+는/JX
2006년	2006/SN+년/NNB
탐라전국	탐라/NNP+전국/NNG
합창제	합창제/NNG
보조금	보조금/NNG
등을	등/NNB+을/JKO
신청하면서	신청/NNG+하/XSV+면서/EC
자체적으로	자체/NNG+적/XSN+으로/JKB
8000여만원을	8000/SN+여/XSN+만/NR+원/NNB+을/JKO
부담할	부담/NNG+하/XSV+ㄹ/ETM
것처럼	것/NNB+처럼/JKB
서류를	서류/NNG+를/JKO
제출,	제출/NNG+,/SP
지방자치단체	지방/NNG+자치/NNG+단체/NNG
8억3500만원을	8/SN+억/NR+3500/SN+만/NR+원/NNB+을/JKO
부당하게	부당/NNG+하/XSA+게/EC
타낸	타/VV+아/EC+내/VX+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.67.2.3
또 2008년 제주국제합창제와 관련해 정부로부터 받은 보조금 2억원 가운데 4650만원을 단체 운영경비와 제주지역 합창단 격려금, 후원금, 식비 등에 사용한 혐의도 받고 있다.

또	또/MAG
2008년	2008/SN+년/NNB
제주국제합창제와	제주/NNP+국제/NNG+합창제/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
정부로부터	정부/NNG+로부터/JKB
받은	받/VV+은/ETM
보조금	보조금/NNG
2억원	2/SN+억/NR+원/NNB
가운데	가운데/NNG
4650만원을	4650/SN+만/NR+원/NNB+을/JKO
단체	단체/NNG
운영경비와	운영/NNG+경비/NNG+와/JC
제주지역	제주지역/NNP
합창단	합창단/NNG
격려금,	격려금/NNG+,/SP
후원금,	후원금/NNG+,/SP
식비	식비/NNG
등에	등/NNB+에/JKB
사용한	사용/NNG+하/XSV+ㄴ/ETM
혐의도	혐의/NNG+도/JX
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.67.2.4
검찰은 강씨가 보조금을 여행사 등 관련업체에 경비로 지급하고 나중에 일부를 되돌려받는 방법으로 비자금을 조성하고 이를 업무추진비처럼 사용했다고 밝혔다.

검찰은	검찰/NNG+은/JX
강씨가	강/NNP+씨/NNB+가/JKS
보조금을	보조금/NNG+을/JKO
여행사	여행사/NNG
등	등/NNB
관련업체에	관련/NNG+업체/NNG+에/JKB
경비로	경비/NNG+로/JKB
지급하고	지급/NNG+하/XSV+고/EC
나중에	나중/NNG+에/JKB
일부를	일부/NNG+를/JKO
되돌려받는	되돌리/VV+어/EC+받/VV+는/ETM
방법으로	방법/NNG+으로/JKB
비자금을	비자금/NNG+을/JKO
조성하고	조성/NNG+하/XSV+고/EC
이를	이/NP+를/JKO
업무추진비처럼	업무/NNG+추진비/NNG+처럼/JKB
사용했다고	사용/NNG+하/XSV+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


