# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.429
metadata : {}


# id : NWRW1800000032.429.1.1
경기 초등생 92% 무상급식 /한나라 단체장 지역도 ‘순풍’

경기	경기/NNP
초등생	초등/NNG+생/XSN
92%	92/SN+%/SW
무상급식	무상/NNG+급식/NNG
/한나라	//SP+한나라/NNP
단체장	단체장/NNG
지역도	지역/NNG+도/JX
‘순풍’	‘/SS+순풍/NNG+’/SS


# id : NWRW1800000032.429.2.1
서울시 ‘반대’와 대조

서울시	서울시/NNP
‘반대’와	‘/SS+반대/NNG+’/SS+와/JKB
대조	대조/NNG


# id : NWRW1800000032.429.3.1
한나라당 소속 오세훈 서울시장이 무상급식 반대에 매달리고 있는 반면, 경기도내 31개 자치단체 가운데 한나라당 소속 단체장이 있는 10개 시·군에서는 무상급식이 차질 없이 시행돼 대조를 보이고 있다.

한나라당	한나라당/NNP
소속	소속/NNG
오세훈	오세훈/NNP
서울시장이	서울시장/NNG+이/JKS
무상급식	무상/NNG+급식/NNG
반대에	반대/NNG+에/JKB
매달리고	매달리/VV+고/EC
있는	있/VA+는/ETM
반면,	반면/NNG+,/SP
경기도내	경기도/NNP+내/NNB
31개	31/SN+개/NNB
자치단체	자치/NNG+단체/NNG
가운데	가운데/NNG
단체장이	단체장/NNG+이/JKS
10개	10/SN+개/NNB
시·군에서는	시/NNG+·/SP+군/NNG+에서/JKB+는/JX
무상급식이	무상/NNG+급식/NNG+이/JKS
차질	차질/NNG
없이	없이/MAG
시행돼	시행/NNG+되/XSV+어/EC
대조를	대조/NNG+를/JKO
보이고	보이/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.429.4.1
14일 경기도교육청의 ‘2011년 초등학교 무상급식 지원현황’을 보면, 경기도내 1167개 초등학교 학생 83만253명 가운데 92.2%에 해당하는 76만567명의 학생들이 무상급식 혜택을 받고 있는 것으로 나타났다.

14일	14/SN+일/NNB
경기도교육청의	경기도교육청/NNP+의/JKG
‘2011년	‘/SS+2011/SN+년/NNB
초등학교	초등학교/NNG
무상급식	무상/NNG+급식/NNG
지원현황’을	지원/NNG+현황/NNG+’/SS+을/JKO
보면,	보/VV+면/EC+,/SP
경기도내	경기도/NNP+내/NNB
1167개	1167/SN+개/NNB
학생	학생/NNG
83만253명	83/SN+만/NR+253/SN+명/NNB
가운데	가운데/NNG
92.2%에	92/SN+./SP+2/SN+%/SW+에/JKB
해당하는	해당/NNG+하/XSV+는/ETM
76만567명의	76/SN+만/NR+567/SN+명/NNB+의/JKG
학생들이	학생/NNG+들/XSN+이/JKS
혜택을	혜택/NNG+을/JKO
받고	받/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.429.5.1
또 수원·성남·안양 등 24개 시·군에서는 1~6학년까지 전학년 무상급식이 실시되고 있고, 광명·평택·광주·이천·용인·시흥·양주 7개 시에선 3~6학년에 대해서만 우선적으로 무상급식을 지원하고 있는 것으로 집계됐다.

또	또/MAG
수원·성남·안양	수원/NNP+·/SP+성남/NNP+·/SP+안양/NNP
등	등/NNB
24개	24/SN+개/NNB
시·군에서는	시/NNG+·/SP+군/NNG+에서/JKB+는/JX
1~6학년까지	1/SN+~/SO+6/SN+학년/NNG+까지/JX
전학년	전/MMN+학년/NNG
무상급식이	무상/NNG+급식/NNG+이/JKS
실시되고	실시/NNG+되/XSV+고/EC
있고,	있/VX+고/EC+,/SP
광명·평택·광주·이천·용인·시흥·양주	광명/NNP+·/SP+평택/NNP+·/SP+광주/NNP+·/SP+이천/NNP+·/SP+용인/NNP+·/SP+시흥/NNP+·/SP+양주/NNP
7개	7/SN+개/NNB
시에선	시/NNG+에서/JKB+ㄴ/JX
3~6학년에	3/SN+~/SO+6/SN+학년/NNG+에/JKB
대해서만	대하/VV+아서/EC+만/JX
우선적으로	우선/NNG+적/XSN+으로/JKB
무상급식을	무상/NNG+급식/NNG+을/JKO
지원하고	지원/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
집계됐다.	집계/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000032.429.6.1
이런 무상급식은 한나라당 소속 단체장이 재임 중인 안성·남양주·포천·여주·양평·연천 지역에서도 초등생 전학년을 대상으로 실시되고 있는데, 3~6학년 학생만 무상급식을 하고 있는 광주와 양주 등은 추경예산을 짜 올해 2학기부터 전학년 확대를 추진하고 있이다.

이런	이런/MMD
무상급식은	무상/NNG+급식/NNG+은/JX
한나라당	한나라당/NNP
소속	소속/NNG
단체장이	단체장/NNG+이/JKS
재임	재임/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
안성·남양주·포천·여주·양평·연천	안성/NNP+·/SP+남양주/NNP+·/SP+포천/NNP+·/SP+여주/NNP+·/SP+양평/NNP+·/SP+연천/NNP
지역에서도	지역/NNG+에서/JKB+도/JX
초등생	초등/NNG+생/XSN
전학년을	전/MMN+학년/NNG+을/JKO
대상으로	대상/NNG+으로/JKB
실시되고	실시/NNG+되/XSV+고/EC
있는데,	있/VX+는데/EC+,/SP
3~6학년	3/SN+~/SO+6/SN+학년/NNG
학생만	학생/NNG+만/JX
무상급식을	무상/NNG+급식/NNG+을/JKO
하고	하/VV+고/EC
있는	있/VX+는/ETM
광주와	광주/NNP+와/JC
양주	양주/NNP
등은	등/NNB+은/JX
추경예산을	추경/NNG+예산/NNG+을/JKO
짜	짜/VV+아/EC
올해	올해/NNG
2학기부터	2/SN+학기/NNG+부터/JX
전학년	전/MMN+학년/NNG
확대를	확대/NNG+를/JKO
추진하고	추진/NNG+하/XSV+고/EC
있이다.	있/VX+이/NA+다/EF+./SF


# id : NWRW1800000032.429.6.2
다만 구제역으로 홍역을 치른 이천시는 예산문제로 내년부터 확대할 계획이다.

다만	다만/MAG
구제역으로	구제역/NNG+으로/JKB
홍역을	홍역/NNG+을/JKO
치른	치르/VV+ㄴ/ETM
이천시는	이천시/NNP+는/JX
예산문제로	예산/NNG+문제/NNG+로/JKB
내년부터	내년/NNG+부터/JX
확대할	확대/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.429.7.1
특히 조억동 광주시장의 경우 자신의 포괄사업비를 줄여 무상급식을 전학년으로 확대 시행하기로 해 눈길을 끌고 있다.

특히	특히/MAG
조억동	조억동/NNP
광주시장의	광주시장/NNG+의/JKG
경우	경우/NNG
자신의	자신/NNG+의/JKG
포괄사업비를	포괄/NNG+사업비/NNG+를/JKO
줄여	줄이/VV+어/EC
무상급식을	무상/NNG+급식/NNG+을/JKO
전학년으로	전/MMN+학년/NNG+으로/JKB
확대	확대/NNG
시행하기로	시행/NNG+하/XSV+기/ETN+로/JKB
해	하/VV+아/EC
눈길을	눈길/NNG+을/JKO
끌고	끌/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.429.7.2
포괄사업비란 주민 불편사항이나 숙원사업을 위해 자치단체장이 재량으로 집행할 수 있는 사업비를 말한다.

포괄사업비란	포괄/NNG+사업비/NNG+란/JX
주민	주민/NNG
불편사항이나	불편/NNG+사항/NNG+이나/JC
숙원사업을	숙원/NNG+사업/NNG+을/JKO
위해	위하/VV+아/EC
자치단체장이	자치/NNG+단체장/NNG+이/JKS
재량으로	재량/NNG+으로/JKB
집행할	집행/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
사업비를	사업비/NNG+를/JKO
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000032.429.8.1
