# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.14
metadata : {}


# id : NWRW1800000054.14.1.1
"美 국경세 도입 땐 무역 전쟁 벌일 것"

"美	"/SS+美/SH
국경세	국경세/NNG
도입	도입/NNG
땐	때/NNG+ㄴ/JX
무역	무역/NNG
전쟁	전쟁/NNG
벌일	벌이/VV+ㄹ/ETM
것"	것/NNB+"/SS


# id : NWRW1800000054.14.2.1
EU "분쟁 생기면 WTO 제소"

EU	EU/SL
"분쟁	"/SS+분쟁/NNG
생기면	생기/VV+면/EC
WTO	WTO/SL
제소"	제소/NNG+"/SS


# id : NWRW1800000054.14.3.1
미국 도널드 트럼프 행정부가 자국 산업 보호를 위해 '국경조정세(BAT)' 도입을 추진하자 유럽이 "절대 가만있지 않겠다"고 반발하면서 역대 최대 규모의 무역 소송전이 벌어질 우려가 제기되고 있다고 파이낸셜타임스(FT)가 13일(현지 시각) 보도했다.

미국	미국/NNP
도널드	도널드/NNP
트럼프	트럼프/NNP
행정부가	행정부/NNG+가/JKS
자국	자국/NNG
산업	산업/NNG
보호를	보호/NNG+를/JKO
위해	위하/VV+아/EC
'국경조정세(BAT)'	'/SS+국경조정세/NNG+(/SS+BAT/SL+)/SS+'/SS
도입을	도입/NNG+을/JKO
추진하자	추진/NNG+하/XSV+자/EC
유럽이	유럽/NNP+이/JKS
"절대	"/SS+절대/MAG
가만있지	가만있/VV+지/EC
않겠다"고	않/VX+겠/EP+다/EF+"/SS+고/JKQ
반발하면서	반발/NNG+하/XSV+면서/EC
역대	역대/NNG
최대	최대/NNG
규모의	규모/NNG+의/JKG
무역	무역/NNG
소송전이	소송전/NNG+이/JKS
벌어질	벌어지/VV+ㄹ/ETM
우려가	우려/NNG+가/JKS
제기되고	제기/NNG+되/XSV+고/EC
있다고	있/VX+다고/EC
파이낸셜타임스(FT)가	파이낸셜타임스/NNP+(/SS+FT/SL+)/SS+가/JKS
13일(현지	13/SN+일/NNB+(/SS+현지/NNG
시각)	시각/NNG+)/SS
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.14.3.2
국경조정세는 해외에서 수입된 물품·서비스 등에 대해선 중간재나 반제품이라고 해도 기업 비용으로 인정하지 않아 법인세를 더 많이 내게 하고, 수출품에 대해선 법인세 계산 때 제외시켜 주는 제도이다.

국경조정세는	국경조정세/NNG+는/JX
해외에서	해외/NNG+에서/JKB
수입된	수입/NNG+되/XSV+ㄴ/ETM
물품·서비스	물품/NNG+·/SP+서비스/NNG
등에	등/NNB+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
중간재나	중간재/NNG+나/JC
반제품이라고	반제품/NNG+이/VCP+라고/EC
해도	하/VV+아도/EC
기업	기업/NNG
비용으로	비용/NNG+으로/JKB
인정하지	인정/NNG+하/XSV+지/EC
않아	않/VX+아/EC
법인세를	법인세/NNG+를/JKO
더	더/MAG
많이	많이/MAG
내게	내/VV+게/EC
하고,	하/VX+고/EC+,/SP
수출품에	수출품/NNG+에/JKB
법인세	법인세/NNG
계산	계산/NNG
때	때/NNG
제외시켜	제외/NNG+시키/XSV+어/EC
주는	주/VX+는/ETM
제도이다.	제도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.14.3.3
미국은 이 세제 도입이 미국산 제품 사용을 늘리고 국내 투자와 일자리 창출에 크게 기여할 것으로 보고 있다.

미국은	미국/NNP+은/JX
이	이/MMD
세제	세제/NNG
도입이	도입/NNG+이/JKS
미국산	미국/NNP+산/XSN
제품	제품/NNG
사용을	사용/NNG+을/JKO
늘리고	늘리/VV+고/EC
국내	국내/NNG
투자와	투자/NNG+와/JC
일자리	일자리/NNG
창출에	창출/NNG+에/JKB
크게	크/VA+게/EC
기여할	기여/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.14.4.1
유럽연합(EU) 통상정책을 총괄하는 이위르키 카타이넨 EU 집행위 부위원장은 이날 "유럽은 세계경제에 재앙이 될 수 있는 미국과의 무역 전쟁을 피하고 싶지만 미국이 국경조정세를 도입하거나 자의적인 무역 장벽을 세운다면 맞서 대응할 수밖에 없다"고 했다.

유럽연합(EU)	유럽연합/NNP+(/SS+EU/SL+)/SS
통상정책을	통상/NNG+정책/NNG+을/JKO
총괄하는	총괄/NNG+하/XSV+는/ETM
이위르키	이위르키/NNP
카타이넨	카타이넨/NNP
EU	EU/SL
집행위	집행위/NNG
부위원장은	부위원장/NNG+은/JX
이날	이날/NNG
"유럽은	"/SS+유럽/NNP+은/JX
세계경제에	세계/NNG+경제/NNG+에/JKB
재앙이	재앙/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
미국과의	미국/NNP+과/JKB+의/JKG
무역	무역/NNG
전쟁을	전쟁/NNG+을/JKO
피하고	피하/VV+고/EC
