# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.114
metadata : {}


# id : NWRW1800000041.114.1.1
[책의 향기/이 책, 이 저자]풍수과학 다룬 ‘명당’ 쓴 이문호 교수

[책의	[/SS+책/NNG+의/JKG
향기/이	향기/NNG+//SP+이/MMD
책,	책/NNG+,/SP
이	이/MMD
저자]풍수과학	저자/NNG+]/SS+풍수/NNG+과학/NNG
다룬	다루/VV+ㄴ/ETM
‘명당’	‘/SS+명당/NNP+’/SS
쓴	쓰/VV+ㄴ/ETM
이문호	이문호/NNP
교수	교수/NNG


# id : NWRW1800000041.114.2.1
“富 이루고 후손 번창한 집안들… 증조부 묏자리 공통점 있더라”

“富	“/SS+富/SH
이루고	이루/VV+고/EC
후손	후손/NNG
번창한	번창/NNG+하/XSV+ㄴ/ETM
집안들…	집안/NNG+들/XSN+…/SE
증조부	증조부/NNG
묏자리	묏자리/NNG
공통점	공통점/NNG
있더라”	있/VA+더라/EF+”/SS


# id : NWRW1800000041.114.3.1
‘부와 권력의 운명을 풍수과학으로 풀어쓴 이야기’라는 부제가 달린 ‘명당’(엔자임하우스)의 저자 이문호 영남대 교수(60·신소재공학부)의 이력을 보고 있노라면 책의 내용과 묘한 부조화를 발견하게 된다.

‘부와	‘/SS+부/NNG+와/JC
권력의	권력/NNG+의/JKG
운명을	운명/NNG+을/JKO
풍수과학으로	풍수/NNG+과학/NNG+으로/JKB
풀어쓴	풀어쓰/VV+ㄴ/ETM
이야기’라는	이야기/NNG+’/SS+이/VCP+라는/ETM
부제가	부제/NNG+가/JKS
달린	달리/VV+ㄴ/ETM
‘명당’(엔자임하우스)의	‘/SS+명당/NNP+’/SS+(/SS+엔자임하우스/NNP+)/SS+의/JKG
저자	저자/NNG
이문호	이문호/NNP
영남대	영남대/NNP
교수(60·신소재공학부)의	교수/NNG+(/SS+60/SN+·/SP+신/XPN+소재/NNG+공학부/NNG+)/SS+의/JKG
이력을	이력/NNG+을/JKO
보고	보/VV+고/EC
있노라면	있/VX+노라면/EC
책의	책/NNG+의/JKG
내용과	내용/NNG+과/JC
묘한	묘하/VA+ㄴ/ETM
부조화를	부/XPN+조화/NNG+를/JKO
발견하게	발견/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.114.3.2
KAIST 재료공학과에서 박사를 받고 영남대 공과대에 최연소 교수(27세)로 임용돼 적외선 카메라나 가스 검침 장비 등에 쓰이는 각종 센서를 개발해온 과학자가, 과학과는 거리가 멀어 보이는 풍수와 명당에 관한 책을 썼기 때문이다.

KAIST	KAIST/SL
재료공학과에서	재료/NNG+공학과/NNG+에서/JKB
박사를	박사/NNG+를/JKO
받고	받/VV+고/EC
영남대	영남대/NNP
공과대에	공과대/NNG+에/JKB
최연소	최/XPN+연소/NNG
교수(27세)로	교수/NNG+(/SS+27/SN+세/NNB+)/SS+로/JKB
임용돼	임용/NNG+되/XSV+어/EC
적외선	적외선/NNG
카메라나	카메라/NNG+나/JC
가스	가스/NNG
검침	검침/NNG
장비	장비/NNG
등에	등/NNB+에/JKB
쓰이는	쓰이/VV+는/ETM
각종	각종/NNG
센서를	센서/NNG+를/JKO
개발해온	개발/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
과학자가,	과학자/NNG+가/JKS+,/SP
