# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.94
metadata : {}


# id : NWRW1800000032.94.1.1
국외서도 지진 참변…안타까운 일본

국외서도	국외/NNG+서/JKB+도/JX
지진	지진/NNG
참변…안타까운	참변/NNG+…/SE+안타깝/VA+ㄴ/ETM
일본	일본/NNP


# id : NWRW1800000032.94.2.1
뉴질랜드서 28명 매몰된듯

뉴질랜드서	뉴질랜드/NNP+서/JKB
28명	28/SN+명/NNB
매몰된듯	매몰/NNG+되/XSV+ㄴ/ETM+듯/NNB


# id : NWRW1800000032.94.3.1
한국 남매도 생사확인 안돼

한국	한국/NNP
남매도	남매/NNG+도/JX
생사확인	생사/NNG+확인/NNG
안돼	안/MAG+되/XSV+어/EF


# id : NWRW1800000032.94.4.1
지난 22일 뉴질랜드 크라이스트처치에서 발생한 강진으로 일본인들의 피해가 큰 것으로 집계되고 있다.

지난	지나/VV+ㄴ/ETM
22일	22/SN+일/NNB
뉴질랜드	뉴질랜드/NNP
크라이스트처치에서	크라이스트처치/NNP+에서/JKB
발생한	발생/NNG+하/XSV+ㄴ/ETM
강진으로	강진/NNG+으로/JKB
일본인들의	일본인/NNG+들/XSN+의/JKG
피해가	피해/NNG+가/JKS
큰	크/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
집계되고	집계/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.94.4.2
많은 이들이 건물 더미에 매몰돼 있는 것으로 추정되는 캔터베리텔레비전(CTV) 건물에 입주해 있던 킹스어학원에 일본인 유학생이 많았던 까닭이다.

많은	많/VA+은/ETM
이들이	이/NNB+들/XSN+이/JKS
건물	건물/NNG
더미에	더미/NNG+에/JKB
매몰돼	매몰/NNG+되/XSV+어/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
추정되는	추정/NNG+되/XSV+는/ETM
캔터베리텔레비전(CTV)	캔터베리텔레비전/NNP+(/SS+CTV/SL+)/SS
건물에	건물/NNG+에/JKB
입주해	입주/NNG+하/XSV+아/EC
있던	있/VX+던/ETM
킹스어학원에	킹스어학원/NNP+에/JKB
일본인	일본인/NNG
유학생이	유학/NNG+생/XSN+이/JKS
많았던	많/VA+았/EP+던/ETM
까닭이다.	까닭/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.94.5.1
<마이니치신문>은 25일 현재 현지에 머물던 일본인 28명의 소재가 확인되지 않고 있다고 전했다.

<마이니치신문>은	</SS+마이니치신문/NNP+>/SS+은/JX
25일	25/SN+일/NNB
현재	현재/MAG
현지에	현지/NNG+에/JKB
머물던	머물/VV+던/ETM
일본인	일본인/NNG
28명의	28/SN+명/NNB+의/JKG
소재가	소재/NNG+가/JKS
확인되지	확인/NNG+되/XSV+지/EC
않고	않/VX+고/EC
있다고	있/VX+다고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000032.94.5.2
행방불명된 이들 가운데 26명은 킹스어학원에서 영어를 공부하던 이들로, 무너진 건물 더미에 매몰됐을 가능성이 큰 것으로 여겨지고 있다.

행방불명된	행방불명/NNG+되/XSV+ㄴ/ETM
이들	이/NNB+들/XSN
가운데	가운데/NNG
26명은	26/SN+명/NNB+은/JX
킹스어학원에서	킹스어학원/NNP+에서/JKB
영어를	영어/NNP+를/JKO
공부하던	공부/NNG+하/XSV+던/ETM
이들로,	이/NNB+들/XSN+로/JKB+,/SP
무너진	무너지/VV+ㄴ/ETM
건물	건물/NNG
더미에	더미/NNG+에/JKB
매몰됐을	매몰/NNG+되/XSV+었/EP+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
큰	크/VA+ㄴ/ETM
것으로	것/NNB+으로/JKB
여겨지고	여기/VV+어/EC+지/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.94.6.1
24일 새벽 현지에 도착한 일본 구조대는 즉시 현장으로 가서 24시간 구조활동을 벌이고 있으나, 아직까지 생존자를 찾지는 못했다.

24일	24/SN+일/NNB
새벽	새벽/NNG
현지에	현지/NNG+에/JKB
도착한	도착/NNG+하/XSV+ㄴ/ETM
일본	일본/NNP
구조대는	구조대/NNG+는/JX
즉시	즉시/NNG
현장으로	현장/NNG+으로/JKB
가서	가/VV+아서/EC
24시간	24/SN+시간/NNB
구조활동을	구조/NNG+활동/NNG+을/JKO
벌이고	벌이/VV+고/EC
있으나,	있/VX+으나/EC+,/SP
아직까지	아직/MAG+까지/JX
생존자를	생존자/NNG+를/JKO
찾지는	찾/VV+지/EC+는/JX
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000032.94.6.2
붕괴하지 않은 채 남은 엘리베이터 부분이 추가 붕괴 위험이 커서, 구조활동에 어려움을 겪고 있는 것으로 전해졌다.

붕괴하지	붕괴/NNG+하/XSV+지/EC
않은	않/VX+은/ETM
채	채/NNB
남은	남/VV+은/ETM
엘리베이터	엘리베이터/NNG
부분이	부분/NNG+이/JKS
추가	추가/NNG
붕괴	붕괴/NNG
위험이	위험/NNG+이/JKS
커서,	크/VA+어서/EC+,/SP
구조활동에	구조/NNG+활동/NNG+에/JKB
어려움을	어려움/NNG+을/JKO
겪고	겪/VV+고/EC
있는	있/VX+는/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000032.94.7.1
뉴질랜드 경찰은 이번 지진으로 가장 큰 타격을 입은 캔터베리텔레비전 건물에서 24일 23구의 주검을 수습하는 등 지금까지 모두 47구의 주검을 수습했다고 25일 밝혔다.

뉴질랜드	뉴질랜드/NNP
경찰은	경찰/NNG+은/JX
이번	이번/NNG
지진으로	지진/NNG+으로/JKB
가장	가장/MAG
큰	크/VA+ㄴ/ETM
타격을	타격/NNG+을/JKO
입은	입/VV+은/ETM
캔터베리텔레비전	캔터베리텔레비전/NNP
건물에서	건물/NNG+에서/JKB
24일	24/SN+일/NNB
23구의	23/SN+구/NNB+의/JKG
주검을	주검/NNG+을/JKO
수습하는	수습/NNG+하/XSV+는/ETM
등	등/NNB
지금까지	지금/NNG+까지/JX
모두	모두/MAG
47구의	47/SN+구/NNB+의/JKG
수습했다고	수습/NNG+하/XSV+았/EP+다고/EC
25일	25/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.94.7.2
경찰은 유전자 검사 등을 통해 신원을 파악할 계획이다.

경찰은	경찰/NNG+은/JX
유전자	유전자/NNG
검사	검사/NNG
등을	등/NNB+을/JKO
통해	통하/VV+아/EC
신원을	신원/NNG+을/JKO
