# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.84
metadata : {}


# id : NWRW1800000049.84.1.1
[2016착한브랜드 대상]펀딩플랫폼, 올바른 방향으로 성장하는 P2P금융사

[2016착한브랜드	[/SS+2016/SN+착하/VA+ㄴ/ETM+브랜드/NNG
대상]펀딩플랫폼,	대상/NNG+]/SS+펀딩/NNG+플랫폼/NNG+,/SP
올바른	올바르/VA+ㄴ/ETM
방향으로	방향/NNG+으로/JKB
성장하는	성장/NNG+하/XSV+는/ETM
P2P금융사	P/SL+2/SN+P/SL+금융사/NNG


# id : NWRW1800000049.84.2.1
P2P금융 부문

P2P금융	P/SL+2/SN+P/SL+금융/NNG
부문	부문/NNG


# id : NWRW1800000049.84.3.1
착한 P2P금융 펀딩플랫폼은 ㈜크라우드연구소에서 운영하는 P2P금융 플랫폼이다.

착한	착하/VA+ㄴ/ETM
P2P금융	P/SL+2/SN+P/SL+금융/NNG
펀딩플랫폼은	펀딩/NNG+플랫폼/NNG+은/JX
㈜크라우드연구소에서	㈜/SW+크라우드연구소/NNP+에서/JKB
운영하는	운영/NNG+하/XSV+는/ETM
플랫폼이다.	플랫폼/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.84.4.1
P2P금융이란, 온라인 플랫폼을 통해 은행 문턱을 넘기 어려운 금융취약계층인 대출신청자에게 다수의 투자자가 돈을 빌려주고 이자수익을 얻는 대출형 크라우드펀딩으로 연평균 10% 전후의 수익을 얻을 수 있어 저금리 시대의 재테크 대안으로 떠오르고 있다.

P2P금융이란,	P/SL+2/SN+P/SL+금융/NNG+이란/JX+,/SP
온라인	온라인/NNG
플랫폼을	플랫폼/NNG+을/JKO
통해	통하/VV+아/EC
은행	은행/NNG
문턱을	문턱/NNG+을/JKO
넘기	넘/VV+기/ETN
어려운	어렵/VA+ㄴ/ETM
금융취약계층인	금융/NNG+취약/NNG+계층/NNG+이/VCP+ㄴ/ETM
대출신청자에게	대출/NNG+신청자/NNG+에게/JKB
다수의	다수/NNG+의/JKG
투자자가	투자자/NNG+가/JKS
돈을	돈/NNG+을/JKO
빌려주고	빌리/VV+어/EC+주/VX+고/EC
이자수익을	이자/NNG+수익/NNG+을/JKO
얻는	얻/VV+는/ETM
대출형	대출/NNG+형/XSN
크라우드펀딩으로	크라우드/NNG+펀딩/NNG+으로/JKB
연평균	연평균/NNG
10%	10/SN+%/SW
전후의	전후/NNG+의/JKG
수익을	수익/NNG+을/JKO
얻을	얻/VV+을/ETM
수	수/NNB
있어	있/VA+어/EC
저금리	저/XPN+금리/NNG
시대의	시대/NNG+의/JKG
재테크	재테크/NNG
대안으로	대안/NNG+으로/JKB
떠오르고	떠오르/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.84.5.1
지난해 11월 본격적으로 담보P2P금융 서비스를 시작한 펀딩플랫폼은 무리한 확장보다는 투자자 보호와 고객의 신뢰 확보에 주력하여 안전한 P2P금융의 롤모델이 되고 있다.

지난해	지난해/NNG
11월	11/SN+월/NNB
본격적으로	본격/NNG+적/XSN+으로/JKB
담보P2P금융	담보/NNG+P/SL+2/SN+P/SL+금융/NNG
서비스를	서비스/NNG+를/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
펀딩플랫폼은	펀딩/NNG+플랫폼/NNG+은/JX
무리한	무리/NNG+하/XSV+ㄴ/ETM
확장보다는	확장/NNG+보다/JKB+는/JX
투자자	투자자/NNG
보호와	보호/NNG+와/JC
고객의	고객/NNG+의/JKG
신뢰	신뢰/NNG
확보에	확보/NNG+에/JKB
주력하여	주력/NNG+하/XSV+아/EC
안전한	안전/NNG+하/XSA+ㄴ/ETM
P2P금융의	P/SL+2/SN+P/SL+금융/NNG+의/JKG
롤모델이	롤/NNG+모델/NNG+이/JKC
되고	되/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.84.6.1
펀딩플랫폼은 올바른 P2P금융 생태계 조성을 위해 업계에서 유일하게 분야별 전문가로 구성된 경영멘토와 법률멘토 그룹을 운영하며 플랫폼 운영, 투자보호, 윤리경영, 핀테크 산업 발전을 위한 자문을 하고 연구하여 지속 가능한 경영 기반을 마련해 가고 있다.

펀딩플랫폼은	펀딩/NNG+플랫폼/NNG+은/JX
올바른	올바르/VA+ㄴ/ETM
P2P금융	P/SL+2/SN+P/SL+금융/NNG
생태계	생태/NNG+계/XSN
조성을	조성/NNG+을/JKO
위해	위하/VV+아/EC
업계에서	업계/NNG+에서/JKB
유일하게	유일/NNG+하/XSA+게/EC
분야별	분야/NNG+별/XSN
전문가로	전문가/NNG+로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
경영멘토와	경영/NNG+멘토/NNG+와/JC
법률멘토	법률/NNG+멘토/NNG
그룹을	그룹/NNG+을/JKO
운영하며	운영/NNG+하/XSV+며/EC
플랫폼	플랫폼/NNG
운영,	운영/NNG+,/SP
투자보호,	투자/NNG+보호/NNG+,/SP
윤리경영,	윤리/NNG+경영/NNG+,/SP
핀테크	핀테크/NNG
산업	산업/NNG
발전을	발전/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
자문을	자문/NNG+을/JKO
하고	하/VV+고/EC
연구하여	연구/NNG+하/XSV+아/EC
지속	지속/NNG
가능한	가능/NNG+하/XSA+ㄴ/ETM
경영	경영/NNG
기반을	기반/NNG+을/JKO
마련해	마련/NNG+하/XSV+아/EC
가고	가/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000049.84.7.1
경영멘토와 법률멘토 그룹의 가장 큰 성과는 투자자 관점에서 P2P투자 시 발생할 수 있는 사기·부실대출, 이자연체, 원금연체, 허위펀딩, P2P회사 펀딩금액 유용, P2P회사 부도, 대부업체 부도로 인한 투자자 리스크를 법률적으로 가장 안전하게 보호받을 수 있는 펀딩플랫폼만의 ‘투자보호장치(FP-5S)’를 개발한 것이다.

경영멘토와	경영/NNG+멘토/NNG+와/JC
법률멘토	법률/NNG+멘토/NNG
그룹의	그룹/NNG+의/JKG
가장	가장/MAG
큰	크/VA+ㄴ/ETM
성과는	성과/NNG+는/JX
투자자	투자자/NNG
관점에서	관점/NNG+에서/JKB
P2P투자	P/SL+2/SN+P/SL+투자/NNG
시	시/NNB
발생할	발생/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
사기·부실대출,	사기/NNG+·/SP+부실/NNG+대출/NNG+,/SP
이자연체,	이자/NNG+연체/NNG+,/SP
원금연체,	원금/NNG+연체/NNG+,/SP
허위펀딩,	허위/NNG+펀딩/NNG+,/SP
P2P회사	P/SL+2/SN+P/SL+회사/NNG
펀딩금액	펀딩/NNG+금액/NNG
유용,	유용/NNG+,/SP
부도,	부도/NNG+,/SP
대부업체	대부업체/NNG
부도로	부도/NNG+로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
리스크를	리스크/NNG+를/JKO
법률적으로	법률/NNG+적/XSN+으로/JKB
안전하게	안전/NNG+하/XSA+게/EC
보호받을	보호/NNG+받/XSV+을/ETM
펀딩플랫폼만의	펀딩/NNG+플랫폼/NNG+만/JX+의/JKG
‘투자보호장치(FP-5S)’를	‘/SS+투자/NNG+보호/NNG+장치/NNG+(/SS+FP/SL+-/SO+5/SN+S/SL+)/SS+’/SS+를/JKO
개발한	개발/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.84.8.1
삼성전자 출신의 펀딩플랫폼 유철종 대표는 “분야별 15년 이상 전문가들이 모여 설립한 펀딩플랫폼은 전문가의 노하우와 한국의 P2P금융산업을 만들어간다는 열정으로 올바른 P2P금융 생태계 조성에 앞장설 것”이라고 말했다.

삼성전자	삼성전자/NNP
출신의	출신/NNG+의/JKG
펀딩플랫폼	펀딩/NNG+플랫폼/NNG
유철종	유철종/NNP
대표는	대표/NNG+는/JX
“분야별	“/SS+분야/NNG+별/XSN
15년	15/SN+년/NNB
이상	이상/NNG
전문가들이	전문가/NNG+들/XSN+이/JKS
모여	모이/VV+어/EC
설립한	설립/NNG+하/XSV+ㄴ/ETM
펀딩플랫폼은	펀딩/NNG+플랫폼/NNG+은/JX
