# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.436
metadata : {}


# id : NWRW1800000038.436.1.1
[국정원 개혁안 충돌] 靑수석때 문재인 "국정원 對共수사권 유지해야"

[국정원	[/SS+국정원/NNG
개혁안	개혁안/NNG
충돌]	충돌/NNG+]/SS
靑수석때	靑/SH+수석/NNG+때/NNG
문재인	문재인/NNP
"국정원	"/SS+국정원/NNG
對共수사권	對共/SH+수사/NNG+권/XSN
유지해야"	유지/NNG+하/XSV+아야/EC+"/SS


# id : NWRW1800000038.436.2.1
盧정부 때 국정원 혁신팀 "수사권 폐지는 무리" 결론

盧정부	盧/SH+정부/NNG
때	때/NNG
국정원	국정원/NNG
혁신팀	혁신/NNG+팀/NNG
"수사권	"/SS+수사/NNG+권/XSN
폐지는	폐지/NNG+는/JX
무리"	무리/NNG+"/SS
결론	결론/NNG


# id : NWRW1800000038.436.3.1
국정원 대공(對共)수사권 폐지 문제는 노무현 정부 때도 검토했지만 현실적 한계 때문에 포기한 적이 있다.

국정원	국정원/NNG
대공(對共)수사권	대공/NNG+(/SS+對共/SH+)/SS+수사/NNG+권/XSN
폐지	폐지/NNG
문제는	문제/NNG+는/JX
노무현	노무현/NNP
정부	정부/NNG
때도	때/NNG+도/JX
검토했지만	검토/NNG+하/XSV+았/EP+지만/EC
현실적	현실/NNG+적/XSN
한계	한계/NNG
때문에	때문/NNB+에/JKB
포기한	포기/NNG+하/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000038.436.3.2
민주당은 지난 9월 당내 국정원법 개혁추진위원회 개혁안을 통해 "대공수사권을 포함한 기존 수사 기능을 검·경 등 다른 수사기관으로 전면 이관하도록 하겠다"고 발표했다.

민주당은	민주당/NNP+은/JX
지난	지나/VV+ㄴ/ETM
9월	9/SN+월/NNB
당내	당내/NNG
국정원법	국정원법/NNG
개혁추진위원회	개혁/NNG+추진/NNG+위원회/NNG
개혁안을	개혁안/NNG+을/JKO
통해	통하/VV+아/EC
"대공수사권을	"/SS+대공/NNG+수사/NNG+권/XSN+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
기존	기존/NNG
수사	수사/NNG
기능을	기능/NNG+을/JKO
검·경	검·경/NNG
등	등/NNB
다른	다른/MMD
수사기관으로	수사/NNG+기관/NNG+으로/JKB
전면	전면/NNG
이관하도록	이관/NNG+하/XSV+도록/EC
하겠다"고	하/VX+겠/EP+다/EF+"/SS+고/JKQ
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.436.4.1
국정원 자체 개혁안을 보고받은 12일에도 특위 간사인 문병호 의원은 "(수사권 이관은) 굉장히 중요한 부분이고, 어떻게 보면 국정원 개혁의 핵심적인 부분"이라고 말했다.

국정원	국정원/NNG
자체	자체/NNG
개혁안을	개혁안/NNG+을/JKO
보고받은	보고/NNG+받/XSV+은/ETM
12일에도	12/SN+일/NNB+에/JKB+도/JX
특위	특위/NNG
간사인	간사/NNG+이/VCP+ㄴ/ETM
문병호	문병호/NNP
의원은	의원/NNG+은/JX
"(수사권	"/SS+(/SS+수사/NNG+권/XSN
이관은)	이관/NNG+은/JX+)/SS
굉장히	굉장히/MAG
중요한	중요/NNG+하/XSA+ㄴ/ETM
부분이고,	부분/NNG+이/VCP+고/EC+,/SP
어떻게	어떻/VA+게/EC
보면	보/VV+면/EC
개혁의	개혁/NNG+의/JKG
핵심적인	핵심/NNG+적/XSN+이/VCP+ㄴ/ETM
부분"이라고	부분/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.436.5.1
