# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.153
metadata : {}


# id : NWRW1800000054.153.1.1
제2 옥시 사건 일으키면 문 닫을 각오해야

제2	제/XPN+2/SN
옥시	옥시/NNP
사건	사건/NNG
일으키면	일으키/VV+면/EC
문	문/NNG
닫을	닫/VV+을/ETM
각오해야	각오/NNG+하/XSV+아야/EC


# id : NWRW1800000054.153.2.1
공정위, 실손해액의 최대 3배 '징벌적 배상 '연내 도입하기로

공정위,	공정위/NNG+,/SP
실손해액의	실손해액/NNG+의/JKG
최대	최대/NNG
3배	3/SN+배/NNG
'징벌적	'/SS+징벌/NNG+적/XSN
배상	배상/NNG
'연내	'/SS+연내/NNG
도입하기로	도입/NNG+하/XSV+기/ETN+로/JKB


# id : NWRW1800000054.153.3.1
미국 미주리주 세인트루이스법원은 지난해 10월 "존슨즈 베이비 파우더를 40년간 쓰다 난소암에 걸렸다"며 존슨앤드존슨을 상대로 소송을 낸 60대 여성에게 7000만달러(약 829억원)를 배상하라고 판결했다.

미국	미국/NNP
미주리주	미주리주/NNP
세인트루이스법원은	세인트루이스법원/NNP+은/JX
지난해	지난해/NNG
10월	10/SN+월/NNB
"존슨즈	"/SS+존슨즈/NA
베이비	베이비/NNG
파우더를	파우더/NNG+를/JKO
40년간	40/SN+년/NNB+간/XSN
쓰다	쓰/VV+다/EC
난소암에	난소암/NNG+에/JKB
걸렸다"며	걸리/VV+었/EP+다/EF+"/SS+며/EC
존슨앤드존슨을	존슨앤드존슨/NNP+을/JKO
상대로	상대/NNG+로/JKB
소송을	소송/NNG+을/JKO
낸	내/VV+ㄴ/ETM
60대	60/SN+대/NNB
여성에게	여성/NNG+에게/JKB
7000만달러(약	7000/SN+만/NR+달러/NNB+(/SS+약/MMA
829억원)를	829/SN+억/NR+원/NNB+)/SS+를/JKO
배상하라고	배상/NNG+하/XSV+라고/EC
판결했다.	판결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.153.3.2
해당 제품이 난소암을 일으킨다는 명확한 결론은 나오지 않았지만, 오랫동안 위험성을 알리지 않은 기업의 책임을 엄하게 물은 것이다.

해당	해당/NNG
제품이	제품/NNG+이/JKS
난소암을	난소암/NNG+을/JKO
일으킨다는	일으키/VV+ㄴ다는/ETM
명확한	명확하/VA+ㄴ/ETM
결론은	결론/NNG+은/JX
나오지	나오/VV+지/EC
않았지만,	않/VX+았/EP+지만/EC+,/SP
오랫동안	오랫동안/NNG
위험성을	위험/NNG+성/XSN+을/JKO
알리지	알리/VV+지/EC
않은	않/VX+은/ETM
기업의	기업/NNG+의/JKG
책임을	책임/NNG+을/JKO
엄하게	엄하/VA+게/EC
물은	묻/VV+은/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.153.3.3
