# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.93
metadata : {}


# id : NWRW1800000049.93.1.1
[Rise Up, 충청!/인터뷰]이승훈 청주시장 “청주의 우수 농축산물 알릴 좋은 기회”

[Rise	[/SS+Rise/SL
Up,	Up/SL+,/SP
충청!/인터뷰]이승훈	충청/NNP+!/SF+//SP+인터뷰/NNG+]/SS+이승훈/NNP
청주시장	청주시장/NNG
“청주의	“/SS+청주/NNP+의/JKG
우수	우수/NNG
농축산물	농축산물/NNG
알릴	알리/VV+ㄹ/ETM
좋은	좋/VA+은/ETM
기회”	기회/NNG+”/SS


# id : NWRW1800000049.93.2.1
“청원생명축제는 청주지역에서 생산된 우수한 품질의 농축산물을 전국에 알리고, 시중보다 싼값에 판매해 도시와 농촌이 상생하는 의미가 있는 축제입니다.”

“청원생명축제는	“/SS+청원생명/NNP+축제/NNG+는/JX
청주지역에서	청주/NNP+지역/NNG+에서/JKB
생산된	생산/NNG+되/XSV+ㄴ/ETM
우수한	우수/NNG+하/XSA+ㄴ/ETM
품질의	품질/NNG+의/JKG
농축산물을	농축산물/NNG+을/JKO
전국에	전국/NNG+에/JKB
알리고,	알리/VV+고/EC+,/SP
시중보다	시중/NNG+보다/JKB
싼값에	싼값/NNG+에/JKB
판매해	판매/NNG+하/XSV+아/EC
도시와	도시/NNG+와/JC
농촌이	농촌/NNG+이/JKS
상생하는	상생/NNG+하/XSV+는/ETM
의미가	의미/NNG+가/JKS
있는	있/VA+는/ETM
축제입니다.”	축제/NNG+이/VCP+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000049.93.3.1
이승훈 청주시장(사진)은 “청원생명축제는 2014년 청주시와 통합한 청원군의 특산품을 알리고 도시 소비자들에게 우수 농축산물을 싸게 공급하기 위해 시작됐다”라며 “청주시와 청원군이 통합됐지만 축제의 상징성을 유지하기 위해 ‘청원생명’이라는 브랜드를 계속 사용하고 있다”고 27일 밝혔다.

이승훈	이승훈/NNP
청주시장(사진)은	청주시장/NNG+(/SS+사진/NNG+)/SS+은/JX
“청원생명축제는	“/SS+청원생명/NNP+축제/NNG+는/JX
2014년	2014/SN+년/NNB
청주시와	청주시/NNP+와/JKB
통합한	통합/NNG+하/XSV+ㄴ/ETM
청원군의	청원군/NNP+의/JKG
특산품을	특산품/NNG+을/JKO
알리고	알리/VV+고/EC
도시	도시/NNG
소비자들에게	소비자/NNG+들/XSN+에게/JKB
우수	우수/NNG
농축산물을	농축산물/NNG+을/JKO
싸게	싸/VA+게/EC
공급하기	공급/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
시작됐다”라며	시작/NNG+되/XSV+었/EP+다/EF+”/SS+이/VCP+라며/EC
“청주시와	“/SS+청주시/NNP+와/JC
청원군이	청원군/NNP+이/JKS
통합됐지만	통합/NNG+되/XSV+었/EP+지만/EC
축제의	축제/NNG+의/JKG
상징성을	상징/NNG+성/XSN+을/JKO
유지하기	유지/NNG+하/XSV+기/ETN
‘청원생명’이라는	‘/SS+청원생명/NNP+’/SS+이/VCP+라는/ETM
브랜드를	브랜드/NNG+를/JKO
계속	계속/MAG
사용하고	사용/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
27일	27/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.93.4.1
이 시장은 “올해 축제는 ‘생명’을 주제로 한 행사인 만큼 자연 환경을 그대로 살린 행사장이 눈길을 끌 것”이라고 설명했다.

이	이/NNP
시장은	시장/NNG+은/JX
“올해	“/SS+올해/NNG
축제는	축제/NNG+는/JX
‘생명’을	‘/SS+생명/NNG+’/SS+을/JKO
주제로	주제/NNG+로/JKB
한	하/VV+ㄴ/ETM
행사인	행사/NNG+이/VCP+ㄴ/ETM
만큼	만큼/NNB
자연	자연/NNG
환경을	환경/NNG+을/JKO
그대로	그대로/MAG
살린	살리/VV+ㄴ/ETM
