# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.71
metadata : {}


# id : NWRW1800000021.71.1.1
한그릇에 비벼낸 ‘자장면 문화사’

한그릇에	한/MMN+그릇/NNG+에/JKB
비벼낸	비비/VV+어/EC+내/VX+ㄴ/ETM
‘자장면	‘/SS+자장면/NNG
문화사’	문화사/NNG+’/SS


# id : NWRW1800000021.71.2.1
《“한국인이 하루에 먹는 자장면의 면발을 이으면 지구 한 바퀴 반을 돌 수 있는 길이다.”

《“한국인이	《/SS+“/SS+한국인/NNG+이/JKS
하루에	하루/NNG+에/JKB
먹는	먹/VV+는/ETM
자장면의	자장면/NNG+의/JKG
면발을	면발/NNG+을/JKO
이으면	잇/VV+으면/EC
지구	지구/NNG
한	한/MMN
바퀴	바퀴/NNB
반을	반/NNG+을/JKO
돌	돌/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
길이다.”	길이/NNG+이/VCP+다/EF+./SF+”/SS


# id : NWRW1800000021.71.3.1
“‘철가방’은 중국인들이 예전부터 음식을 나르던 나무상자에서 유래됐다는 주장도 있고 일본인들이 에도시대부터 우동을 배달시켜 먹을 때 사용하던 나무가방에서 유래됐다는 주장도 있다.

“‘철가방’은	“/SS+‘/SS+철가방/NNG+’/SS+은/JX
중국인들이	중국인/NNG+들/XSN+이/JKS
예전부터	예전/NNG+부터/JX
음식을	음식/NNG+을/JKO
나르던	나르/VV+던/ETM
나무상자에서	나무/NNG+상자/NNG+에서/JKB
유래됐다는	유래/NNG+되/XSV+었/EP+다는/ETM
주장도	주장/NNG+도/JX
있고	있/VA+고/EC
일본인들이	일본인/NNG+들/XSN+이/JKS
에도시대부터	에도/NNP+시대/NNG+부터/JX
우동을	우동/NNG+을/JKO
배달시켜	배달/NNG+시키/XSV+어/EC
먹을	먹/VV+을/ETM
때	때/NNG
사용하던	사용/NNG+하/XSV+던/ETM
나무가방에서	나무/NNG+가방/NNG+에서/JKB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000021.71.3.2
정확한 유래는 밝혀지지 않았지만 철가방은 한국디자인문화재단이 선정한 ‘코리아 디자인 목록’ 52개 가운데 하나다.”》

정확한	정확/NNG+하/XSA+ㄴ/ETM
유래는	유래/NNG+는/JX
밝혀지지	밝히/VV+어/EC+지/VX+지/EC
않았지만	않/VX+았/EP+지만/EC
철가방은	철가방/NNG+은/JX
한국디자인문화재단이	한국/NNP+디자인/NNG+문화/NNG+재단/NNG+이/JKS
선정한	선정/NNG+하/XSV+ㄴ/ETM
‘코리아	‘/SS+코리아/NNP
디자인	디자인/NNG
목록’	목록/NNG+’/SS
52개	52/SN+개/NNB
가운데	가운데/NNG
하나다.”》	하나/NR+이/VCP+다/EF+./SF+”/SS+》/SS


# id : NWRW1800000021.71.4.1
자장면을 소재로 한 이색 학술서가 나왔다.

자장면을	자장면/NNG+을/JKO
소재로	소재/NNG+로/JKB
한	하/VV+ㄴ/ETM
이색	이색/NNG
학술서가	학술서/NNG+가/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.71.4.2
제목은 ‘짜장면 뎐(傳)’(프로네시스).

제목은	제목/NNG+은/JX
‘짜장면	‘/SS+짜장면/NNG
뎐(傳)’(프로네시스).	뎐/NNG+(/SS+傳/SH+)/SS+’/SS+(/SS+프로네시스/NNP+)/SS+./SF


# id : NWRW1800000021.71.4.3
한양대에서 중국어와 중국 문화를 가르치는 양세욱 연구교수(37)가 쓴 책이다.

한양대에서	한양대/NNP+에서/JKB
중국어와	중국어/NNP+와/JC
중국	중국/NNP
문화를	문화/NNG+를/JKO
가르치는	가르치/VV+는/ETM
양세욱	양세욱/NNP
연구교수(37)가	연구/NNG+교수/NNG+(/SS+37/SN+)/SS+가/JKS
쓴	쓰/VV+ㄴ/ETM
책이다.	책/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.71.4.4
머리말이 마치 무협지의 도입부처럼 비장하다.

머리말이	머리말/NNG+이/JKS
마치	마치/MAG
무협지의	무협지/NNG+의/JKG
도입부처럼	도입부/NNG+처럼/JKB
비장하다.	비장하/VA+다/EF+./SF


# id : NWRW1800000021.71.5.1
‘한국과 중국 두 나라가 근대적 외교 관계를 모색하던 19세기 말, 자장면은 어떤 이의 주목도 받지 못하고 조용히 황해를 건너 한반도에 상륙했다.

‘한국과	‘/SS+한국/NNP+과/JC
중국	중국/NNP
두	두/MMN
나라가	나라/NNG+가/JKS
근대적	근대/NNG+적/XSN
외교	외교/NNG
관계를	관계/NNG+를/JKO
모색하던	모색/NNG+하/XSV+던/ETM
19세기	19/SN+세기/NNG
말,	말/NNB+,/SP
자장면은	자장면/NNG+은/JX
어떤	어떤/MMD
이의	이/NNB+의/JKG
주목도	주목/NNG+도/JX
