# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.90
metadata : {}


# id : NWRW1800000033.90.1.1
[이제는 공존이다]GS칼텍스 - 매년 100억원씩 출연, 사회공헌활동은 계속된다

[이제는	[/SS+이제/NNG+는/JX
공존이다]GS칼텍스	공존/NNG+이/VCP+다/EF+]/SS+GS칼텍스/NNP
-	-/SO
매년	매년/MAG
100억원씩	100/SN+억/NR+원/NNB+씩/XSN
출연,	출연/NNG+,/SP
사회공헌활동은	사회/NNG+공헌/NNG+활동/NNG+은/JX
계속된다	계속/NNG+되/XSV+ㄴ다/EF


# id : NWRW1800000033.90.2.1
GS칼텍스는 ‘에너지로 나누는 아름다운 세상’이라는 슬로건 아래 지역사회 및 협력기업들과 상생의 문화를 만들어 나가고 있다.

GS칼텍스는	GS칼텍스/NNP+는/JX
‘에너지로	‘/SS+에너지/NNG+로/JKB
나누는	나누/VV+는/ETM
아름다운	아름답/VA+ㄴ/ETM
세상’이라는	세상/NNG+’/SS+이/VCP+라는/ETM
슬로건	슬로건/NNG
아래	아래/NNG
지역사회	지역/NNG+사회/NNG
및	및/MAG
협력기업들과	협력/NNG+기업/NNG+들/XSN+과/JKB
상생의	상생/NNG+의/JKG
문화를	문화/NNG+를/JKO
만들어	만들/VV+어/EC
나가고	나가/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.90.3.1
이 회사는 2005년 사회공헌사업을 전담하는 팀을 신설한 뒤 어린이 환경교육, 아토피 등 환경성 질환을 않는 어린이 지원.

이	이/MMD
회사는	회사/NNG+는/JX
2005년	2005/SN+년/NNB
사회공헌사업을	사회/NNG+공헌/NNG+사업/NNG+을/JKO
전담하는	전담/NNG+하/XSV+는/ETM
팀을	팀/NNG+을/JKO
신설한	신설/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
어린이	어린이/NNG
환경교육,	환경/NNG+교육/NNG+,/SP
아토피	아토피/NNG
등	등/NNB
환경성	환경/NNG+성/XSN
질환을	질환/NNG+을/JKO
않는	않/VV+는/ETM
지원.	지원/NNG+./SF


# id : NWRW1800000033.90.3.2
캄보디아 등에서 식수난을 겪는 지역민 돕기 등의 일을 해오고 있다.

캄보디아	캄보디아/NNP
등에서	등/NNB+에서/JKB
식수난을	식수난/NNG+을/JKO
겪는	겪/VV+는/ETM
지역민	지역민/NNG
돕기	돕/VV+기/ETN
등의	등/NNB+의/JKG
일을	일/NNG+을/JKO
해오고	하/VV+아/EC+오/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.90.4.1
2006년 8월에는 보다 적극적으로 사회공헌활동을 해나가기 위해 ‘GS칼텍스재단’을 설립했다.

2006년	2006/SN+년/NNB
8월에는	8/SN+월/NNB+에/JKB+는/JX
