# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.325
metadata : {}


# id : NWRW1800000033.325.1.1
北 “더 큰 로켓-정지 위성 개발 착수”

北	北/SH
“더	“/SS+더/MAG
큰	크/VA+ㄴ/ETM
로켓-정지	로켓/NNG+-/SO+정지/NNG
위성	위성/NNG
개발	개발/NNG
착수”	착수/NNG+”/SS


# id : NWRW1800000033.325.2.1
북한이 실패로 끝난 ‘광명성 3호’ 위성 발사는 우주개발 5개년 계획의 일환이었으며 추가로 대형 로켓과 기술적 난이도가 높은 정지위성의 개발에 착수한다고 밝혔다.

북한이	북한/NNP+이/JKS
실패로	실패/NNG+로/JKB
끝난	끝나/VV+ㄴ/ETM
‘광명성	‘/SS+광명성/NNP
3호’	3/SN+호/NNB+’/SS
위성	위성/NNG
발사는	발사/NNG+는/JX
우주개발	우주/NNG+개발/NNG
5개년	5/SN+개년/NNB
계획의	계획/NNG+의/JKG
일환이었으며	일환/NNG+이/VCP+었/EP+으며/EC
추가로	추가/NNG+로/JKB
대형	대형/NNG
로켓과	로켓/NNG+과/JC
기술적	기술/NNG+적/XSN
난이도가	난이도/NNG+가/JKS
높은	높/VA+은/ETM
정지위성의	정지/NNG+위성/NNG+의/JKG
개발에	개발/NNG+에/JKB
착수한다고	착수/NNG+하/XSV+ㄴ다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.325.2.2
국제사회의 경고에도 불구하고 장거리로켓 발사를 계속하겠다고 공언한 셈이다.

국제사회의	국제/NNG+사회/NNG+의/JKG
경고에도	경고/NNG+에/JKB+도/JX
불구하고	불구하/VV+고/EC
장거리로켓	장거리/NNG+로켓/NNG
발사를	발사/NNG+를/JKO
계속하겠다고	계속/NNG+하/XSV+겠/EP+다고/EC
공언한	공언/NNG+하/XSV+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.325.3.1
