# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.150
metadata : {}


# id : NWRW1800000025.150.1.1
[광역단체장 후보 24시 밀착 르포]<4> 서울시장

[광역단체장	[/SS+광역/NNG+단체장/NNG
후보	후보/NNG
24시	24/SN+시/NNB
밀착	밀착/NNG
르포]<4>	르포/NNG+]/SS+</SS+4/SN+>/SS
서울시장	서울시장/NNG


# id : NWRW1800000025.150.2.1
《서울시장 선거는 6·2지방선거의 ‘꽃’이다.

《서울시장	《/SS+서울시장/NNG
선거는	선거/NNG+는/JX
6·2지방선거의	6/SN+·/SP+2/SN+지방/NNG+선거/NNG+의/JKG
‘꽃’이다.	‘/SS+꽃/NNG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000025.150.2.2
선거 결과가 전체 지방선거의 승패를 가늠하는 지표인 데다 2012년 대선 지형에도 상당한 영향을 미칠 수 있기 때문이다.

선거	선거/NNG
결과가	결과/NNG+가/JKS
전체	전체/NNG
지방선거의	지방/NNG+선거/NNG+의/JKG
승패를	승패/NNG+를/JKO
가늠하는	가늠/NNG+하/XSV+는/ETM
지표인	지표/NNG+이/VCP+ㄴ/ETM
데다	데/NNB+다/JX
2012년	2012/SN+년/NNB
대선	대선/NNG
지형에도	지형/NNG+에/JKB+도/JX
상당한	상당/NNG+하/XSA+ㄴ/ETM
영향을	영향/NNG+을/JKO
미칠	미치/VV+ㄹ/ETM
수	수/NNB
있기	있/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000025.150.2.3
지방선거를 사흘 앞둔 마지막 주말 한나라당 오세훈, 민주당 한명숙 후보는 서울 곳곳을 누비며 총력 유세전을 펼쳤다.

지방선거를	지방/NNG+선거/NNG+를/JKO
사흘	사흘/NNG
앞둔	앞두/VV+ㄴ/ETM
마지막	마지막/NNG
주말	주말/NNG
한나라당	한나라당/NNP
오세훈,	오세훈/NNP+,/SP
민주당	민주당/NNP
한명숙	한명숙/NNP
후보는	후보/NNG+는/JX
서울	서울/NNP
곳곳을	곳곳/NNG+을/JKO
누비며	누비/VV+며/EC
총력	총력/NNG
유세전을	유세전/NNG+을/JKO
펼쳤다.	펼치/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.150.2.4
민선시장으로는 처음으로 재선에 도전하는 오 후보와 최초 여성시장을 꿈꾸는 한 후보를 30일 동행 취재했다.》

민선시장으로는	민선/NNG+시장/NNG+으로/JKB+는/JX
처음으로	처음/NNG+으로/JKB
재선에	재선/NNG+에/JKB
도전하는	도전/NNG+하/XSV+는/ETM
오	오/NNP
후보와	후보/NNG+와/JC
최초	최초/NNG
여성시장을	여성/NNG+시장/NNG+을/JKO
꿈꾸는	꿈꾸/VV+는/ETM
한	한/NNP
후보를	후보/NNG+를/JKO
30일	30/SN+일/NNB
동행	동행/NNG
취재했다.》	취재/NNG+하/XSV+았/EP+다/EF+./SF+》/SS


# id : NWRW1800000025.150.3.1
■한나라당 오세훈 후보

■한나라당	■/SW+한나라당/NNP
오세훈	오세훈/NNP
후보	후보/NNG


# id : NWRW1800000025.150.4.1
30일 한나라당 오세훈 서울시장 후보가 움직이는 곳엔 어김없이 ‘아줌마 부대’가 따라 붙었다.

30일	30/SN+일/NNB
한나라당	한나라당/NNP
오세훈	오세훈/NNP
서울시장	서울시장/NNG
후보가	후보/NNG+가/JKS
움직이는	움직이/VV+는/ETM
곳엔	곳/NNG+에/JKB+ㄴ/JX
어김없이	어김없이/MAG
‘아줌마	‘/SS+아줌마/NNG
부대’가	부대/NNG+’/SS+가/JKS
따라	따르/VV+아/EC
붙었다.	붙/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.150.4.2
‘카메라 세례’가 쏟아졌다.

‘카메라	‘/SS+카메라/NNG
세례’가	세례/NNG+’/SS+가/JKS
쏟아졌다.	쏟아지/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.150.4.3
같은 당 운동원들까지 그와 사진을 찍기 위해 ‘본연의 일’을 제쳐둘 정도였다.

같은	같/VA+은/ETM
당	당/NNG
운동원들까지	운동원/NNG+들/XSN+까지/JX
그와	그/NP+와/JKB
사진을	사진/NNG+을/JKO
찍기	찍/VV+기/ETN
위해	위하/VV+아/EC
‘본연의	‘/SS+본연/NNG+의/JKG
일’을	일/NNG+’/SS+을/JKO
제쳐둘	제치/VV+어/EC+두/VX+ㄹ/ETM
정도였다.	정도/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000025.150.4.4
성급하지만 당내에서 오 후보를 ‘수도권의 박근혜(전 대표)’라고 부르는 이유가 실감났다.

성급하지만	성급하/VA+지만/EC
당내에서	당내/NNG+에서/JKB
오	오/NNP
후보를	후보/NNG+를/JKO
‘수도권의	‘/SS+수도/NNG+권/XSN+의/JKG
박근혜(전	박근혜/NNP+(/SS+전/MMD
대표)’라고	대표/NNG+)/SS+’/SS+라고/JKQ
부르는	부르/VV+는/ETM
이유가	이유/NNG+가/JKS
실감났다.	실감/NNG+나/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.150.5.1
오 후보는 이날 당사에서 수도권 3개 광역단체장 후보 기자회견에 참석한 뒤 서울 구로구 동작구 성동구 강동구의 현장을 찾았다.

오	오/NNP
후보는	후보/NNG+는/JX
이날	이날/NNG
당사에서	당사/NNG+에서/JKB
수도권	수도/NNG+권/XSN
3개	3/SN+개/NNB
광역단체장	광역/NNG+단체장/NNG
후보	후보/NNG
기자회견에	기자/NNG+회견/NNG+에/JKB
참석한	참석/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
서울	서울/NNP
구로구	구로구/NNP
동작구	동작구/NNP
성동구	성동구/NNP
강동구의	강동구/NNP+의/JKG
현장을	현장/NNG+을/JKO
찾았다.	찾/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.150.5.2
‘40대 젊은 시장’의 이미지를 강조하려는 듯 자신의 이름과 기호(1번)가 적힌 야구 모자를 쓰고 하늘색 와이셔츠를 입었다.

‘40대	‘/SS+40/SN+대/NNB
젊은	젊/VA+은/ETM
시장’의	시장/NNG+’/SS+의/JKG
이미지를	이미지/NNG+를/JKO
강조하려는	강조/NNG+하/XSV+려는/ETM
듯	듯/NNB
자신의	자신/NNG+의/JKG
이름과	이름/NNG+과/JC
기호(1번)가	기호/NNG+(/SS+1/SN+번/NNB+)/SS+가/JKS
적힌	적히/VV+ㄴ/ETM
야구	야구/NNG
모자를	모자/NNG+를/JKO
쓰고	쓰/VV+고/EC
하늘색	하늘색/NNG
와이셔츠를	와이셔츠/NNG+를/JKO
입었다.	입/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.150.5.3
막판 현장을 찾은 이 지역들은 대부분 경합 내지 열세 지역으로 분류된 곳.

막판	막판/NNG
현장을	현장/NNG+을/JKO
찾은	찾/VV+은/ETM
이	이/MMD
지역들은	지역/NNG+들/XSN+은/JX
대부분	대/XPN+부분/NNG
경합	경합/NNG
내지	내지/MAG
열세	열세/NNG
지역으로	지역/NNG+으로/JKB
분류된	분류/NNG+되/XSV+ㄴ/ETM
곳.	곳/NNG+./SF


# id : NWRW1800000025.150.5.4
특히 오 후보가 구로구를 찾은 것은 선거운동 기간 이번이 세 번째다.

특히	특히/MAG
오	오/NNP
후보가	후보/NNG+가/JKS
구로구를	구로구/NNP+를/JKO
찾은	찾/VV+은/ETM
것은	것/NNB+은/JX
선거운동	선거/NNG+운동/NNG
기간	기간/NNG
이번이	이번/NNG+이/JKS
세	세/MMN
번째다.	번/NNB+째/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000025.150.6.1
첫 유세 현장인 구로구 신도림역에서 오 후보는 “일 잘하고 깨끗한 후보가 누구냐”라며 자신에 대한 지지를 호소했다.

첫	첫/MMN
유세	유세/NNG
현장인	현장/NNG+이/VCP+ㄴ/ETM
구로구	구로구/NNP
신도림역에서	신도림역/NNP+에서/JKB
오	오/NNP
후보는	후보/NNG+는/JX
“일	“/SS+일/NNG
잘하고	잘/MAG+하/XSV+고/EC
