# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.77
metadata : {}


# id : NWRW1800000049.77.1.1
[It's Design]SK그룹 티움, T전화, 스마트빔 아트… 세계적 디자인상 잇따라 수상

[It's	[/SS+It/SL+'/SS+s/SL
Design]SK그룹	Design/SL+]/SS+SK그룹/NNP
티움,	티움/NNP+,/SP
T전화,	T/SL+전화/NNG+,/SP
스마트빔	스마트/NNG+빔/NNG
아트…	아트/NNG+…/SE
세계적	세계/NNG+적/XSN
디자인상	디자인상/NNG
잇따라	잇따르/VV+아/EC
수상	수상/NNG


# id : NWRW1800000049.77.2.1
SK그룹은 브랜드 가치 제고를 위해 2010년 ‘디자인소위원회’를 발족하며 디자인 경영의 첫발을 내디뎠다.

SK그룹은	SK그룹/NNP+은/JX
브랜드	브랜드/NNG
가치	가치/NNG
제고를	제고/NNG+를/JKO
위해	위하/VV+아/EC
2010년	2010/SN+년/NNB
‘디자인소위원회’를	‘/SS+디자인/NNG+소/XPN+위원회/NNG+’/SS+를/JKO
발족하며	발족/NNG+하/XSV+며/EC
디자인	디자인/NNG
경영의	경영/NNG+의/JKG
첫발을	첫발/NNG+을/JKO
내디뎠다.	내디디/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.77.2.2
SK는 관계사 담당 부서의 심층 인터뷰를 바탕으로 디자인 경영에 대한 각 관계사의 니즈를 도출하고, 디자인 경영의 기본 방향과 영역을 설정했다.

SK는	SK/SL+는/JX
관계사	관계사/NNG
담당	담당/NNG
부서의	부서/NNG+의/JKG
심층	심층/NNG
인터뷰를	인터뷰/NNG+를/JKO
바탕으로	바탕/NNG+으로/JKB
디자인	디자인/NNG
경영에	경영/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
각	각/MMD
관계사의	관계사/NNG+의/JKG
니즈를	니즈/NNG+를/JKO
도출하고,	도출/NNG+하/XSV+고/EC+,/SP
경영의	경영/NNG+의/JKG
기본	기본/NNG
방향과	방향/NNG+과/JC
영역을	영역/NNG+을/JKO
설정했다.	설정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.77.2.3
이를 통해 관계사들의 사옥과 매장, 영업점, 제품과 서비스의 하드웨어적인 디자인을 개선하는 한편, 제품 및 서비스에서 ‘SK다움’을 구현할 수 있도록 일관된 디자인 경영의 가이드를 확산했다.

이를	이/NP+를/JKO
통해	통하/VV+아/EC
관계사들의	관계사/NNG+들/XSN+의/JKG
사옥과	사옥/NNG+과/JC
매장,	매장/NNG+,/SP
영업점,	영업점/NNG+,/SP
제품과	제품/NNG+과/JC
서비스의	서비스/NNG+의/JKG
하드웨어적인	하드웨어/NNG+적/XSN+이/VCP+ㄴ/ETM
디자인을	디자인/NNG+을/JKO
개선하는	개선/NNG+하/XSV+는/ETM
한편,	한편/MAG+,/SP
제품	제품/NNG
및	및/MAG
서비스에서	서비스/NNG+에서/JKB
‘SK다움’을	‘/SS+SK/SL+답/XSA+ㅁ/ETN+’/SS+을/JKO
구현할	구현/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있도록	있/VA+도록/EC
일관된	일관/NNG+되/XSV+ㄴ/ETM
디자인	디자인/NNG
경영의	경영/NNG+의/JKG
가이드를	가이드/NNG+를/JKO
확산했다.	확산/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.77.3.1
SK는 2010년 디자인 경영의 큰 그림을 그린 뒤 2011년 SK 기업 문화의 근간을 이루는 ‘SKMS 연구소’ 건축 사업을 이끌며 SK다움을 구현했다.

SK는	SK/SL+는/JX
2010년	2010/SN+년/NNB
디자인	디자인/NNG
경영의	경영/NNG+의/JKG
큰	크/VA+ㄴ/ETM
그림을	그림/NNG+을/JKO
그린	그리/VV+ㄴ/ETM
뒤	뒤/NNG
2011년	2011/SN+년/NNB
SK	SK/SL
기업	기업/NNG
문화의	문화/NNG+의/JKG
근간을	근간/NNG+을/JKO
이루는	이루/VV+는/ETM
‘SKMS	‘/SS+SKMS/SL
연구소’	연구소/NNG+’/SS
건축	건축/NNG
사업을	사업/NNG+을/JKO
이끌며	이끌/VV+며/EC
SK다움을	SK/SL+답/XSA+ㅁ/ETN+을/JKO
구현했다.	구현/NNG+하/XSV+았/EP+다/EF+./SF


