# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.77
metadata : {}


# id : NWRW1800000052.77.1.1
오키나와 기노완시장 선거 아베정권 지지후보 당선

오키나와	오키나와/NNP
기노완시장	기노완/NNP+시장/NNG
선거	선거/NNG
아베정권	아베/NNP+정권/NNG
지지후보	지지/NNG+후보/NNG
당선	당선/NNG


# id : NWRW1800000052.77.2.1
‘후텐마 기지 이전’ 반대운동 타격

‘후텐마	‘/SS+후텐마/NNP
기지	기지/NNG
이전’	이전/NNG+’/SS
반대운동	반대/NNG+운동/NNG
타격	타격/NNG


# id : NWRW1800000052.77.3.1
25일 오전 도쿄 총리관저에서 기자들과 얼굴을 마주한 아베 신조 일본 총리는 여느 때와 달리 밝은 모습이었다.

25일	25/SN+일/NNB
오전	오전/NNG
도쿄	도쿄/NNP
총리관저에서	총리/NNG+관저/NNG+에서/JKB
기자들과	기자/NNG+들/XSN+과/JKB
얼굴을	얼굴/NNG+을/JKO
마주한	마주/MAG+하/XSV+ㄴ/ETM
아베	아베/NNP
신조	신조/NNP
일본	일본/NNP
총리는	총리/NNG+는/JX
여느	여느/MMA
때와	때/NNG+와/JKB
달리	달리/MAG
밝은	밝/VA+은/ETM
모습이었다.	모습/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000052.77.3.2
그는 전날 치러진 오키나와현 기노완시 시장 선거에 대한 기자들의 질문을 받고 “잘됐다”고 짧은 소감을 밝혔다.

그는	그/NP+는/JX
전날	전날/NNG
치러진	치르/VV+어/EC+지/VX+ㄴ/ETM
오키나와현	오키나와현/NNP
기노완시	기노완시/NNP
시장	시장/NNG
선거에	선거/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
기자들의	기자/NNG+들/XSN+의/JKG
질문을	질문/NNG+을/JKO
받고	받/VV+고/EC
“잘됐다”고	“/SS+잘/MAG+되/XSV+었/EP+다/EF+”/SS+고/JKQ
짧은	짧/VA+은/ETM
소감을	소감/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.77.4.1
24일 치러진 기노완시 시장 선거는 현재 일본 사회의 최대 현안 가운데 하나인 미 해병대 후텐마 기지의 헤노코 이전을 둘러싼 찬반을 묻는 선거로 큰 관심을 모아왔다.

24일	24/SN+일/NNB
치러진	치르/VV+어/EC+지/VX+ㄴ/ETM
기노완시	기노완시/NNP
시장	시장/NNG
선거는	선거/NNG+는/JX
현재	현재/MAG
일본	일본/NNP
사회의	사회/NNG+의/JKG
최대	최대/NNG
현안	현안/NNG
가운데	가운데/NNG
하나인	하나/NR+이/VCP+ㄴ/ETM
미	미/NNP
해병대	해병대/NNG
후텐마	후텐마/NNP
기지의	기지/NNG+의/JKG
헤노코	헤노코/NNP
이전을	이전/NNG+을/JKO
둘러싼	둘러싸/VV+ㄴ/ETM
찬반을	찬반/NNG+을/JKO
묻는	묻/VV+는/ETM
선거로	선거/NNG+로/JKB
큰	크/VA+ㄴ/ETM
관심을	관심/NNG+을/JKO
모아왔다.	모으/VV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000052.77.4.2
기노완시는 후텐마 기지가 위치해 있는 지역이어서, 찬반 양쪽 모두 승리가 절실한 상황이었다.

기노완시는	기노완시/NNP+는/JX
후텐마	후텐마/NNP
기지가	기지/NNG+가/JKS
위치해	위치/NNG+하/XSV+아/EC
있는	있/VX+는/ETM
지역이어서,	지역/NNG+이/VCP+어서/EC+,/SP
찬반	찬반/NNG
양쪽	양쪽/NNG
모두	모두/MAG
승리가	승리/NNG+가/JKS
절실한	절실하/VA+ㄴ/ETM
상황이었다.	상황/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000052.77.4.3
특히, 기지 이전 반대파인 오나가 다케시 오키나와현 지사는 “우리가 지면 (일본 정부는) 헤노코 이전을 반대하는 민의가 사라졌다고 선전할 것”이라며 선거 결과에 따라 반대 운동이 큰 타격을 받을 가능성을 우려한 바 있다.

특히,	특히/MAG+,/SP
기지	기지/NNG
이전	이전/NNG
반대파인	반대파/NNG+이/VCP+ㄴ/ETM
오나가	오나가/NNP
다케시	다케시/NNP
오키나와현	오키나와현/NNP
지사는	지사/NNG+는/JX
“우리가	“/SS+우리/NP+가/JKS
지면	지/VV+면/EC
(일본	(/SS+일본/NNP
정부는)	정부/NNG+는/JX+)/SS
헤노코	헤노코/NNP
이전을	이전/NNG+을/JKO
반대하는	반대/NNG+하/XSV+는/ETM
민의가	민의/NNG+가/JKS
사라졌다고	사라지/VV+었/EP+다고/EC
선전할	선전/NNG+하/XSV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
선거	선거/NNG
결과에	결과/NNG+에/JKB
따라	따르/VV+아/EC
반대	반대/NNG
운동이	운동/NNG+이/JKS
큰	크/VA+ㄴ/ETM
타격을	타격/NNG+을/JKO
받을	받/VV+을/ETM
가능성을	가능/NNG+성/XSN+을/JKO
우려한	우려/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000052.77.4.4
오나가 지사는 일본 전체 면적의 1~2%에 불과한 오키나와에 전체 주일 미군기지의 74%가 집중돼 있는 것은 잘못이라며 후텐마 기지의 ‘현내 이전’이 아닌 ‘무조건 반환’을 요구해왔다.

오나가	오나가/NNP
지사는	지사/NNG+는/JX
일본	일본/NNP
전체	전체/NNG
면적의	면적/NNG+의/JKG
1~2%에	1/SN+~/SO+2/SN+%/SW+에/JKB
불과한	불과/MAG+하/XSA+ㄴ/ETM
오키나와에	오키나와/NNP+에/JKB
주일	주일/NNG
미군기지의	미군/NNG+기지/NNG+의/JKG
74%가	74/SN+%/SW+가/JKS
집중돼	집중/NNG+되/XSV+어/EC
있는	있/VX+는/ETM
것은	것/NNB+은/JX
잘못이라며	잘못/NNG+이/VCP+라며/EC
후텐마	후텐마/NNP
기지의	기지/NNG+의/JKG
‘현내	‘/SS+현/NNG+내/NNB
이전’이	이전/NNG+’/SS+이/JKC
아닌	아니/VCN+ㄴ/ETM
‘무조건	‘/SS+무/XPN+조건/NNG
반환’을	반환/NNG+’/SS+을/JKO
요구해왔다.	요구/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000052.77.5.1
그러나 승리한 것은 기지 이전 찬성파였다.

그러나	그러나/MAJ
승리한	승리/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
기지	기지/NNG
이전	이전/NNG
찬성파였다.	찬성파/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000052.77.5.2
자민당과 공명당의 추천은 받은 ‘찬성파’ 사키마 아쓰시(51) 시장이 2만7668표를 획득해 2만1811표를 얻은 ‘반대파’ 시무라 게이치로(63) 후보를 꺾었다.

자민당과	자민당/NNP+과/JC
공명당의	공명당/NNP+의/JKG
추천은	추천/NNG+은/JX
받은	받/VV+은/ETM
‘찬성파’	‘/SS+찬성파/NNG+’/SS
사키마	사키마/NNP
아쓰시(51)	아쓰시/NNP+(/SS+51/SN+)/SS
시장이	시장/NNG+이/JKS
2만7668표를	2/SN+만/NR+7668/SN+표/NNG+를/JKO
획득해	획득/NNG+하/XSV+아/EC
2만1811표를	2/SN+만/NR+1811/SN+표/NNG+를/JKO
얻은	얻/VV+은/ETM
‘반대파’	‘/SS+반대파/NNG+’/SS
시무라	시무라/NNP
게이치로(63)	게이치로/NNP+(/SS+63/SN+)/SS
후보를	후보/NNG+를/JKO
꺾었다.	꺾/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.77.5.3
일본 언론들은 이번 승리를 등에 업은 일본 정부가 기지 이전 작업에 박차를 가할 것으로 전망하고 있다.

일본	일본/NNP
언론들은	언론/NNG+들/XSN+은/JX
이번	이번/NNG
승리를	승리/NNG+를/JKO
등에	등/NNG+에/JKB
업은	업/VV+은/ETM
정부가	정부/NNG+가/JKS
기지	기지/NNG
이전	이전/NNG
작업에	작업/NNG+에/JKB
박차를	박차/NNG+를/JKO
가할	가하/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망하고	전망/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.77.5.4
나카타니 겐 방위상은 25일 “오키나와 기지 부담을 줄이고 후텐마 기지를 조기에 이전시키기 위해 할 수 있는 모든 것을 시행해 하루라도 빨리 위험성을 제거하겠다”고 말했다.

나카타니	나카타니/NNP
겐	겐/NNP
방위상은	방위상/NNG+은/JX
25일	25/SN+일/NNB
“오키나와	“/SS+오키나와/NNP
기지	기지/NNG
부담을	부담/NNG+을/JKO
줄이고	줄이/VV+고/EC
후텐마	후텐마/NNP
기지를	기지/NNG+를/JKO
조기에	조기/NNG+에/JKB
이전시키기	이전/NNG+시키/XSV+기/ETN
위해	위하/VV+아/EC
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
모든	모든/MMN
것을	것/NNB+을/JKO
시행해	시행/NNG+하/XSV+아/EC
하루라도	하루/NNG+이/VCP+라도/EC
빨리	빨리/MAG
위험성을	위험/NNG+성/XSN+을/JKO
제거하겠다”고	제거/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.77.6.1
이번 선거 결과로 인해 기지 이전을 반대해 온 오키나와의 시민운동은 큰 어려움에 빠질 것으로 보인다.

이번	이번/NNG
선거	선거/NNG
결과로	결과/NNG+로/JKB
인해	인/NNG+하/XSV+아/EC
기지	기지/NNG
이전을	이전/NNG+을/JKO
반대해	반대/NNG+하/XSV+아/EC
온	오/VX+ㄴ/ETM
오키나와의	오키나와/NNP+의/JKG
시민운동은	시민운동/NNG+은/JX
큰	크/VA+ㄴ/ETM
어려움에	어려움/NNG+에/JKB
빠질	빠지/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


