# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.274
metadata : {}


# id : NWRW1800000038.274.1.1
[조선일보를 읽고] 새내기들, '신문 읽기'로 캠퍼스 생활 시작을

[조선일보를	[/SS+조선일보/NNP+를/JKO
읽고]	읽/VV+고/EC+]/SS
새내기들,	새내기/NNG+들/XSN+,/SP
'신문	'/SS+신문/NNG
읽기'로	읽/VV+기/ETN+'/SS+로/JKB
캠퍼스	캠퍼스/NNG
생활	생활/NNG
시작을	시작/NNG+을/JKO


# id : NWRW1800000038.274.2.1
매일 나는 신문을 읽는다.

매일	매일/MAG
나는	나/NP+는/JX
신문을	신문/NNG+을/JKO
읽는다.	읽/VV+는다/EF+./SF


# id : NWRW1800000038.274.2.2
내가 신문에 대한 관심을 가지게 된 데는 과 동기의 영향이 컸다.

내가	내/NP+가/JKS
신문에	신문/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
관심을	관심/NNG+을/JKO
가지게	가지/VV+게/EC
된	되/VV+ㄴ/ETM
데는	데/NNB+는/JX
과	과/NNG
동기의	동기/NNG+의/JKG
영향이	영향/NNG+이/JKS
컸다.	크/VA+었/EP+다/EF+./SF


# id : NWRW1800000038.274.2.3
갓 대학에 입학한 당시에 친구들과 정치 이야기를 하면서 때때로 논쟁을 벌일 때도 있었다.

갓	갓/MAG
대학에	대학/NNG+에/JKB
입학한	입학/NNG+하/XSV+ㄴ/ETM
당시에	당시/NNG+에/JKB
친구들과	친구/NNG+들/XSN+과/JKB
정치	정치/NNG
이야기를	이야기/NNG+를/JKO
하면서	하/VV+면서/EC
때때로	때때로/MAG
논쟁을	논쟁/NNG+을/JKO
벌일	벌이/VV+ㄹ/ETM
때도	때/NNG+도/JX
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000038.274.2.4
그러나 당시 나는 주요 일간지는커녕 인터넷 신문조차 보지 않았던 터라 '△△위원회' '○○계파' 등과 같은 용어가 익숙하지 않았고, 과거 여러 정부의 정책과 성향에 대한 나의 주관이 거의 없다는 점을 깨달았기 때문이다.

그러나	그러나/MAJ
당시	당시/NNG
나는	나/NP+는/JX
주요	주요/NNG
일간지는커녕	일간지/NNG+는커녕/JX
인터넷	인터넷/NNG
신문조차	신문/NNG+조차/JX
보지	보/VV+지/EC
않았던	않/VX+았/EP+던/ETM
터라	터/NNB+이/VCP+라/EC
'△△위원회'	'/SS+△/SW+△/SW+위원회/NNG+'/SS
'○○계파'	'/SS+○/SW+○/SW+계파/NNG+'/SS
등과	등/NNB+과/JKB
같은	같/VA+은/ETM
용어가	용어/NNG+가/JKS
익숙하지	익숙하/VA+지/EC
