# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.309
metadata : {}


# id : NWRW1800000036.309.1.1
위기의 배드민턴, 돌아온 김중수

위기의	위기/NNG+의/JKG
배드민턴,	배드민턴/NNG+,/SP
돌아온	돌아오/VV+ㄴ/ETM
김중수	김중수/NNP


# id : NWRW1800000036.309.2.1
[한겨레] 한국대표팀 감독 다시 맡아

[한겨레]	[/SS+한겨레/NNP+]/SS
한국대표팀	한국/NNP+대표/NNG+팀/NNG
감독	감독/NNG
다시	다시/MAG
맡아	맡/VV+아/EF


# id : NWRW1800000036.309.3.1
“흐트러진 팀워크 정비할 것”

“흐트러진	“/SS+흐트러지/VV+ㄴ/ETM
팀워크	팀워크/NNG
정비할	정비/NNG+하/XSV+ㄹ/ETM
것”	것/NNB+”/SS


# id : NWRW1800000036.309.4.1
“어려운 시기, 저한테 총대를 메라는 뜻이지요.

“어려운	“/SS+어렵/VA+ㄴ/ETM
시기,	시기/NNG+,/SP
저한테	저/NP+한테/JKB
총대를	총대/NNG+를/JKO
메라는	메/VV+라는/ETM
뜻이지요.	뜻/NNG+이/VCP+지요/EF+./SF


# id : NWRW1800000036.309.4.2
흐트러진 대표팀을 깔끔하게 정리해놓겠습니다.”

흐트러진	흐트러지/VV+ㄴ/ETM
대표팀을	대표/NNG+팀/NNG+을/JKO
깔끔하게	깔끔/NNG+하/XSA+게/EC
정리해놓겠습니다.”	정리/NNG+하/XSV+아/EC+놓/VX+겠/EP+습니다/EF+./SF+”/SS


# id : NWRW1800000036.309.5.1
23일 오전 스마트폰을 통해 들려오는 그의 목소리는 자신에 차 있었다.

23일	23/SN+일/NNB
오전	오전/NNG
스마트폰을	스마트폰/NNG+을/JKO
통해	통하/VV+아/EC
들려오는	들려오/VV+는/ETM
그의	그/NP+의/JKG
목소리는	목소리/NNG+는/JX
자신에	자신/NNG+에/JKB
차	차/VV+아/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000036.309.5.2
2010년 광저우아시아경기대회 때까지 10년간 한국 배드민턴 대표팀 사령탑을 맡으며 값진 금메달을 일궈낸 뒤 물러났던 김중수(52·사진) 감독.

2010년	2010/SN+년/NNB
광저우아시아경기대회	광저우/NNP+아시아/NNP+경기/NNG+대회/NNG
때까지	때/NNG+까지/JX
10년간	10/SN+년/NNB+간/XSN
한국	한국/NNP
배드민턴	배드민턴/NNG
대표팀	대표/NNG+팀/NNG
사령탑을	사령탑/NNG+을/JKO
맡으며	맡/VV+으며/EC
값진	값지/VA+ㄴ/ETM
금메달을	금메달/NNG+을/JKO
일궈낸	일구/VV+어/EC+내/VX+ㄴ/ETM
뒤	뒤/NNG
물러났던	물러나/VV+았/EP+던/ETM
김중수(52·사진)	김중수/NNP+(/SS+52/SN+·/SP+사진/NNG+)/SS
감독.	감독/NNG+./SF


# id : NWRW1800000036.309.5.3
그가 ‘해결사’로 돌아왔다.

그가	그/NP+가/JKS
‘해결사’로	‘/SS+해결사/NNG+’/SS+로/JKB
돌아왔다.	돌아오/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.309.5.4
대한배드민턴협회가 2012 런던올림픽 여자복식 조별예선 ‘져주기 파문’으로 실격된 김하나(삼성전기)-정경은(KGC인삼공사) 짝과 김민정(전북은행)-하정은(대교눈높이) 짝, 그리고 성한국 감독과 김문수 코치의 징계를 22일 마무리하면서 다시 그한테 중책을 맡겼다.

대한배드민턴협회가	대한배드민턴협회/NNP+가/JKS
2012	2012/SN
런던올림픽	런던/NNP+올림픽/NNG
여자복식	여자/NNG+복식/NNG
조별예선	조별/NNG+예선/NNG
‘져주기	‘/SS+지/VV+어/EC+주/VX+기/ETN
파문’으로	파문/NNG+’/SS+으로/JKB
실격된	실격/NNG+되/XSV+ㄴ/ETM
김하나(삼성전기)-정경은(KGC인삼공사)	김하나/NNP+(/SS+삼성전기/NNP+)/SS+-/SO+정경은/NNP+(/SS+KGC인삼공사/NNP+)/SS
짝과	짝/NNG+과/JC
김민정(전북은행)-하정은(대교눈높이)	김민정/NNP+(/SS+전북은행/NNP+)/SS+-/SO+하정은/NNP+(/SS+대교눈높이/NNP+)/SS
짝,	짝/NNG+,/SP
그리고	그리고/MAJ
성한국	성한국/NNP
감독과	감독/NNG+과/JC
김문수	김문수/NNP
코치의	코치/NNG+의/JKG
징계를	징계/NNG+를/JKO
22일	22/SN+일/NNB
마무리하면서	마무리/NNG+하/XSV+면서/EC
다시	다시/MAG
그한테	그/NP+한테/JKB
중책을	중책/NNG+을/JKO
맡겼다.	맡기/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.309.6.1
2001년부터 대표팀 지휘봉을 잡은 김 감독은 이용대­-이효정 짝의 2008 베이징올림픽 혼합복식 금메달, 여자대표팀의 2010년 세계단체배드민턴선수권대회 사상 첫 우승을 이끌었다.

2001년부터	2001/SN+년/NNB+부터/JX
대표팀	대표/NNG+팀/NNG
지휘봉을	지휘봉/NNG+을/JKO
잡은	잡/VV+은/ETM
김	김/NNP
감독은	감독/NNG+은/JX
이용대­-이효정	이용대/NNP+­/SS+-/SO+이효정/NNP
짝의	짝/NNG+의/JKG
2008	2008/SN
베이징올림픽	베이징/NNP+올림픽/NNG
혼합복식	혼합/NNG+복식/NNG
금메달,	금메달/NNG+,/SP
여자대표팀의	여자/NNG+대표/NNG+팀/NNG+의/JKG
2010년	2010/SN+년/NNB
세계단체배드민턴선수권대회	세계/NNG+단체/NNG+배드민턴/NNG+선수/NNG+권/XSN+대회/NNG
사상	사상/NNG
첫	첫/MMN
우승을	우승/NNG+을/JKO
이끌었다.	이끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.309.6.2
그리고 후배인 성한국 감독한테 바통을 주고 야인으로 물러났다.

그리고	그리고/MAJ
후배인	후배/NNG+이/VCP+ㄴ/ETM
성한국	성한국/NNP
감독한테	감독/NNG+한테/JKB
바통을	바통/NNG+을/JKO
주고	주/VV+고/EC
야인으로	야인/NNG+으로/JKB
물러났다.	물러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.309.7.1
내년 1월 협회 새 집행부가 구성될 때까지 대표팀을 맡게 된 김중수 감독은 “런던올림픽에서의 잇단 불운으로 배드민턴계가 어려운 상황”이라며 “대표팀 선수와 코치진을 새롭게 정비할 것”이라고 했다.

내년	내년/NNG
1월	1/SN+월/NNB
협회	협회/NNG
새	새/MMA
집행부가	집행부/NNG+가/JKS
구성될	구성/NNG+되/XSV+ㄹ/ETM
때까지	때/NNG+까지/JX
대표팀을	대표/NNG+팀/NNG+을/JKO
맡게	맡/VV+게/EC
된	되/VV+ㄴ/ETM
김중수	김중수/NNP
감독은	감독/NNG+은/JX
“런던올림픽에서의	“/SS+런던/NNP+올림픽/NNG+에서/JKB+의/JKG
잇단	잇달/VV+ㄴ/ETM
불운으로	불운/NNG+으로/JKB
배드민턴계가	배드민턴/NNG+계/XSN+가/JKS
어려운	어렵/VA+ㄴ/ETM
상황”이라며	상황/NNG+”/SS+이/VCP+라며/EC
“대표팀	“/SS+대표/NNG+팀/NNG
선수와	선수/NNG+와/JC
코치진을	코치진/NNG+을/JKO
새롭게	새롭/VA+게/EC
정비할	정비/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.309.8.1
가장 시급한 문제는 2014 인천아시아경기대회에 대비해 이용대(24·삼성전기)의 남자복식 파트너를 정해주는 것.

가장	가장/MAG
시급한	시급하/VA+ㄴ/ETM
문제는	문제/NNG+는/JX
2014	2014/SN
인천아시아경기대회에	인천/NNP+아시아/NNP+경기/NNG+대회/NNG+에/JKB
대비해	대비/NNG+하/XSV+아/EC
이용대(24·삼성전기)의	이용대/NNP+(/SS+24/SN+·/SP+삼성전기/NNP+)/SS+의/JKG
남자복식	남자/NNG+복식/NNG
파트너를	파트너/NNG+를/JKO
정해주는	정하/VV+아/EC+주/VX+는/ETM
것.	것/NNB+./SF


# id : NWRW1800000036.309.8.2
그와 황금단짝을 이루던 정재성(30·삼성전기)은 런던올림픽 이후 국가대표에서 은퇴했다.

그와	그/NP+와/JKB
황금단짝을	황금/NNG+단짝/NNG+을/JKO
이루던	이루/VV+던/ETM
정재성(30·삼성전기)은	정재성/NNP+(/SS+30/SN+·/SP+삼성전기/NNP+)/SS+은/JX
런던올림픽	런던/NNP+올림픽/NNG
이후	이후/NNG
국가대표에서	국가/NNG+대표/NNG+에서/JKB
은퇴했다.	은퇴/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.309.8.3
김 감독은 “용대의 의사가 중요하다”면서도 “용대 파트너는 파워가 따라야 하고 경기력도 좋아야 한다”고 했다.

김	김/NNP
감독은	감독/NNG+은/JX
“용대의	“/SS+용대/NNP+의/JKG
의사가	의사/NNG+가/JKS
중요하다”면서도	중요/NNG+하/XSA+다/EF+”/SS+면서/EC+도/JX
“용대	“/SS+용대/NNP
파트너는	파트너/NNG+는/JX
파워가	파워/NNG+가/JKS
따라야	따르/VV+아야/EC
하고	하/VX+고/EC
경기력도	경기력/NNG+도/JX
좋아야	좋/VA+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.309.8.4
파트너로는 김사랑(삼성전기), 고성현(김천시청), 유연성(수원시청) 등이 거론되고 있다.

파트너로는	파트너/NNG+로/JKB+는/JX
김사랑(삼성전기),	김사랑/NNP+(/SS+삼성전기/NNP+)/SS+,/SP
고성현(김천시청),	고성현/NNP+(/SS+김천시청/NNP+)/SS+,/SP
유연성(수원시청)	유연성/NNG+(/SS+수원시청/NNP+)/SS
등이	등/NNB+이/JKS
거론되고	거론/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.309.9.1
이용대는 런던올림픽 남자복식에서 승승장구했으나 4강전에서 ‘숙적’ 덴마크의 마티아스 보에-카르스텐 모겐센 짝에 아쉽게 1-2로 져 결국 동메달에 그쳤다.

이용대는	이용대/NNP+는/JX
런던올림픽	런던/NNP+올림픽/NNG
남자복식에서	남자/NNG+복식/NNG+에서/JKB
승승장구했으나	승승장구/NNG+하/XSV+았/EP+으나/EC
4강전에서	4/SN+강전/NNB+에서/JKB
‘숙적’	‘/SS+숙적/NNG+’/SS
덴마크의	덴마크/NNP+의/JKG
마티아스	마티아스/NNP
보에-카르스텐	보에/NNP+-/SO+카르스텐/NNP
모겐센	모겐센/NNP
짝에	짝/NNG+에/JKB
아쉽게	아쉽/VA+게/EC
1-2로	1/SN+-/SO+2/SN+로/JKB
져	지/VV+어/EC
결국	결국/MAG
동메달에	동메달/NNG+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.309.10.1
김중수 감독은 여자복식의 김하나-정경은 짝이 국가대표 1년 자격정지를 받았지만 아직 나이가 어리기 때문에 새롭게 도전해볼 기회가 있다고 했다.

김중수	김중수/NNP
감독은	감독/NNG+은/JX
