# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.22
metadata : {}


# id : NWRW1800000038.22.1.1
"푸틴의 20년 심복 메드베데프 총리, 권력핵심서 왕따… 정치적 타격"

"푸틴의	"/SS+푸틴/NNP+의/JKG
20년	20/SN+년/NNB
심복	심복/NNG
메드베데프	메드베데프/NNP
총리,	총리/NNG+,/SP
권력핵심서	권력/NNG+핵심/NNG+서/JKB
왕따…	왕따/NNG+…/SE
정치적	정치/NNG+적/XSN
타격"	타격/NNG+"/SS


# id : NWRW1800000038.22.2.1
美 공영라디오 NPR 보도… "푸틴이 정치 희생양 삼아"

美	美/SH
공영라디오	공영/NNG+라디오/NNG
NPR	NPR/SL
보도…	보도/NNG+…/SE
"푸틴이	"/SS+푸틴/NNP+이/JKS
정치	정치/NNG
희생양	희생양/NNG
삼아"	삼/VV+아/EF+"/SS


# id : NWRW1800000038.22.3.1
경제난과 정치권 부패로 통치에 어려움을 겪는 블라디미르 푸틴(60) 러시아 대통령이 자신의 충실한 이인자였던 드미트리 메드베데프(47) 총리를 희생양으로 삼으려 한다고 미국 언론들이 전망했다.

경제난과	경제난/NNG+과/JC
정치권	정치/NNG+권/XSN
부패로	부패/NNG+로/JKB
통치에	통치/NNG+에/JKB
어려움을	어려움/NNG+을/JKO
겪는	겪/VV+는/ETM
블라디미르	블라디미르/NNP
푸틴(60)	푸틴/NNP+(/SS+60/SN+)/SS
러시아	러시아/NNP
대통령이	대통령/NNG+이/JKS
자신의	자신/NNG+의/JKG
충실한	충실/NNG+하/XSA+ㄴ/ETM
이인자였던	이인자/NNG+이/VCP+었/EP+던/ETM
드미트리	드미트리/NNP
메드베데프(47)	메드베데프/NNP+(/SS+47/SN+)/SS
총리를	총리/NNG+를/JKO
희생양으로	희생양/NNG+으로/JKB
삼으려	삼/VV+으려/EC
한다고	하/VX+ㄴ다고/EC
미국	미국/NNP
언론들이	언론/NNG+들/XSN+이/JKS
전망했다.	전망/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.22.4.1
미공영라디오(NPR)는 3일 러시아 정치권 소식통들을 인용, "메드베데프 총리가 최근 수개월간 권력 핵심으로부터 따돌림을 당하고 국영언론 보도에서 자취를 감추는 등 '정치적 사망'에 이르렀다"고 전했다.

미공영라디오(NPR)는	미/NNP+공영/NNG+라디오/NNG+(/SS+NPR/SL+)/SS+는/JX
3일	3/SN+일/NNB
러시아	러시아/NNP
정치권	정치/NNG+권/XSN
소식통들을	소식통/NNG+들/XSN+을/JKO
인용,	인용/NNG+,/SP
"메드베데프	"/SS+메드베데프/NNP
총리가	총리/NNG+가/JKS
최근	최근/MAG
수개월간	수개월/NNG+간/XSN
권력	권력/NNG
핵심으로부터	핵심/NNG+으로부터/JKB
따돌림을	따돌림/NNG+을/JKO
당하고	당하/VV+고/EC
국영언론	국영/NNG+언론/NNG
보도에서	보도/NNG+에서/JKB
자취를	자취/NNG+를/JKO
감추는	감추/VV+는/ETM
등	등/NNB
'정치적	'/SS+정치/NNG+적/XSN
사망'에	사망/NNG+'/SS+에/JKB
이르렀다"고	이르/VV+었/EP+다/EF+"/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.22.4.2
크리스천사이언스모니터(CSM)도 이날 "푸틴이 메드베데프가 의장을 맡고 있는 여당 통합러시아당을 해체하고, 대신 자신의 또 다른 측근 그룹인 실로비키(정보기관·군·경찰 출신 정치인)를 주축으로 한 신당을 창당하려는 움직임을 보이고 있다"고 보도했다.

크리스천사이언스모니터(CSM)도	크리스천사이언스모니터/NNP+(/SS+CSM/SL+)/SS+도/JX
이날	이날/NNG
"푸틴이	"/SS+푸틴/NNP+이/JKS
메드베데프가	메드베데프/NNP+가/JKS
의장을	의장/NNG+을/JKO
맡고	맡/VV+고/EC
있는	있/VX+는/ETM
여당	여당/NNG
통합러시아당을	통합러시아당/NNP+을/JKO
해체하고,	해체/NNG+하/XSV+고/EC+,/SP
대신	대신/NNG
자신의	자신/NNG+의/JKG
또	또/MAG
다른	다른/MMD
측근	측근/NNG
그룹인	그룹/NNG+이/VCP+ㄴ/ETM
실로비키(정보기관·군·경찰	실로비키/NNP+(/SS+정보기관/NNG+·/SP+군/NNG+·/SP+경찰/NNG
출신	출신/NNG
정치인)를	정치인/NNG+)/SS+를/JKO
주축으로	주축/NNG+으로/JKB
한	하/VV+ㄴ/ETM
신당을	신당/NNG+을/JKO
창당하려는	창당/NNG+하/XSV+려는/ETM
움직임을	움직임/NNG+을/JKO
보이고	보이/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.22.5.1
메드베데프와 푸틴은 상트페테르부르크대 동문으로, 상트페테르부르크 시정부 시절 인연을 맺었다.

메드베데프와	메드베데프/NNP+와/JC
푸틴은	푸틴/NNP+은/JX
상트페테르부르크대	상트페테르부르크대/NNP
동문으로,	동문/NNG+으로/JKB+,/SP
상트페테르부르크	상트페테르부르크/NNP
시정부	시/NNG+정부/NNG
시절	시절/NNG
인연을	인연/NNG+을/JKO
맺었다.	맺/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.22.5.2
이후 메드베데프는 20여년간 푸틴의 측근으로 일하면서 후계자 수업을 받았다.

이후	이후/NNG
메드베데프는	메드베데프/NNP+는/JX
