# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.383
metadata : {}


# id : NWRW1800000033.383.1.1
[선택 2012 대선 D-12]朴-文 캠프 맞수 열전 ⑥ TV토론 총괄

[선택	[/SS+선택/NNG
2012	2012/SN
대선	대선/NNG
D-12]朴-文	D/SL+-/SO+12/SN+]/SS+朴/SH+-/SO+文/SH
캠프	캠프/NNG
맞수	맞수/NNG
열전	열전/NNG
⑥	⑥/SN
TV토론	TV/SL+토론/NNG
총괄	총괄/NNG


# id : NWRW1800000033.383.2.1
김종학프로덕션 대표 지내, 의상-제스처 하나하나 챙겨

김종학프로덕션	김종학프로덕션/NNP
대표	대표/NNG
지내,	지내/VV+어/EC+,/SP
의상-제스처	의상/NNG+-/SO+제스처/NNG
하나하나	하나하나/MAG
챙겨	챙기/VV+어/EF


# id : NWRW1800000033.383.3.1
■ 새누리 박창식 미디어본부장

■	■/SW
새누리	새누리/NNP
박창식	박창식/NNP
미디어본부장	미디어/NNG+본부장/NNG


# id : NWRW1800000033.383.4.1
“드라마 1회 시청률 받아들 때보다 훨씬 긴장됩니다.”

“드라마	“/SS+드라마/NNG
1회	1/SN+회/NNB
시청률	시청/NNG+률/XSN
받아들	받/VV+아/EC+들/VV+ㄹ/ETM
때보다	때/NNG+보다/JKB
훨씬	훨씬/MAG
긴장됩니다.”	긴장/NNG+되/XSV+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000033.383.5.1
베테랑 방송인 출신인 새누리당 박창식 선대위 미디어본부장은 4일 방송국 스튜디오 안에서 첫 대선 TV토론을 지켜보면서 손에 땀이 났다고 한다.

베테랑	베테랑/NNG
방송인	방송인/NNG
출신인	출신/NNG+이/VCP+ㄴ/ETM
새누리당	새누리당/NNP
박창식	박창식/NNP
선대위	선대위/NNG
미디어본부장은	미디어/NNG+본부장/NNG+은/JX
4일	4/SN+일/NNB
방송국	방송국/NNG
스튜디오	스튜디오/NNG
안에서	안/NNG+에서/JKB
첫	첫/MMN
대선	대선/NNG
TV토론을	TV/SL+토론/NNG+을/JKO
지켜보면서	지켜보/VV+면서/EC
손에	손/NNG+에/JKB
땀이	땀/NNG+이/JKS
났다고	나/VV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.383.5.2
스튜디오에는 후보별로 2명씩 들어갈 수 있다.

