# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.283
metadata : {}


# id : NWRW1800000021.283.1.1
北경비정 1척 한때 NLL 침범

北경비정	北/SH+경비정/NNG
1척	1/SN+척/NNB
한때	한때/MAG
NLL	NLL/SL
침범	침범/NNG


# id : NWRW1800000021.283.2.1
북한 경비정 1척이 3일 오전 1시 3분경 서해 백령도 동북방 6마일(약 10km) 해상에서 북방한계선(NLL)을 침범했다가 한국 해군의 경고통신을 받고 되돌아갔다.

북한	북한/NNP
경비정	경비정/NNG
1척이	1/SN+척/NNB+이/JKS
3일	3/SN+일/NNB
오전	오전/NNG
1시	1/SN+시/NNB
3분경	3/SN+분/NNB+경/XSN
서해	서해/NNP
백령도	백령도/NNP
동북방	동북방/NNG
6마일(약	6/SN+마일/NNB+(/SS+약/MMA
10km)	10/SN+km/SW+)/SS
해상에서	해상/NNG+에서/JKB
북방한계선(NLL)을	북방/NNG+한계선/NNG+(/SS+NLL/SL+)/SS+을/JKO
침범했다가	침범/NNG+하/XSV+았/EP+다가/EC
한국	한국/NNP
해군의	해군/NNG+의/JKG
경고통신을	경고/NNG+통신/NNG+을/JKO
받고	받/VV+고/EC
되돌아갔다.	되돌아가/VV+았/EP+다/EF+./SF


# id : NWRW1800000021.283.3.1
북한 경비정의 NLL 침범은 6월 이후 처음이며, 올해 들어선 네 번째다.

북한	북한/NNP
경비정의	경비정/NNG+의/JKG
NLL	NLL/SL
침범은	침범/NNG+은/JX
6월	6/SN+월/NNB
이후	이후/NNG
처음이며,	처음/NNG+이/VCP+며/EC+,/SP
올해	올해/NNG
들어선	들어서/VV+ㄴ/ETM
네	네/MMN
번째다.	번/NNB+째/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000021.283.3.2
군 소식통들에 따르면 북한 경비정은 이날 서해 모 해군기지에서 출항해 NLL로 접근한 뒤 사전 통고 없이 NLL 남쪽 약 1마일(약 1.8km) 지점까지 침범한 것으로 알려졌다.

군	군/NNG
소식통들에	소식통/NNG+들/XSN+에/JKB
따르면	따르/VV+면/EC
북한	북한/NNP
경비정은	경비정/NNG+은/JX
이날	이날/NNG
서해	서해/NNP
모	모/MMD
해군기지에서	해군/NNG+기지/NNG+에서/JKB
출항해	출항/NNG+하/XSV+아/EC
NLL로	NLL/SL+로/JKB
접근한	접근/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
사전	사전/NNG
통고	통고/NNG
없이	없이/MAG
NLL	NLL/SL
남쪽	남쪽/NNG
약	약/MMA
1마일(약	1/SN+마일/NNB+(/SS+약/MMA
1.8km)	1/SN+./SP+8/SN+km/SW+)/SS
지점까지	지점/NNG+까지/JX
침범한	침범/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알리/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000021.283.4.1
이에 해군은 고속정 편대를 현장으로 출동시켜 즉각 북상하라는 경고통신을 두 차례 보냈다.

이에	이/NP+에/JKB
해군은	해군/NNG+은/JX
고속정	고속정/NNG
편대를	편대/NNG+를/JKO
현장으로	현장/NNG+으로/JKB
출동시켜	출동/NNG+시키/XSV+어/EC
즉각	즉각/MAG
북상하라는	북상/NNG+하/XSV+라는/ETM
경고통신을	경고/NNG+통신/NNG+을/JKO
두	두/MMN
차례	차례/NNG
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.283.4.2
북한 경비정은 7분여 만인 오전 1시 10분경 북상한 것으로 알려졌다.

북한	북한/NNP
경비정은	경비정/NNG+은/JX
7분여	7/SN+분/NNB+여/XSN
만인	만/NNB+이/VCP+ㄴ/ETM
오전	오전/NNG
1시	1/SN+시/NNB
10분경	10/SN+분/NNB+경/XSN
북상한	북상/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.283.5.1
군 소식통은 “북한이 인근 해상에서 불법 조업하던 중국 어선들을 단속하는 과정에서 NLL을 침범한 것으로 보인다”며 “북한 경비정은 기지로 복귀했고 이후 북한군의 특이 동향은 없다”고 말했다.

군	군/NNG
소식통은	소식통/NNG+은/JX
“북한이	“/SS+북한/NNP+이/JKS
인근	인근/NNG
해상에서	해상/NNG+에서/JKB
불법	불법/NNG
조업하던	조업/NNG+하/XSV+던/ETM
중국	중국/NNP
어선들을	어선/NNG+들/XSN+을/JKO
단속하는	단속/NNG+하/XSV+는/ETM
과정에서	과정/NNG+에서/JKB
NLL을	NLL/SL+을/JKO
침범한	침범/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다”며	보이/VV+ㄴ다/EF+”/SS+며/EC
“북한	“/SS+북한/NNP
경비정은	경비정/NNG+은/JX
기지로	기지/NNG+로/JKB
복귀했고	복귀/NNG+하/XSV+았/EP+고/EC
이후	이후/NNG
북한군의	북한군/NNG+의/JKG
특이	특이/NNG
동향은	동향/NNG+은/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


