# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.183
metadata : {}


# id : NWRW1800000037.183.1.1
[휴지통]사귀던 노래방 도우미 변심하자 “불법영업” 98차례 허위신고

[휴지통]사귀던	[/SS+휴지통/NNG+]/SS+사귀/VV+던/ETM
노래방	노래방/NNG
도우미	도우미/NNG
변심하자	변심/NNG+하/XSV+자/EC
“불법영업”	“/SS+불법/NNG+영업/NNG+”/SS
98차례	98/SN+차례/NNG
허위신고	허위/NNG+신고/NNG


# id : NWRW1800000037.183.2.1
애인 찾으려 업소 돌며 신고… 40대 라이브 카페 사장 구속

애인	애인/NNG
찾으려	찾/VV+으려/EC
업소	업소/NNG
돌며	돌/VV+며/EC
신고…	신고/NNG+…/SE
40대	40/SN+대/NNB
라이브	라이브/NNG
카페	카페/NNG
사장	사장/NNG
구속	구속/NNG


# id : NWRW1800000037.183.3.1
2009년 10월 서울 양천구 신정1동에서 라이브 카페를 운영하는 임모 씨(45)는 노래방 도우미로 온 A 씨(38)와 연인관계로 발전했다.

2009년	2009/SN+년/NNB
10월	10/SN+월/NNB
서울	서울/NNP
양천구	양천구/NNP
신정1동에서	신정/NNP+1/SN+동/NNG+에서/JKB
라이브	라이브/NNG
카페를	카페/NNG+를/JKO
운영하는	운영/NNG+하/XSV+는/ETM
임모	임/NNP+모/NP
씨(45)는	씨/NNB+(/SS+45/SN+)/SS+는/JX
노래방	노래방/NNG
도우미로	도우미/NNG+로/JKB
온	오/VV+ㄴ/ETM
A	A/SL
씨(38)와	씨/NNB+(/SS+38/SN+)/SS+와/JKB
연인관계로	연인/NNG+관계/NNG+로/JKB
발전했다.	발전/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.183.3.2
임 씨는 노래방 도우미 일을 그만두라고 했지만 A 씨는 “돈을 벌어야 한다”며 말을 듣지 않았다.

임	임/NNP
씨는	씨/NNB+는/JX
노래방	노래방/NNG
도우미	도우미/NNG
일을	일/NNG+을/JKO
그만두라고	그만두/VV+라고/EC
했지만	하/VV+았/EP+지만/EC
A	A/SL
“돈을	“/SS+돈/NNG+을/JKO
벌어야	벌/VV+어야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
말을	말/NNG+을/JKO
듣지	듣/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.183.4.1
임 씨는 여자친구가 도우미 일을 하지 않도록 하기 위해 1500만 원을 주기도 했다.

임	임/NNP
씨는	씨/NNB+는/JX
여자친구가	여자/NNG+친구/NNG+가/JKS
도우미	도우미/NNG
일을	일/NNG+을/JKO
하지	하/VV+지/EC
않도록	않/VX+도록/EC
하기	하/VX+기/ETN
위해	위하/VV+아/EC
1500만	1500/SN+만/NR
원을	원/NNB+을/JKO
주기도	주/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.183.4.2
A 씨는 돈을 받고도 계속 도우미로 일했고 결국 임 씨의 채근을 견디다 못해 지난해 7월 연락을 끊은 채 잠적했다.

A	A/SL
씨는	씨/NNB+는/JX
돈을	돈/NNG+을/JKO
받고도	받/VV+고/EC+도/JX
계속	계속/MAG
도우미로	도우미/NNG+로/JKB
일했고	일/NNG+하/XSV+았/EP+고/EC
결국	결국/NNG
임	임/NNP
씨의	씨/NNB+의/JKG
채근을	채근/NNG+을/JKO
견디다	견디/VV+다/EC
못해	못하/VX+아/EC
지난해	지난해/NNG
7월	7/SN+월/NNB
연락을	연락/NNG+을/JKO
끊은	끊/VV+은/ETM
채	채/NNB
잠적했다.	잠적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.183.5.1
임 씨는 배신감을 느끼면서도 A 씨를 잊지 못했다.

임	임/NNP
씨는	씨/NNB+는/JX
배신감을	배신감/NNG+을/JKO
느끼면서도	느끼/VV+면서/EC+도/JX
A	A/SL
씨를	씨/NNB+를/JKO
잊지	잊/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.183.5.2
A 씨가 양천구 일대에서 도우미 생활을 하고 있다는 소문을 들었다.

A	A/SL
씨가	씨/NNB+가/JKS
양천구	양천구/NNP
일대에서	일대/NNG+에서/JKB
도우미	도우미/NNG
생활을	생활/NNG+을/JKO
하고	하/VV+고/EC
있다는	있/VX+다는/ETM
소문을	소문/NNG+을/JKO
들었다.	듣/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.183.5.3
고민하던 임 씨는 A 씨가 일하는 것으로 의심되는 노래방들을 하나씩 경찰에 신고하기 시작했다.

고민하던	고민/NNG+하/XSV+던/ETM
임	임/NNP
씨는	씨/NNB+는/JX
A	A/SL
씨가	씨/NNB+가/JKS
일하는	일/NNG+하/XSV+는/ETM
것으로	것/NNB+으로/JKB
의심되는	의심/NNG+되/XSV+는/ETM
노래방들을	노래방/NNG+들/XSN+을/JKO
하나씩	하나/NR+씩/XSN
경찰에	경찰/NNG+에/JKB
신고하기	신고/NNG+하/XSV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.183.5.4
그는 지난해 8, 9월 98차례에 걸쳐 양천구 일대 노래방과 유흥주점 16곳을 경찰에 신고했다.

그는	그/NP+는/JX
지난해	지난해/NNG
8,	8/SN+,/SP
9월	9/SN+월/NNB
98차례에	98/SN+차례/NNG+에/JKB
걸쳐	걸치/VV+어/EC
양천구	양천구/NNP
일대	일대/NNG
노래방과	노래방/NNG+과/JC
