# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.463
metadata : {}


# id : NWRW1800000022.463.1.1
[충청] [문화나들이 어디로 할까] 경인년 맞아 '생활 속 호랑이전'

[충청]	[/SS+충청/NNP+]/SS
[문화나들이	[/SS+문화/NNG+나들이/NNG
어디로	어디/NP+로/JKB
할까]	하/VV+ㄹ까/EF+]/SS
경인년	경인년/NNG
맞아	맞/VV+아/EC
'생활	'/SS+생활/NNG
속	속/NNG
호랑이전'	호랑이전/NNG+'/SS


# id : NWRW1800000022.463.2.1
국립청주박물관(관장 김성명)은 호랑이해인 경인년(庚寅年)을 맞아 1월 2일부터 2월 28일까지 '생활 속의 호랑이'를 주제로 작은 전시회를 마련했다.

국립청주박물관(관장	국립청주박물관/NNP+(/SS+관장/NNG
김성명)은	김성명/NNP+)/SS+은/JX
호랑이해인	호랑이해/NNG+이/VCP+ㄴ/ETM
경인년(庚寅年)을	경인년/NNG+(/SS+庚寅年/SH+)/SS+을/JKO
맞아	맞/VV+아/EC
1월	1/SN+월/NNB
2일부터	2/SN+일/NNB+부터/JX
2월	2/SN+월/NNB
28일까지	28/SN+일/NNB+까지/JX
'생활	'/SS+생활/NNG
속의	속/NNG+의/JKG
호랑이'를	호랑이/NNG+'/SS+를/JKO
주제로	주제/NNG+로/JKB
작은	작/VA+은/ETM
전시회를	전시회/NNG+를/JKO
마련했다.	마련/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.463.2.2
전시회에는 사슴을 사냥하는 호랑이가 그려진 '호랑이 사슴무늬 기와'를 비롯, 호랑이가 인명을 상하게 하는 일이 없도록 지시한 내용이 있는 음성현감 고문서, 익살스러운 호랑이 모양의 뚜껑을 가진 향로, 호랑이를 주제로 그린 맹호도와 호작도 등 민화작품 11점이 선보인다.

전시회에는	전시회/NNG+에/JKB+는/JX
사슴을	사슴/NNG+을/JKO
사냥하는	사냥/NNG+하/XSV+는/ETM
호랑이가	호랑이/NNG+가/JKS
그려진	그리/VV+어/EC+지/VX+ㄴ/ETM
'호랑이	'/SS+호랑이/NNG
사슴무늬	사슴/NNG+무늬/NNG
기와'를	기와/NNG+'/SS+를/JKO
비롯,	비롯/XR+,/SP
인명을	인명/NNG+을/JKO
상하게	상하/VV+게/EC
하는	하/VX+는/ETM
일이	일/NNG+이/JKS
없도록	없/VA+도록/EC
지시한	지시/NNG+하/XSV+ㄴ/ETM
내용이	내용/NNG+이/JKS
있는	있/VA+는/ETM
음성현감	음성/NNP+현감/NNG
고문서,	고문서/NNG+,/SP
익살스러운	익살/NNG+스럽/XSA+ㄴ/ETM
호랑이	호랑이/NNG
모양의	모양/NNG+의/JKG
뚜껑을	뚜껑/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
향로,	향로/NNG+,/SP
호랑이를	호랑이/NNG+를/JKO
주제로	주제/NNG+로/JKB
그린	그리/VV+ㄴ/ETM
맹호도와	맹호도/NNG+와/JC
호작도	호작도/NNG
등	등/NNB
민화작품	민화/NNG+작품/NNG
11점이	11/SN+점/NNB+이/JKS
선보인다.	선보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.463.3.1
또 호랑이 족자 달력 만들기, 호랑이가 있는 토기 만들기, 까치와 호랑이 색칠하기, 김유신 장군묘 호석(護石) 십이지신상 호랑이 모양 탁본하기 등 체험활동도 함께 진행된다.

또	또/MAG
호랑이	호랑이/NNG
족자	족자/NNG
달력	달력/NNG
만들기,	만들/VV+기/ETN+,/SP
호랑이가	호랑이/NNG+가/JKS
있는	있/VA+는/ETM
토기	토기/NNG
까치와	까치/NNG+와/JC
색칠하기,	색칠/NNG+하/XSV+기/ETN+,/SP
김유신	김유신/NNP
장군묘	장군/NNG+묘/NNG
호석(護石)	호석/NNG+(/SS+護石/SH+)/SS
십이지신상	십이지/NNG+신상/NNG
모양	모양/NNG
탁본하기	탁본/NNG+하/XSV+기/ETN
등	등/NNB
체험활동도	체험/NNG+활동/NNG+도/JX
함께	함께/MAG
진행된다.	진행/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.463.4.1
청주박물관은 "호랑이의 당당함과 기상을 배우고 희망찬 새해를 맞이하길 기대한다"고 말했다.

청주박물관은	청주박물관/NNP+은/JX
"호랑이의	"/SS+호랑이/NNG+의/JKG
당당함과	당당/MAG+하/XSA+ㅁ/ETN+과/JC
기상을	기상/NNG+을/JKO
배우고	배우/VV+고/EC
희망찬	희망차/VA+ㄴ/ETM
새해를	새해/NNG+를/JKO
맞이하길	맞이하/VV+기/ETN+ㄹ/JKO
기대한다"고	기대/NNG+하/XSV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.463.4.2
☎(043)229-6406

☎(043)229-6406	☎/SW+(/SS+043/SN+)/SS+229/SN+-/SO+6406/SN


