# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.406
metadata : {}


# id : NWRW1800000030.406.1.1
[강원] 만해축전, 평화·소통의 축제로

[강원]	[/SS+강원/NNP+]/SS
만해축전,	만해/NNP+축전/NNG+,/SP
평화·소통의	평화/NNG+·/SP+소통/NNG+의/JKG
축제로	축제/NNG+로/JKB


# id : NWRW1800000030.406.2.1
만해 한용운 선사의 민족사상과 자유사상을 선양하기 위한 '2011 만해축전'이 11일부터 인제 백담사 만해마을 일원에서 펼쳐진다.

만해	만해/NNP
한용운	한용운/NNP
선사의	선사/NNG+의/JKG
민족사상과	민족/NNG+사상/NNG+과/JC
자유사상을	자유사상/NNG+을/JKO
선양하기	선양/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
'2011	'/SS+2011/SN
만해축전'이	만해/NNP+축전/NNG+'/SS+이/JKS
11일부터	11/SN+일/NNB+부터/JX
인제	인제/NNP
백담사	백담사/NNP
만해마을	만해마을/NNP
일원에서	일원/NNG+에서/JKB
펼쳐진다.	펼쳐지/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.406.3.1
만해축전을 주최하는 '만해사상 실천선양회'는 우리 사회의 갈등 원인이 소통부족에서 오는 불화에 있다고 보고 올해 축전의 주제를 '평화·소통'으로 정했다.

만해축전을	만해/NNP+축전/NNG+을/JKO
주최하는	주최/NNG+하/XSV+는/ETM
'만해사상	'/SS+만해/NNP+사상/NNG
실천선양회'는	실천/NNG+선양회/NNG+'/SS+는/JX
우리	우리/NP
사회의	사회/NNG+의/JKG
갈등	갈등/NNG
원인이	원인/NNG+이/JKS
소통부족에서	소통/NNG+부족/NNG+에서/JKB
오는	오/VV+는/ETM
불화에	불화/NNG+에/JKB
있다고	있/VA+다고/EC
보고	보/VV+고/EC
올해	올해/NNG
축전의	축전/NNG+의/JKG
주제를	주제/NNG+를/JKO
'평화·소통'으로	'/SS+평화/NNG+·/SP+소통/NNG+'/SS+으로/JKB
정했다.	정하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.406.3.2
입재식과 제15회 만해대상 시상식이 12일 오후 4시 인제 하늘내린센터에서 열려 만해축전의 개막을 알린다.

입재식과	입재식/NNG+과/JC
제15회	제/XPN+15/SN+회/NNB
만해대상	만해/NNP+대상/NNG
시상식이	시상식/NNG+이/JKS
12일	12/SN+일/NNB
오후	오후/NNG
4시	4/SN+시/NNB
인제	인제/NNP
하늘내린센터에서	하늘내린센터/NNP+에서/JKB
열려	열리/VV+어/EC
만해축전의	만해/NNP+축전/NNG+의/JKG
개막을	개막/NNG+을/JKO
알린다.	알리/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.406.4.1
인종, 종교, 국경을 초월한 만해대상은 만해의 실천·개혁정신, 문학과 철학사상을 조명하고 새로운 시대정신과 문화예술 창조에 대한 연구와 지원, 남북 초월 등의 가치창조에 의미를 두고 있다.

인종,	인종/NNG+,/SP
종교,	종교/NNG+,/SP
국경을	국경/NNG+을/JKO
초월한	초월/NNG+하/XSV+ㄴ/ETM
만해대상은	만해/NNP+대상/NNG+은/JX
만해의	만해/NNP+의/JKG
실천·개혁정신,	실천/NNG+·/SP+개혁/NNG+정신/NNG+,/SP
문학과	문학/NNG+과/JC
철학사상을	철학/NNG+사상/NNG+을/JKO
조명하고	조명/NNG+하/XSV+고/EC
새로운	새롭/VA+ㄴ/ETM
시대정신과	시대정신/NNG+과/JC
문화예술	문화/NNG+예술/NNG
창조에	창조/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
연구와	연구/NNG+와/JC
지원,	지원/NNG+,/SP
남북	남북/NNP
초월	초월/NNG
등의	등/NNB+의/JKG
가치창조에	가치/NNG+창조/NNG+에/JKB
의미를	의미/NNG+를/JKO
두고	두/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.406.4.2
넬슨 만델라 전 남아프리카공화국 대통령, 티베트 망명지도자 달라이 라마 등 국가원수와 노벨평화상 수상자 등을 역대 수상자로 선정하면서 국제적 권위를 인정받고 있다.

넬슨	넬슨/NNP
만델라	만델라/NNP
전	전/MMD
남아프리카공화국	남아프리카공화국/NNP
대통령,	대통령/NNG+,/SP
티베트	티베트/NNP
망명지도자	망명/NNG+지도자/NNG
달라이	달라이/NNP
라마	라마/NNP
등	등/NNB
국가원수와	국가/NNG+원수/NNG+와/JC
노벨평화상	노벨/NNP+평화상/NNG
수상자	수상자/NNG
등을	등/NNB+을/JKO
역대	역대/NNG
수상자로	수상자/NNG+로/JKB
선정하면서	선정/NNG+하/XSV+면서/EC
국제적	국제/NNG+적/XSN
권위를	권위/NNG+를/JKO
인정받고	인정/NNG+받/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.406.4.3
올해 수상자는 평화부문에 아누라다 코이랄라 마이티 네팔 재단 이사장을 비롯해 ▲실천부문 스리랑카의 고고학자 시리세나 반다 헤티아랏치 박사 ▲문학부문 소설가 모옌, 시인 이근배 신성대학 석좌교수 등 4명이다.

올해	올해/NNG
수상자는	수상자/NNG+는/JX
평화부문에	평화/NNG+부문/NNG+에/JKB
아누라다	아누라다/NNP
코이랄라	코이랄라/NNP
마이티	마이티/NNP
네팔	네팔/NNP
재단	재단/NNG
이사장을	이사장/NNG+을/JKO
비롯해	비롯하/VV+아/EC
▲실천부문	▲/SW+실천/NNG+부문/NNG
스리랑카의	스리랑카/NNP+의/JKG
고고학자	고고학자/NNG
시리세나	시리세나/NNP
반다	반다/NNP
헤티아랏치	헤티아랏치/NNP
박사	박사/NNG
▲문학부문	▲/SW+문학/NNG+부문/NNG
