# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.100
metadata : {}


# id : NWRW1800000037.100.1.1
[Outdoor]프로스펙스, 김연아처럼 가볍게∼ 폭신폭신 운동화 신고 걷자

[Outdoor]프로스펙스,	[/SS+Outdoor/SL+]/SS+프로스펙스/NNP+,/SP
김연아처럼	김연아/NNP+처럼/JKB
가볍게∼	가볍/VA+게/EC+∼/SO
폭신폭신	폭신폭신/MAG
운동화	운동화/NNG
신고	신/VV+고/EC
걷자	걷/VV+자/EF


# id : NWRW1800000037.100.2.1
LS네트웍스의 스포츠 용품 브랜드인 프로스펙스가 ‘YUNA14’ 워킹화 라인의 대표 제품인 W파워의 7시리즈를 10월 초에 새로 내놨다.

LS네트웍스의	LS네트웍스/NNP+의/JKG
스포츠	스포츠/NNG
용품	용품/NNG
브랜드인	브랜드/NNG+이/VCP+ㄴ/ETM
프로스펙스가	프로스펙스/NNP+가/JKS
‘YUNA14’	‘/SS+YUNA/SL+14/SN+’/SS
워킹화	워킹화/NNG
라인의	라인/NNG+의/JKG
대표	대표/NNG
제품인	제품/NNG+이/VCP+ㄴ/ETM
W파워의	W파워/NNP+의/JKG
7시리즈를	7/SN+시리즈/NNG+를/JKO
10월	10/SN+월/NNB
초에	초/NNB+에/JKB
새로	새로/MAG
내놨다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.100.2.2
‘YUNA14’는 2014년 소치 겨울올림픽에 출전하는 ‘피겨 여왕’ 김연아의 선전을 바라는 뜻에서 프로스펙스가 출시한 스페셜 에디션이다.

‘YUNA14’는	‘/SS+YUNA/SL+14/SN+’/SS+는/JX
2014년	2014/SN+년/NNB
소치	소치/NNP
겨울올림픽에	겨울/NNG+올림픽/NNG+에/JKB
출전하는	출전/NNG+하/XSV+는/ETM
‘피겨	‘/SS+피겨/NNG
여왕’	여왕/NNG+’/SS
김연아의	김연아/NNP+의/JKG
선전을	선전/NNG+을/JKO
바라는	바라/VV+는/ETM
뜻에서	뜻/NNG+에서/JKB
프로스펙스가	프로스펙스/NNP+가/JKS
출시한	출시/NNG+하/XSV+ㄴ/ETM
스페셜	스페셜/NNG
에디션이다.	에디션/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000037.100.2.3
김연아는 2012년부터 프로스펙스 광고 모델로 활동하고 있다.

김연아는	김연아/NNP+는/JX
2012년부터	2012/SN+년/NNB+부터/JX
프로스펙스	프로스펙스/NNP
광고	광고/NNG
모델로	모델/NNG+로/JKB
활동하고	활동/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000037.100.3.1
W파워 시리즈는 걸을 때 흔들림이 없고, 충격을 흡수하는 쿠셔닝이 좋아 그동안 워킹족들로부터 좋은 반응을 얻어왔다.

W파워	W파워/NNP
시리즈는	시리즈/NNG+는/JX
걸을	걷/VV+을/ETM
때	때/NNG
흔들림이	흔들리/VV+ㅁ/ETN+이/JKS
없고,	없/VA+고/EC+,/SP
충격을	충격/NNG+을/JKO
흡수하는	흡수/NNG+하/XSV+는/ETM
쿠셔닝이	쿠셔닝/NNG+이/JKS
좋아	좋/VA+아/EC
그동안	그동안/NNG
워킹족들로부터	워킹족/NNG+들/XSN+로부터/JKB
좋은	좋/VA+은/ETM
반응을	반응/NNG+을/JKO
얻어왔다.	얻/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000037.100.3.2
앞선 시리즈의 기능성을 한 단계 업그레이드한 W파워7 시리즈는 일체형 무브 프레임이 올바른 자세의 11자 워킹을 유도하고 반발탄성을 높여 안정감을 더 키웠다.

앞선	앞서/VV+ㄴ/ETM
시리즈의	시리즈/NNG+의/JKG
기능성을	기능/NNG+성/XSN+을/JKO
한	한/MMN
단계	단계/NNG
업그레이드한	업그레이드/NNG+하/XSV+ㄴ/ETM
W파워7	W파워7/NNP
시리즈는	시리즈/NNG+는/JX
일체형	일체/NNG+형/XSN
무브	무브/NNG
프레임이	프레임/NNG+이/JKS
올바른	올바르/VA+ㄴ/ETM
자세의	자세/NNG+의/JKG
11자	11/SN+자/NNG
워킹을	워킹/NNG+을/JKO
유도하고	유도/NNG+하/XSV+고/EC
반발탄성을	반발/NNG+탄성/NNG+을/JKO
높여	높이/VV+어/EC
안정감을	안정감/NNG+을/JKO
더	더/MAG
키웠다.	키우/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.100.4.1
걸을 때 발 뒤꿈치 부분에 가해지는 충격을 흡수하는 임팩트 존은 발허리를 받쳐줘 오래 걸어도 피로감을 덜 느끼게 해준다.

걸을	걷/VV+을/ETM
때	때/NNG
발	발/NNG
뒤꿈치	뒤꿈치/NNG
부분에	부분/NNG+에/JKB
가해지는	가하/VV+아/EC+지/VX+는/ETM
충격을	충격/NNG+을/JKO
흡수하는	흡수/NNG+하/XSV+는/ETM
임팩트	임팩트/NNG
존은	존/NNG+은/JX
발허리를	발허리/NNG+를/JKO
받쳐줘	받치/VV+어/EC+주/VX+어/EC
오래	오래/MAG
걸어도	걷/VV+어도/EC
피로감을	피로감/NNG+을/JKO
덜	덜/MAG
느끼게	느끼/VV+게/EC
해준다.	하/VX+아/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000037.100.4.2
발포 고무 밑창은 가볍고 폭신폭신한 착화감을 한층 더 키웠고 접지력과 내구성도 뛰어나다.

발포	발포/NNG
고무	고무/NNG
밑창은	밑창/NNG+은/JX
가볍고	가볍/VA+고/EC
폭신폭신한	폭신폭신/MAG+하/XSA+ㄴ/ETM
착화감을	착화감/NNG+을/JKO
한층	한층/MAG
더	더/MAG
키웠고	키우/VV+었/EP+고/EC
접지력과	접지력/NNG+과/JC
내구성도	내구/NNG+성/XSN+도/JX
뛰어나다.	뛰어나/VA+다/EF+./SF


# id : NWRW1800000037.100.4.3
색상과 디자인이 각각 다른 10종(남성용 5종, 여성용 5종)을 출시한 W파워7 시리즈의 판매 가격은 13만9000원이다.

색상과	색상/NNG+과/JC
디자인이	디자인/NNG+이/JKS
각각	각각/MAG
다른	다른/MMD
10종(남성용	10/SN+종/NNG+(/SS+남성/NNG+용/XSN
5종,	5/SN+종/NNG+,/SP
여성용	여성/NNG+용/XSN
5종)을	5/SN+종/NNG+)/SS+을/JKO
출시한	출시/NNG+하/XSV+ㄴ/ETM
W파워7	W파워7/NNP
시리즈의	시리즈/NNG+의/JKG
판매	판매/NNG
가격은	가격/NNG+은/JX
13만9000원이다.	13/SN+만/NR+9000/SN+원/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000037.100.5.1
프로스펙스 관계자는 “W파워7 시리즈는 뛰어난 기능성에다 다양한 색상과 깔끔한 디자인으로 편안하고 멋스럽게 워킹을 즐길 수 있다.

프로스펙스	프로스펙스/NNP
관계자는	관계자/NNG+는/JX
“W파워7	“/SS+W파워7/NNP
시리즈는	시리즈/NNG+는/JX
뛰어난	뛰어나/VA+ㄴ/ETM
기능성에다	기능/NNG+성/XSN+에다/JKB
다양한	다양/NNG+하/XSA+ㄴ/ETM
색상과	색상/NNG+과/JC
깔끔한	깔끔/NNG+하/XSA+ㄴ/ETM
디자인으로	디자인/NNG+으로/JKB
편안하고	편안/NNG+하/XSA+고/EC
멋스럽게	멋/NNG+스럽/XSA+게/EC
워킹을	워킹/NNG+을/JKO
즐길	즐기/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000037.100.5.2
워킹 마니아들에게는 실속 있는 좋은 선물이 될 것이다”고 말했다.

워킹	워킹/NNG
마니아들에게는	마니아/NNG+들/XSN+에게/JKB+는/JX
실속	실속/NNG
있는	있/VA+는/ETM
좋은	좋/VA+은/ETM
선물이	선물/NNG+이/JKC
될	되/VV+ㄹ/ETM
것이다”고	것/NNB+이/VCP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000037.100.6.1
프로스펙스는 홈페이지(www.prospecs.com)를 통해 12월 31일까지 ‘YUNA14’ 고객 이벤트를 실시한다.

프로스펙스는	프로스펙스/NNP+는/JX
홈페이지(www.prospecs.com)를	홈페이지/NNG+(/SS+www/SL+./SP+prospecs/SL+./SP+com/SL+)/SS+를/JKO
통해	통하/VV+아/EC
12월	12/SN+월/NNB
31일까지	31/SN+일/NNB+까지/JX
‘YUNA14’	‘/SS+YUNA/SL+14/SN+’/SS
고객	고객/NNG
이벤트를	이벤트/NNG+를/JKO
실시한다.	실시/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000037.100.6.2
이 기간에 ‘YUNA14’ 라인의 제품을 구입하는 고객은 2014년 3월 1일∼4월 30일 프로스펙스 신발 봄 신상품을 살 때 50% 할인 혜택을 누린다.

이	이/MMD
기간에	기간/NNG+에/JKB
‘YUNA14’	‘/SS+YUNA/SL+14/SN+’/SS
라인의	라인/NNG+의/JKG
제품을	제품/NNG+을/JKO
구입하는	구입/NNG+하/XSV+는/ETM
고객은	고객/NNG+은/JX
2014년	2014/SN+년/NNB
3월	3/SN+월/NNB
1일∼4월	1/SN+일/NNB+∼/SO+4/SN+월/NNB
30일	30/SN+일/NNB
프로스펙스	프로스펙스/NNP
신발	신발/NNG
봄	봄/NNG
신상품을	신/XPN+상품/NNG+을/JKO
살	사/VV+ㄹ/ETM
때	때/NNG
50%	50/SN+%/SW
할인	할인/NNG
혜택을	혜택/NNG+을/JKO
누린다.	누리/VV+ㄴ다/EF+./SF


# id : NWRW1800000037.100.7.1
LS네트웍스 멤버십 가입 고객에 한해 프로스펙스 직영점과 가두점에서 할인 혜택을 받을 수 있다.

LS네트웍스	LS네트웍스/NNP
멤버십	멤버십/NNG
가입	가입/NNG
고객에	고객/NNG+에/JKB
한해	한/NNG+하/XSV+아/EC
프로스펙스	프로스펙스/NNP
직영점과	직영점/NNG+과/JC
가두점에서	가두점/NNG+에서/JKB
할인	할인/NNG
혜택을	혜택/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000037.100.7.2
프로스펙스는 ‘YUNA14’ 라인 제품 판매 수익금의 일부를 피겨스케이팅 꿈나무들을 위해 기부한다.

프로스펙스는	프로스펙스/NNP+는/JX
‘YUNA14’	‘/SS+YUNA/SL+14/SN+’/SS
라인	라인/NNG
제품	제품/NNG
판매	판매/NNG
수익금의	수익금/NNG+의/JKG
일부를	일부/NNG+를/JKO
피겨스케이팅	피겨/NNG+스케이팅/NNG
꿈나무들을	꿈나무/NNG+들/XSN+을/JKO
위해	위하/VV+아/EC
기부한다.	기부/NNG+하/XSV+ㄴ다/EF+./SF


