# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.359
metadata : {}


# id : NWRW1800000046.359.1.1
야당 現·前대표 문재인·김한길 '충돌'

야당	야당/NNG
現·前대표	現/SH+·/SP+前/SH+대표/NNG
문재인·김한길	문재인/NNP+·/SP+김한길/NNP
'충돌'	'/SS+충돌/NNG+'/SS


# id : NWRW1800000046.359.2.1
金 "黨에 文대표만 한 기득권 없어… 결단 고대" 직격탄… 文 "기득권 안주하는 낡은 정치와 단호히 결별" 즉각 반격

金	金/SH
"黨에	"/SS+黨/SH+에/JKB
文대표만	文/SH+대표/NNG+만/JX
한	하/VA+ㄴ/ETM
기득권	기득/NNG+권/XSN
없어…	없/VA+어/EF+…/SE
결단	결단/NNG
고대"	고대/NNG+"/SS
직격탄…	직격탄/NNG+…/SE
文	文/SH
"기득권	"/SS+기득/NNG+권/XSN
안주하는	안주/NNG+하/XSV+는/ETM
낡은	낡/VV+은/ETM
정치와	정치/NNG+와/JKB
단호히	단호히/MAG
결별"	결별/NNG+"/SS
즉각	즉각/MAG
반격	반격/NNG


# id : NWRW1800000046.359.3.1
새정치민주연합 내분에 문재인 대표와 김한길 전 대표가 20일 직접 나서면서 친노(親盧)·비노(非盧), 전·현직 당 대표 간 정면충돌로 치닫고 있다.

새정치민주연합	새정치민주연합/NNP
내분에	내분/NNG+에/JKB
문재인	문재인/NNP
대표와	대표/NNG+와/JC
김한길	김한길/NNP
전	전/MMD
대표가	대표/NNG+가/JKS
20일	20/SN+일/NNB
직접	직접/MAG
나서면서	나서/VV+면서/EC
친노(親盧)·비노(非盧),	친/XPN+노/NNP+(/SS+親盧/SH+)/SS+·/SP+비/XPN+노/NNP+(/SS+非盧/SH+)/SS+,/SP
전·현직	전·현직/NNG
당	당/NNG
대표	대표/NNG
간	간/NNB
정면충돌로	정면충돌/NNG+로/JKB
치닫고	치닫/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.359.3.2
김 전 대표가 "우리 당에 문 대표나 친노만 한 기득권이 없다"고 하자, 문 대표가 곧바로 "기득권에 안주하는 낡은 정치와 단호히 결별하겠다"고 맞받았다.

김	김/NNP
전	전/MMD
대표가	대표/NNG+가/JKS
"우리	"/SS+우리/NP
당에	당/NNG+에/JKB
문	문/NNP
대표나	대표/NNG+나/JC
친노만	친/XPN+노/NNP+만/JX
한	하/VA+ㄴ/ETM
기득권이	기득/NNG+권/XSN+이/JKS
없다"고	없/VA+다/EF+"/SS+고/JKQ
하자,	하/VV+자/EC+,/SP
곧바로	곧바로/MAG
"기득권에	"/SS+기득/NNG+권/XSN+에/JKB
안주하는	안주/NNG+하/XSV+는/ETM
낡은	낡/VV+은/ETM
정치와	정치/NNG+와/JKB
단호히	단호히/MAG
결별하겠다"고	결별/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
맞받았다.	맞받/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.359.4.1
김 전 대표는 이날 점심 무렵 '당원 동지들께 드리는 글'을 자신의 페이스북에 올렸다.

김	김/NNP
전	전/MMD
대표는	대표/NNG+는/JX
이날	이날/NNG
점심	점심/NNG
무렵	무렵/NNB
'당원	'/SS+당원/NNG
동지들께	동지/NNG+들/XSN+께/JKB
드리는	드리/VV+는/ETM
