# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.303
metadata : {}


# id : NWRW1800000048.303.1.1
‘2차 4대강 사업’ 돈 퍼붓지 말고 ‘새는 물’ 잡은 영월·정선을 보라

‘2차	‘/SS+2/SN+차/NNB
4대강	4/SN+대/NNG+강/NNG
사업’	사업/NNG+’/SS
돈	돈/NNG
퍼붓지	퍼붓/VV+지/EC
말고	말/VX+고/EC
‘새는	‘/SS+새/VV+는/ETM
물’	물/NNG+’/SS
잡은	잡/VV+은/ETM
영월·정선을	영월/NNP+·/SP+정선/NNP+을/JKO
보라	보/VV+라/EC


# id : NWRW1800000048.303.2.1
환경공단서 상수관망 정비 사업

환경공단서	환경/NNG+공단/NNG+서/JKB
상수관망	상수/NNG+관/NNG+망/NNG
정비	정비/NNG
사업	사업/NNG


# id : NWRW1800000048.303.3.1
낡은 수도관 교체 새는물 잡아

낡은	낡/VV+은/ETM
수도관	수도관/NNG
교체	교체/NNG
새는물	새/VV+는/ETM+물/NNG
잡아	잡/VV+아/EF


# id : NWRW1800000048.303.4.1
5년새 유수율 3배 가까이 올려

5년새	5/SN+년/NNB+새/NNG
유수율	유수/NNG+율/XSN
3배	3/SN+배/NNG
가까이	가까이/MAG
올려	올리/VV+어/EF


# id : NWRW1800000048.303.5.1
가뭄때마다 겪던 물부족 해결

가뭄때마다	가뭄/NNG+때/NNG+마다/JX
겪던	겪/VV+던/ETM
물부족	물/NNG+부족/NNG
해결	해결/NNG


# id : NWRW1800000048.303.6.1
한국수자원공사가 관리하는 강원 삼척시 광동댐을 상수원으로 쓰는 정선군 사북·고한읍과 남면 지역 주민들은 2009년 겨울 가뭄 때 현재 충남 일부 지역에서 실시되고 있는 것과 같은 제한급수로 큰 불편을 겪었다.

한국수자원공사가	한국수자원공사/NNP+가/JKS
관리하는	관리/NNG+하/XSV+는/ETM
강원	강원/NNP
삼척시	삼척시/NNP
광동댐을	광동댐/NNP+을/JKO
상수원으로	상수원/NNG+으로/JKB
쓰는	쓰/VV+는/ETM
정선군	정선군/NNP
사북·고한읍과	사북/NNP+·/SP+고한읍/NNP+과/JC
남면	남면/NNP
지역	지역/NNG
주민들은	주민/NNG+들/XSN+은/JX
2009년	2009/SN+년/NNB
겨울	겨울/NNG
가뭄	가뭄/NNG
때	때/NNG
현재	현재/MAG
충남	충남/NNP
일부	일부/NNG
지역에서	지역/NNG+에서/JKB
실시되고	실시/NNG+되/XSV+고/EC
있는	있/VX+는/ETM
것과	것/NNB+과/JKB
같은	같/VA+은/ETM
제한급수로	제한/NNG+급수/NNG+로/JKB
큰	크/VA+ㄴ/ETM
불편을	불편/NNG+을/JKO
겪었다.	겪/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.303.6.2
하지만 이번 가뭄에는 수돗물 누수를 줄이는 사업을 통해 오히려 예전보다 물을 풍족하게 쓰면서도 이런 걱정에서 벗어났다.

하지만	하지만/MAJ
이번	이번/NNG
가뭄에는	가뭄/NNG+에/JKB+는/JX
수돗물	수돗물/NNG
누수를	누수/NNG+를/JKO
줄이는	줄이/VV+는/ETM
사업을	사업/NNG+을/JKO
통해	통하/VV+아/EC
오히려	오히려/MAG
예전보다	예전/NNG+보다/JKB
물을	물/NNG+을/JKO
풍족하게	풍족하/VA+게/EC
쓰면서도	쓰/VV+면서/EC+도/JX
이런	이런/MMD
걱정에서	걱정/NNG+에서/JKB
벗어났다.	벗어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.303.6.3
가뭄에 따른 물부족 해결에는 새누리당이 내세우는 4대강 사업의 2차 사업인 거창한 지류·지천 사업보다 새는 수돗물부터 잡는 사업이 더 효과적일 수 있음을 보여주는 사례다.

가뭄에	가뭄/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
물부족	물/NNG+부족/NNG
해결에는	해결/NNG+에/JKB+는/JX
새누리당이	새누리당/NNP+이/JKS
내세우는	내세우/VV+는/ETM
4대강	4/SN+대/NNG+강/NNG
사업의	사업/NNG+의/JKG
2차	2/SN+차/NNB
사업인	사업/NNG+이/VCP+ㄴ/ETM
거창한	거창하/VA+ㄴ/ETM
지류·지천	지류/NNG+·/SP+지천/NNG
사업보다	사업/NNG+보다/JKB
새는	새/VV+는/ETM
수돗물부터	수돗물/NNG+부터/JX
잡는	잡/VV+는/ETM
사업이	사업/NNG+이/JKS
더	더/MAG
효과적일	효과/NNG+적/XSN+이/VCP+ㄹ/ETM
수	수/NNB
있음을	있/VA+음/ETN+을/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
사례다.	사례/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.303.7.1
정선군은 2011년 월평균 100만㎥의 수돗물을 생산했다.

정선군은	정선군/NNP+은/JX
2011년	2011/SN+년/NNB
월평균	월평균/NNG
100만㎥의	100/SN+만/NR+㎥/SW+의/JKG
수돗물을	수돗물/NNG+을/JKO
생산했다.	생산/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.303.7.2
이 가운데 가정을 비롯한 수돗물 사용 시설까지 도달해 수도요금으로 되돌아온 수돗물은 36만㎥, 유수율 34.7%에 불과했다.

이	이/MMD
가운데	가운데/NNG
가정을	가정/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
수돗물	수돗물/NNG
사용	사용/NNG
시설까지	시설/NNG+까지/JX
도달해	도달/NNG+하/XSV+아/EC
수도요금으로	수도/NNG+요금/NNG+으로/JKB
되돌아온	되돌아오/VV+ㄴ/ETM
수돗물은	수돗물/NNG+은/JX
36만㎥,	36/SN+만/NR+㎥/SW+,/SP
유수율	유수/NNG+율/XSN
34.7%에	34/SN+./SP+7/SN+%/SW+에/JKB
불과했다.	불과/MAG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000048.303.7.3
많은 비용을 들여 정수 처리해 공급한 수돗물의 65.3%가 계량기를 돌리지도 못하고 낡은 상수도관 틈새를 통해 땅속으로 새나간 것이다.

많은	많/VA+은/ETM
비용을	비용/NNG+을/JKO
들여	들이/VV+어/EC
정수	정수/NNG
처리해	처리/NNG+하/XSV+아/EC
공급한	공급/NNG+하/XSV+ㄴ/ETM
수돗물의	수돗물/NNG+의/JKG
65.3%가	65/SN+./SP+3/SN+%/SW+가/JKS
계량기를	계량기/NNG+를/JKO
돌리지도	돌리/VV+지/EC+도/JX
못하고	못하/VX+고/EC
낡은	낡/VV+은/ETM
상수도관	상수도관/NNG
틈새를	틈새/NNG+를/JKO
통해	통하/VV+아/EC
땅속으로	땅속/NNG+으로/JKB
새나간	새/VV+어/EC+나가/VX+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000048.303.7.4
새나간 수돗물 생산비만큼 늘어나는 군의 재정적자는 주민들의 부담일 수밖에 없다.

새나간	새/VV+어/EC+나가/VX+ㄴ/ETM
수돗물	수돗물/NNG
생산비만큼	생산비/NNG+만큼/JKB
늘어나는	늘어나/VV+는/ETM
군의	군/NNG+의/JKG
재정적자는	재정/NNG+적자/NNG+는/JX
주민들의	주민/NNG+들/XSN+의/JKG
부담일	부담/NNG+이/VCP+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000048.303.7.5
환경부의 2013년 <상수도 통계>를 보면 정선군의 가정에서는 수돗물 1㎥를 서울시 가정의 두 배 가까운 709원을 내고 마셨다.

환경부의	환경부/NNG+의/JKG
2013년	2013/SN+년/NNB
<상수도	</SS+상수도/NNG
통계>를	통계/NNG+>/SS+를/JKO
보면	보/VV+면/EC
정선군의	정선군/NNP+의/JKG
가정에서는	가정/NNG+에서/JKB+는/JX
수돗물	수돗물/NNG
1㎥를	1/SN+㎥/SW+를/JKO
서울시	서울시/NNP
가정의	가정/NNG+의/JKG
두	두/MMN
배	배/NNG
가까운	가깝/VA+ㄴ/ETM
709원을	709/SN+원/NNB+을/JKO
내고	내/VV+고/EC
마셨다.	마시/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.303.8.1
한국환경공단이 나서 낡은 수도관을 바꾸고 누수 지점을 틀어막는 ‘상수관망 정비사업’을 시작한 지 만 5년이 안 된 올해 6월 유수율은 91.3%로 세 배 가까이 올라갔다.

한국환경공단이	한국환경공단/NNP+이/JKS
나서	나서/VV+어/EC
낡은	낡/VV+은/ETM
수도관을	수도관/NNG+을/JKO
바꾸고	바꾸/VV+고/EC
누수	누수/NNG
지점을	지점/NNG+을/JKO
틀어막는	틀어막/VV+는/ETM
‘상수관망	‘/SS+상수/NNG+관/NNG+망/NNG
정비사업’을	정비/NNG+사업/NNG+’/SS+을/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
지	지/NNB
만	만/MMA
5년이	5/SN+년/NNB+이/JKS
안	안/MAG
된	되/VV+ㄴ/ETM
올해	올해/NNG
6월	6/SN+월/NNB
유수율은	유수/NNG+율/XSN+은/JX
91.3%로	91/SN+./SP+3/SN+%/SW+로/JKB
세	세/MMN
배	배/NNG
가까이	가까이/MAG
올라갔다.	올라가/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.303.8.2
군은 수돗물을 4년 전의 절반인 49만㎥만 생산해도 됐다.

군은	군/NNG+은/JX
수돗물을	수돗물/NNG+을/JKO
4년	4/SN+년/NNB
전의	전/NNG+의/JKG
절반인	절반/NNG+이/VCP+ㄴ/ETM
49만㎥만	49/SN+만/NR+㎥/SW+만/JX
생산해도	생산/NNG+하/XSV+아도/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.303.8.3
그럼에도 중간에 새나가는 물이 없다 보니 주민들은 4년 전보다 많은 45만㎥의 수돗물을 쓸 수 있었다.

그럼에도	그렇/VA+ㅁ/ETN+에/JKB+도/JX
중간에	중간/NNG+에/JKB
새나가는	새/VV+어/EC+나가/VX+는/ETM
물이	물/NNG+이/JKS
없다	없/VA+다/EC
보니	보/VX+니/EC
주민들은	주민/NNG+들/XSN+은/JX
4년	4/SN+년/NNB
전보다	전/NNG+보다/JKB
많은	많/VA+은/ETM
45만㎥의	45/SN+만/NR+㎥/SW+의/JKG
수돗물을	수돗물/NNG+을/JKO
쓸	쓰/VV+ㄹ/ETM
수	수/NNB
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000048.303.8.4
인근 영월군도 마찬가지다.

인근	인근/NNG
영월군도	영월군/NNP+도/JX
마찬가지다.	마찬가지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.303.8.5
상수관망 정비사업을 펼친 결과, 2011년 월평균 33.3%이던 유수율이 지난 6월 94.4%를 기록했다.

상수관망	상수/NNG+관/NNG+망/NNG
정비사업을	정비/NNG+사업/NNG+을/JKO
펼친	펼치/VV+ㄴ/ETM
결과,	결과/NNG+,/SP
2011년	2011/SN+년/NNB
월평균	월평균/NNG
33.3%이던	33/SN+./SP+3/SN+%/SW+이/VCP+던/ETM
유수율이	유수/NNG+율/XSN+이/JKS
지난	지나/VV+ㄴ/ETM
6월	6/SN+월/NNB
94.4%를	94/SN+./SP+4/SN+%/SW+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.303.9.1
