# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.442
metadata : {}


# id : NWRW1800000028.442.1.1
폭력의 시대, 현자들에게 길을 묻다

폭력의	폭력/NNG+의/JKG
시대,	시대/NNG+,/SP
현자들에게	현자/NNG+들/XSN+에게/JKB
길을	길/NNG+을/JKO
묻다	묻/VV+다/EF


# id : NWRW1800000028.442.2.1
축의 시대-종교의 탄생과 철학의 시작 /카렌 암스트롱 지음·정영목 옮김/교양인·3만2000원 인류의 역사는 서로를 파괴해온 폭력과 갈등의 역사이지만, 이를 괴로워하며 인간성의 본질을 끊임없이 탐구해온 종교와 철학의 역사이기도 하다.

축의	축/NNG+의/JKG
시대-종교의	시대/NNG+-/SO+종교/NNG+의/JKG
탄생과	탄생/NNG+과/JC
철학의	철학/NNG+의/JKG
시작	시작/NNG
/카렌	//SP+카렌/NNP
암스트롱	암스트롱/NNP
지음·정영목	짓/VV+음/ETN+·/SP+정영목/NNP
옮김/교양인·3만2000원	옮기/VV+ㅁ/ETN+//SP+교양인/NNG+·/SP+3/SN+만/NR+2000/SN+원/NNB
인류의	인류/NNG+의/JKG
역사는	역사/NNG+는/JX
서로를	서로/NNG+를/JKO
파괴해온	파괴/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
폭력과	폭력/NNG+과/JC
갈등의	갈등/NNG+의/JKG
역사이지만,	역사/NNG+이/VCP+지만/EC+,/SP
이를	이/NP+를/JKO
괴로워하며	괴로워하/VV+며/EC
인간성의	인간/NNG+성/XSN+의/JKG
본질을	본질/NNG+을/JKO
끊임없이	끊임없이/MAG
탐구해온	탐구/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
종교와	종교/NNG+와/JC
역사이기도	역사/NNG+이/VCP+기/ETN+도/JX
하다.	하/VX+다/EF+./SF


# id : NWRW1800000028.442.2.2
이러한 인간 정신의 역사는 어디에서 비롯됐는가?

이러한	이러하/VA+ㄴ/ETM
인간	인간/NNG
정신의	정신/NNG+의/JKG
역사는	역사/NNG+는/JX
어디에서	어디/NP+에서/JKB
비롯됐는가?	비롯되/VV+었/EP+는가/EF+?/SF


# id : NWRW1800000028.442.2.3
독일의 철학자 카를 야스퍼스는 <역사의 기원과 목표>라는 책에서 ‘축의 시대’라는 개념을 제시했다.

독일의	독일/NNP+의/JKG
철학자	철학자/NNG
카를	카를/NNP
야스퍼스는	야스퍼스/NNP+는/JX
<역사의	</SS+역사/NNG+의/JKG
기원과	기원/NNG+과/JC
목표>라는	목표/NNG+>/SS+이/VCP+라는/ETM
책에서	책/NNG+에서/JKB
‘축의	‘/SS+축/NNG+의/JKG
시대’라는	시대/NNG+’/SS+이/VCP+라는/ETM
개념을	개념/NNG+을/JKO
제시했다.	제시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.442.2.4
동서양을 막론하고 인류의 정신적 발전의 축이 마련된 공통의 시기가 있었다는 것이다.

동서양을	동서양/NNG+을/JKO
막론하고	막론하/VV+고/EC
인류의	인류/NNG+의/JKG
정신적	정신/NNG+적/XSN
발전의	발전/NNG+의/JKG
축이	축/NNG+이/JKS
마련된	마련/NNG+되/XSV+ㄴ/ETM
공통의	공통/NNG+의/JKG
시기가	시기/NNG+가/JKS
있었다는	있/VA+었/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.442.3.1
영국의 종교학자 카렌 암스트롱은 <축의 시대>(원제 The Great Transformation)에서 이러한 ‘축의 시대’를 대략 기원전 900년에서 기원전 200년 사이로 보고, 세계의 네 지역에서 일어난 정신적 탐구의 역사를 펼쳐낸다.

영국의	영국/NNP+의/JKG
종교학자	종교학자/NNG
카렌	카렌/NNP
암스트롱은	암스트롱/NNP+은/JX
<축의	</SS+축/NNG+의/JKG
시대>(원제	시대/NNG+>/SS+(/SS+원제/NNG
The	The/SL
Great	Great/SL
Transformation)에서	Transformation/SL+)/SS+에서/JKB
이러한	이러하/VA+ㄴ/ETM
‘축의	‘/SS+축/NNG+의/JKG
시대’를	시대/NNG+’/SS+를/JKO
대략	대략/MAG
기원전	기원전/NNG
900년에서	900/SN+년/NNB+에서/JKB
200년	200/SN+년/NNB
사이로	사이/NNG+로/JKB
보고,	보/VV+고/EC+,/SP
세계의	세계/NNG+의/JKG
네	네/MMN
지역에서	지역/NNG+에서/JKB
일어난	일어나/VV+ㄴ/ETM
정신적	정신/NNG+적/XSN
탐구의	탐구/NNG+의/JKG
역사를	역사/NNG+를/JKO
펼쳐낸다.	펼치/VV+어/EC+내/VX+ㄴ다/EF+./SF


# id : NWRW1800000028.442.3.2
당시 이 지역들 사이에는 문명사적인 교류가 없었지만, 각각의 지역에서 벌어진 치열한 인간 정신의 탐구의 결과는 거의 일치된 방향으로 나아갔다.

당시	당시/NNG
이	이/MMD
지역들	지역/NNG+들/XSN
사이에는	사이/NNG+에/JKB+는/JX
문명사적인	문명사/NNG+적/XSN+이/VCP+ㄴ/ETM
교류가	교류/NNG+가/JKS
없었지만,	없/VA+었/EP+지만/EC+,/SP
각각의	각각/NNG+의/JKG
지역에서	지역/NNG+에서/JKB
벌어진	벌어지/VV+ㄴ/ETM
치열한	치열/NNG+하/XSA+ㄴ/ETM
인간	인간/NNG
정신의	정신/NNG+의/JKG
탐구의	탐구/NNG+의/JKG
결과는	결과/NNG+는/JX
거의	거의/MAG
일치된	일치/NNG+되/XSV+ㄴ/ETM
방향으로	방향/NNG+으로/JKB
나아갔다.	나아가/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.442.3.3
지은이는 그것을 ‘자비의 윤리’라고 본다.

지은이는	지은이/NNG+는/JX
그것을	그것/NP+을/JKO
‘자비의	‘/SS+자비/NNG+의/JKG
윤리’라고	윤리/NNG+’/SS+라고/JKQ
본다.	보/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.442.3.4
