# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.127
metadata : {}


# id : NWRW1800000056.127.1.1
NEW, 영화관 사업 진출…1호점 경주 보문에 개점

NEW,	NEW/SL+,/SP
영화관	영화관/NNG
사업	사업/NNG
진출…1호점	진출/NNG+…/SE+1/SN+호점/NNB
경주	경주/NNP
보문에	보문/NNP+에/JKB
개점	개점/NNG


# id : NWRW1800000056.127.2.1
[한겨레] 6개관·773석 ‘씨네큐’ 1호점…경주 최대 멀티플렉스

[한겨레]	[/SS+한겨레/NNP+]/SS
6개관·773석	6개관/NNG+·/SP+773/SN+석/NNB
‘씨네큐’	‘/SS+씨네큐/NNP+’/SS
1호점…경주	1/SN+호점/NNB+…/SE+경주/NNP
최대	최대/NNG
멀티플렉스	멀티플렉스/NNG


# id : NWRW1800000056.127.3.1
연내 경북 구미에 2호점…전국 극장사업 확대 계획

연내	연내/NNG
경북	경북/NNP
구미에	구미/NNP+에/JKB
2호점…전국	2/SN+호점/NNB+…/SE+전국/NNG
극장사업	극장/NNG+사업/NNG
확대	확대/NNG
계획	계획/NNG


# id : NWRW1800000056.127.4.1
영화투자배급사로 출발해 사업 영역을 계속 확대해 나가고 있는 콘텐츠 미디어그룹 뉴(NEW)가 오는 24일 프리미엄 영화관 ‘씨네큐’(CINE Q) 1호 경주 보문점을 개관한다고 17일 밝혔다.

영화투자배급사로	영화/NNG+투자/NNG+배급사/NNG+로/JKB
출발해	출발/NNG+하/XSV+아/EC
사업	사업/NNG
영역을	영역/NNG+을/JKO
계속	계속/MAG
확대해	확대/NNG+하/XSV+아/EC
나가고	나가/VX+고/EC
있는	있/VX+는/ETM
콘텐츠	콘텐츠/NNG
미디어그룹	미디어/NNG+그룹/NNG
뉴(NEW)가	뉴/NNP+(/SS+NEW/SL+)/SS+가/JKS
오는	오/VV+는/ETM
24일	24/SN+일/NNB
프리미엄	프리미엄/NNG
영화관	영화관/NNG
‘씨네큐’(CINE	‘/SS+씨네큐/NNP+’/SS+(/SS+CINE/SL
Q)	Q/SL+)/SS
1호	1/SN+호/NNB
경주	경주/NNP
보문점을	보문점/NNG+을/JKO
개관한다고	개관/NNG+하/XSV+ㄴ다고/EC
17일	17/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.127.5.1
경북 경주시 보문관광단지에 위치한 씨네큐 경주 보문점은 총 6개관, 773석 규모의 경주 지역 최대 규모 멀티플렉스다.

경북	경북/NNP
경주시	경주시/NNP
보문관광단지에	보문관광단지/NNP+에/JKB
위치한	위치/NNG+하/XSV+ㄴ/ETM
씨네큐	씨네큐/NNP
경주	경주/NNP
보문점은	보문점/NNG+은/JX
총	총/MMA
6개관,	6개관/NNG+,/SP
773석	773/SN+석/NNB
규모의	규모/NNG+의/JKG
지역	지역/NNG
최대	최대/NNG
규모	규모/NNG
멀티플렉스다.	멀티플렉스/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.127.5.2
뉴는 모든 상영관에 레이저 영사 시스템을 도입해 좀더 밝고 선명한 화질을 선사하겠다는 계획이다.

뉴는	뉴/NNP+는/JX
모든	모든/MMN
상영관에	상영관/NNG+에/JKB
레이저	레이저/NNG
영사	영사/NNG
시스템을	시스템/NNG+을/JKO
도입해	도입/NNG+하/XSV+아/EC
좀더	좀/MAG+더/MAG
밝고	밝/VA+고/EC
선명한	선명/NNG+하/XSA+ㄴ/ETM
화질을	화질/NNG+을/JKO
선사하겠다는	선사/NNG+하/XSV+겠/EP+다는/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000056.127.5.3
또 양 팔걸이 좌석을 배치했고, 열과 열 사이를 일반 상영관보다 약 10~15㎝ 더 넓은 120㎝로 설계했다.

또	또/MAG
양	양/MMN
팔걸이	팔걸이/NNG
좌석을	좌석/NNG+을/JKO
배치했고,	배치/NNG+하/XSV+았/EP+고/EC+,/SP
열과	열/NNG+과/JKB
열	열/NNG
사이를	사이/NNG+를/JKO
일반	일반/NNG
상영관보다	상영관/NNG+보다/JKB
약	약/MMA
10~15㎝	10/SN+~/SO+15/SN+㎝/SW
더	더/MAG
넓은	넓/VA+은/ETM
120㎝로	120/SN+㎝/SW+로/JKB
설계했다.	설계/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.127.5.4
특히 모든 좌석에 차등요금제가 아닌 일반 가격대를 적용하기로 했다.

특히	특히/MAG
모든	모든/MMN
좌석에	좌석/NNG+에/JKB
차등요금제가	차등/NNG+요금/NNG+제/XSN+가/JKC
아닌	아니/VCN+ㄴ/ETM
일반	일반/NNG
가격대를	가격대/NNG+를/JKO
적용하기로	적용/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.127.6.1
뉴는 18일부터 23일까지 무료시사회와 고객참여 이벤트 등으로 구성된 ‘프리오픈 프로모션’을 실시한다.

뉴는	뉴/NNP+는/JX
18일부터	18/SN+일/NNB+부터/JX
23일까지	23/SN+일/NNB+까지/JX
무료시사회와	무료/NNG+시사회/NNG+와/JC
고객참여	고객/NNG+참여/NNG
이벤트	이벤트/NNG
등으로	등/NNB+으로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
‘프리오픈	‘/SS+프리오픈/NNG
프로모션’을	프로모션/NNG+’/SS+을/JKO
실시한다.	실시/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.127.6.2
무료시사회 기간에는 봉준호 감독의 신작 <옥자>, 지난해 최고 흥행작 <부산행>, 장기 흥행작 <라라랜드> 등 다양한 장르의 영화를 상영한다.

무료시사회	무료/NNG+시사회/NNG
기간에는	기간/NNG+에/JKB+는/JX
봉준호	봉준호/NNP
감독의	감독/NNG+의/JKG
신작	신작/NNG
<옥자>,	</SS+옥자/NNP+>/SS+,/SP
지난해	지난해/NNG
최고	최고/NNG
흥행작	흥행작/NNG
<부산행>,	</SS+부산행/NNP+>/SS+,/SP
장기	장기/NNG
<라라랜드>	</SS+라라랜드/NNP+>/SS
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
장르의	장르/NNG+의/JKG
영화를	영화/NNG+를/JKO
상영한다.	상영/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000056.127.7.1
뉴는 앞으로도 영화관 사업을 점차 확대해 나가기로 했다.

뉴는	뉴/NNP+는/JX
앞으로도	앞/NNG+으로/JKB+도/JX
영화관	영화관/NNG
사업을	사업/NNG+을/JKO
점차	점차/MAG
확대해	확대/NNG+하/XSV+아/EC
나가기로	나가/VX+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.127.7.2
경주 보문에 이어 올해 경북 구미에 씨네큐 2호점을 개관할 예정이다.

경주	경주/NNP
보문에	보문/NNP+에/JKB
이어	잇/VV+어/EC
올해	올해/NNG
경북	경북/NNP
구미에	구미/NNP+에/JKB
씨네큐	씨네큐/NNP
2호점을	2/SN+호점/NNB+을/JKO
