# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.18
metadata : {}


# id : NWRW1800000030.18.1.1
쿠데타로 집권해 30년 공포정치… 도시 1곳서 1만~2만명 학살

쿠데타로	쿠데타/NNG+로/JKB
집권해	집권/NNG+하/XSV+아/EC
30년	30/SN+년/NNB
공포정치…	공포/NNG+정치/NNG+…/SE
도시	도시/NNG
1곳서	1/SN+곳/NNG+서/JKB
1만~2만명	1/SN+만/NR+~/SO+2/SN+만/NR+명/NNB
학살	학살/NNG


# id : NWRW1800000030.18.2.1
•아버지 하페즈 알아사드는

•아버지	•/SW+아버지/NNG
하페즈	하페즈/NNP
알아사드는	알아사드/NNP+는/JX


# id : NWRW1800000030.18.3.1
바샤르 알아사드 시리아 대통령의 아버지 하페즈 알아사드는 1970년 무혈 쿠데타를 통해 정권을 잡은 뒤 30년간 독재를 하다가 아들에게 권력을 넘겨준 철권통치자였다.

바샤르	바샤르/NNP
알아사드	알아사드/NNP
시리아	시리아/NNP
대통령의	대통령/NNG+의/JKG
아버지	아버지/NNG
하페즈	하페즈/NNP
알아사드는	알아사드/NNP+는/JX
1970년	1970/SN+년/NNB
무혈	무혈/NNG
쿠데타를	쿠데타/NNG+를/JKO
통해	통하/VV+아/EC
정권을	정권/NNG+을/JKO
잡은	잡/VV+은/ETM
뒤	뒤/NNG
30년간	30/SN+년/NNB+간/XSN
독재를	독재/NNG+를/JKO
하다가	하/VV+다가/EC
아들에게	아들/NNG+에게/JKB
권력을	권력/NNG+을/JKO
넘겨준	넘겨주/VV+ㄴ/ETM
철권통치자였다.	철권통치자/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.18.4.1
그의 집권기에는 하마(Hama) 대학살로 불리는 참극이 있었다.

그의	그/NP+의/JKG
집권기에는	집권기/NNG+에/JKB+는/JX
하마(Hama)	하마/NNP+(/SS+Hama/SL+)/SS
대학살로	대/XPN+학살/NNG+로/JKB
불리는	불리/VV+는/ETM
참극이	참극/NNG+이/JKS
있었다.	있/VA+었/EP+다/EF+./SF


# id : NWRW1800000030.18.4.2
하페즈는 이슬람 시아파 중에서 소수인 알라위파였기 때문에 언제든지 쿠데타의 대상이 될 수 있다는 것을 잘 알고 있었다.

하페즈는	하페즈/NNP+는/JX
이슬람	이슬람/NNG
시아파	시아파/NNG
중에서	중/NNB+에서/JKB
소수인	소수/NNG+이/VCP+ㄴ/ETM
알라위파였기	알라위파/NNP+이/VCP+었/EP+기/ETN
때문에	때문/NNB+에/JKB
언제든지	언제/NP+든지/JX
쿠데타의	쿠데타/NNG+의/JKG
대상이	대상/NNG+이/JKC
될	되/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
것을	것/NNB+을/JKO
잘	잘/MAG
알고	알/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000030.18.4.3
이런 인식 때문에 1982년 2월 하페즈는 당시 이슬람형제단의 근거지로 알려진 시리아 제4의 도시 하마에 대한 대대적인 공격을 감행했다.

이런	이런/MMD
인식	인식/NNG
때문에	때문/NNB+에/JKB
1982년	1982/SN+년/NNB
2월	2/SN+월/NNB
하페즈는	하페즈/NNP+는/JX
당시	당시/NNG
이슬람형제단의	이슬람형제단/NNP+의/JKG
근거지로	근거지/NNG+로/JKB
알려진	알려지/VV+ㄴ/ETM
시리아	시리아/NNP
제4의	제/XPN+4/SN+의/JKG
도시	도시/NNG
하마에	하마/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
대대적인	대대적/NNG+이/VCP+ㄴ/ETM
공격을	공격/NNG+을/JKO
감행했다.	감행/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.18.4.4
하페즈는 탱크를 동원해 이슬람형제단의 저격수가 배치돼 있을 만한 건물에 포격을 퍼부었다.

하페즈는	하페즈/NNP+는/JX
탱크를	탱크/NNG+를/JKO
동원해	동원/NNG+하/XSV+아/EC
이슬람형제단의	이슬람형제단/NNP+의/JKG
저격수가	저격수/NNG+가/JKS
배치돼	배치/NNG+되/XSV+어/EC
있을	있/VX+을/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
건물에	건물/NNG+에/JKB
포격을	포격/NNG+을/JKO
퍼부었다.	퍼붓/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.18.4.5
이때 최소 1만~2만명 이상이 사망했다고 한다.

이때	이때/NNG
최소	최소/NNG
1만~2만명	1/SN+만/NR+~/SO+2/SN+만/NR+명/NNB
이상이	이상/NNG+이/JKS
사망했다고	사망/NNG+하/XSV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.18.5.1
하페즈는 이 참극을 정치적으로 활용했다.

하페즈는	하페즈/NNP+는/JX
이	이/MMD
참극을	참극/NNG+을/JKO
정치적으로	정치/NNG+적/XSN+으로/JKB
활용했다.	활용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.18.5.2
훗날 레바논의 한 사업가가 '하마에서 7000명을 죽인 것이 맞느냐'고 묻자 그는 "아니오. 3만7000명쯤 되죠"라고 답했다는 일화도 있다.

훗날	훗날/NNG
레바논의	레바논/NNP+의/JKG
한	한/MMN
사업가가	사업가/NNG+가/JKS
'하마에서	'/SS+하마/NNP+에서/JKB
7000명을	7000/SN+명/NNB+을/JKO
죽인	죽이/VV+ㄴ/ETM
것이	것/NNB+이/JKS
맞느냐'고	맞/VV+느냐/EF+'/SS+고/JKQ
묻자	묻/VV+자/EC
그는	그/NP+는/JX
"아니오.	"/SS+아니오/IC+./SF
3만7000명쯤	3/SN+만/NR+7000/SN+명/NNB+쯤/XSN
되죠"라고	되/VV+죠/EF+"/SS+라고/JKQ
답했다는	답/NNG+하/XSV+았/EP+다는/ETM
일화도	일화/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000030.18.5.3
정권에 맞서보겠다는 생각조차 할 수 없도록 공포를 확산시키려 한 것이다.

정권에	정권/NNG+에/JKB
맞서보겠다는	맞서/VV+어/EC+보/VX+겠/EP+다는/ETM
생각조차	생각/NNG+조차/JX
할	하/VV+ㄹ/ETM
수	수/NNB
없도록	없/VA+도록/EC
공포를	공포/NNG+를/JKO
확산시키려	확산/NNG+시키/XSV+려/EC
한	하/VX+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.18.6.1
한편 하페즈 알아사드 전 대통령은 북한의 김일성과 매우 친한 사이라 시리아에서 프랑스어로 번역된 김일성 선집(選集)이 발간되기도 했다.

한편	한편/MAG
하페즈	하페즈/NNP
알아사드	알아사드/NNP
전	전/MMD
대통령은	대통령/NNG+은/JX
북한의	북한/NNP+의/JKG
김일성과	김일성/NNP+과/JKB
매우	매우/MAG
친한	친하/VA+ㄴ/ETM
사이라	사이/NNG+이/VCP+라/EC
시리아에서	시리아/NNP+에서/JKB
프랑스어로	프랑스어/NNP+로/JKB
번역된	번역/NNG+되/XSV+ㄴ/ETM
김일성	김일성/NNP
선집(選集)이	선집/NNG+(/SS+選集/SH+)/SS+이/JKS
발간되기도	발간/NNG+되/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000030.18.6.2
시리아에선 한때 보통 사람들도 알 정도로 김일성이 널리 알려져 있었다고 한다.

시리아에선	시리아/NNP+에서/JKB+ㄴ/JX
한때	한때/MAG
보통	보통/NNG
사람들도	사람/NNG+들/XSN+도/JX
알	알/VV+ㄹ/ETM
정도로	정도/NNG+로/JKB
김일성이	김일성/NNP+이/JKS
널리	널리/MAG
알려져	알려지/VV+어/EC
있었다고	있/VX+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000030.18.6.3
사회주의와 독재라는 공통점을 가진 나라들끼리 밀착한 것을 넘어 2000년 이후에는 아들들인 바샤르 알아사드와 김정일 간에도 대(代)를 이은 친선을 유지하고 있다고 북한의 조선중앙방송이 보도한 일도 있다.

사회주의와	사회주의/NNG+와/JC
독재라는	독재/NNG+이/VCP+라는/ETM
공통점을	공통점/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
나라들끼리	나라/NNG+들/XSN+끼리/XSN
밀착한	밀착/NNG+하/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
넘어	넘/VV+어/EC
2000년	2000/SN+년/NNB
이후에는	이후/NNG+에/JKB+는/JX
아들들인	아들/NNG+들/XSN+이/VCP+ㄴ/ETM
바샤르	바샤르/NNP
알아사드와	알아사드/NNP+와/JC
김정일	김정일/NNP
간에도	간/NNB+에/JKB+도/JX
대(代)를	대/NNG+(/SS+代/SH+)/SS+를/JKO
이은	잇/VV+은/ETM
친선을	친선/NNG+을/JKO
유지하고	유지/NNG+하/XSV+고/EC
있다고	있/VX+다고/EC
