# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.257
metadata : {}


# id : NWRW1800000036.257.1.1
“송도 영리병원 저지” 불붙었다

“송도	“/SS+송도/NNP
영리병원	영리/NNG+병원/NNG
저지”	저지/NNG+”/SS
불붙었다	불붙/VV+었/EP+다/EF


# id : NWRW1800000036.257.2.1
[한겨레] 인천지역연대 총력투쟁 나서

[한겨레]	[/SS+한겨레/NNP+]/SS
인천지역연대	인천지역연대/NNP
총력투쟁	총력/NNG+투쟁/NNG
나서	나서/VV+어/EF


# id : NWRW1800000036.257.3.1
시청앞 농성·토론회 등 계획

시청앞	시청/NNG+앞/NNG
농성·토론회	농성/NNG+·/SP+토론회/NNG
등	등/NNB
계획	계획/NNG


# id : NWRW1800000036.257.4.1
인천경제자유구역청이 송도 영리병원 설립 반대 여론을 비켜가려고 영리병원과 비영리병원을 동시에 설립하는 방안을 검토해 ‘꼼수 논란’이 일고 있는 가운데 인천지역 시민·사회단체들이 영리병원 저지를 위한 총력 투쟁에 나섰다.

인천경제자유구역청이	인천경제자유구역청/NNP+이/JKS
송도	송도/NNP
영리병원	영리/NNG+병원/NNG
설립	설립/NNG
반대	반대/NNG
여론을	여론/NNG+을/JKO
비켜가려고	비키/VV+어/EC+가/VX+려고/EC
영리병원과	영리/NNG+병원/NNG+과/JC
비영리병원을	비/XPN+영리/NNG+병원/NNG+을/JKO
동시에	동시/NNG+에/JKB
설립하는	설립/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
검토해	검토/NNG+하/XSV+아/EC
‘꼼수	‘/SS+꼼수/NNG
논란’이	논란/NNG+’/SS+이/JKS
일고	일/VV+고/EC
있는	있/VX+는/ETM
가운데	가운데/NNG
인천지역	인천지역/NNP
시민·사회단체들이	시민/NNG+·/SP+사회단체/NNG+들/XSN+이/JKS
저지를	저지/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
총력	총력/NNG
투쟁에	투쟁/NNG+에/JKB
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.257.5.1
인천지역 의료·사회·노동단체들이 꾸린 ‘인천지역연대’ 회원 50여명은 23일 오후 연수구 송도동 인천경제자유구역청 앞에서 남동구 구월동 시청까지 도로 12㎞를 자전거를 타고 행진하며 ‘송도 영리병원 설립 저지’ 운동을 폈다.

인천지역	인천지역/NNP
의료·사회·노동단체들이	의료/NNG+·/SP+사회/NNG+·/SP+노동/NNG+단체/NNG+들/XSN+이/JKS
꾸린	꾸리/VV+ㄴ/ETM
‘인천지역연대’	‘/SS+인천지역연대/NNP+’/SS
회원	회원/NNG
50여명은	50/SN+여/XSN+명/NNB+은/JX
23일	23/SN+일/NNB
오후	오후/NNG
연수구	연수구/NNP
송도동	송도동/NNP
인천경제자유구역청	인천경제자유구역청/NNP
앞에서	앞/NNG+에서/JKB
남동구	남동구/NNP
구월동	구월동/NNP
시청까지	시청/NNG+까지/JX
도로	도로/NNG
12㎞를	12/SN+㎞/SW+를/JKO
자전거를	자전거/NNG+를/JKO
타고	타/VV+고/EC
행진하며	행진/NNG+하/XSV+며/EC
‘송도	‘/SS+송도/NNP
영리병원	영리/NNG+병원/NNG
설립	설립/NNG
저지’	저지/NNG+’/SS
운동을	운동/NNG+을/JKO
폈다.	펴/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.257.6.1
이들은 인천경제자유구역청 앞에서 연 기자회견에서 “인천경제청이 최근 외국인 진료만 가능한 영리병원과 내국인 이용이 가능한 비영리병원을 함께 설립하는 방안을 검토중인데, 이 방안은 결국에는 건강보험 적용이 되지 않는 영리병원을 설립하겠다는 꼼수에 불과하다”고 밝혔다.

이들은	이/NP+들/XSN+은/JX
인천경제자유구역청	인천경제자유구역청/NNP
앞에서	앞/NNG+에서/JKB
연	열/VV+ㄴ/ETM
기자회견에서	기자/NNG+회견/NNG+에서/JKB
“인천경제청이	“/SS+인천경제청/NNP+이/JKS
최근	최근/MAG
외국인	외국인/NNG
진료만	진료/NNG+만/JX
가능한	가능/NNG+하/XSA+ㄴ/ETM
영리병원과	영리/NNG+병원/NNG+과/JC
내국인	내국인/NNG
이용이	이용/NNG+이/JKS
비영리병원을	비/XPN+영리/NNG+병원/NNG+을/JKO
함께	함께/MAG
설립하는	설립/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
검토중인데,	검토/NNG+중/NNB+이/VCP+ㄴ데/EC+,/SP
이	이/MMD
방안은	방안/NNG+은/JX
결국에는	결국/NNG+에/JKB+는/JX
건강보험	건강/NNG+보험/NNG
적용이	적용/NNG+이/JKS
되지	되/VV+지/EC
않는	않/VX+는/ETM
영리병원을	영리/NNG+병원/NNG+을/JKO
설립하겠다는	설립/NNG+하/XSV+겠/EP+다는/ETM
꼼수에	꼼수/NNG+에/JKB
불과하다”고	불과/MAG+하/XSA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.257.6.2
이들은 영리병원을 허용하면 건강보험을 중심으로 한 공공의료 체계를 뿌리째 흔들 것이라고 지적했다.

이들은	이/NP+들/XSN+은/JX
영리병원을	영리/NNG+병원/NNG+을/JKO
허용하면	허용/NNG+하/XSV+면/EC
건강보험을	건강/NNG+보험/NNG+을/JKO
중심으로	중심/NNG+으로/JKB
한	하/VV+ㄴ/ETM
공공의료	공공/NNG+의료/NNG
체계를	체계/NNG+를/JKO
뿌리째	뿌리/NNG+째/XSN
흔들	흔들/VV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.257.7.1
이들은 “현 정부가 밀어붙였던 인천공항 지분 매각, 케이티엑스(KTX) 일부 노선 매각, 산업은행 지분 매각 등 민영화 계획이 국민 여론에 밀려 줄줄이 무산됐다”며 “같은 맥락에서 추진해온 영리병원 설립도 당연히 중단해야 한다”고 요구했다.

이들은	이/NP+들/XSN+은/JX
“현	“/SS+현/MMD
정부가	정부/NNG+가/JKS
밀어붙였던	밀어붙이/VV+었/EP+던/ETM
인천공항	인천공항/NNP
지분	지분/NNG
매각,	매각/NNG+,/SP
케이티엑스(KTX)	케이티엑스/NNP+(/SS+KTX/SL+)/SS
일부	일부/NNG
노선	노선/NNG
산업은행	산업은행/NNP
매각	매각/NNG
등	등/NNB
민영화	민영/NNG+화/XSN
계획이	계획/NNG+이/JKS
국민	국민/NNG
여론에	여론/NNG+에/JKB
밀려	밀리/VV+어/EC
줄줄이	줄줄이/MAG
무산됐다”며	무산/NNG+되/XSV+었/EP+다/EF+”/SS+며/EC
“같은	“/SS+같/VA+은/ETM
맥락에서	맥락/NNG+에서/JKB
추진해온	추진/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
영리병원	영리/NNG+병원/NNG
설립도	설립/NNG+도/JX
당연히	당연히/MAG
중단해야	중단/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
요구했다.	요구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.257.8.1
‘영리병원과 비영리병원의 동시 설립 방안’과 관련해 인천경제청 관계자는 “아직 결정된 것은 없다”며 “각계 여론을 수렴해 올해 말까지 확정할 계획”이라고 말했다.

‘영리병원과	‘/SS+영리/NNG+병원/NNG+과/JC
비영리병원의	비/XPN+영리/NNG+병원/NNG+의/JKG
동시	동시/NNG
설립	설립/NNG
방안’과	방안/NNG+’/SS+과/JKB
관련해	관련/NNG+하/XSV+아/EC
인천경제청	인천경제청/NNP
관계자는	관계자/NNG+는/JX
“아직	“/SS+아직/MAG
결정된	결정/NNG+되/XSV+ㄴ/ETM
것은	것/NNB+은/JX
없다”며	없/VA+다/EF+”/SS+며/EC
“각계	“/SS+각계/NNG
여론을	여론/NNG+을/JKO
수렴해	수렴/NNG+하/XSV+아/EC
올해	올해/NNG
말까지	말/NNB+까지/JX
확정할	확정/NNG+하/XSV+ㄹ/ETM
계획”이라고	계획/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.257.9.1
인천지역연대는 오는 29일까지 시청 앞에서 농성을 벌이고 토론회, 시장 면담, 시의회 결의안 채택 등을 추진할 계획이다.

인천지역연대는	인천지역연대/NNP+는/JX
오는	오/VV+는/ETM
29일까지	29/SN+일/NNB+까지/JX
시청	시청/NNG
앞에서	앞/NNG+에서/JKB
농성을	농성/NNG+을/JKO
벌이고	벌이/VV+고/EC
토론회,	토론회/NNG+,/SP
시장	시장/NNG
면담,	면담/NNG+,/SP
시의회	시/NNG+의회/NNG
결의안	결의안/NNG
채택	채택/NNG
등을	등/NNB+을/JKO
추진할	추진/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


