# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.315
metadata : {}


# id : NWRW1800000022.315.1.1
[부산ㆍ경남] 부산국제영화제 70개국 355편 초청;개막작 '굿모닝 프레지던트'

[부산ㆍ경남]	[/SS+부산/NNP+ㆍ/SP+경남/NNP+]/SS
부산국제영화제	부산/NNP+국제/NNG+영화제/NNG
70개국	70/SN+개국/NNB
355편	355/SN+편/NNB
초청;개막작	초청/NNG+;/SW+개막작/NNG
'굿모닝	'/SS+굿모닝/NNP
프레지던트'	프레지던트/NNP+'/SS


# id : NWRW1800000022.315.2.1
부산국제영화제(PIFF) 조직위원회는 8일 오전 부산 그랜드호텔에서 기자회견을 갖고 10월 8~16일 열리는 제14회 부산국제영화제에 역대 최다인 70개국, 355편의 영화가 초청돼 해운대와 남포동 일대 6개 극장에서 상영된다고 밝혔다.

부산국제영화제(PIFF)	부산/NNP+국제/NNG+영화제/NNG+(/SS+PIFF/SL+)/SS
조직위원회는	조직/NNG+위원회/NNG+는/JX
8일	8/SN+일/NNB
오전	오전/NNG
부산	부산/NNP
그랜드호텔에서	그랜드호텔/NNP+에서/JKB
기자회견을	기자/NNG+회견/NNG+을/JKO
갖고	갖/VV+고/EC
10월	10/SN+월/NNB
8~16일	8/SN+~/SO+16/SN+일/NNB
열리는	열리/VV+는/ETM
제14회	제/XPN+14/SN+회/NNB
부산국제영화제에	부산/NNP+국제/NNG+영화제/NNG+에/JKB
역대	역대/NNG
최다인	최다/NNG+이/VCP+ㄴ/ETM
70개국,	70/SN+개국/NNB+,/SP
355편의	355/SN+편/NNB+의/JKG
영화가	영화/NNG+가/JKS
초청돼	초청/NNG+되/XSV+어/EC
해운대와	해운대/NNP+와/JC
남포동	남포동/NNP
일대	일대/NNG
6개	6/SN+개/NNB
극장에서	극장/NNG+에서/JKB
상영된다고	상영/NNG+되/XSV+ㄴ다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.315.3.1
개막작은 장진 감독, 장동건 주연의 영화 '굿모닝 프레지던트', 폐막작은 중국 첸쿠오푸, 가오췬수 감독의 '바람의 소리'가 각각 선정됐다.

개막작은	개막작/NNG+은/JX
장진	장진/NNP
감독,	감독/NNG+,/SP
장동건	장동건/NNP
주연의	주연/NNG+의/JKG
영화	영화/NNG
'굿모닝	'/SS+굿모닝/NNP
프레지던트',	프레지던트/NNP+'/SS+,/SP
폐막작은	폐막작/NNG+은/JX
중국	중국/NNP
첸쿠오푸,	첸쿠오푸/NNP+,/SP
가오췬수	가오췬수/NNP
감독의	감독/NNG+의/JKG
'바람의	'/SS+바람/NNG+의/JKG
소리'가	소리/NNG+'/SS+가/JKS
각각	각각/MAG
선정됐다.	선정/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.315.3.2
개막식과 폐막식은 각각 8일과 16일 오후 7시 해운대 요트경기장에서 열릴 예정이다.

개막식과	개막식/NNG+과/JC
폐막식은	폐막식/NNG+은/JX
각각	각각/MAG
8일과	8/SN+일/NNB+과/JC
16일	16/SN+일/NNB
오후	오후/NNG
7시	7/SN+시/NNB
해운대	해운대/NNP
요트경기장에서	요트/NNG+경기장/NNG+에서/JKB
열릴	열리/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.315.4.1
초청작 중 세계에서 처음 공개되는 월드프리미어 부문 영화도 역대 최다인 98편, 자국 밖에서 처음 상영되는 인터내셔널 프리미어 부문 영화 46편이 각각 선보인다.

초청작	초청작/NNG
중	중/NNB
세계에서	세계/NNG+에서/JKB
처음	처음/NNG
공개되는	공개/NNG+되/XSV+는/ETM
월드프리미어	월드프리미어/NNG
부문	부문/NNG
영화도	영화/NNG+도/JX
역대	역대/NNG
최다인	최다/NNG+이/VCP+ㄴ/ETM
98편,	98/SN+편/NNB+,/SP
자국	자국/NNG
밖에서	밖/NNG+에서/JKB
상영되는	상영/NNG+되/XSV+는/ETM
인터내셔널	인터내셔널/NNG
프리미어	프리미어/NNG
영화	영화/NNG
46편이	46/SN+편/NNB+이/JKS
각각	각각/MAG
선보인다.	선보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.315.5.1
'미래를 준비하고 선도하는 영화제'를 모토로 한 이번 영화제는 세계적인 거장의 신작이나 화제작, 월드프리미어 등을 소개하는 '갈라 프리젠테이션'과 한국 영화를 집중 소개하는 '한국영화의 오늘' 등 11개 부문으로 진행된다.

'미래를	'/SS+미래/NNG+를/JKO
준비하고	준비/NNG+하/XSV+고/EC
선도하는	선도/NNG+하/XSV+는/ETM
영화제'를	영화제/NNG+'/SS+를/JKO
모토로	모토/NNG+로/JKB
한	하/VV+ㄴ/ETM
이번	이번/NNG
영화제는	영화제/NNG+는/JX
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
거장의	거장/NNG+의/JKG
신작이나	신작/NNG+이나/JC
화제작,	화제작/NNG+,/SP
월드프리미어	월드프리미어/NNG
등을	등/NNB+을/JKO
소개하는	소개/NNG+하/XSV+는/ETM
'갈라	'/SS+가르/VV+아/EC
프리젠테이션'과	프리젠테이션/NNG+'/SS+과/JC
한국	한국/NNP
영화를	영화/NNG+를/JKO
집중	집중/NNG
'한국영화의	'/SS+한국/NNP+영화/NNG+의/JKG
오늘'	오늘/NNG+'/SS
등	등/NNB
11개	11/SN+개/NNB
부문으로	부문/NNG+으로/JKB
진행된다.	진행/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000022.315.5.2
최근 아시아의 장편 애니메이션 흐름을 읽을 수 있는 '애니 아시아', 고(故) 하길종, 고(故) 유현목 감독의 영화를 한자리에서 감상할 수 있는 '한국영화 회고전' 등 다채로운 특별 프로그램과 최근 별세한 배우 장진영 특별전도 마련된다.

최근	최근/MAG
아시아의	아시아/NNP+의/JKG
장편	장편/NNG
애니메이션	애니메이션/NNG
흐름을	흐름/NNG+을/JKO
