# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.422
metadata : {}


# id : NWRW1800000024.422.1.1
공공기관 구매 중기품목 212개 추천

공공기관	공공/NNG+기관/NNG
구매	구매/NNG
중기품목	중기/NNG+품목/NNG
212개	212/SN+개/NNB
추천	추천/NNG


# id : NWRW1800000024.422.2.1
중소기업중앙회는 지난 13일 내년 중소기업자 간 경쟁품목 212개를 확정해 중소기업청에 추천했다고 15일 밝혔다.

중소기업중앙회는	중소기업/NNG+중앙회/NNG+는/JX
지난	지나/VV+ㄴ/ETM
13일	13/SN+일/NNB
내년	내년/NNG
중소기업자	중소기업자/NNG
간	간/NNB
경쟁품목	경쟁/NNG+품목/NNG
212개를	212/SN+개/NNB+를/JKO
확정해	확정/NNG+하/XSV+아/EC
중소기업청에	중소기업청/NNG+에/JKB
추천했다고	추천/NNG+하/XSV+았/EP+다고/EC
15일	15/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.422.2.2
중소기업 간 경쟁제품으로 지정된 품목은 공공기관이 해당 제품을 살 때 반드시 중소기업만의 경쟁입찰을 통해 구매해야 한다.

중소기업	중소기업/NNG
간	간/NNB
경쟁제품으로	경쟁/NNG+제품/NNG+으로/JKB
지정된	지정/NNG+되/XSV+ㄴ/ETM
품목은	품목/NNG+은/JX
공공기관이	공공/NNG+기관/NNG+이/JKS
해당	해당/NNG
제품을	제품/NNG+을/JKO
살	사/VV+ㄹ/ETM
때	때/NNG
반드시	반드시/MAG
중소기업만의	중소기업/NNG+만/JX+의/JKG
경쟁입찰을	경쟁/NNG+입찰/NNG+을/JKO
통해	통하/VV+아/EC
구매해야	구매/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000024.422.2.3
이는 공공기관이 일정량을 중소기업조합으로부터 의무적으로 구입하게 한 단체 수의계약 제도가 2006년 말 폐지되면서 중소기업 제품의 판매난 완화를 위해 도입됐다.

이는	이/NP+는/JX
공공기관이	공공/NNG+기관/NNG+이/JKS
일정량을	일정량/NNG+을/JKO
중소기업조합으로부터	중소기업/NNG+조합/NNG+으로부터/JKB
의무적으로	의무/NNG+적/XSN+으로/JKB
구입하게	구입/NNG+하/XSV+게/EC
한	하/VX+ㄴ/ETM
단체	단체/NNG
수의계약	수의/NNG+계약/NNG
제도가	제도/NNG+가/JKS
2006년	2006/SN+년/NNB
말	말/NNB
폐지되면서	폐지/NNG+되/XSV+면서/EC
중소기업	중소기업/NNG
제품의	제품/NNG+의/JKG
판매난	판매난/NNG
완화를	완화/NNG+를/JKO
위해	위하/VV+아/EC
도입됐다.	도입/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000024.422.3.1
중기중앙회는 지난 2달간 중소기업과 협동조합들이 신청한 230개 제품에 대해 납품실적, 시장규모는 물론 대기업 등과의 의견 조정 절차를 거쳐 선정했다고 밝혔다.

중기중앙회는	중기중앙회/NNP+는/JX
지난	지나/VV+ㄴ/ETM
2달간	2/SN+달/NNB+간/XSN
중소기업과	중소기업/NNG+과/JC
협동조합들이	협동조합/NNG+들/XSN+이/JKS
신청한	신청/NNG+하/XSV+ㄴ/ETM
230개	230/SN+개/NNB
