# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.222
metadata : {}


# id : NWRW1800000049.222.1.1
하나가 벌써 두번째 우승

하나가	하나/NNP+가/JKS
벌써	벌써/MAG
두번째	두/MMN+번/NNB+째/XSN
우승	우승/NNG


# id : NWRW1800000049.222.2.1
‘하나자이저’ 장하나, HSBC챔피언십 우승… 11번홀 두번째 샷 나무 맞혀 보기 이후 세 홀 잇단 버디… 승부에 쐐기 18번홀 과감한 투온, 이글로 마무리

‘하나자이저’	‘/SS+하나자이저/NNP+’/SS
장하나,	장하나/NNP+,/SP
HSBC챔피언십	HSBC/SL+챔피언십/NNG
우승…	우승/NNG+…/SE
11번홀	11/SN+번/NNB+홀/NNG
두번째	두/MMN+번/NNB+째/XSN
샷	샷/NNG
나무	나무/NNG
맞혀	맞히/VV+어/EC
보기	보/VX+기/ETN
이후	이후/NNG
세	세/MMN
홀	홀/NNG
잇단	잇달/VV+ㄴ/ETM
버디…	버디/NNG+…/SE
승부에	승부/NNG+에/JKB
쐐기	쐐기/NNG
18번홀	18/SN+번/NNB+홀/NNG
과감한	과감하/VA+ㄴ/ETM
투온,	투온/NNG+,/SP
이글로	이글/NNG+로/JKB
마무리	마무리/NNG


# id : NWRW1800000049.222.3.1
장하나(24·비씨카드)가 올 시즌 미국여자프로골프(LPGA)투어 처음으로 2승 고지에 올랐다.

장하나(24·비씨카드)가	장하나/NNP+(/SS+24/SN+·/SP+비씨카드/NNP+)/SS+가/JKS
올	올/NNG
시즌	시즌/NNG
미국여자프로골프(LPGA)투어	미국/NNP+여자/NNG+프로/NNG+골프/NNG+(/SS+LPGA/SL+)/SS+투어/NNG
처음으로	처음/NNG+으로/JKB
2승	2/SN+승/NNB
고지에	고지/NNG+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.222.4.1
장하나는 6일 싱가포르 센토사 골프클럽 세라퐁 코스(파72)에서 열린 LPGA투어 HSBC 위민스 챔피언십 마지막 라운드에서 이글 1개, 버디 6개, 보기 1개로 7언더파를 기록하며 최종 합계 19언더파 269타로 우승했다.

장하나는	장하나/NNP+는/JX
6일	6/SN+일/NNB
싱가포르	싱가포르/NNP
센토사	센토사/NNP
골프클럽	골프클럽/NNP
세라퐁	세라퐁/NNP
코스(파72)에서	코스/NNG+(/SS+파/NNG+72/SN+)/SS+에서/JKB
열린	열리/VV+ㄴ/ETM
LPGA투어	LPGA/SL+투어/NNG
HSBC	HSBC/SL
위민스	위민스/NNG
챔피언십	챔피언십/NNG
마지막	마지막/NNG
라운드에서	라운드/NNG+에서/JKB
이글	이글/NNG
1개,	1/SN+개/NNB+,/SP
버디	버디/NNG
6개,	6/SN+개/NNB+,/SP
보기	보기/NNG
1개로	1/SN+개/NNB+로/JKB
7언더파를	7/SN+언더/NNG+파/NNG+를/JKO
기록하며	기록/NNG+하/XSV+며/EC
최종	최종/NNG
합계	합계/NNG
19언더파	19/SN+언더/NNG+파/NNG
269타로	269/SN+타/NNG+로/JKB
우승했다.	우승/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.222.4.2
최종 라운드 7언더파 65타는 코스레코드 타이기록이다.

최종	최종/NNG
라운드	라운드/NNG
7언더파	7/SN+언더/NNG+파/NNG
65타는	65/SN+타/NNG+는/JX
코스레코드	코스레코드/NNG
타이기록이다.	타이기록/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.222.4.3
이번 대회 2위는 15언더파를 기록한 태국의 폰아농 펫람(27·볼빅)이 차지했다.

이번	이번/NNG
대회	대회/NNG
2위는	2/SN+위/NNB+는/JX
15언더파를	15/SN+언더/NNG+파/NNG+를/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
태국의	태국/NNP+의/JKG
폰아농	폰아농/NNP
펫람(27·볼빅)이	펫람/NNP+(/SS+27/SN+·/SP+볼빅/NNP+)/SS+이/JKS
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.222.5.1
장하나가 시즌 2승째를 챙기면서 이번 시즌 개막 후 5개 대회에서 국내 선수가 세 번째 우승 트로피를 들어 올렸다.

장하나가	장하나/NNP+가/JKS
시즌	시즌/NNG
2승째를	2/SN+승/NNB+째/XSN+를/JKO
챙기면서	챙기/VV+면서/EC
이번	이번/NNG
개막	개막/NNG
후	후/NNG
5개	5/SN+개/NNB
대회에서	대회/NNG+에서/JKB
국내	국내/NNG
선수가	선수/NNG+가/JKS
세	세/MMN
번째	번/NNB+째/XSN
우승	우승/NNG
트로피를	트로피/NNG+를/JKO
들어	들/VV+어/EC
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.222.6.1
