# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.219
metadata : {}


# id : NWRW1800000037.219.1.1
사람 목숨값보다 비싼 외제차 수리비

사람	사람/NNG
목숨값보다	목숨값/NNG+보다/JKB
비싼	비싸/VA+ㄴ/ETM
외제차	외제/NNG+차/NNG
수리비	수리비/NNG


# id : NWRW1800000037.219.2.1
페라리 1대가 4억6487만원 나오기도 3년간 2조 지급… “보험료 인상 요인”

페라리	페라리/NNP
1대가	1/SN+대/NNB+가/JKS
4억6487만원	4/SN+억/NR+6487/SN+만/NR+원/NNB
나오기도	나오/VV+기/ETN+도/JX
3년간	3/SN+년/NNB+간/XSN
2조	2/SN+조/NR
지급…	지급/NNG+…/SE
“보험료	“/SS+보험료/NNG
인상	인상/NNG
요인”	요인/NNG+”/SS


# id : NWRW1800000037.219.3.1
교통사고 사망자에게 지급된 평균 보상금보다 외제차 1대의 수리비가 높은 경우가 있는 것으로 밝혀졌다.

교통사고	교통사고/NNG
사망자에게	사망자/NNG+에게/JKB
지급된	지급/NNG+되/XSV+ㄴ/ETM
평균	평균/NNG
보상금보다	보상금/NNG+보다/JKB
외제차	외제/NNG+차/NNG
1대의	1/SN+대/NNB+의/JKG
수리비가	수리비/NNG+가/JKS
높은	높/VA+은/ETM
경우가	경우/NNG+가/JKS
있는	있/VA+는/ETM
것으로	것/NNB+으로/JKB
밝혀졌다.	밝히/VV+어/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000037.219.3.2
이에 따라 과도한 외제차 수리비로 인해 전체 운전자의 보험료가 인상되고 있다는 지적이 제기됐다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
과도한	과도/NNG+하/XSA+ㄴ/ETM
외제차	외제/NNG+차/NNG
수리비로	수리비/NNG+로/JKB
인해	인/NNG+하/XSV+아/EC
전체	전체/NNG
운전자의	운전자/NNG+의/JKG
보험료가	보험료/NNG+가/JKS
인상되고	인상/NNG+되/XSV+고/EC
있다는	있/VX+다는/ETM
지적이	지적/NNG+이/JKS
제기됐다.	제기/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000037.219.4.1
13일 국회 국토교통위원회 소속 이노근 새누리당 의원이 보험개발원에서 제출받은 자료에 따르면 2010∼2012년 3년간 교통사고로 파손된 외제차 수리비(과실상계 전 기준)가 교통사고 사망자 평균 지급 보상금(2011년 기준)인 1억300만 원보다 높게 나온 경우가 43건에 달했다.

13일	13/SN+일/NNB
국회	국회/NNG
국토교통위원회	국토/NNG+교통/NNG+위원회/NNG
소속	소속/NNG
이노근	이노근/NNP
새누리당	새누리당/NNP
의원이	의원/NNG+이/JKS
보험개발원에서	보험개발원/NNP+에서/JKB
제출받은	제출/NNG+받/XSV+은/ETM
자료에	자료/NNG+에/JKB
따르면	따르/VV+면/EC
2010∼2012년	2010/SN+∼/SO+2012/SN+년/NNB
3년간	3/SN+년/NNB+간/XSN
교통사고로	교통사고/NNG+로/JKB
파손된	파손/NNG+되/XSV+ㄴ/ETM
외제차	외제/NNG+차/NNG
수리비(과실상계	수리비/NNG+(/SS+과실/NNG+상계/NNG
전	전/MMD
기준)가	기준/NNG+)/SS+가/JKS
교통사고	교통사고/NNG
사망자	사망자/NNG
평균	평균/NNG
지급	지급/NNG
보상금(2011년	보상금/NNG+(/SS+2011/SN+년/NNB
기준)인	기준/NNG+)/SS+이/VCP+ㄴ/ETM
1억300만	1/SN+억/NR+300/SN+만/NR
원보다	원/NNB+보다/JKB
높게	높/VA+게/EC
나온	나오/VV+ㄴ/ETM
경우가	경우/NNG+가/JKS
43건에	43/SN+건/NNB+에/JKB
달했다.	달하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.219.5.1
특히 2012년 11월 이탈리아의 세계적 스포츠카인 페라리 2012년식 1대는 교통사고로 크게 파손된 후 부품값과 공임 등을 합한 수리비가 무려 4억6487만 원이 나온 것으로 밝혀졌다.

특히	특히/MAG
2012년	2012/SN+년/NNB
11월	11/SN+월/NNB
이탈리아의	이탈리아/NNP+의/JKG
세계적	세계/NNG+적/XSN
스포츠카인	스포츠카/NNG+이/VCP+ㄴ/ETM
페라리	페라리/NNP
2012년식	2012/SN+년식/NNB
1대는	1/SN+대/NNB+는/JX
교통사고로	교통사고/NNG+로/JKB
크게	크/VA+게/EC
파손된	파손/NNG+되/XSV+ㄴ/ETM
후	후/NNG
부품값과	부품/NNG+값/NNG+과/JC
공임	공임/NNG
등을	등/NNB+을/JKO
합한	합/NNG+하/XSV+ㄴ/ETM
수리비가	수리비/NNG+가/JKS
무려	무려/MAG
4억6487만	4/SN+억/NR+6487/SN+만/NR
원이	원/NNB+이/JKS
나온	나오/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
밝혀졌다.	밝혀지/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.219.5.2
2010년 9월에도 사고로 크게 파손된 2008년식 벤츠 자동차의 수리비 견적은 4억3355만 원에 달했다.

2010년	2010/SN+년/NNB
9월에도	9/SN+월/NNB+에/JKB+도/JX
사고로	사고/NNG+로/JKB
크게	크/VA+게/EC
파손된	파손/NNG+되/XSV+ㄴ/ETM
2008년식	2008/SN+년식/NNB
벤츠	벤츠/NNP
자동차의	자동차/NNG+의/JKG
수리비	수리비/NNG
견적은	견적/NNG+은/JX
4억3355만	4/SN+억/NR+3355/SN+만/NR
원에	원/NNB+에/JKB
달했다.	달하/VV+았/EP+다/EF+./SF


# id : NWRW1800000037.219.6.1
43건의 외제차 수리비는 총 69억1300만 원으로 건당 평균 수리비는 1억6000여만 원에 이르렀다.

43건의	43/SN+건/NNB+의/JKG
외제차	외제/NNG+차/NNG
