# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.259
metadata : {}


# id : NWRW1800000036.259.1.1
부평 미군기지 흙서 고농도 다이옥신

부평	부평/NNP
미군기지	미군/NNG+기지/NNG
흙서	흙/NNG+서/JKB
고농도	고/XPN+농도/NNG
다이옥신	다이옥신/NNG


# id : NWRW1800000036.259.2.1
[한겨레] 조사단 “47개 지점 모두 검출”

[한겨레]	[/SS+한겨레/NNP+]/SS
조사단	조사단/NNG
“47개	“/SS+47/SN+개/NNB
지점	지점/NNG
모두	모두/MAG
검출”	검출/NNG+”/SS


# id : NWRW1800000036.259.3.1
아파트단지·부영공원에 인접

아파트단지·부영공원에	아파트/NNG+단지/NNG+·/SP+부영공원/NNP+에/JKB
인접	인접/NNG


# id : NWRW1800000036.259.4.1
환경부에 정밀조사 요구키로

환경부에	환경부/NNG+에/JKB
정밀조사	정밀/NNG+조사/NNG
요구키로	요구/NNG+하/XSV+기/ETN+로/JKB


# id : NWRW1800000036.259.5.1
인천 부평의 주한미군 기지 ‘캠프마켓’ 주변 흙에서 고엽제 성분인 다이옥신이 전국 평균치 이상 나왔다.

인천	인천/NNP
부평의	부평/NNP+의/JKG
주한미군	주한/NNG+미군/NNG
기지	기지/NNG
‘캠프마켓’	‘/SS+캠프마켓/NNP+’/SS
주변	주변/NNG
흙에서	흙/NNG+에서/JKB
고엽제	고엽제/NNG
성분인	성분/NNG+이/VCP+ㄴ/ETM
다이옥신이	다이옥신/NNG+이/JKS
전국	전국/NNG
평균치	평균/NNG+치/XSN
이상	이상/NNG
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.259.5.2
특히 아파트와 공원과 가까운 곳에서도 다이옥신이 검출돼 대책 마련이 시급하다는 지적이 나온다.

특히	특히/MAG
아파트와	아파트/NNG+와/JC
공원과	공원/NNG+과/JKB
가까운	가깝/VA+ㄴ/ETM
곳에서도	곳/NNG+에서/JKB+도/JX
다이옥신이	다이옥신/NNG+이/JKS
검출돼	검출/NNG+되/XSV+어/EC
대책	대책/NNG
마련이	마련/NNG+이/JKS
시급하다는	시급하/VA+다는/ETM
지적이	지적/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.259.6.1
부평구는 ‘캠프마켓 주변지역 환경오염 조사를 위한 부평구 민관공동조사단’이 지난 2월부터 한국농어촌공사 등에 의뢰해 캠프마켓 주변지역 환경기초조사를 벌인 결과, 토양 오염이 심각한 수준으로 나타났다고 23일 밝혔다.

부평구는	부평구/NNP+는/JX
‘캠프마켓	‘/SS+캠프마켓/NNP
주변지역	주변/NNG+지역/NNG
환경오염	환경/NNG+오염/NNG
조사를	조사/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
부평구	부평구/NNP
민관공동조사단’이	민관/NNG+공동/NNG+조사단/NNG+’/SS+이/JKS
지난	지나/VV+ㄴ/ETM
2월부터	2/SN+월/NNB+부터/JX
한국농어촌공사	한국농어촌공사/NNP
등에	등/NNB+에/JKB
의뢰해	의뢰/NNG+하/XSV+아/EC
캠프마켓	캠프마켓/NNP
환경기초조사를	환경/NNG+기초/NNG+조사/NNG+를/JKO
벌인	벌이/VV+ㄴ/ETM
결과,	결과/NNG+,/SP
토양	토양/NNG
오염이	오염/NNG+이/JKS
심각한	심각하/VA+ㄴ/ETM
수준으로	수준/NNG+으로/JKB
나타났다고	나타나/VV+았/EP+다고/EC
23일	23/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.259.7.1
조사 지점 47곳 모두에서 독성물질인 다이옥신이 나왔다.

조사	조사/NNG
지점	지점/NNG
47곳	47/SN+곳/NNG
모두에서	모두/NNG+에서/JKB
독성물질인	독성/NNG+물질/NNG+이/VCP+ㄴ/ETM
다이옥신이	다이옥신/NNG+이/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.259.7.2
다이옥신 수치는 0.02~55.748(단위: pg-TEQ/g)로, 47곳 중 9곳이 전국 평균 농도(2.280)보다 높게 검출됐다.

다이옥신	다이옥신/NNG
수치는	수치/NNG+는/JX
