# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.429
metadata : {}


# id : NWRW1800000022.429.1.1
과천 아파트값 가장 많이 뛰어;3.3㎡당 2788만원… 강남 이어 전국 2위

과천	과천/NNP
아파트값	아파트값/NNG
가장	가장/MAG
많이	많이/MAG
뛰어;3.3㎡당	뛰/VV+어/EF+;/SW+3/SN+./SP+3/SN+㎡/SW+당/XSN
2788만원…	2788/SN+만/NR+원/NNB+…/SE
강남	강남/NNP
이어	잇/VV+어/EC
전국	전국/NNG
2위	2/SN+위/NNB


# id : NWRW1800000022.429.2.1
서울 강남구가 3.3㎡(1평)당 아파트값이 전국에서 가장 높은 것으로 조사됐다.

서울	서울/NNP
강남구가	강남구/NNP+가/JKS
3.3㎡(1평)당	3/SN+./SP+3/SN+㎡/SW+(/SS+1/SN+평/NNB+)/SS+당/XSN
아파트값이	아파트값/NNG+이/JKS
전국에서	전국/NNG+에서/JKB
가장	가장/MAG
높은	높/VA+은/ETM
것으로	것/NNB+으로/JKB
조사됐다.	조사/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.429.2.2
올해 3.3㎡당 아파트값이 가장 많이 뛴 곳은 경기 과천이었다.

올해	올해/NNG
3.3㎡당	3/SN+./SP+3/SN+㎡/SW+당/XSN
아파트값이	아파트값/NNG+이/JKS
가장	가장/MAG
많이	많이/MAG
뛴	뛰/VV+ㄴ/ETM
곳은	곳/NNG+은/JX
경기	경기/NNP
과천이었다.	과천/NNP+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.429.3.1
부동산정보업체인 닥터아파트는 9일 수도권 74개 시·군·구 아파트(재건축 및 재건축 연한 해당 아파트 제외)를 대상으로 3.3㎡당 매매값을 조사한 결과, 서울 강남구가 2944만원으로 가장 높았다고 밝혔다.

부동산정보업체인	부동산/NNG+정보업체/NNG+이/VCP+ㄴ/ETM
닥터아파트는	닥터아파트/NNP+는/JX
9일	9/SN+일/NNB
수도권	수도/NNG+권/XSN
74개	74/SN+개/NNB
시·군·구	시·군·구/NNG
아파트(재건축	아파트/NNG+(/SS+재/XPN+건축/NNG
및	및/MAG
재건축	재/XPN+건축/NNG
연한	연한/NNG
해당	해당/NNG
아파트	아파트/NNG
제외)를	제외/NNG+)/SS+를/JKO
대상으로	대상/NNG+으로/JKB
3.3㎡당	3/SN+./SP+3/SN+㎡/SW+당/XSN
매매값을	매매/NNG+값/NNG+을/JKO
조사한	조사/NNG+하/XSV+ㄴ/ETM
결과,	결과/NNG+,/SP
서울	서울/NNP
강남구가	강남구/NNP+가/JKS
2944만원으로	2944/SN+만/NR+원/NNB+으로/JKB
가장	가장/MAG
높았다고	높/VA+았/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.429.3.2
2위는 과천시(2788만원)였고 서초구(2583만원)·용산구(2549만원)·송파구(2355만원) 등이 3~5위를 기록했다.

2위는	2/SN+위/NNB+는/JX
과천시(2788만원)였고	과천시/NNP+(/SS+2788/SN+만/NR+원/NNB+)/SS+이/VCP+었/EP+고/EC
서초구(2583만원)·용산구(2549만원)·송파구(2355만원)	서초구/NNP+(/SS+2583/SN+만/NR+원/NNB+)/SS+·/SP+용산구/NNP+(/SS+2549/SN+만/NR+원/NNB+)/SS+·/SP+송파구/NNP+(/SS+2355/SN+만/NR+원/NNB+)/SS
등이	등/NNB+이/JKS
3~5위를	3/SN+~/SO+5/SN+위/NNB+를/JKO
기록했다.	기록/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.429.3.3
연천군은 3.3㎡당 327만원으로 수도권에서 가장 낮았다.

연천군은	연천군/NNP+은/JX
3.3㎡당	3/SN+./SP+3/SN+㎡/SW+당/XSN
327만원으로	327/SN+만/NR+원/NNB+으로/JKB
수도권에서	수도/NNG+권/XSN+에서/JKB
가장	가장/MAG
낮았다.	낮/VA+았/EP+다/EF+./SF


