# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.260
metadata : {}


# id : NWRW1800000032.260.1.1
구리 디자인센터 20억달러 MOU

구리	구리/NNP
디자인센터	디자인/NNG+센터/NNG
20억달러	20/SN+억/NR+달러/NNB
MOU	MOU/SL


# id : NWRW1800000032.260.2.1
미국계 ‘비바비나’와 체결

미국계	미국/NNP+계/XSN
‘비바비나’와	‘/SS+비바비나/NNP+’/SS+와/JKB
체결	체결/NNG


# id : NWRW1800000032.260.3.1
경기 구리시의 ‘구리월드디자인센터(GWDC)’ 조성 사업이 대규모 외자 유치 협약으로 탄력을 받게 됐다.

경기	경기/NNP
구리시의	구리시/NNP+의/JKG
‘구리월드디자인센터(GWDC)’	‘/SS+구리월드디자인센터/NNP+(/SS+GWDC/SL+)/SS+’/SS
조성	조성/NNG
사업이	사업/NNG+이/JKS
대규모	대/XPN+규모/NNG
외자	외자/NNG
유치	유치/NNG
협약으로	협약/NNG+으로/JKB
탄력을	탄력/NNG+을/JKO
받게	받/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.260.4.1
구리시는 8일 오후 서울 조선호텔에서 미국계 섬유·식품·유통·투자 제조업체인 ‘비바 비나(Viva Vina)’ 컨소시엄과 “월드디자인센터 건립에 20억 달러(한화 2조원 상당)를 투자한다”는 내용의 투자협약(MOU)을 체결했다.

구리시는	구리시/NNP+는/JX
8일	8/SN+일/NNB
오후	오후/NNG
서울	서울/NNP
조선호텔에서	조선호텔/NNP+에서/JKB
미국계	미국/NNP+계/XSN
섬유·식품·유통·투자	섬유/NNG+·/SP+식품/NNG+·/SP+유통/NNG+·/SP+투자/NNG
제조업체인	제조업체/NNG+이/VCP+ㄴ/ETM
‘비바	‘/SS+비바/NNP
비나(Viva	비나/NNP+(/SS+Viva/SL
Vina)’	Vina/SL+)/SS+’/SS
컨소시엄과	컨소시엄/NNG+과/JC
“월드디자인센터	“/SS+월드디자인센터/NNP
건립에	건립/NNG+에/JKB
20억	20/SN+억/NR
달러(한화	달러/NNB+(/SS+한화/NNG
2조원	2/SN+조/NR+원/NNB
상당)를	상당/NNG+)/SS+를/JKO
투자한다”는	투자/NNG+하/XSV+ㄴ다/EF+”/SS+는/ETM
내용의	내용/NNG+의/JKG
투자협약(MOU)을	투자/NNG+협약/NNG+(/SS+MOU/SL+)/SS+을/JKO
체결했다.	체결/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.260.5.1
구리시는 2015년 완공을 목표로 토평동 한강변 330만㎡에 10조원을 들여 월드디자인센터를 건립한다는 계획이다.

구리시는	구리시/NNP+는/JX
2015년	2015/SN+년/NNB
완공을	완공/NNG+을/JKO
목표로	목표/NNG+로/JKB
토평동	토평동/NNP
한강변	한강/NNP+변/NNG
330만㎡에	330/SN+만/NR+㎡/SW+에/JKB
10조원을	10/SN+조/NR+원/NNB+을/JKO
들여	들이/VV+어/EC
월드디자인센터를	월드디자인센터/NNP+를/JKO
건립한다는	건립/NNG+하/XSV+ㄴ다는/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000032.260.5.2
월드디자인센터가 건립되면 호텔 등 고급 건축물에 사용될 실내장식, 가구, 조명 등 첨단 마감재를 전시·판매하는 아시아의 중심센터가 될 것으로 구리시는 기대하고 있다.

월드디자인센터가	월드디자인센터/NNP+가/JKS
건립되면	건립/NNG+되/XSV+면/EC
호텔	호텔/NNG
등	등/NNB
고급	고급/NNG
건축물에	건축물/NNG+에/JKB
사용될	사용/NNG+되/XSV+ㄹ/ETM
실내장식,	실내/NNG+장식/NNG+,/SP
가구,	가구/NNG+,/SP
조명	조명/NNG
첨단	첨단/NNG
마감재를	마감재/NNG+를/JKO
전시·판매하는	전시/NNG+·/SP+판매/NNG+하/XSV+는/ETM
아시아의	아시아/NNP+의/JKG
중심센터가	중심/NNG+센터/NNG+가/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
구리시는	구리시/NNP+는/JX
기대하고	기대/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000032.260.6.1
