# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.261
metadata : {}


# id : NWRW1800000038.261.1.1
원투 펀치 내고도 2연패… 위기의 다저스, Ryu가 구할까

원투	원투/NNG
펀치	펀치/NNG
내고도	내/VV+고/EC+도/JX
2연패…	2/SN+연패/NNG+…/SE
위기의	위기/NNG+의/JKG
다저스,	다저스/NNP+,/SP
Ryu가	Ryu/SL+가/JKS
구할까	구하/VV+ㄹ까/EF


# id : NWRW1800000038.261.2.1
내일 리그챔피언십 3차전 출격

내일	내일/MAG
리그챔피언십	리그/NNG+챔피언십/NNG
3차전	3/SN+차전/NNB
출격	출격/NNG


# id : NWRW1800000038.261.3.1
류현진(26·사진)의 어깨가 무거워졌다.

류현진(26·사진)의	류현진/NNP+(/SS+26/SN+·/SP+사진/NNG+)/SS+의/JKG
어깨가	어깨/NNG+가/JKS
무거워졌다.	무거워지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.261.4.1
류현진의 소속 팀 LA 다저스는 13일(이하 한국시각) 세인트루이스 카디널스와 치른 미 프로야구(MLB) 내셔널리그 챔피언십시리즈(7전4선승제) 원정 2차전에서 0대1로 졌다.

류현진의	류현진/NNP+의/JKG
소속	소속/NNG
팀	팀/NNG
LA	LA/SL
다저스는	다저스/NNP+는/JX
13일(이하	13/SN+일/NNB+(/SS+이하/NNG
한국시각)	한국/NNP+시각/NNG+)/SS
세인트루이스	세인트루이스/NNP
카디널스와	카디널스/NNP+와/JKB
치른	치르/VV+ㄴ/ETM
미	미/NNP
프로야구(MLB)	프로/NNG+야구/NNG+(/SS+MLB/SL+)/SS
내셔널리그	내셔널리그/NNG
챔피언십시리즈(7전4선승제)	챔피언십/NNG+시리즈/NNG+(/SS+7/SN+전/NNB+4/SN+선승/NNG+제/XSN+)/SS
원정	원정/NNG
2차전에서	2/SN+차전/NNB+에서/JKB
0대1로	0/SN+대/NNB+1/SN+로/JKB
졌다.	지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.261.4.2
전날 열린 1차전에서 연장 13회까지 가는 접전 끝에 2대3으로 패한 다저스는 2연패를 당했다.

전날	전날/NNG
열린	열리/VV+ㄴ/ETM
1차전에서	1/SN+차전/NNB+에서/JKB
연장	연장/NNG
13회까지	13/SN+회/NNB+까지/JX
가는	가/VV+는/ETM
접전	접전/NNG
끝에	끝/NNG+에/JKB
2대3으로	2/SN+대/NNB+3/SN+으로/JKB
패한	패/NNG+하/XSV+ㄴ/ETM
다저스는	다저스/NNP+는/JX
2연패를	2/SN+연패/NNG+를/JKO
당했다.	당하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.261.4.3
다저스는 잭 그레인키(1차전)와 클레이튼 커쇼(2차전) 등 리그 정상급 선발투수 2명을 투입하고도 경기를 모두 내줬다.

다저스는	다저스/NNP+는/JX
잭	잭/NNP
그레인키(1차전)와	그레인키/NNP+(/SS+1/SN+차전/NNB+)/SS+와/JC
클레이튼	클레이튼/NNP
커쇼(2차전)	커쇼/NNP+(/SS+2/SN+차전/NNB+)/SS
등	등/NNB
리그	리그/NNG
정상급	정상급/NNG
선발투수	선발/NNG+투수/NNG
2명을	2/SN+명/NNB+을/JKO
투입하고도	투입/NNG+하/XSV+고/EC+도/JX
경기를	경기/NNG+를/JKO
모두	모두/MAG
내줬다.	내주/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.261.5.1
커쇼는 6이닝을 1실점(2피안타 1볼넷)으로 잘 막았다.

커쇼는	커쇼/NNP+는/JX
6이닝을	6/SN+이닝/NNG+을/JKO
1실점(2피안타	1/SN+실점/NNG+(/SS+2/SN+피/XPN+안타/NNG
1볼넷)으로	1/SN+볼넷/NNG+)/SS+으로/JKB
잘	잘/MAG
막았다.	막/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.261.5.2
하지만 다저스 타선이 점수를 뽑아내지 못해 패전투수가 됐다.

하지만	하지만/MAJ
다저스	다저스/NNP
타선이	타선/NNG+이/JKS
점수를	점수/NNG+를/JKO
뽑아내지	뽑/VV+아/EC+내/VX+지/EC
못해	못하/VX+아/EC
패전투수가	패전/NNG+투수/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.261.5.3
다저스 타자들은 상대 신인 선발투수 마이클 와카(6과 3분의 2이닝 무실점)를 제대로 공략하지 못했다.

다저스	다저스/NNP
타자들은	타자/NNG+들/XSN+은/JX
상대	상대/NNG
신인	신인/NNG
선발투수	선발/NNG+투수/NNG
마이클	마이클/NNP
와카(6과	와카/NNP+(/SS+6/SN+과/JC
3분의	3/SN+분/XSN+의/JKG
2이닝	2/SN+이닝/NNG
무실점)를	무/XPN+실점/NNG+)/SS+를/JKO
제대로	제대로/MAG
공략하지	공략/NNG+하/XSV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000038.261.5.4
6회 1사 만루에서 야시엘 푸이그(4삼진)와 후안 유리베(3삼진)가 삼진으로 물러났다.

6회	6/SN+회/NNB
1사	1/SN+사/NNG
만루에서	만루/NNG+에서/JKB
야시엘	야시엘/NNP
푸이그(4삼진)와	푸이그/NNP+(/SS+4/SN+삼진/NNG+)/SS+와/JC
후안	후안/NNP
유리베(3삼진)가	유리베/NNP+(/SS+3/SN+삼진/NNG+)/SS+가/JKS
삼진으로	삼진/NNG+으로/JKB
물러났다.	물러나/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.261.5.5
돈 매팅리 다저스 감독은 "상대 투수가 워낙 잘 던져서 점수 내기가 쉽지 않았다"며 "이틀 동안 결정타(Key Hit)가 두 개 정도만 있었어도 우리가 모두 이길 수 있었다"고 아쉬워했다.

돈	돈/NNP
매팅리	매팅리/NNP
다저스	다저스/NNP
감독은	감독/NNG+은/JX
"상대	"/SS+상대/NNG
투수가	투수/NNG+가/JKS
워낙	워낙/MAG
잘	잘/MAG
던져서	던지/VV+어서/EC
점수	점수/NNG
내기가	내/VV+기/ETN+가/JKS
쉽지	쉽/VA+지/EC
않았다"며	않/VX+았/EP+다/EF+"/SS+며/EC
"이틀	"/SS+이틀/NNG
동안	동안/NNG
결정타(Key	결정타/NNG+(/SS+Key/SL
Hit)가	Hit/SL+)/SS+가/JKS
두	두/MMN
개	개/NNB
정도만	정도/NNG+만/JX
있었어도	있/VA+었/EP+어도/EC
우리가	우리/NP+가/JKS
모두	모두/MAG
이길	이기/VV+ㄹ/ETM
수	수/NNB
있었다"고	있/VA+었/EP+다/EF+"/SS+고/JKQ
아쉬워했다.	아쉬워하/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.261.6.1
매팅리 감독은 홈에서 열리는 3차전에서 분위기를 바꾸겠다는 각오다.

매팅리	매팅리/NNP
감독은	감독/NNG+은/JX
홈에서	홈/NNG+에서/JKB
열리는	열리/VV+는/ETM
3차전에서	3/SN+차전/NNB+에서/JKB
분위기를	분위기/NNG+를/JKO
바꾸겠다는	바꾸/VV+겠/EP+다는/ETM
각오다.	각오/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.261.6.2
그는 "NBA(미 프로농구)에는 '홈에서 한 경기를 질 때까지는 플레이오프가 시작된 것이 아니다'는 말이 있다"며 "LA로 돌아가 잘 준비하겠다"고 말했다.

그는	그/NP+는/JX
"NBA(미	"/SS+NBA/SL+(/SS+미/NNP
프로농구)에는	프로/NNG+농구/NNG+)/SS+에/JKB+는/JX
'홈에서	'/SS+홈/NNG+에서/JKB
한	한/MMN
경기를	경기/NNG+를/JKO
질	지/VV+ㄹ/ETM
때까지는	때/NNG+까지/JX+는/JX
플레이오프가	플레이오프/NNG+가/JKS
시작된	시작/NNG+되/XSV+ㄴ/ETM
것이	것/NNB+이/JKC
아니다'는	아니/VCN+다/EF+'/SS+는/ETM
말이	말/NNG+이/JKS
있다"며	있/VA+다/EF+"/SS+며/EC
"LA로	"/SS+LA/SL+로/JKB
돌아가	돌아가/VV+아/EC
잘	잘/MAG
준비하겠다"고	준비/NNG+하/XSV+겠/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.261.6.3
그만큼 15일 9시 7분 다저스타디움에서 열리는 3차전에서 선발 등판할 예정인 류현진의 역할이 중요해진 것이다.

그만큼	그만큼/MAG
15일	15/SN+일/NNB
9시	9/SN+시/NNB
7분	7/SN+분/NNB
다저스타디움에서	다저스타디움/NNP+에서/JKB
열리는	열리/VV+는/ETM
3차전에서	3/SN+차전/NNB+에서/JKB
