# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.93
metadata : {}


# id : NWRW1800000044.93.1.1
일 화산폭발 희생자 36명으로 늘어

일	일/NNP
화산폭발	화산/NNG+폭발/NNG
희생자	희생자/NNG
36명으로	36/SN+명/NNB+으로/JKB
늘어	늘/VV+어/EF


# id : NWRW1800000044.93.2.1
[한겨레] 온다케화산 수색작업 재개

[한겨레]	[/SS+한겨레/NNP+]/SS
온다케화산	온다케화산/NNP
수색작업	수색/NNG+작업/NNG
재개	재개/NNG


# id : NWRW1800000044.93.3.1
목숨 건진 이들 증언 잇따라

목숨	목숨/NNG
건진	건지/VV+ㄴ/ETM
이들	이/NNB+들/XSN
증언	증언/NNG
잇따라	잇따르/VV+아/EF


# id : NWRW1800000044.93.4.1
“30분 정도 앞서 산 정상에 올라갔다면 어떻게 됐을지 모른다.”

“30분	“/SS+30/SN+분/NNB
정도	정도/NNG
앞서	앞서/VV+어/EC
산	산/NNG
정상에	정상/NNG+에/JKB
올라갔다면	올라가/VV+았/EP+다면/EC
어떻게	어떻/VA+게/EC
됐을지	되/VV+었/EP+을지/EF
모른다.”	모르/VV+ㄴ다/EF+./SF+”/SS


# id : NWRW1800000044.93.5.1
일본 나가노현의 온타케(3067m) 화산 폭발 사고 구조작업이 계속되면서, 당시의 참상을 전하는 증언이 쏟아지고 있다.

일본	일본/NNP
나가노현의	나가노현/NNP+의/JKG
온타케(3067m)	온타케/NNP+(/SS+3067/SN+m/SW+)/SS
화산	화산/NNG
폭발	폭발/NNG
사고	사고/NNG
구조작업이	구조/NNG+작업/NNG+이/JKS
계속되면서,	계속/NNG+되/XSV+면서/EC+,/SP
당시의	당시/NNG+의/JKG
참상을	참상/NNG+을/JKO
전하는	전하/VV+는/ETM
증언이	증언/NNG+이/JKS
쏟아지고	쏟아지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.93.5.2
후쿠오카현 기쿠가와시에 사는 회사원 구로다 노부토시(39)는 화산이 폭발하던 27일 오전 11시53분께 정상을 눈앞에 둔 9부 능선께 머물고 있었다.

후쿠오카현	후쿠오카현/NNP
기쿠가와시에	기쿠가와시/NNP+에/JKB
사는	살/VV+는/ETM
회사원	회사원/NNG
구로다	구로다/NNP
노부토시(39)는	노부토시/NNP+(/SS+39/SN+)/SS+는/JX
화산이	화산/NNG+이/JKS
폭발하던	폭발/NNG+하/XSV+던/ETM
27일	27/SN+일/NNB
오전	오전/NNG
11시53분께	11/SN+시/NNB+53/SN+분/NNB+께/XSN
정상을	정상/NNG+을/JKO
눈앞에	눈앞/NNG+에/JKB
둔	두/VV+ㄴ/ETM
9부	9/SN+부/NNB
능선께	능선/NNG+께/XSN
머물고	머물/VV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000044.93.5.3
정상 근처에서 굉음이 터져 놀란 마음에 위쪽을 바라보자 회색 연기를 쏟아내고 있는 화산이 눈에 들어왔다.

정상	정상/NNG
근처에서	근처/NNG+에서/JKB
굉음이	굉음/NNG+이/JKS
터져	터지/VV+어/EC
놀란	놀라/VV+ㄴ/ETM
마음에	마음/NNG+에/JKB
위쪽을	위쪽/NNG+을/JKO
바라보자	바라보/VV+자/EC
회색	회색/NNG
연기를	연기/NNG+를/JKO
쏟아내고	쏟/VV+아/EC+내/VX+고/EC
있는	있/VX+는/ETM
화산이	화산/NNG+이/JKS
눈에	눈/NNG+에/JKB
들어왔다.	들어오/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.93.5.4
그는 “가까이 있는 대피소로 도망치려 했지만, 순식간에 까만 화산 연기에 휩싸였다”고 했다.

그는	그/NP+는/JX
“가까이	“/SS+가까이/MAG
있는	있/VV+는/ETM
대피소로	대피소/NNG+로/JKB
도망치려	도망치/VV+려/EC
했지만,	하/VX+았/EP+지만/EC+,/SP
순식간에	순식/NNG+간/XSN+에/JKB
까만	까맣/VA+ㄴ/ETM
화산	화산/NNG
연기에	연기/NNG+에/JKB
휩싸였다”고	휩싸이/VV+었/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000044.93.5.5
간신히 피난소로 몸을 피해 목숨을 건진 그는 29일 <엔에이치케이>(NHK) 방송과의 인터뷰에서 “피난소에서 다시 2~3번의 폭발음을 들었다.

간신히	간신히/MAG
피난소로	피난소/NNG+로/JKB
몸을	몸/NNG+을/JKO
피해	피하/VV+아/EC
목숨을	목숨/NNG+을/JKO
건진	건지/VV+ㄴ/ETM
그는	그/NP+는/JX
29일	29/SN+일/NNB
<엔에이치케이>(NHK)	</SS+엔에이치케이/NNP+>/SS+(/SS+NHK/SL+)/SS
방송과의	방송/NNG+과/JKB+의/JKG
인터뷰에서	인터뷰/NNG+에서/JKB
“피난소에서	“/SS+피난소/NNG+에서/JKB
다시	다시/MAG
2~3번의	2/SN+~/SO+3/SN+번/NNB+의/JKG
폭발음을	폭발음/NNG+을/JKO
들었다.	듣/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.93.5.6
30분 정도 앞서 정상에 갔다면 어떻게 됐을지 모른다”며 가슴을 쓸어내렸다.

30분	30/SN+분/NNB
정도	정도/NNG
앞서	앞서/VV+어/EC
정상에	정상/NNG+에/JKB
갔다면	가/VV+았/EP+다면/EC
어떻게	어떻/VA+게/EC
됐을지	되/VV+었/EP+을지/EF
모른다”며	모르/VV+ㄴ다/EF+”/SS+며/EC
가슴을	가슴/NNG+을/JKO
쓸어내렸다.	쓸어내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.93.5.7
일본 언론들은 순식간에 암흑으로 변한 정상 부근에서 피를 흘리며 간신히 산을 내려온 이들의 사연을 앞다퉈 보도했다.

일본	일본/NNP
언론들은	언론/NNG+들/XSN+은/JX
순식간에	순식/NNG+간/XSN+에/JKB
암흑으로	암흑/NNG+으로/JKB
변한	변하/VV+ㄴ/ETM
정상	정상/NNG
부근에서	부근/NNG+에서/JKB
피를	피/NNG+를/JKO
흘리며	흘리/VV+며/EC
간신히	간신히/MAG
산을	산/NNG+을/JKO
내려온	내려오/VV+ㄴ/ETM
이들의	이/NP+들/XSN+의/JKG
사연을	사연/NNG+을/JKO
앞다퉈	앞다투/VV+어/EC
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.93.6.1
사고 사흘째를 맞아 자위대와 경찰의 수색작업이 재개되면서 희생자들도 추가로 확인되고 있다.

사고	사고/NNG
사흘째를	사흘/NNG+째/XSN+를/JKO
맞아	맞/VV+아/EC
자위대와	자위대/NNG+와/JKB
경찰의	경찰/NNG+의/JKG
수색작업이	수색/NNG+작업/NNG+이/JKS
재개되면서	재개/NNG+되/XSV+면서/EC
희생자들도	희생자/NNG+들/XSN+도/JX
추가로	추가/NNG+로/JKB
확인되고	확인/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.93.6.2
일본 언론들은 29일 경찰 발표를 인용해 “정상 부근에서 새로 5명이 심폐정지 상태로 쓰러져 있는 게 발견됐다”고 전했다.

일본	일본/NNP
