# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.107
metadata : {}


# id : NWRW1800000028.107.1.1
탐해서는 안 될 권력

탐해서는	탐/NNG+하/XSV+아서/EC+는/JX
안	안/MAG
될	되/VV+ㄹ/ETM
권력	권력/NNG


# id : NWRW1800000028.107.2.1
한국과 미국의 집권 정치세력이 비슷한 시기에 그 나라 최고법원과 갈등을 빚고 있다.

한국과	한국/NNP+과/JC
미국의	미국/NNP+의/JKG
집권	집권/NNG
정치세력이	정치/NNG+세력/NNG+이/JKS
비슷한	비슷하/VA+ㄴ/ETM
시기에	시기/NNG+에/JKB
그	그/MMD
나라	나라/NNG
최고법원과	최고/NNG+법원/NNG+과/JKB
갈등을	갈등/NNG+을/JKO
빚고	빚/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.107.2.2
시국사건 무죄판결 속출에 뿔이 난 한나라당은 ‘사법제도 개선안’을 내놓고 단단히 벼르고 있다.

시국사건	시국/NNG+사건/NNG
무죄판결	무죄/NNG+판결/NNG
속출에	속출/NNG+에/JKB
뿔이	뿔/NNG+이/JKS
난	나/VV+ㄴ/ETM
한나라당은	한나라당/NNP+은/JX
‘사법제도	‘/SS+사법/NNG+제도/NNG
개선안’을	개선안/NNG+’/SS+을/JKO
내놓고	내놓/VV+고/EC
단단히	단단히/MAG
벼르고	벼르/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.107.2.3
미국에서는 버락 오바마 대통령이 지난 1월 연두교서 발표 때 기업들의 정치광고 금지를 철폐한 연방대법원 판결에 대해 “한 세기가 된 법률을 뒤집었다”고 반발한 이래 여진이 이어지고 있다.

미국에서는	미국/NNP+에서/JKB+는/JX
버락	버락/NNP
오바마	오바마/NNP
대통령이	대통령/NNG+이/JKS
지난	지나/VV+ㄴ/ETM
1월	1/SN+월/NNB
연두교서	연두/NNG+교서/NNG
발표	발표/NNG
때	때/NNG
기업들의	기업/NNG+들/XSN+의/JKG
정치광고	정치/NNG+광고/NNG
금지를	금지/NNG+를/JKO
철폐한	철폐/NNG+하/XSV+ㄴ/ETM
연방대법원	연방대법원/NNP
판결에	판결/NNG+에/JKB
대해	대하/VV+아/EC
“한	“/SS+한/MMN
세기가	세기/NNG+가/JKC
된	되/VV+ㄴ/ETM
법률을	법률/NNG+을/JKO
뒤집었다”고	뒤집/VV+었/EP+다/EF+”/SS+고/JKQ
반발한	반발/NNG+하/XSV+ㄴ/ETM
이래	이래/NNB
여진이	여진/NNG+이/JKS
이어지고	이어지/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.107.3.1
두 사안에는 판결에 불만을 품은 집권자 쪽이 사법부를 공격하고 나섰다는 표면적 공통점이 있다.

두	두/MMN
사안에는	사안/NNG+에/JKB+는/JX
판결에	판결/NNG+에/JKB
불만을	불만/NNG+을/JKO
품은	품/VV+은/ETM
집권자	집권자/NNG
쪽이	쪽/NNB+이/JKS
사법부를	사법부/NNG+를/JKO
공격하고	공격/NNG+하/XSV+고/EC
나섰다는	나서/VV+었/EP+다는/ETM
표면적	표면/NNG+적/XSN
공통점이	공통점/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000028.107.3.2
내용적으로는, 한국에서는 보수정권이 정적들에게 면죄부를 준 사법부에 대대적 선전포고를 한 반면, 미국에서는 개혁 성향의 대통령과 보수 성향의 연방대법원이 말다툼을 벌이는 정도라는 차이가 있다.

내용적으로는,	내용/NNG+적/XSN+으로/JKB+는/JX+,/SP
한국에서는	한국/NNP+에서/JKB+는/JX
보수정권이	보수/NNG+정권/NNG+이/JKS
정적들에게	정적/NNG+들/XSN+에게/JKB
면죄부를	면죄부/NNG+를/JKO
준	주/VV+ㄴ/ETM
사법부에	사법부/NNG+에/JKB
대대적	대대적/MMA
선전포고를	선전/NNG+포고/NNG+를/JKO
한	하/VV+ㄴ/ETM
반면,	반면/NNG+,/SP
미국에서는	미국/NNP+에서/JKB+는/JX
개혁	개혁/NNG
성향의	성향/NNG+의/JKG
대통령과	대통령/NNG+과/JC
보수	보수/NNG
연방대법원이	연방대법원/NNP+이/JKS
말다툼을	말다툼/NNG+을/JKO
벌이는	벌이/VV+는/ETM
정도라는	정도/NNG+이/VCP+라는/ETM
차이가	차이/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000028.107.4.1
언론이나 대중의 관심은 누가 이길지에 쏠릴 것이다.

언론이나	언론/NNG+이나/JC
대중의	대중/NNG+의/JKG
관심은	관심/NNG+은/JX
누가	누구/NP+가/JKS
이길지에	이기/VV+ㄹ지/EF+에/JKB
쏠릴	쏠리/VV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.107.4.2
한국 상황을 보면, 초대 대법원장 김병로가 이승만과 맞선 이후 가장 첨예하다는 갈등에서 대법원이 쉽게 이기기 어렵다는 전망에 무게가 실린다.

한국	한국/NNP
상황을	상황/NNG+을/JKO
보면,	보/VV+면/EC+,/SP
초대	초대/NNG
대법원장	대법원장/NNG
김병로가	김병로/NNP+가/JKS
이승만과	이승만/NNP+과/JKB
맞선	맞서/VV+ㄴ/ETM
이후	이후/NNG
가장	가장/MAG
첨예하다는	첨예하/VA+다는/ETM
갈등에서	갈등/NNG+에서/JKB
대법원이	대/XPN+법원/NNG+이/JKS
쉽게	쉽/VA+게/EC
이기기	이기/VV+기/ETN
어렵다는	어렵/VA+다는/ETM
전망에	전망/NNG+에/JKB
무게가	무게/NNG+가/JKS
실린다.	실리/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.107.4.3
대법원에는 ‘무기’가 없다.

대법원에는	대/XPN+법원/NNG+에/JKB+는/JX
‘무기’가	‘/SS+무기/NNG+’/SS+가/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000028.107.4.4
“사법부에 대한 최소한의 예의”를 언급하며 한나라당 안을 받아들일 수 없다고 한 법원행정처장의 성명 발표가 전부다.

“사법부에	“/SS+사법부/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
최소한의	최소한/NNG+의/JKG
예의”를	예의/NNG+”/SS+를/JKO
언급하며	언급/NNG+하/XSV+며/EC
한나라당	한나라당/NNP
안을	안/NNG+을/JKO
받아들일	받아들이/VV+ㄹ/ETM
수	수/NNB
없다고	없/VA+다고/EC
한	하/VV+ㄴ/ETM
법원행정처장의	법원/NNG+행정처장/NNG+의/JKG
성명	성명/NNG
발표가	발표/NNG+가/JKS
전부다.	전부/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.107.4.5
집권세력 입장에서는 “큰집에서 불러 쪼인트 까고” 싶겠지만 그렇게까지 하지 않는 게 다행인지 모르겠다.

집권세력	집권/NNG+세력/NNG
입장에서는	입장/NNG+에서/JKB+는/JX
“큰집에서	“/SS+큰집/NNG+에서/JKB
불러	부르/VV+어/EC
쪼인트	쪼인트/NNG
까고”	까/VV+고/EC+”/SS
