# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.166
metadata : {}


# id : NWRW1800000028.166.1.1
대만기업 폭스콘 ‘꼬리무는 자살’

대만기업	대만/NNP+기업/NNG
폭스콘	폭스콘/NNP
‘꼬리무는	‘/SS+꼬리/NNG+물/VV+는/ETM
자살’	자살/NNG+’/SS


# id : NWRW1800000028.166.2.1
노동자들의 투신자살이 잇따르는 중국 광둥성 선전의 대만 전자업체 폭스콘(중국명 푸스캉) 공장에서 나흘 만에 또다시 몸을 던져 목숨을 끊은 노동자가 나왔다.

노동자들의	노동자/NNG+들/XSN+의/JKG
투신자살이	투신자살/NNG+이/JKS
잇따르는	잇따르/VV+는/ETM
중국	중국/NNP
광둥성	광둥성/NNP
선전의	선전/NNP+의/JKG
대만	대만/NNP
전자업체	전자업체/NNG
폭스콘(중국명	폭스콘/NNP+(/SS+중국/NNP+명/NNG
푸스캉)	푸스캉/NNP+)/SS
공장에서	공장/NNG+에서/JKB
나흘	나흘/NNG
만에	만/NNB+에/JKB
또다시	또다시/MAG
몸을	몸/NNG+을/JKO
던져	던지/VV+어/EC
목숨을	목숨/NNG+을/JKO
끊은	끊/VV+은/ETM
노동자가	노동자/NNG+가/JKS
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.166.2.2
올해 들어서만 8명째 목숨을 잃은 것이다.

올해	올해/NNG
들어서만	들/VV+어서/EC+만/JX
8명째	8/SN+명/NNB+째/XSN
목숨을	목숨/NNG+을/JKO
잃은	잃/VV+은/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.166.3.1
<신화통신>은 폭스콘 노동자 리하이(19)가 25일 공장 건물 옥상에서 뛰어내려 숨졌다고 보도했다.

<신화통신>은	</SS+신화통신/NNP+>/SS+은/JX
폭스콘	폭스콘/NNP
노동자	노동자/NNG
리하이(19)가	리하이/NNP+(/SS+19/SN+)/SS+가/JKS
25일	25/SN+일/NNB
공장	공장/NNG
건물	건물/NNG
옥상에서	옥상/NNG+에서/JKB
뛰어내려	뛰어내리/VV+어/EC
