# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.63
metadata : {}


# id : NWRW1800000056.63.1.1
“백악관, 대북정책 전면 재검토…무력사용·정권교체 포함”

“백악관,	“/SS+백악관/NNP+,/SP
대북정책	대북/NNG+정책/NNG
전면	전면/NNG
재검토…무력사용·정권교체	재/XPN+검토/NNG+…/SE+무력/NNG+사용/NNG+·/SP+정권/NNG+교체/NNG
포함”	포함/NNG+”/SS


# id : NWRW1800000056.63.2.1
[한겨레] WSJ, 관계자 인용해 보도

[한겨레]	[/SS+한겨레/NNP+]/SS
WSJ,	WSJ/SL+,/SP
관계자	관계자/NNG
인용해	인용/NNG+하/XSV+아/EC
보도	보도/NNG


# id : NWRW1800000056.63.3.1
“선제타격 등 극단선택 가능성 낮아

“선제타격	“/SS+선제/NNG+타격/NNG
등	등/NNB
극단선택	극단/NNG+선택/NNG
가능성	가능/NNG+성/XSN
낮아	낮/VA+아/EF


# id : NWRW1800000056.63.4.1
중국 압박해 북 생명줄 차단 의도”

중국	중국/NNP
압박해	압박/NNG+하/XSV+아/EC
북	북/NNP
생명줄	생명/NNG+줄/NNG
차단	차단/NNG
의도”	의도/NNG+”/SS


# id : NWRW1800000056.63.5.1
미국 백악관이 내부적으로 검토하고 있는 대북한 전략 가운데 북한의 핵 위협을 약화시키기 위해 군사력 사용이나 정권교체 가능성도 포함된다고 <월스트리트 저널>이 1일(현지시각) 대북 전략 검토 과정을 잘 아는 관계자를 인용해 보도했다.

미국	미국/NNP
백악관이	백악관/NNP+이/JKS
내부적으로	내부/NNG+적/XSN+으로/JKB
검토하고	검토/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
대북한	대북한/NNG
전략	전략/NNG
가운데	가운데/NNG
북한의	북한/NNP+의/JKG
핵	핵/NNG
위협을	위협/NNG+을/JKO
약화시키기	약화/NNG+시키/XSV+기/ETN
위해	위하/VV+아/EC
군사력	군사력/NNG
사용이나	사용/NNG+이나/JC
정권교체	정권/NNG+교체/NNG
가능성도	가능/NNG+성/XSN+도/JX
포함된다고	포함/NNG+되/XSV+ㄴ다고/EC
<월스트리트	</SS+월스트리트/NNP
저널>이	저널/NNP+>/SS+이/JKS
1일(현지시각)	1/SN+일/NNB+(/SS+현지/NNG+시각/NNG+)/SS
대북	대북/NNG
검토	검토/NNG
과정을	과정/NNG+을/JKO
잘	잘/MAG
아는	알/VV+는/ETM
관계자를	관계자/NNG+를/JKO
인용해	인용/NNG+하/XSV+아/EC
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.63.6.1
신문은 캐슬린 맥팔런드 백악관 국가안보 부보좌관이 2주전께 범정부 안보 담당 관계자들을 소집해 회의를 열었으며, ‘주류에서 벗어난’ 아이디어까지 포함해 다양한 대북 전략 관련 제안을 요청했다고 전했다.

신문은	신문/NNG+은/JX
캐슬린	캐슬린/NNP
맥팔런드	맥팔런드/NNP
백악관	백악관/NNP
국가안보	국가/NNG+안보/NNG
부보좌관이	부보좌관/NNG+이/JKS
2주전께	2/SN+주/NNB+전/NNG+께/XSN
범정부	범/XPN+정부/NNG
안보	안보/NNG
담당	담당/NNG
관계자들을	관계자/NNG+들/XSN+을/JKO
소집해	소집/NNG+하/XSV+아/EC
회의를	회의/NNG+를/JKO
열었으며,	열/VV+었/EP+으며/EC+,/SP
‘주류에서	‘/SS+주류/NNG+에서/JKB
벗어난’	벗어나/VV+ㄴ/ETM+’/SS
아이디어까지	아이디어/NNG+까지/JX
포함해	포함/NNG+하/XSV+아/EC
다양한	다양/NNG+하/XSA+ㄴ/ETM
대북	대북/NNG
전략	전략/NNG
관련	관련/NNG
제안을	제안/NNG+을/JKO
요청했다고	요청/NNG+하/XSV+았/EP+다고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.63.6.2
특히, 맥팔런드 부보좌관은 이 자리에서 미국이 북한을 핵보유국으로 인정하는 방안부터 북한에 대한 군사행동을 하는 방안에 이르기까지 모든 옵션을 내도록 지시했다.

특히,	특히/MAG+,/SP
맥팔런드	맥팔런드/NNP
부보좌관은	부보좌관/NNG+은/JX
이	이/MMD
자리에서	자리/NNG+에서/JKB
미국이	미국/NNP+이/JKS
북한을	북한/NNP+을/JKO
핵보유국으로	핵보유국/NNG+으로/JKB
인정하는	인정/NNG+하/XSV+는/ETM
방안부터	방안/NNG+부터/JX
북한에	북한/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
군사행동을	군사/NNG+행동/NNG+을/JKO
하는	하/VV+는/ETM
방안에	방안/NNG+에/JKB
이르기까지	이르/VV+기/ETN+까지/JX
모든	모든/MMN
옵션을	옵션/NNG+을/JKO
내도록	내/VV+도록/EC
지시했다.	지시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.63.6.3
이런 지시는 트럼프 행정부가 미국의 대북정책을 포괄적으로 재검토한다는 뜻이라고 신문은 설명했다.

이런	이런/MMD
지시는	지시/NNG+는/JX
트럼프	트럼프/NNP
행정부가	행정부/NNG+가/JKS
미국의	미국/NNP+의/JKG
대북정책을	대북/NNG+정책/NNG+을/JKO
포괄적으로	포괄/NNG+적/XSN+으로/JKB
재검토한다는	재/XPN+검토/NNG+하/XSV+ㄴ다는/ETM
뜻이라고	뜻/NNG+이/VCP+라고/EC
신문은	신문/NNG+은/JX
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.63.7.1
이에 따라, 안보 담당 관계자들은 지난달 28일 맥팔런드 부보좌관에게 대북정책 제안과 의견을 담은 보고서를 제출했으며, 이들 옵션들은 정리 과정을 거쳐 도널드 트럼프 대통령에게 보고될 예정이라는 것이다.

이에	이/NP+에/JKB
따라,	따르/VV+아/EC+,/SP
안보	안보/NNG
담당	담당/NNG
관계자들은	관계자/NNG+들/XSN+은/JX
지난달	지난달/NNG
28일	28/SN+일/NNB
맥팔런드	맥팔런드/NNP
부보좌관에게	부보좌관/NNG+에게/JKB
대북정책	대북/NNG+정책/NNG
제안과	제안/NNG+과/JC
의견을	의견/NNG+을/JKO
담은	담/VV+은/ETM
보고서를	보고서/NNG+를/JKO
제출했으며,	제출/NNG+하/XSV+았/EP+으며/EC+,/SP
이들	이/NP+들/XSN
옵션들은	옵션/NNG+들/XSN+은/JX
