# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.118
metadata : {}


# id : NWRW1800000028.118.1.1
실종자 위해 구명정 남기고…구명조끼·안경 양보 /전우애는 가라앉지 않았다

실종자	실종자/NNG
위해	위하/VV+아/EC
구명정	구명정/NNG
남기고…구명조끼·안경	남기/VV+고/EC+…/SE+구명조끼/NNG+·/SP+안경/NNG
양보	양보/NNG
/전우애는	//SP+전우애/NNG+는/JX
가라앉지	가라앉/VV+지/EC
않았다	않/VX+았/EP+다/EF


# id : NWRW1800000028.118.2.1
3월26일 밤 9시22분.

3월26일	3/SN+월/NNB+26/SN+일/NNB
밤	밤/NNG
9시22분.	9/SN+시/NNB+22/SN+분/NNB+./SF


# id : NWRW1800000028.118.2.2
해군 초계함 천안함의 전투상황실에서 당직 근무중이던 김현용 중사의 몸이 공중으로 붕 떴다.

해군	해군/NNG
초계함	초계함/NNG
천안함의	천안함/NNP+의/JKG
전투상황실에서	전투/NNG+상황실/NNG+에서/JKB
당직	당직/NNG
근무중이던	근무/NNG+중/NNB+이/VCP+던/ETM
김현용	김현용/NNP
중사의	중사/NNG+의/JKG
몸이	몸/NNG+이/JKS
공중으로	공중/NNG+으로/JKB
붕	붕/MAG
떴다.	뜨/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.118.2.3
배가 갑자기 90도 기우는 바람에 출입문이 천장으로 바뀌었다.

배가	배/NNG+가/JKS
갑자기	갑자기/MAG
90도	90/SN+도/NNB
기우는	기울/VV+는/ETM
바람에	바람/NNB+에/JKB
출입문이	출입문/NNG+이/JKS
천장으로	천장/NNG+으로/JKB
바뀌었다.	바뀌/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.118.2.4
정전.

정전.	정전/NNG+./SF


# id : NWRW1800000028.118.2.5
천안함은 한치 앞도 보이지 않는 암흑천지가 됐다.

천안함은	천안함/NNP+은/JX
한치	한/MMN+치/NNB
앞도	앞/NNG+도/JX
보이지	보이/VV+지/EC
않는	않/VX+는/ETM
암흑천지가	암흑천지/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.118.2.6
김 중사는 출입문이 있던 천장에 매달린 채 고통을 호소하는 신은총 하사를 전투상황실 바닥으로 내렸다.

김	김/NNP
중사는	중사/NNG+는/JX
출입문이	출입문/NNG+이/JKS
있던	있/VA+던/ETM
천장에	천장/NNG+에/JKB
매달린	매달리/VV+ㄴ/ETM
채	채/NNB
고통을	고통/NNG+을/JKO
호소하는	호소/NNG+하/XSV+는/ETM
신은총	신은총/NNP
하사를	하사/NNG+를/JKO
전투상황실	전투/NNG+상황실/NNG
바닥으로	바닥/NNG+으로/JKB
내렸다.	내리/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.118.2.7
한쪽 다리가 마비돼 움직일 수 없던 신 하사는 쓰고 있던 안경이 부서져 “앞이 제대로 보이지 않는다”고 호소했다.

한쪽	한쪽/NNG
다리가	다리/NNG+가/JKS
마비돼	마비/NNG+되/XSV+어/EC
움직일	움직이/VV+ㄹ/ETM
수	수/NNB
없던	없/VA+던/ETM
신	신/NNP
하사는	하사/NNG+는/JX
쓰고	쓰/VV+고/EC
있던	있/VX+던/ETM
안경이	안경/NNG+이/JKS
부서져	부서지/VV+어/EC
“앞이	“/SS+앞/NNG+이/JKS
제대로	제대로/MAG
보이지	보이/VV+지/EC
않는다”고	않/VX+는다/EF+”/SS+고/JKQ
호소했다.	호소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.118.2.8
정전으로 깜깜해진 배 안에서 안경마저 없다면 탈출이 불가능한 상황이었다.

정전으로	정전/NNG+으로/JKB
깜깜해진	깜깜/MAG+하/XSA+아/EC+지/VX+ㄴ/ETM
배	배/NNG
안에서	안/NNG+에서/JKB
안경마저	안경/NNG+마저/JX
없다면	없/VA+다면/EC
탈출이	탈출/NNG+이/JKS
불가능한	불/XPN+가능/NNG+하/XSA+ㄴ/ETM
상황이었다.	상황/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000028.118.2.9
김 중사는 주저하지 않고 쓰고 있던 안경을 벗어 신 하사 눈에 씌워줬다.

김	김/NNP
중사는	중사/NNG+는/JX
주저하지	주저/NNG+하/XSV+지/EC
않고	않/VX+고/EC
쓰고	쓰/VV+고/EC
있던	있/VX+던/ETM
안경을	안경/NNG+을/JKO
벗어	벗/VV+어/EC
신	신/NNP
하사	하사/NNG
눈에	눈/NNG+에/JKB
씌워줬다.	씌우/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000028.118.2.10
구조 뒤 신 하사는 이때를 기억하며 “선배님(김 중사)이 자기 안경을 벗어주지 않았더라면 나는 살아 돌아오지 못했을 것”이라고 말했다.

구조	구조/NNG
뒤	뒤/NNG
신	신/NNP
하사는	하사/NNG+는/JX
이때를	이때/NNG+를/JKO
기억하며	기억/NNG+하/XSV+며/EC
“선배님(김	“/SS+선배/NNG+님/XSN+(/SS+김/NNP
중사)이	중사/NNG+)/SS+이/JKS
자기	자기/NP
안경을	안경/NNG+을/JKO
벗어주지	벗/VV+어/EC+주/VX+지/EC
않았더라면	않/VX+았/EP+더라면/EC
나는	나/NP+는/JX
살아	살/VV+아/EC
돌아오지	돌아오/VV+지/EC
못했을	못하/VX+았/EP+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.118.3.1
천안함 생존자 58명은 생사를 가르는 절체절명의 순간에도 다친 동료에게 구명조끼를 양보하는 등 전우애를 발휘해 질서정연하게 탈출했다고 해군이 9일 전했다.

천안함	천안함/NNP
생존자	생존자/NNG
58명은	58/SN+명/NNB+은/JX
생사를	생사/NNG+를/JKO
가르는	가르/VV+는/ETM
절체절명의	절체절명/NNG+의/JKG
순간에도	순간/NNG+에/JKB+도/JX
다친	다치/VV+ㄴ/ETM
동료에게	동료/NNG+에게/JKB
구명조끼를	구명조끼/NNG+를/JKO
양보하는	양보/NNG+하/XSV+는/ETM
등	등/NNB
전우애를	전우애/NNG+를/JKO
발휘해	발휘/NNG+하/XSV+아/EC
질서정연하게	질서/NNG+정연하/VA+게/EC
탈출했다고	탈출/NNG+하/XSV+았/EP+다고/EC
해군이	해군/NNG+이/JKS
9일	9/SN+일/NNB
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.118.4.1
함장인 최원일 중령은 자신의 구명조끼를 다친 오성탁 상사에게 입히고 구조와 탈출을 지휘했다.

함장인	함장/NNG+이/VCP+ㄴ/ETM
최원일	최원일/NNP
중령은	중령/NNG+은/JX
자신의	자신/NNG+의/JKG
구명조끼를	구명조끼/NNG+를/JKO
다친	다치/VV+ㄴ/ETM
오성탁	오성탁/NNP
상사에게	상사/NNG+에게/JKB
입히고	입히/VV+고/EC
구조와	구조/NNG+와/JC
탈출을	탈출/NNG+을/JKO
지휘했다.	지휘/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.118.4.2
경험이 많은 상사·원사 등 고참 부사관들은 “저체온증으로 죽을 수 있으니 절대로 물에 뛰어내리지 마라”고 뱃머리(함수) 갑판으로 피신한 후배들에게 지시했다.

경험이	경험/NNG+이/JKS
많은	많/VA+은/ETM
상사·원사	상사/NNG+·/SP+원사/NNG
등	등/NNB
고참	고참/NNG
부사관들은	부사관/NNG+들/XSN+은/JX
“저체온증으로	“/SS+저체온증/NNG+으로/JKB
죽을	죽/VV+을/ETM
수	수/NNB
있으니	있/VA+으니/EC
절대로	절대로/MAG
물에	물/NNG+에/JKB
뛰어내리지	뛰어내리/VV+지/EC
마라”고	말/VX+아라/EF+”/SS+고/JKQ
뱃머리(함수)	뱃머리/NNG+(/SS+함수/NNG+)/SS
갑판으로	갑판/NNG+으로/JKB
피신한	피신/NNG+하/XSV+ㄴ/ETM
후배들에게	후배/NNG+들/XSN+에게/JKB
지시했다.	지시/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.118.4.3
생존자들이 급한 마음에 바다로 뛰어드는 것을 막으려는 명령이자 절박한 조언이었다.

생존자들이	생존자/NNG+들/XSN+이/JKS
급한	급하/VA+ㄴ/ETM
마음에	마음/NNG+에/JKB
바다로	바다/NNG+로/JKB
뛰어드는	뛰어들/VV+는/ETM
것을	것/NNB+을/JKO
막으려는	막/VV+으려는/ETM
명령이자	명령/NNG+이/VCP+자/EC
절박한	절박하/VA+ㄴ/ETM
조언이었다.	조언/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000028.118.4.4
사고가 난 백령도 인근 바다처럼 수온 3~4도 가량이면 특수 훈련을 받은 해군 해난구조대(SSU) 요원이 잠수복을 입더라도 20분 넘게 잠수하면 의식을 잃을 위험이 높다.

사고가	사고/NNG+가/JKS
난	나/VV+ㄴ/ETM
백령도	백령도/NNP
인근	인근/NNG
바다처럼	바다/NNG+처럼/JKB
수온	수온/NNG
3~4도	3/SN+~/SO+4/SN+도/NNB
가량이면	가량/XSN+이/VCP+면/EC
특수	특수/NNG
훈련을	훈련/NNG+을/JKO
받은	받/VV+은/ETM
해군	해군/NNG
해난구조대(SSU)	해난/NNG+구조대/NNG+(/SS+SSU/SL+)/SS
요원이	요원/NNG+이/JKS
잠수복을	잠수복/NNG+을/JKO
입더라도	입/VV+더라도/EC
20분	20/SN+분/NNB
넘게	넘/VV+게/EC
잠수하면	잠수/NNG+하/XSV+면/EC
의식을	의식/NNG+을/JKO
잃을	잃/VV+을/ETM
위험이	위험/NNG+이/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000028.118.5.1
선배들은 후배를 구하려고 자신의 몸을 던졌다.

선배들은	선배/NNG+들/XSN+은/JX
후배를	후배/NNG+를/JKO
구하려고	구하/VV+려고/EC
자신의	자신/NNG+의/JKG
몸을	몸/NNG+을/JKO
던졌다.	던지/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.118.5.2
함교 부직사관 이광희 중사는 배가 기울며 함교 우현에 매달린 공창표 하사를 끌어올려 좌현 격벽 쪽으로 옮겼다.

함교	함교/NNG
부직사관	부직/NNG+사관/NNG
이광희	이광희/NNP
중사는	중사/NNG+는/JX
배가	배/NNG+가/JKS
기울며	기울/VV+며/EC
우현에	우현/NNG+에/JKB
매달린	매달리/VV+ㄴ/ETM
공창표	공창표/NNP
하사를	하사/NNG+를/JKO
끌어올려	끌어올리/VV+어/EC
좌현	좌현/NNG
격벽	격벽/NNG
쪽으로	쪽/NNB+으로/JKB
옮겼다.	옮기/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.118.5.3
선체가 뒤틀려 틈이 크게 벌어지자, 이 중사는 자기 몸으로 계단을 만들어 함교 출입문을 통해 공 하사를 외부로 탈출시켰다.

선체가	선체/NNG+가/JKS
뒤틀려	뒤틀리/VV+어/EC
틈이	틈/NNG+이/JKS
크게	크/VA+게/EC
벌어지자,	벌어지/VV+자/EC+,/SP
이	이/NNP
중사는	중사/NNG+는/JX
자기	자기/NP
몸으로	몸/NNG+으로/JKB
계단을	계단/NNG+을/JKO
만들어	만들/VV+어/EC
함교	함교/NNG
출입문을	출입문/NNG+을/JKO
통해	통하/VV+아/EC
공	공/NNP
하사를	하사/NNG+를/JKO
외부로	외부/NNG+로/JKB
탈출시켰다.	탈출/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000028.118.6.1
1층 상비탄약고에서 당직 근무중이던 안재근 상병은 꽝 하는 순간 몸이 튕겨져 나갔지만, 다친 데가 없음을 확인하고 동료를 찾아 나섰다.

1층	1/SN+층/NNG
상비탄약고에서	상비/NNG+탄약고/NNG+에서/JKB
당직	당직/NNG
근무중이던	근무/NNG+중/NNB+이/VCP+던/ETM
안재근	안재근/NNP
상병은	상병/NNG+은/JX
꽝	꽝/MAG
하는	하/VV+는/ETM
순간	순간/NNG
몸이	몸/NNG+이/JKS
튕겨져	튕기/VV+어/EC+지/VX+어/EC
나갔지만,	나가/VX+았/EP+지만/EC+,/SP
다친	다치/VV+ㄴ/ETM
데가	데/NNB+가/JKS
없음을	없/VA+음/ETN+을/JKO
확인하고	확인/NNG+하/XSV+고/EC
동료를	동료/NNG+를/JKO
찾아	찾/VV+아/EC
나섰다.	나서/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.118.6.2
컴컴한 복도를 지날 때, 사방에서 신음소리와 뒤엉켜진 물건들로 혼란스러웠지만, 안 상병은 “몸이 온전하고 손전등을 지닌 내가 구조에 필요한 물품들을 꼭 챙겨야 한다”고 되뇌며 침실을 뒤져 옷·신발·구명조끼·구급상자 등을 닥치는 대로 챙겼다.

컴컴한	컴컴하/VA+ㄴ/ETM
복도를	복도/NNG+를/JKO
지날	지나/VV+ㄹ/ETM
때,	때/NNG+,/SP
사방에서	사방/NNG+에서/JKB
신음소리와	신음/NNG+소리/NNG+와/JC
뒤엉켜진	뒤엉키/VV+어/EC+지/VX+ㄴ/ETM
물건들로	물건/NNG+들/XSN+로/JKB
혼란스러웠지만,	혼란/NNG+스럽/XSA+었/EP+지만/EC+,/SP
안	안/NNP
상병은	상병/NNG+은/JX
“몸이	“/SS+몸/NNG+이/JKS
온전하고	온전하/VA+고/EC
손전등을	손전등/NNG+을/JKO
지닌	지니/VV+ㄴ/ETM
내가	내/NP+가/JKS
구조에	구조/NNG+에/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
물품들을	물품/NNG+들/XSN+을/JKO
꼭	꼭/MAG
챙겨야	챙기/VV+어야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
되뇌며	되뇌/VV+며/EC
침실을	침실/NNG+을/JKO
뒤져	뒤지/VV+어/EC
옷·신발·구명조끼·구급상자	옷/NNG+·/SP+신발/NNG+·/SP+구명조끼/NNG+·/SP+구급상자/NNG
등을	등/NNB+을/JKO
닥치는	닥치/VV+는/ETM
대로	대로/NNB
챙겼다.	챙기/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.118.6.3
안 상병은 샤워 중에 사고를 당한 이은수 이병이 떨고 있는 것을 보곤 옷을 입히고 담요를 덮어 주었다.

안	안/NNP
상병은	상병/NNG+은/JX
샤워	샤워/NNG
중에	중/NNB+에/JKB
사고를	사고/NNG+를/JKO
당한	당하/VV+ㄴ/ETM
이은수	이은수/NNP
이병이	이병/NNG+이/JKS
떨고	떨/VV+고/EC
있는	있/VX+는/ETM
것을	것/NNB+을/JKO
보곤	보/VV+곤/EC
옷을	옷/NNG+을/JKO
입히고	입히/VV+고/EC
담요를	담요/NNG+를/JKO
덮어	덮/VV+어/EC
주었다.	주/VX+었/EP+다/EF+./SF

