# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.72
metadata : {}


# id : NWRW1800000025.72.1.1
[부산/경남]청소년 척추측만증 여학생 〉남학생

[부산/경남]청소년	[/SS+부산/NNP+//SP+경남/NNP+]/SS+청소년/NNG
척추측만증	척추/NNG+측만증/NNG
여학생	여학생/NNG
〉남학생	〉/SS+남학생/NNG


# id : NWRW1800000025.72.2.1
울산지역에서 척추가 휘는 척추측만증을 앓는 여학생이 남학생보다 훨씬 많은 것으로 나타났다.

울산지역에서	울산/NNP+지역/NNG+에서/JKB
척추가	척추/NNG+가/JKS
휘는	휘/VV+는/ETM
척추측만증을	척추/NNG+측만증/NNG+을/JKO
앓는	앓/VV+는/ETM
여학생이	여학생/NNG+이/JKS
남학생보다	남학생/NNG+보다/JKB
훨씬	훨씬/MAG
많은	많/VA+은/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.72.2.2
척추질환 전문병원인 울산 남구 신정동의 ‘아름다운 울들병원’은 2008년 7월 개원한 이후 지난달까지 20개월간 병원을 찾은 378명의 10대 청소년 환자의 진료기록을 분석한 결과 척추측만증 환자 111명 가운데 남학생은 29명(26.1%)이고, 여학생은 82명(73.9%)인 것으로 각각 집계됐다고 14일 밝혔다.

척추질환	척추/NNG+질환/NNG
전문병원인	전문/NNG+병원/NNG+이/VCP+ㄴ/ETM
울산	울산/NNP
남구	남구/NNP
신정동의	신정동/NNP+의/JKG
‘아름다운	‘/SS+아름답/VA+ㄴ/ETM
울들병원’은	울들병원/NNP+’/SS+은/JX
2008년	2008/SN+년/NNB
7월	7/SN+월/NNB
개원한	개원/NNG+하/XSV+ㄴ/ETM
이후	이후/NNG
지난달까지	지난달/NNG+까지/JX
20개월간	20/SN+개월/NNB+간/XSN
병원을	병원/NNG+을/JKO
찾은	찾/VV+은/ETM
378명의	378/SN+명/NNB+의/JKG
10대	10/SN+대/NNB
청소년	청소년/NNG
환자의	환자/NNG+의/JKG
진료기록을	진료/NNG+기록/NNG+을/JKO
분석한	분석/NNG+하/XSV+ㄴ/ETM
결과	결과/NNG
척추측만증	척추/NNG+측만증/NNG
환자	환자/NNG
111명	111/SN+명/NNB
가운데	가운데/NNG
남학생은	남학생/NNG+은/JX
29명(26.1%)이고,	29/SN+명/NNB+(/SS+26/SN+./SP+1/SN+%/SW+)/SS+이/VCP+고/EC+,/SP
여학생은	여학생/NNG+은/JX
82명(73.9%)인	82/SN+명/NNB+(/SS+73/SN+./SP+9/SN+%/SW+)/SS+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
각각	각각/MAG
집계됐다고	집계/NNG+되/XSV+었/EP+다고/EC
14일	14/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.72.2.3
척추측만증 환자 가운데 보조기 착용이 필요할 정도로 중증인 청소년도 53명(14%)이었다.

척추측만증	척추/NNG+측만증/NNG
환자	환자/NNG
가운데	가운데/NNG
보조기	보조기/NNG
착용이	착용/NNG+이/JKS
필요할	필요/NNG+하/XSA+ㄹ/ETM
정도로	정도/NNG+로/JKB
중증인	중증/NNG+이/VCP+ㄴ/ETM
청소년도	청소년/NNG+도/JX
53명(14%)이었다.	53/SN+명/NNB+(/SS+14/SN+%/SW+)/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000025.72.3.1
척추측만증 환자 중 13∼17세가 전체의 78.3%를 차지했다.

척추측만증	척추/NNG+측만증/NNG
환자	환자/NNG
중	중/NNB
13∼17세가	13/SN+∼/SO+17/SN+세/NNB+가/JKS
전체의	전체/NNG+의/JKG
78.3%를	78/SN+./SP+3/SN+%/SW+를/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.72.3.2
나이별로는 14세가 18.9%로 가장 많았다.

나이별로는	나이/NNG+별/XSN+로/JKB+는/JX
14세가	14/SN+세/NNB+가/JKS
18.9%로	18/SN+./SP+9/SN+%/SW+로/JKB
가장	가장/MAG
많았다.	많/VA+았/EP+다/EF+./SF


# id : NWRW1800000025.72.3.3
13세와 15세는 각각 16.2%, 16세 15.3%, 17세 11.7%였다.

13세와	13/SN+세/NNB+와/JC
15세는	15/SN+세/NNB+는/JX
각각	각각/MAG
16.2%,	16/SN+./SP+2/SN+%/SW+,/SP
16세	16/SN+세/NNB
15.3%,	15/SN+./SP+3/SN+%/SW+,/SP
17세	17/SN+세/NNB
11.7%였다.	11/SN+./SP+7/SN+%/SW+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000025.72.3.4
