# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.402
metadata : {}


# id : NWRW1800000049.402.1.1
“초중고 통학불편”… 인천 버스노선 2주만에 재조정

“초중고	“/SS+초중고/NNG
통학불편”…	통학/NNG+불편/NNG+”/SS+…/SE
인천	인천/NNP
버스노선	버스/NNG+노선/NNG
2주만에	2/SN+주/NNB+만/NNB+에/JKB
재조정	재/XPN+조정/NNG


# id : NWRW1800000049.402.2.1
9월부터 17개 노선 변경

9월부터	9/SN+월/NNB+부터/JX
17개	17/SN+개/NNB
노선	노선/NNG
변경	변경/NNG


# id : NWRW1800000049.402.3.1
인천도시철도 2호선 개통과 함께 대규모 버스 노선 조정을 시행한 인천시가 2주 만에 일부 노선의 운행 경로를 다시 조정한다고 15일 밝혔다.

인천도시철도	인천도시철도/NNP
2호선	2/SN+호선/NNB
개통과	개통/NNG+과/JKB
함께	함께/MAG
대규모	대/XPN+규모/NNG
버스	버스/NNG
노선	노선/NNG
조정을	조정/NNG+을/JKO
시행한	시행/NNG+하/XSV+ㄴ/ETM
인천시가	인천시/NNP+가/JKS
2주	2/SN+주/NNB
만에	만/NNB+에/JKB
일부	일부/NNG
노선의	노선/NNG+의/JKG
운행	운행/NNG
경로를	경로/NNG+를/JKO
다시	다시/MAG
조정한다고	조정/NNG+하/XSV+ㄴ다고/EC
15일	15/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.402.3.2
조정 대상은 6, 6-1, 16-1, 21, 34, 40, 66, 순환91, 순환92, 506, 511, 519, 522, 523-1, 524, 535, 582번 등 17개 노선이다.

조정	조정/NNG
대상은	대상/NNG+은/JX
6,	6/SN+,/SP
6-1,	6/SN+-/SO+1/SN+,/SP
16-1,	16/SN+-/SO+1/SN+,/SP
21,	21/SN+,/SP
34,	34/SN+,/SP
40,	40/SN+,/SP
66,	66/SN+,/SP
순환91,	순환/NNG+91/SN+,/SP
순환92,	순환/NNG+92/SN+,/SP
506,	506/SN+,/SP
511,	511/SN+,/SP
519,	519/SN+,/SP
522,	522/SN+,/SP
523-1,	523/SN+-/SO+1/SN+,/SP
524,	524/SN+,/SP
535,	535/SN+,/SP
582번	582/SN+번/NNB
등	등/NNB
17개	17/SN+개/NNB
노선이다.	노선/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000049.402.4.1
이들 노선은 초중고교를 지나는데 버스 노선 조정 후 오히려 통학 시간이 늘어나면서 민원이 빗발쳤다.

이들	이/NP+들/XSN
노선은	노선/NNG+은/JX
초중고교를	초중고교/NNG+를/JKO
지나는데	지나/VV+는데/EC
버스	버스/NNG
노선	노선/NNG
조정	조정/NNG
후	후/NNG
오히려	오히려/MAG
통학	통학/NNG
시간이	시간/NNG+이/JKS
늘어나면서	늘어나/VV+면서/EC
민원이	민원/NNG+이/JKS
빗발쳤다.	빗발치/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.402.4.2
목적지까지 돌아가는 이른바 굴곡 노선을 직선화하고 중복 노선을 폐지하면서 학생들의 보행 시간이 길어졌기 때문이다.

목적지까지	목적지/NNG+까지/JX
돌아가는	돌아가/VV+는/ETM
이른바	이른바/MAG
굴곡	굴곡/NNG
노선을	노선/NNG+을/JKO
직선화하고	직선/NNG+화/XSN+하/XSV+고/EC
중복	중복/NNG
폐지하면서	폐지/NNG+하/XSV+면서/EC
학생들의	학생/NNG+들/XSN+의/JKG
보행	보행/NNG
시간이	시간/NNG+이/JKS
길어졌기	길어지/VV+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.402.4.3
인천시는 민원에 타당성이 있다는 판단을 내리고 지난주 교통 전문가들이 참여하는 버스노선조정분과위원회를 열어 이들 노선의 운행 구간을 일부 조정하기로 했다.

인천시는	인천시/NNP+는/JX
민원에	민원/NNG+에/JKB
타당성이	타당성/NNG+이/JKS
있다는	있/VA+다는/ETM
판단을	판단/NNG+을/JKO
내리고	내리/VV+고/EC
지난주	지난주/NNG
교통	교통/NNG
전문가들이	전문가/NNG+들/XSN+이/JKS
참여하는	참여/NNG+하/XSV+는/ETM
버스노선조정분과위원회를	버스/NNG+노선/NNG+조정/NNG+분과/NNG+위원회/NNG+를/JKO
열어	열/VV+어/EC
이들	이/NP+들/XSN
노선의	노선/NNG+의/JKG
운행	운행/NNG
구간을	구간/NNG+을/JKO
일부	일부/NNG
조정하기로	조정/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000049.402.5.1
이에 따라 해당 버스 노선은 9월 1일 다시 조정된다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
해당	해당/NNG
버스	버스/NNG
노선은	노선/NNG+은/JX
9월	9/SN+월/NNB
1일	1/SN+일/NNB
다시	다시/MAG
조정된다.	조정/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.402.5.2
하지만 노선 개편을 단행한 지 얼마 안 돼 다시 변경을 결정함으로써 시민 혼란은 물론이고 행정력 낭비를 초래했다는 비판을 피하기 어려워 보인다.

하지만	하지만/MAJ
노선	노선/NNG
개편을	개편/NNG+을/JKO
단행한	단행/NNG+하/XSV+ㄴ/ETM
지	지/NNB
얼마	얼마/NNG
안	안/MAG
돼	되/VV+어/EC
다시	다시/MAG
변경을	변경/NNG+을/JKO
결정함으로써	결정/NNG+하/XSV+ㅁ/ETN+으로써/JKB
시민	시민/NNG
혼란은	혼란/NNG+은/JX
물론이고	물론/NNG+이/VCP+고/EC
행정력	행정력/NNG
낭비를	낭비/NNG+를/JKO
초래했다는	초래/NNG+하/XSV+았/EP+다는/ETM
비판을	비판/NNG+을/JKO
피하기	피하/VV+기/ETN
어려워	어렵/VA+어/EC
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000049.402.5.3
노선 재조정에 따라 버스정보시스템(BIS) 자료와 네이버 등 주요 포털의 길 찾기 서비스 자료를 또다시 바꿔야 하기 때문이다.

노선	노선/NNG
재조정에	재/XPN+조정/NNG+에/JKB
따라	따르/VV+아/EC
버스정보시스템(BIS)	버스/NNG+정보/NNG+시스템/NNG+(/SS+BIS/SL+)/SS
자료와	자료/NNG+와/JC
네이버	네이버/NNP
등	등/NNB
주요	주요/NNG
포털의	포털/NNG+의/JKG
길	길/NNG
찾기	찾/VV+기/ETN
서비스	서비스/NNG
자료를	자료/NNG+를/JKO
또다시	또다시/MAG
