# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.156
metadata : {}


# id : NWRW1800000046.156.1.1
車에서 출근길 여성에 납탄 쏜 50代, 주변車 블랙박스에 찍혀 꼬리잡혔다

車에서	車/SH+에서/JKB
출근길	출근길/NNG
여성에	여성/NNG+에/JKB
납탄	납탄/NNG
쏜	쏘/VV+ㄴ/ETM
50代,	50/SN+代/SH+,/SP
주변車	주변/NNG+車/SH
블랙박스에	블랙박스/NNG+에/JKB
찍혀	찍히/VV+어/EC
꼬리잡혔다	꼬리/NNG+잡히/VV+었/EP+다/EF


# id : NWRW1800000046.156.2.1
범인, 피해자 어머니와 돈거래… 경찰 "정확한 범행동기 수사"

범인,	범인/NNG+,/SP
피해자	피해자/NNG
어머니와	어머니/NNG+와/JKB
돈거래…	돈거래/NNG+…/SE
경찰	경찰/NNG
"정확한	"/SS+정확/NNG+하/XSA+ㄴ/ETM
범행동기	범행/NNG+동기/NNG
수사"	수사/NNG+"/SS


# id : NWRW1800000046.156.3.1
경남 창원에서 출근길 20대 여성 얼굴에 금속성 물체를 쏜 범인이 경찰에 붙잡혔다.

경남	경남/NNP
창원에서	창원/NNP+에서/JKB
출근길	출근길/NNG
20대	20/SN+대/NNB
여성	여성/NNG
얼굴에	얼굴/NNG+에/JKB
금속성	금속/NNG+성/XSN
물체를	물체/NNG+를/JKO
쏜	쏘/VV+ㄴ/ETM
범인이	범인/NNG+이/JKS
경찰에	경찰/NNG+에/JKB
붙잡혔다.	붙잡히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.156.3.2
경남 마산중부경찰서는 "지난 29일 창원시 마산합포구 산복도로에서 출근하던 김모(여·26)씨에게 공기총을 쏘아 얼굴 오른쪽 빰에 납탄을 박히게 한 혐의(살인미수)로 김모(55)씨를 붙잡아 조사 중"이라고 31일 밝혔다.

경남	경남/NNP
마산중부경찰서는	마산중부경찰서/NNP+는/JX
"지난	"/SS+지나/VV+ㄴ/ETM
29일	29/SN+일/NNB
창원시	창원시/NNP
마산합포구	마산합포구/NNP
산복도로에서	산복/NNG+도로/NNG+에서/JKB
출근하던	출근/NNG+하/XSV+던/ETM
김모(여·26)씨에게	김/NNP+모/NP+(/SS+여/NNG+·/SP+26/SN+)/SS+씨/NNB+에게/JKB
공기총을	공기총/NNG+을/JKO
쏘아	쏘/VV+아/EC
얼굴	얼굴/NNG
오른쪽	오른쪽/NNG
빰에	빰/NNG+에/JKB
납탄을	납탄/NNG+을/JKO
박히게	박히/VV+게/EC
한	하/VX+ㄴ/ETM
혐의(살인미수)로	혐의/NNG+(/SS+살인/NNG+미수/NNG+)/SS+로/JKB
김모(55)씨를	김/NNP+모/NP+(/SS+55/SN+)/SS+씨/NNB+를/JKO
붙잡아	붙잡/VV+아/EC
조사	조사/NNG
중"이라고	중/NNB+"/SS+이라고/JKQ
31일	31/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.156.3.3
범인 김씨는 이날 사건 현장에 있었던 용의 차량에 대한 경찰의 공개수배 후 시민 제보에 의해 오후 6시 40분쯤 창원시 의창구의 집 주변에서 검거됐다.

범인	범인/NNG
김씨는	김/NNP+씨/NNB+는/JX
이날	이날/NNG
사건	사건/NNG
현장에	현장/NNG+에/JKB
있었던	있/VV+었/EP+던/ETM
용의	용의/NNG
차량에	차량/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
경찰의	경찰/NNG+의/JKG
공개수배	공개/NNG+수배/NNG
후	후/NNG
시민	시민/NNG
제보에	제보/NNG+에/JKB
의해	의하/VV+아/EC
오후	오후/NNG
6시	6/SN+시/NNB
40분쯤	40/SN+분/NNB+쯤/XSN
창원시	창원시/NNP
의창구의	의창구/NNP+의/JKG
집	집/NNG
주변에서	주변/NNG+에서/JKB
검거됐다.	검거/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.156.4.1
제보자 A씨는 이날 오후 2시 10분쯤 "사건 당시 현장에서 신호를 위반하고 과속으로 도주하던 차량을 봤다"고 신고했다.

제보자	제보자/NNG
A씨는	A/SL+씨/NNB+는/JX
이날	이날/NNG
오후	오후/NNG
2시	2/SN+시/NNB
10분쯤	10/SN+분/NNB+쯤/XSN
"사건	"/SS+사건/NNG
당시	당시/NNG
현장에서	현장/NNG+에서/JKB
신호를	신호/NNG+를/JKO
위반하고	위반/NNG+하/XSV+고/EC
과속으로	과속/NNG+으로/JKB
도주하던	도주/NNG+하/XSV+던/ETM
차량을	차량/NNG+을/JKO
봤다"고	보/VV+았/EP+다/EF+"/SS+고/JKQ
신고했다.	신고/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.156.4.2
제보를 받은 경찰은 A씨의 차량 블랙박스 촬영 영상에서 범인 김씨의 차 번호와 신원을 확인했다.

제보를	제보/NNG+를/JKO
받은	받/VV+은/ETM
경찰은	경찰/NNG+은/JX
A씨의	A/SL+씨/NNB+의/JKG
차량	차량/NNG
블랙박스	블랙박스/NNG
촬영	촬영/NNG
영상에서	영상/NNG+에서/JKB
범인	범인/NNG
김씨의	김/NNP+씨/NNB+의/JKG
차	차/NNG
번호와	번호/NNG+와/JC
신원을	신원/NNG+을/JKO
확인했다.	확인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.156.4.3
경찰은 "범인 김씨의 옵티마 리갈 차량은 자신의 집과 200m가량 떨어진 도로변에 주차돼 있었고 차 안에서 범행에 사용한 것으로 보이는 공기총 1정이 발견됐다"고 말했다.

경찰은	경찰/NNG+은/JX
"범인	"/SS+범인/NNG
김씨의	김/NNP+씨/NNB+의/JKG
옵티마	옵티마/NNG
리갈	리갈/NNG
차량은	차량/NNG+은/JX
자신의	자신/NNG+의/JKG
집과	집/NNG+과/JKB
200m가량	200/SN+m/SW+가량/XSN
떨어진	떨어지/VV+ㄴ/ETM
도로변에	도로변/NNG+에/JKB
주차돼	주차/NNG+되/XSV+어/EC
있었고	있/VX+었/EP+고/EC
차	차/NNG
안에서	안/NNG+에서/JKB
범행에	범행/NNG+에/JKB
사용한	사용/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보이는	보이/VV+는/ETM
공기총	공기총/NNG
1정이	1/SN+정/NNB+이/JKS
발견됐다"고	발견/NNG+되/XSV+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.156.4.4
김씨는 2012년 공기총 소지 허가를 받았고, 10여년 전 피해자 김씨의 어머니와 돈 거래를 한 적이 있는 것으로 조사됐다.

김씨는	김/NNP+씨/NNB+는/JX
2012년	2012/SN+년/NNB
공기총	공기총/NNG
소지	소지/NNG
허가를	허가/NNG+를/JKO
받았고,	받/VV+았/EP+고/EC+,/SP
10여년	10/SN+여/XSN+년/NNB
전	전/NNG
피해자	피해자/NNG
김씨의	김/NNP+씨/NNB+의/JKG
어머니와	어머니/NNG+와/JKB
돈	돈/NNG
거래를	거래/NNG+를/JKO
한	하/VV+ㄴ/ETM
적이	적/NNB+이/JKS
있는	있/VA+는/ETM
것으로	것/NNB+으로/JKB
조사됐다.	조사/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000046.156.4.5
경찰은 "돈 거래에 따른 갈등 탓인지를 비롯해 정확한 범행 동기를 수사 중"이라며 "조사를 마치면 살인미수 혐의로 구속영장을 신청할 예정"이라고 말했다.

경찰은	경찰/NNG+은/JX
"돈	"/SS+돈/NNG
거래에	거래/NNG+에/JKB
따른	따르/VV+ㄴ/ETM
갈등	갈등/NNG
탓인지를	탓/NNG+이/VCP+ㄴ지/EF+를/JKO
비롯해	비롯하/VV+아/EC
정확한	정확/NNG+하/XSA+ㄴ/ETM
범행	범행/NNG
동기를	동기/NNG+를/JKO
수사	수사/NNG
중"이라며	중/NNB+"/SS+이/VCP+라며/EC
"조사를	"/SS+조사/NNG+를/JKO
마치면	마치/VV+면/EC
살인미수	살인/NNG+미수/NNG
혐의로	혐의/NNG+로/JKB
구속영장을	구속/NNG+영장/NNG+을/JKO
신청할	신청/NNG+하/XSV+ㄹ/ETM
예정"이라고	예정/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


