# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.111
metadata : {}


# id : NWRW1800000033.111.1.1
[2013다시 뛴다]복합단지 건설로 롯데 브랜드 강화

[2013다시	[/SS+2013/SN+다시/MAG
뛴다]복합단지	뛰/VV+ㄴ다/EF+]/SS+복합/NNG+단지/NNG
건설로	건설/NNG+로/JKB
롯데	롯데/NNP
브랜드	브랜드/NNG
강화	강화/NNG


# id : NWRW1800000033.111.2.1
롯데그룹은 ‘글로벌 경영’을 지속성장의 키워드로 삼았다.

롯데그룹은	롯데그룹/NNP+은/JX
‘글로벌	‘/SS+글로벌/NNG
경영’을	경영/NNG+’/SS+을/JKO
지속성장의	지속/NNG+성장/NNG+의/JKG
키워드로	키워드/NNG+로/JKB
삼았다.	삼/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.111.2.2
이를 위해 전 사업부문에 걸쳐 해외 진출을 강화하는 한편 복합단지 건설로 롯데 브랜드를 강화하고 있다.

이를	이/NP+를/JKO
위해	위하/VV+아/EC
전	전/MMN
사업부문에	사업/NNG+부문/NNG+에/JKB
걸쳐	걸치/VV+어/EC
해외	해외/NNG
진출을	진출/NNG+을/JKO
강화하는	강화/NNG+하/XSV+는/ETM
한편	한편/NNG
복합단지	복합/NNG+단지/NNG
건설로	건설/NNG+로/JKB
롯데	롯데/NNP
브랜드를	브랜드/NNG+를/JKO
강화하고	강화/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.111.3.1
지난해 좋지 않은 경영환경 속에서도 73조 원 매출을 달성하며 매출 70조 원 시대를 연 롯데는 현재 VRICI 5개국(베트남, 러시아, 인도, 중국, 인도네시아)을 중심으로 해외 20여 개국에서 사업을 진행하고 있다.

지난해	지난해/NNG
좋지	좋/VA+지/EC
않은	않/VX+은/ETM
경영환경	경영/NNG+환경/NNG
속에서도	속/NNG+에서/JKB+도/JX
73조	73/SN+조/NR
원	원/NNB
매출을	매출/NNG+을/JKO
달성하며	달성/NNG+하/XSV+며/EC
매출	매출/NNG
70조	70/SN+조/NR
시대를	시대/NNG+를/JKO
연	열/VV+ㄴ/ETM
롯데는	롯데/NNP+는/JX
현재	현재/MAG
VRICI	VRICI/SL
5개국(베트남,	5/SN+개국/NNB+(/SS+베트남/NNP+,/SP
러시아,	러시아/NNP+,/SP
인도,	인도/NNP+,/SP
중국,	중국/NNP+,/SP
인도네시아)을	인도네시아/NNP+)/SS+을/JKO
중심으로	중심/NNG+으로/JKB
해외	해외/NNG
20여	20/SN+여/XSN
개국에서	개국/NNB+에서/JKB
사업을	사업/NNG+을/JKO
진행하고	진행/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.111.3.2
2018년에는 그룹 전체 매출 200조 원 중 30% 이상을 해외에서 올린다는 목표를 정했다.

2018년에는	2018/SN+년/NNB+에/JKB+는/JX
그룹	그룹/NNG
전체	전체/NNG
매출	매출/NNG
200조	200/SN+조/NR
원	원/NNB
중	중/NNB
30%	30/SN+%/SW
이상을	이상/NNG+을/JKO
해외에서	해외/NNG+에서/JKB
올린다는	올리/VV+ㄴ다는/ETM
목표를	목표/NNG+를/JKO
정했다.	정하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.111.4.1
그룹의 핵심 사업인 유통부문은 사업 다변화를 통한 신성장동력 발굴에 주력하고 있다.

그룹의	그룹/NNG+의/JKG
핵심	핵심/NNG
사업인	사업/NNG+이/VCP+ㄴ/ETM
유통부문은	유통/NNG+부문/NNG+은/JX
사업	사업/NNG
다변화를	다변/NNG+화/XSN+를/JKO
통한	통하/VV+ㄴ/ETM
신성장동력	신/XPN+성장/NNG+동력/NNG
발굴에	발굴/NNG+에/JKB
주력하고	주력/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.111.4.2
2007년 러시아 모스크바점 오픈을 통해 해외시장에 처음 진출한 롯데백화점은 2008년 중국 베이징점, 지난해 6월 톈진점, 올 7월 톈진2호점인 문화중심점을 잇따라 열었다.

2007년	2007/SN+년/NNB
러시아	러시아/NNP
모스크바점	모스크바점/NNG
오픈을	오픈/NNG+을/JKO
통해	통하/VV+아/EC
해외시장에	해외/NNG+시장/NNG+에/JKB
처음	처음/NNG
진출한	진출/NNG+하/XSV+ㄴ/ETM
롯데백화점은	롯데백화점/NNP+은/JX
2008년	2008/SN+년/NNB
중국	중국/NNP
베이징점,	베이징점/NNG+,/SP
지난해	지난해/NNG
6월	6/SN+월/NNB
톈진점,	톈진점/NNG+,/SP
올	올/NNG
7월	7/SN+월/NNB
톈진2호점인	톈진/NNP+2/SN+호점/NNB+이/VCP+ㄴ/ETM
문화중심점을	문화/NNG+중심점/NNG+을/JKO
잇따라	잇따르/VV+아/EC
열었다.	열/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.111.4.3
2013년에는 중국 웨이하이점과 청두점, 인도네시아 자카르타점을 열 예정이다.

2013년에는	2013/SN+년/NNB+에/JKB+는/JX
중국	중국/NNP
웨이하이점과	웨이하이점/NNG+과/JC
청두점,	청두점/NNG+,/SP
인도네시아	인도네시아/NNP
자카르타점을	자카르타점/NNG+을/JKO
열	열/VV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.111.5.1
롯데마트는 올 9월을 기점으로, 중국 진출 5년 만에 점포 수 100개를 돌파하는 등 성공적인 해외사업을 펼치고 있다.

롯데마트는	롯데마트/NNP+는/JX
올	올/NNG
9월을	9/SN+월/NNB+을/JKO
기점으로,	기점/NNG+으로/JKB+,/SP
중국	중국/NNP
진출	진출/NNG
5년	5/SN+년/NNB
만에	만/NNB+에/JKB
점포	점포/NNG
수	수/NNG
100개를	100/SN+개/NNB+를/JKO
돌파하는	돌파/NNG+하/XSV+는/ETM
등	등/NNB
성공적인	성공/NNG+적/XSN+이/VCP+ㄴ/ETM
해외사업을	해외/NNG+사업/NNG+을/JKO
펼치고	펼치/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.111.5.2
연말에는 베트남 3, 4호점을 연달아 오픈하면서 국내(102개 점)보다 해외(134개 점)에서 더 많은 점포를 운영하고 있다.

연말에는	연말/NNG+에/JKB+는/JX
베트남	베트남/NNP
3,	3/SN+,/SP
4호점을	4/SN+호점/NNB+을/JKO
연달아	연달/VV+아/EC
오픈하면서	오픈/NNG+하/XSV+면서/EC
국내(102개	국내/NNG+(/SS+102/SN+개/NNB
점)보다	점/NNG+)/SS+보다/JKB
해외(134개	해외/NNG+(/SS+134/SN+개/NNB
점)에서	점/NNG+)/SS+에서/JKB
더	더/MAG
많은	많/VA+은/ETM
점포를	점포/NNG+를/JKO
운영하고	운영/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.111.6.1
식품부문에서는 특히 인수합병(M&A)을 통한 해외 진출에 힘을 쏟고 있다.

식품부문에서는	식품/NNG+부문/NNG+에서/JKB+는/JX
특히	특히/MAG
인수합병(M&A)을	인수/NNG+합병/NNG+(/SS+M/SL+&/SW+A/SL+)/SS+을/JKO
통한	통하/VV+ㄴ/ETM
해외	해외/NNG
진출에	진출/NNG+에/JKB
힘을	힘/NNG+을/JKO
쏟고	쏟/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.111.6.2
2007년 베트남 업체 비비카를 인수한 데 이어 2008년에는 벨기에의 길리안 인수에 성공하면서 프리미엄 초콜릿 시장에 진출했다.

2007년	2007/SN+년/NNB
베트남	베트남/NNP
업체	업체/NNG
비비카를	비비카/NNP+를/JKO
인수한	인수/NNG+하/XSV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
2008년에는	2008/SN+년/NNB+에/JKB+는/JX
벨기에의	벨기에/NNP+의/JKG
길리안	길리안/NNP
인수에	인수/NNG+에/JKB
성공하면서	성공/NNG+하/XSV+면서/EC
프리미엄	프리미엄/NNG
초콜릿	초콜릿/NNG
시장에	시장/NNG+에/JKB
진출했다.	진출/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.111.6.3
관광부문에서도 지속적인 해외 진출을 통해 글로벌 브랜드 이미지를 강화한다는 계획이다.

관광부문에서도	관광/NNG+부문/NNG+에서/JKB+도/JX
지속적인	지속/NNG+적/XSN+이/VCP+ㄴ/ETM
해외	해외/NNG
진출을	진출/NNG+을/JKO
통해	통하/VV+아/EC
글로벌	글로벌/NNG
브랜드	브랜드/NNG
이미지를	이미지/NNG+를/JKO
강화한다는	강화/NNG+하/XSV+ㄴ다는/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.111.6.4
2010년 롯데호텔 모스크바를 열면서 글로벌 호텔체인으로서 첫발을 뗀 롯데호텔은 2014년 베트남 하노이, 2017년 중국 선양 등지에 체인호텔을 차례로 열면서 2018년까지 ‘아시아 톱3’ 호텔로 성장하겠다는 계획이다.

2010년	2010/SN+년/NNB
롯데호텔	롯데호텔/NNP
모스크바를	모스크바/NNP+를/JKO
열면서	열/VV+면서/EC
글로벌	글로벌/NNG
호텔체인으로서	호텔/NNG+체인/NNG+으로서/JKB
첫발을	첫발/NNG+을/JKO
뗀	떼/VV+ㄴ/ETM
롯데호텔은	롯데호텔/NNP+은/JX
2014년	2014/SN+년/NNB
베트남	베트남/NNP
하노이,	하노이/NNP+,/SP
2017년	2017/SN+년/NNB
중국	중국/NNP
선양	선양/NNP
등지에	등지/NNB+에/JKB
체인호텔을	체인/NNG+호텔/NNG+을/JKO
차례로	차례/NNG+로/JKB
2018년까지	2018/SN+년/NNB+까지/JX
‘아시아	‘/SS+아시아/NNP
톱3’	톱/NNG+3/SN+’/SS
호텔로	호텔/NNG+로/JKB
성장하겠다는	성장/NNG+하/XSV+겠/EP+다는/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.111.7.1
롯데그룹의 또 다른 성장 축인 석유화학부문도 그룹 비전에 맞춰 2018년 매출 40조 원을 올리면서 아시아 최고의 화학기업으로 성장하는 것을 목표로 잡았다.

롯데그룹의	롯데그룹/NNP+의/JKG
또	또/MAG
다른	다른/MMD
성장	성장/NNG
축인	축/NNG+이/VCP+ㄴ/ETM
석유화학부문도	석유/NNG+화학/NNG+부문/NNG+도/JX
그룹	그룹/NNG
비전에	비전/NNG+에/JKB
맞춰	맞추/VV+어/EC
2018년	2018/SN+년/NNB
매출	매출/NNG
40조	40/SN+조/NR
원을	원/NNB+을/JKO
올리면서	올리/VV+면서/EC
아시아	아시아/NNP
최고의	최고/NNG+의/JKG
화학기업으로	화학/NNG+기업/NNG+으로/JKB
성장하는	성장/NNG+하/XSV+는/ETM
것을	것/NNB+을/JKO
목표로	목표/NNG+로/JKB
잡았다.	잡/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.111.7.2
2010년 말레이시아의 타이탄을 인수하면서 글로벌 석유화학 기업으로 도약한 호남석유화학은 지난해 미국 앨라배마에 현지법인을 설립하고 올해부터 상업 생산을 시작했다.

2010년	2010/SN+년/NNB
말레이시아의	말레이시아/NNP+의/JKG
타이탄을	타이탄/NNP+을/JKO
인수하면서	인수/NNG+하/XSV+면서/EC
글로벌	글로벌/NNG
석유화학	석유/NNG+화학/NNG
기업으로	기업/NNG+으로/JKB
도약한	도약/NNG+하/XSV+ㄴ/ETM
호남석유화학은	호남석유화학/NNP+은/JX
지난해	지난해/NNG
미국	미국/NNP
앨라배마에	앨라배마/NNP+에/JKB
현지법인을	현지/NNG+법인/NNG+을/JKO
설립하고	설립/NNG+하/XSV+고/EC
올해부터	올해/NNG+부터/JX
상업	상업/NNG
생산을	생산/NNG+을/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.111.7.3
롯데는 그동안 축적해온 식품 유통 건설 서비스 역량을 한데 모은 초대형 프로젝트에도 박차를 가하고 있다.

롯데는	롯데/NNP+는/JX
그동안	그동안/NNG
축적해온	축적/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
식품	식품/NNG
유통	유통/NNG
건설	건설/NNG
서비스	서비스/NNG
역량을	역량/NNG+을/JKO
한데	하/VV+ㄴ데/EC
모은	모으/VV+ㄴ/ETM
초대형	초/XPN+대형/NNG
프로젝트에도	프로젝트/NNG+에/JKB+도/JX
박차를	박차/NNG+를/JKO
가하고	가하/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.111.7.4
서울 잠실에는 내년부터 2015년까지 순차적으로 오픈하는 123층 규모의 롯데월드타워를 건설하고 있다.

서울	서울/NNP
잠실에는	잠실/NNP+에/JKB+는/JX
내년부터	내년/NNG+부터/JX
2015년까지	2015/SN+년/NNB+까지/JX
순차적으로	순차/NNG+적/XSN+으로/JKB
오픈하는	오픈/NNG+하/XSV+는/ETM
123층	123/SN+층/NNG
규모의	규모/NNG+의/JKG
롯데월드타워를	롯데월드타워/NNP+를/JKO
건설하고	건설/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.111.7.5
또 중국 선양에서는 2017년 완공을 목표로 테마파크, 쇼핑몰, 호텔, 오피스, 주거단지 등이 어우러진 복합단지를 계획하고 있다.

또	또/MAG
중국	중국/NNP
선양에서는	선양/NNP+에서/JKB+는/JX
2017년	2017/SN+년/NNB
완공을	완공/NNG+을/JKO
목표로	목표/NNG+로/JKB
테마파크,	테마파크/NNG+,/SP
쇼핑몰,	쇼핑몰/NNG+,/SP
호텔,	호텔/NNG+,/SP
오피스,	오피스/NNG+,/SP
주거단지	주거/NNG+단지/NNG
등이	등/NNB+이/JKS
어우러진	어우러지/VV+ㄴ/ETM
복합단지를	복합/NNG+단지/NNG+를/JKO
계획하고	계획/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


