# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.179
metadata : {}


# id : NWRW1800000038.179.1.1
學暴 신고 늘었는데 징계 건수 왜 줄었나

學暴	學暴/SH
신고	신고/NNG
늘었는데	늘/VV+었/EP+는데/EC
징계	징계/NNG
건수	건수/NNG
왜	왜/MAG
줄었나	줄/VV+었/EP+나/EF


# id : NWRW1800000038.179.2.1
욕설·협박 '정서적 폭력' 증가, 처벌 강화에 방식 더 교묘해져

욕설·협박	욕설/NNG+·/SP+협박/NNG
'정서적	'/SS+정서/NNG+적/XSN
폭력'	폭력/NNG+'/SS
증가,	증가/NNG+,/SP
처벌	처벌/NNG
강화에	강화/NNG+에/JKB
방식	방식/NNG
더	더/MAG
교묘해져	교묘하/VA+아/EC+지/VX+어/EF


# id : NWRW1800000038.179.3.1
학교 내 폭력 사건을 조사하고 가해 학생에 대한 처분을 내리는 학교폭력대책자치위원회(이하 학폭위) 개최 건수가 지난해의 절반 수준으로 줄어든 것으로 나타났다.

학교	학교/NNG
내	내/NNB
폭력	폭력/NNG
사건을	사건/NNG+을/JKO
조사하고	조사/NNG+하/XSV+고/EC
가해	가해/NNG
학생에	학생/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
처분을	처분/NNG+을/JKO
내리는	내리/VV+는/ETM
학교폭력대책자치위원회(이하	학교/NNG+폭력/NNG+대책/NNG+자치/NNG+위원회/NNG+(/SS+이하/NNG
학폭위)	학폭위/NNG+)/SS
개최	개최/NNG
건수가	건수/NNG+가/JKS
지난해의	지난해/NNG+의/JKG
절반	절반/NNG
수준으로	수준/NNG+으로/JKB
줄어든	줄어들/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000038.179.3.2
정부가 운영하는 학교 폭력 신고전화 117에 접수된 학교 폭력 건수가 대폭 늘어난 것과는 상반된 현상이다.

정부가	정부/NNG+가/JKS
운영하는	운영/NNG+하/XSV+는/ETM
학교	학교/NNG
폭력	폭력/NNG
신고전화	신고/NNG+전화/NNG
117에	117/SN+에/JKB
접수된	접수/NNG+되/XSV+ㄴ/ETM
건수가	건수/NNG+가/JKS
대폭	대폭/MAG
늘어난	늘어나/VV+ㄴ/ETM
것과는	것/NNB+과/JKB+는/JX
상반된	상반/NNG+되/XSV+ㄴ/ETM
현상이다.	현상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.179.4.1
서울시교육청은 올해 3~5월 석 달 동안 서울의 초·중·고교 학폭위에서 심의한 사건 수가 지난해 같은 기간보다 50.6%(609건→301건) 줄었다고 28일 밝혔다.

서울시교육청은	서울시교육청/NNP+은/JX
올해	올해/NNG
3~5월	3/SN+~/SO+5/SN+월/NNB
석	석/MMN
달	달/NNB
동안	동안/NNG
서울의	서울/NNP+의/JKG
초·중·고교	초·중·고교/NNG
학폭위에서	학폭위/NNG+에서/JKB
심의한	심의/NNG+하/XSV+ㄴ/ETM
사건	사건/NNG
수가	수/NNG+가/JKS
지난해	지난해/NNG
같은	같/VA+은/ETM
기간보다	기간/NNG+보다/JKB
50.6%(609건→301건)	50/SN+./SP+6/SN+%/SW+(/SS+609/SN+건/NNB+→/SW+301/SN+건/NNB+)/SS
줄었다고	줄/VV+었/EP+다고/EC
28일	28/SN+일/NNB
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.179.4.2
가해 학생 수와 피해 학생 수도 지난해 2247명, 1113명에서 올해는 각각 919명, 461명으로 감소했다.

가해	가해/NNG
학생	학생/NNG
수와	수/NNG+와/JC
피해	피해/NNG
수도	수/NNG+도/JX
지난해	지난해/NNG
2247명,	2247/SN+명/NNB+,/SP
1113명에서	1113/SN+명/NNB+에서/JKB
올해는	올해/NNG+는/JX
각각	각각/MAG
