# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.176
metadata : {}


# id : NWRW1800000022.176.1.1
청해부대 또 해적 격퇴

청해부대	청해부대/NNP
또	또/MAG
해적	해적/NNG
격퇴	격퇴/NNG


# id : NWRW1800000022.176.2.1
소말리아 해역에서 한국 선박의 호송 임무를 맡고 있는 청해부대가 13일과 14일 잇따라 해적(海賊) 퇴치에 성공했다.

소말리아	소말리아/NNP
해역에서	해역/NNG+에서/JKB
한국	한국/NNP
선박의	선박/NNG+의/JKG
호송	호송/NNG
임무를	임무/NNG+를/JKO
맡고	맡/VV+고/EC
있는	있/VX+는/ETM
청해부대가	청해부대/NNP+가/JKS
13일과	13/SN+일/NNB+과/JC
14일	14/SN+일/NNB
잇따라	잇따르/VV+아/EC
해적(海賊)	해적/NNG+(/SS+海賊/SH+)/SS
퇴치에	퇴치/NNG+에/JKB
성공했다.	성공/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.176.2.2
14일 합동참모본부에 따르면 청해부대는 지난 13일(한국시각) 오후 10시10분쯤 예멘 남부 무칼라항 남쪽 137㎞ 지점을 지나던 중 56㎞ 떨어진 곳에 있던 이집트 국적 선박 '아미라'호로부터 구조 요청을 받고 링스(LYNX) 헬기를 출동시켜 25분 만에 해적선을 퇴치했다.

14일	14/SN+일/NNB
합동참모본부에	합동/NNG+참모/NNG+본부/NNG+에/JKB
따르면	따르/VV+면/EC
청해부대는	청해부대/NNP+는/JX
지난	지나/VV+ㄴ/ETM
13일(한국시각)	13/SN+일/NNB+(/SS+한국/NNP+시각/NNG+)/SS
오후	오후/NNG
10시10분쯤	10/SN+시/NNB+10/SN+분/NNB+쯤/XSN
예멘	예멘/NNP
남부	남부/NNG
무칼라항	무칼라항/NNP
남쪽	남쪽/NNG
137㎞	137/SN+㎞/SW
지점을	지점/NNG+을/JKO
지나던	지나/VV+던/ETM
중	중/NNB
56㎞	56/SN+㎞/SW
떨어진	떨어지/VV+ㄴ/ETM
곳에	곳/NNG+에/JKB
있던	있/VA+던/ETM
이집트	이집트/NNP
국적	국적/NNG
선박	선박/NNG
'아미라'호로부터	'/SS+아미라/NNP+'/SS+호/NA+로부터/JKB
구조	구조/NNG
요청을	요청/NNG+을/JKO
받고	받/VV+고/EC
링스(LYNX)	링스/NNP+(/SS+LYNX/SL+)/SS
헬기를	헬기/NNG+를/JKO
출동시켜	출동/NNG+시키/XSV+어/EC
25분	25/SN+분/NNB
만에	만/NNB+에/JKB
해적선을	해적선/NNG+을/JKO
퇴치했다.	퇴치/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.176.3.1
청해부대는 14일 오전 3시5분쯤 쿠웨이트 상선 '알 마로아브'호에서 해적선이 다가온다는 구조요청이 들어와 또다시 링스 헬기를 출격시켰다.

청해부대는	청해부대/NNP+는/JX
14일	14/SN+일/NNB
오전	오전/NNG
3시5분쯤	3/SN+시/NNB+5/SN+분/NNB+쯤/XSN
쿠웨이트	쿠웨이트/NNP
상선	상선/NNG
'알	'/SS+알/NNP
마로아브'호에서	마로아브/NNP+'/SS+호/NA+에서/JKB
해적선이	해적선/NNG+이/JKS
다가온다는	다가오/VV+ㄴ다는/ETM
구조요청이	구조/NNG+요청/NNG+이/JKS
들어와	들어오/VV+아/EC
또다시	또다시/MAG
링스	링스/NNP
헬기를	헬기/NNG+를/JKO
출격시켰다.	출격/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000022.176.3.2
합참은 "교신 내용을 접한 해적들이 겁을 먹고 도망가서인지 구조요청을 받고 15분 만에 헬기가 현장에 도착했을 때는 해적선이 사라지고 없었다"고 밝혔다.

합참은	합참/NNG+은/JX
"교신	"/SS+교신/NNG
내용을	내용/NNG+을/JKO
접한	접하/VV+ㄴ/ETM
해적들이	해적/NNG+들/XSN+이/JKS
겁을	겁/NNG+을/JKO
먹고	먹/VV+고/EC
도망가서인지	도망가/VV+아서/EC+이/VCP+ㄴ지/EC
구조요청을	구조/NNG+요청/NNG+을/JKO
받고	받/VV+고/EC
15분	15/SN+분/NNB
만에	만/NNB+에/JKB
헬기가	헬기/NNG+가/JKS
현장에	현장/NNG+에/JKB
도착했을	도착/NNG+하/XSV+았/EP+을/ETM
때는	때/NNG+는/JX
해적선이	해적선/NNG+이/JKS
사라지고	사라지/VV+고/EC
없었다"고	없/VA+었/EP+다/EF+"/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


