# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.255
metadata : {}


# id : NWRW1800000038.255.1.1
한 번만 더 굴렀어도… 우즈, 통한의 8m 퍼트

한	한/MMN
번만	번/NNB+만/JX
더	더/MAG
굴렀어도…	구르/VV+었/EP+어도/EC+…/SE
우즈,	우즈/NNP+,/SP
통한의	통한/NNG+의/JKG
8m	8/SN+m/SW
퍼트	퍼트/NNG


# id : NWRW1800000038.255.2.1
홀 바로 앞에서 멈춰 2위 머물러… 스콧, 바클레이스 우승 차지

홀	홀/NNG
바로	바로/MAG
앞에서	앞/NNG+에서/JKB
멈춰	멈추/VV+어/EC
2위	2/SN+위/NNB
머물러…	머무르/VV+어/EC+…/SE
스콧,	스콧/NNP+,/SP
바클레이스	바클레이스/NNP
우승	우승/NNG
차지	차지/NNG


# id : NWRW1800000038.255.3.1
올해 마스터스에서 메이저대회 첫 우승을 차지한 아담 스콧(호주)이 미국프로골프(PGA) 투어 플레이오프 1차전 바클레이스(총상금 800만달러)에서 역전 우승을 차지했다.

올해	올해/NNG
마스터스에서	마스터스/NNG+에서/JKB
메이저대회	메이저/NNG+대회/NNG
첫	첫/MMN
우승을	우승/NNG+을/JKO
차지한	차지/NNG+하/XSV+ㄴ/ETM
아담	아담/NNP
스콧(호주)이	스콧/NNP+(/SS+호주/NNP+)/SS+이/JKS
미국프로골프(PGA)	미국/NNP+프로/NNG+골프/NNG+(/SS+PGA/SL+)/SS
투어	투어/NNG
플레이오프	플레이오프/NNG
1차전	1/SN+차전/NNB
바클레이스(총상금	바클레이스/NNP+(/SS+총상금/NNG
800만달러)에서	800/SN+만/NR+달러/NNB+)/SS+에서/JKB
역전	역전/NNG
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.255.3.2
타이거 우즈(미국·사진 왼쪽)는 마지막 18번홀에서 홀로 빨려 들어가는 듯하던 회심의 8m 버디 퍼트가 홀 바로 앞에서 멈추는 바람에 연장 기회를 잡지 못하고 공동 2위에 머물렀다.

타이거	타이거/NNP
우즈(미국·사진	우즈/NNP+(/SS+미국/NNP+·/SP+사진/NNG
왼쪽)는	왼쪽/NNG+)/SS+는/JX
마지막	마지막/NNG
18번홀에서	18/SN+번/NNB+홀/NNG+에서/JKB
홀로	홀로/MAG
빨려	빨리/VV+어/EC
들어가는	들어가/VV+는/ETM
듯하던	듯/NNB+하/XSA+던/ETM
회심의	회심/NNG+의/JKG
8m	8/SN+m/SW
버디	버디/NNG
퍼트가	퍼트/NNG+가/JKS
홀	홀/NNG
바로	바로/MAG
앞에서	앞/NNG+에서/JKB
멈추는	멈추/VV+는/ETM
바람에	바람/NNB+에/JKB
연장	연장/NNG
기회를	기회/NNG+를/JKO
잡지	잡/VV+지/EC
못하고	못하/VX+고/EC
공동	공동/NNG
2위에	2/SN+위/NNB+에/JKB
머물렀다.	머무르/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.255.4.1
26일(한국 시각) 미국 뉴욕주 저지시티의 리버티 내셔널골프장(파71·7400야드)에서 막을 내린 바클레이스 최종 4라운드.

26일(한국	26/SN+일/NNB+(/SS+한국/NNP
시각)	시각/NNG+)/SS
미국	미국/NNP
뉴욕주	뉴욕주/NNP
저지시티의	저지시티/NNP+의/JKG
리버티	리버티/NNP
내셔널골프장(파71·7400야드)에서	내셔널/NNG+골프장/NNG+(/SS+파/NNG+71/SN+·/SP+7400/SN+야드/NNB+)/SS+에서/JKB
막을	막/NNG+을/JKO
내린	내리/VV+ㄴ/ETM
바클레이스	바클레이스/NNP
최종	최종/NNG
4라운드.	4/SN+라운드/NNG+./SF


# id : NWRW1800000038.255.4.2
3라운드까지 선두에 6타 뒤진 공동 13위였던 스콧은 이날 보기 없이 버디 5개를 잡아내는 깔끔한 플레이로 5타를 줄여 합계 11언더파 273타를 기록, PGA 투어 통산 10승째를 달성하며 상금 144만달러(약 16억원)를 차지했다.

3라운드까지	3/SN+라운드/NNG+까지/JX
선두에	선두/NNG+에/JKB
6타	6/SN+타/NNG
뒤진	뒤지/VV+ㄴ/ETM
공동	공동/NNG
13위였던	13/SN+위/NNB+이/VCP+었/EP+던/ETM
스콧은	스콧/NNP+은/JX
이날	이날/NNG
보기	보기/NNG
없이	없이/MAG
버디	버디/NNG
5개를	5/SN+개/NNB+를/JKO
잡아내는	잡아내/VV+는/ETM
깔끔한	깔끔/NNG+하/XSA+ㄴ/ETM
플레이로	플레이/NNG+로/JKB
5타를	5/SN+타/NNG+를/JKO
줄여	줄이/VV+어/EC
합계	합계/NNG
11언더파	11/SN+언더/NNG+파/NNG
273타를	273/SN+타/NNG+를/JKO
기록,	기록/NNG+,/SP
PGA	PGA/SL
투어	투어/NNG
통산	통산/NNG
10승째를	10/SN+승/NNB+째/XSN+를/JKO
달성하며	달성/NNG+하/XSV+며/EC
상금	상금/NNG
144만달러(약	144/SN+만/NR+달러/NNB+(/SS+약/MMA
16억원)를	16/SN+억/NR+원/NNB+)/SS+를/JKO
차지했다.	차지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.255.4.3
우즈와 저스틴 로즈(잉글랜드), 개리 우드랜드(미국), 그라함 들라엣(캐나다) 등이 추격전을 펼쳤으나 1타 뒤져 공동 2위(10언더파)에 머물렀다.

우즈와	우즈/NNP+와/JC
저스틴	저스틴/NNP
로즈(잉글랜드),	로즈/NNP+(/SS+잉글랜드/NNP+)/SS+,/SP
개리	개리/NNP
우드랜드(미국),	우드랜드/NNP+(/SS+미국/NNP+)/SS+,/SP
그라함	그라함/NNP
들라엣(캐나다)	들라엣/NNP+(/SS+캐나다/NNP+)/SS
등이	등/NNB+이/JKS
추격전을	추격전/NNG+을/JKO
펼쳤으나	펼치/VV+었/EP+으나/EC
1타	1/SN+타/NNG
뒤져	뒤지/VV+어/EC
공동	공동/NNG
2위(10언더파)에	2/SN+위/NNB+(/SS+10/SN+언더/NNG+파/NNG+)/SS+에/JKB
머물렀다.	머무르/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.255.4.4
