# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.335
metadata : {}


# id : NWRW1800000049.335.1.1
“北 GPS교란 심각한 위협” 국제민항기구, 강력 경고

“北	“/SS+北/SH
GPS교란	GPS/SL+교란/NNG
심각한	심각하/VA+ㄴ/ETM
위협”	위협/NNG+”/SS
국제민항기구,	국제민항기구/NNP+,/SP
강력	강력/NNG
경고	경고/NNG


# id : NWRW1800000049.335.2.1
[수위 높아진 北도발]결의문 채택하고 서한발송 예정… 36개 이사국 공감… 北고립 가속

[수위	[/SS+수위/NNG
높아진	높아지/VV+ㄴ/ETM
北도발]결의문	北/SH+도발/NNG+]/SS+결의문/NNG
채택하고	채택/NNG+하/XSV+고/EC
서한발송	서한/NNG+발송/NNG
예정…	예정/NNG+…/SE
36개	36/SN+개/NNB
이사국	이사국/NNG
공감…	공감/NNG+…/SE
北고립	北/SH+고립/NNG
가속	가속/NNG


# id : NWRW1800000049.335.3.1
유엔 산하의 특별기구인 국제민간항공기구(ICAO)가 올해 3월 말부터 엿새간 이어진 북한의 위성위치확인시스템(GPS) 신호 교란에 대해 심각한 우려를 나타내고 재발 방지를 강력히 촉구했다.

유엔	유엔/NNP
산하의	산하/NNG+의/JKG
특별기구인	특별/NNG+기구/NNG+이/VCP+ㄴ/ETM
국제민간항공기구(ICAO)가	국제민간항공기구/NNP+(/SS+ICAO/SL+)/SS+가/JKS
올해	올해/NNG
3월	3/SN+월/NNB
말부터	말/NNB+부터/JX
엿새간	엿새/NNG+간/XSN
이어진	이어지/VV+ㄴ/ETM
북한의	북한/NNP+의/JKG
위성위치확인시스템(GPS)	위성/NNG+위치/NNG+확인/NNG+시스템/NNG+(/SS+GPS/SL+)/SS
신호	신호/NNG
교란에	교란/NNG+에/JKB
대해	대하/VV+아/EC
심각한	심각하/VA+ㄴ/ETM
우려를	우려/NNG+를/JKO
나타내고	나타내/VV+고/EC
재발	재발/NNG
방지를	방지/NNG+를/JKO
강력히	강력히/MAG
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.335.3.2
국제 사회가 한국 정부가 제기한 북한의 GPS 신호 교란 책임을 처음으로 공식 인정한 것이다.

국제	국제/NNG
사회가	사회/NNG+가/JKS
한국	한국/NNP
정부가	정부/NNG+가/JKS
제기한	제기/NNG+하/XSV+ㄴ/ETM
북한의	북한/NNP+의/JKG
GPS	GPS/SL
신호	신호/NNG
교란	교란/NNG
책임을	책임/NNG+을/JKO
처음으로	처음/NNG+으로/JKB
공식	공식/NNG
인정한	인정/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000049.335.4.1
23일 외교부 등에 따르면 ICAO는 22일(현지 시간) “2012년 이사회 결정에도 북한에 의한 GPS 교란 행위가 다시 발생한 것에 대해 심각한 우려를 표명하고, ICAO 협정상 의무의 엄격한 이행을 강력히 촉구한다”고 밝혔다.

23일	23/SN+일/NNB
외교부	외교부/NNG
등에	등/NNB+에/JKB
따르면	따르/VV+면/EC
ICAO는	ICAO/SL+는/JX
22일(현지	22/SN+일/NNB+(/SS+현지/NNG
시간)	시간/NNG+)/SS
“2012년	“/SS+2012/SN+년/NNB
이사회	이사회/NNG
결정에도	결정/NNG+에/JKB+도/JX
