# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.119
metadata : {}


# id : NWRW1800000025.119.1.1
민주 비당권파 “지방선거 경선 똑바로”

민주	민주/NNP
비당권파	비/XPN+당권파/NNG
“지방선거	“/SS+지방/NNG+선거/NNG
경선	경선/NNG
똑바로”	똑바로/MAG+”/SS


# id : NWRW1800000025.119.2.1
‘반(反)정세균’을 기치로 한 민주당 비당권파 결사체인 ‘민주당 쇄신모임’이 26일 국회 의원회관에서 긴급 모임을 열어 서울 및 전남북 광역단체장 후보들에 대한 공정한 경선 실시를 촉구했다.

‘반(反)정세균’을	‘/SS+반/XPN+(/SS+反/SH+)/SS+정세균/NNP+’/SS+을/JKO
기치로	기치/NNG+로/JKB
한	하/VV+ㄴ/ETM
민주당	민주당/NNP
비당권파	비/XPN+당권파/NNG
결사체인	결사체/NNG+이/VCP+ㄴ/ETM
‘민주당	‘/SS+민주당/NNP
쇄신모임’이	쇄신/NNG+모임/NNG+’/SS+이/JKS
26일	26/SN+일/NNB
국회	국회/NNG
의원회관에서	의원/NNG+회관/NNG+에서/JKB
긴급	긴급/NNG
모임을	모임/NNG+을/JKO
열어	열/VV+어/EC
서울	서울/NNP
및	및/MAG
전남북	전남북/NNP
광역단체장	광역/NNG+단체장/NNG
후보들에	후보/NNG+들/XSN+에/JKB
대한	대하/VV+ㄴ/ETM
공정한	공정/NNG+하/XSA+ㄴ/ETM
경선	경선/NNG
실시를	실시/NNG+를/JKO
촉구했다.	촉구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.119.3.1
쇄신모임 공동 대표인 김영진 이석현 천정배 의원은 “한나라당은 4명의 서울시장 예비후보가 여러 차례 TV 토론을 하고도 경선 흥행을 위해 경선 일정을 5월 3일로 연기했지만 민주당 당권파는 특정 인물을 밀어주기 위해 여러 곳에서 경선을 무산시키는 이상한 모양새만 연출하고 있다”고 비판했다.

쇄신모임	쇄신/NNG+모임/NNG
공동	공동/NNG
대표인	대표/NNG+이/VCP+ㄴ/ETM
김영진	김영진/NNP
이석현	이석현/NNP
천정배	천정배/NNP
의원은	의원/NNG+은/JX
“한나라당은	“/SS+한나라당/NNP+은/JX
4명의	4/SN+명/NNB+의/JKG
서울시장	서울시장/NNG
예비후보가	예비/NNG+후보/NNG+가/JKS
여러	여러/MMN
차례	차례/NNG
TV	TV/SL
토론을	토론/NNG+을/JKO
하고도	하/VV+고도/EC
경선	경선/NNG
흥행을	흥행/NNG+을/JKO
위해	위하/VV+아/EC
일정을	일정/NNG+을/JKO
5월	5/SN+월/NNB
3일로	3/SN+일/NNB+로/JKB
연기했지만	연기/NNG+하/XSV+았/EP+지만/EC
민주당	민주당/NNP
당권파는	당권파/NNG+는/JX
특정	특정/NNG
인물을	인물/NNG+을/JKO
밀어주기	밀어주/VV+기/ETN
곳에서	곳/NNG+에서/JKB
경선을	경선/NNG+을/JKO
무산시키는	무산/NNG+시키/XSV+는/ETM
이상한	이상/NNG+하/XSA+ㄴ/ETM
모양새만	모양새/NNG+만/JX
연출하고	연출/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.119.4.1
